source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason	title_abstract_sha256
SF-2026-ARXIV-2606-29700	2606.29700	core_daily_semantic_review_required	Toward Secure and Reliable PDDL Formalization of Large Language Models with Planner-in-the-Loop Feedback	Planning often requires symbolic specifications that are both executable and verifiable. 	retained	durable_system_candidate	AGENT-PLANNING	把形式化规格的断言权交给确定性 planner，并用不可执行诊断驱动修复。	f7c54c5757f6bb23b0a886ab5c1d1d39c66abee3576f2f6e41fc0774e4c85390
SF-2026-ARXIV-2606-29705	2606.29705	core_daily_semantic_review_required	GUICrafter: Weakly-Supervised GUI Agent Leveraging Massive Unannotated Screenshots	Data, as the fundamental substrate of modern intelligence, has greatly driven the development of current foundation models. 	closed_pre_denominator	local_method_without_durable_system_delta	—	《GUICrafter: Weakly-Supervised GUI Agent Leveraging Massive Unannotated Screenshots》：摘要明确“Data, as the fundamental substrate of modern intelligence, has greatly driven the development of current foundation models. ”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	40bed6a1ce2bbe607479e15d65fbe51af835300096ac55d1a9d72f9e29fbd352
SF-2026-ARXIV-2606-29706	2606.29706	core_daily_semantic_review_required	ARMOR: Adaptive Retriever Optimization for Low-Resource Telecom Question Answering	Telecom question answering (QA) is a challenging setting for retrieval-augmented generation (RAG): evidence is fragmented across standards, papers, encyclopedic resources, and web documents, and answers often hinge on technical tables, equations, and specialized protocol language. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《ARMOR: Adaptive Retriever Optimization for Low-Resource Telecom Question Answering》：摘要明确“Telecom question answering (QA) is a challenging setting for retrieval-augmented generation (RAG): evidence is fragmented across standards, papers, encyclopedic resources, and web documents, and answers often hinge on technical tables, equations, and specialized protocol language. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	06546d313b81d3fb044c15930d3ffd3a88144d6379ba69a97bf4a7a739d549e8
SF-2026-ARXIV-2606-29708	2606.29708	core_daily_semantic_review_required	Demystifying the Design Space and Best Practices for Heterogeneous LLM Inference and Serving	Heterogeneous prefill-decode (PD) inference is now in production: prefill on cost-efficient or supply-available accelerators, decode on bandwidth-strong ones, and KV state crossing mixed interconnects in mixed numerical formats. 	retained	durable_system_candidate	INFER-PD-DISAGGREGATION	把异构 prefill/decode、KV 传输格式与互联约束合成部署设计空间。	91f00e83488f19c7da8b3c3b01d49232d3fce537653e2c1ee51c47b4fa8b741c
SF-2026-ARXIV-2606-29709	2606.29709	keyword_daily_semantic_review_required	Bash-Commenter: Leveraging Syntax-Aware Preference Optimization to Reinforce Large Language Model for Bash Code Comment Generation	Bash script comprehension is challenging due to Bash's syntactic freedom and complex command structures. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Bash-Commenter: Leveraging Syntax-Aware Preference Optimization to Reinforce Large Language Model for Bash Code Comment Generation》：摘要明确“Bash script comprehension is challenging due to Bash's syntactic freedom and complex command structures. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	752894cbf0f4f4adb094f9d10f3604f5ea751a30faf1e3fa82565228a01050ed
SF-2026-ARXIV-2606-29712	2606.29712	core_daily_semantic_review_required	Why Struggle with Continuous Latents? Interpretable Discrete Latent Reasoning via Rendered Compression	Large language models achieve high reasoning performance via explicit chain-of-thought and reinforcement learning, but require long output sequences and extended inference time. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Why Struggle with Continuous Latents? Interpretable Discrete Latent Reasoning via Rendered Compression》：摘要明确“Large language models achieve high reasoning performance via explicit chain-of-thought and reinforcement learning, but require long output sequences and extended inference time. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	1373614ed2255a3035caa3b878ee102633adac2a82ea68df01be6b83d47f45da
SF-2026-ARXIV-2606-29713	2606.29713	core_daily_semantic_review_required	SEVA: Self-Evolving Verification Agent with Process Reward for Fact Attribution	Hallucination is the reliability bottleneck for LLM-based agents, and fact attribution verifiers are the last line of defense -- yet today's verifiers emit only opaque binary labels, leaving agents unable to self-correct and operators unable to audit. 	retained	durable_system_candidate	AGENT-REFLECTION	把事实归因验证从二元标签改为过程奖励与可自我修正的 verifier 状态。	dbe470f71908f8aca04082312b28f0feb5a15e41271d6c1979a759c632fa0478
SF-2026-ARXIV-2606-29714	2606.29714	not_routed_by_keyword_contract	UniVAD v2: Unified Visual Anomaly Detection via Support-Conditioned Boundary Construction	Unified visual anomaly detection seeks to train a single detector that can be deployed across categories, domains, and application scenarios. 	closed_pre_denominator	domain_local_evidence	—	《UniVAD v2: Unified Visual Anomaly Detection via Support-Conditioned Boundary Construction》：摘要明确“Unified visual anomaly detection seeks to train a single detector that can be deployed across categories, domains, and application scenarios. ”；据此关闭，因为证据绑定医疗或分子任务，未建立可迁移的 AI-System owner 或发布合同。	0bd96d197839b8495131544adfaa31af8f8c4039a86612359b30e8afefe94508
SF-2026-ARXIV-2606-29715	2606.29715	not_routed_by_keyword_contract	Accurate Recognition of Pneumonia and COVID-19 by Geometric Shape Normalization of Lung Region using Automatic Landmark Detection and Piecewise Affine Warping	This paper presents an automatic system for recognizing pulmonary diseases in chest X-rays using geometric normalization of the lung region. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Accurate Recognition of Pneumonia and COVID-19 by Geometric Shape Normalization of Lung Region using Automatic Landmark Detection and Piecewise Affine Warping》：摘要明确“This paper presents an automatic system for recognizing pulmonary diseases in chest X-rays using geometric normalization of the lung region. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	e864bf7b1aa8a9774fe595962ab26fc4ee789a8be823a2aaf938ec740d35c963
SF-2026-ARXIV-2606-29716	2606.29716	not_routed_by_keyword_contract	AerialMetric: Benchmarking and Adapting UAV Monocular Metric Depth Estimation in the Real World	This paper addresses the problem of monocular metric depth estimation in aerial UAV imagery. 	closed_pre_denominator	embodied_task_local_method	—	《AerialMetric: Benchmarking and Adapting UAV Monocular Metric Depth Estimation in the Real World》：摘要明确“This paper addresses the problem of monocular metric depth estimation in aerial UAV imagery. ”；据此关闭，因为贡献停留在特定机器人、传感器或动作任务，未改变通用 VLA 状态/控制所有权。	9e264717a37688c6146d2bcf7674fa9f9a1617414df96c14cc305656a11ecbf7
SF-2026-ARXIV-2606-29717	2606.29717	core_daily_semantic_review_required	Optimizing Expert-Designed Crystal Graph Networks for Band-Gap Prediction with an Autonomous LLM Research Loop	Predicting a material's properties from its structure is a central, fast-advancing problem in computational materials science. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Optimizing Expert-Designed Crystal Graph Networks for Band-Gap Prediction with an Autonomous LLM Research Loop》：摘要明确“Predicting a material's properties from its structure is a central, fast-advancing problem in computational materials science. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	42e7df8dadcc8547911428cfd818c3d6d6d07ecd736bb01214a4f6bdcac91ce0
SF-2026-ARXIV-2606-29718	2606.29718	core_daily_semantic_review_required	Diagnosing and Mitigating Context Rot in Long-horizon Search	Extensive context has become the norm as Large Language Models (LLMs) are increasingly deployed in long-horizon search tasks. 	retained	durable_system_candidate	AGENT-CONTEXT	把长程检索中的 context rot 定位为可诊断的历史状态污染，并给出缓解控制。	4d985e496d29f76b0e83b012cfb52aff4491f91657328e32d31fdab4e88a4a3f
SF-2026-ARXIV-2606-29719	2606.29719	core_daily_semantic_review_required	A Diagnostic Framework and Multi-Evaluator Audit of Evaluator-Driven Preference Dynamics in Self-Adapting LLM Agents	Measurements of proprietary LLM evaluators can become invalid within weeks -- we document one case and provide the diagnostic framework to detect it. 	retained	durable_system_candidate	PLATFORM-EVALUATION-SYSTEM	把 evaluator 漂移和偏好坍缩作为持续评测系统的测量状态。	752e1f5b538bdc9ffa8a74de69d6f2a1603b3793499f2714c0786b354303052a
SF-2026-ARXIV-2606-29720	2606.29720	core_daily_semantic_review_required	The Hidden Cost of Resampling: How Imbalance Correction Degrades Probability Calibration in Tree Ensembles	Resampling methods such as SMOTE and random under/over-sampling are standard tools for class-imbalanced classification, almost always evaluated by minority-class accuracy or F1. 	closed_pre_denominator	model_or_task_local_delta	—	《The Hidden Cost of Resampling: How Imbalance Correction Degrades Probability Calibration in Tree Ensembles》：摘要明确“Resampling methods such as SMOTE and random under/over-sampling are standard tools for class-imbalanced classification, almost always evaluated by minority-class accuracy or F1. ”；据此关闭，因为局部模型结构或任务指标提升不足以改变长期训练、推理或平台判断。	6abb0be5d20738b448939fd8efb520eecc06255b80c8a5da4093caaea76e3d3f
SF-2026-ARXIV-2606-29721	2606.29721	core_daily_semantic_review_required	Redefining Maritime Anomaly Detection via Equation-Grounded Synthetic Anomalies	Maritime anomaly detection is essential for ensuring maritime safety, security, and efficient traffic management at sea, with Automatic Identification System (AIS) data serving as a primary data source. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Redefining Maritime Anomaly Detection via Equation-Grounded Synthetic Anomalies》：摘要明确“Maritime anomaly detection is essential for ensuring maritime safety, security, and efficient traffic management at sea, with Automatic Identification System (AIS) data serving as a primary data source. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	7173cbcde1cb71e3bfb17a4ff664d8ca354f16541cfffe6725ce7fe47dc03b9d
SF-2026-ARXIV-2606-29723	2606.29723	core_daily_semantic_review_required	ScaleAware-JEPA: Latent Representation for Discovery in Multiscale Physical Fields	Continuous physical fields represent a large fraction of data under scientific investigation. 	closed_pre_denominator	domain_local_evidence	—	《ScaleAware-JEPA: Latent Representation for Discovery in Multiscale Physical Fields》：摘要明确“Continuous physical fields represent a large fraction of data under scientific investigation. ”；据此关闭，因为证据绑定医疗或分子任务，未建立可迁移的 AI-System owner 或发布合同。	2f9c89585277307ea43350adfb099f5113d1827721f0c58b3e9f9ffe558b853f
SF-2026-ARXIV-2606-29724	2606.29724	core_daily_semantic_review_required	Simplifying Flow Matching Transformations with Low-Rank Mixture Models	Normalizing flows are powerful generative models that learn an invertible mapping between complex data distributions and simple latent distributions, typically a standard normal density. 	closed_pre_denominator	local_benchmark_without_release_delta	—	《Simplifying Flow Matching Transformations with Low-Rank Mixture Models》：摘要明确“Normalizing flows are powerful generative models that learn an invertible mapping between complex data distributions and simple latent distributions, typically a standard normal density. ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。	20245cb518cc1a8084bb76aba7c8b46a9440afad06e9ef29021a410e2aa0d919
SF-2026-ARXIV-2606-29725	2606.29725	core_daily_semantic_review_required	Optimizing Nursing Care Taxi Dispatch Leveraging Integer Linear Programming Solvers and Machine Learning	In this paper, we formulate a new vehicle dispatch optimization problem, called Nursing Care Taxi Dispatch, as a variant of the Vehicle Routing Problem, considering constraints related to wheelchair use, user compatibility, pick-up and drop-off times, and vehicle limitations. 	closed_pre_denominator	local_method_without_durable_system_delta	—	《Optimizing Nursing Care Taxi Dispatch Leveraging Integer Linear Programming Solvers and Machine Learning》：摘要明确“In this paper, we formulate a new vehicle dispatch optimization problem, called Nursing Care Taxi Dispatch, as a variant of the Vehicle Routing Problem, considering constraints related to wheelchair use, user compatibility, pick-up and drop-off times, and vehicle limitations. ”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	b5588c181c49c8dbd31d2b6b60d44048ca45012e2b7fb3f1cd4c5696134c6eda
SF-2026-ARXIV-2606-29726	2606.29726	core_daily_semantic_review_required	From Trait to Behavior: A Cognitive-Affective Personality System (CAPS) Perspective on Multi-Homing Intention in AIGC Platforms	With the rapid development of Artificial Intelligence Generated Content (AIGC) platforms, users increasingly show cross-platform usage intentions. 	closed_pre_denominator	survey_or_position_without_mechanism_delta	—	《From Trait to Behavior: A Cognitive-Affective Personality System (CAPS) Perspective on Multi-Homing Intention in AIGC Platforms》：摘要明确“With the rapid development of Artificial Intelligence Generated Content (AIGC) platforms, users increasingly show cross-platform usage intentions. ”；据此关闭，因为综述、立场或概念框架没有提供可独立验收的机制增量。	061da7a7314e2be1174d227dee40ee55a80b79435d641fdce0c351fa2b2b7bb6
SF-2026-ARXIV-2606-29727	2606.29727	core_daily_semantic_review_required	DeepTrans Studio: Turning Expert Interventions into Shared Team Knowledge in Agentic Translation Workflows	Professional translation is often a team-based process: translators, reviewers, and project managers must coordinate terminology, legal force, and accountability across documents. 	closed_pre_denominator	local_method_without_durable_system_delta	—	《DeepTrans Studio: Turning Expert Interventions into Shared Team Knowledge in Agentic Translation Workflows》：摘要明确“Professional translation is often a team-based process: translators, reviewers, and project managers must coordinate terminology, legal force, and accountability across documents. ”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	f7db487925da392146089cc9d3b745e21050b38b2d0e91cd440437f6a0b93260
SF-2026-ARXIV-2606-29731	2606.29731	not_routed_by_keyword_contract	Real-Time Compliance and Position Control of a Hyper-redundant Soft Robotic Arm	Robots working in unstructured or partially unobservable environments must combine accurate motion with physical compliance that can passively correct contact misalignment. 	closed_pre_denominator	embodied_task_local_method	—	《Real-Time Compliance and Position Control of a Hyper-redundant Soft Robotic Arm》：摘要明确“Robots working in unstructured or partially unobservable environments must combine accurate motion with physical compliance that can passively correct contact misalignment. ”；据此关闭，因为贡献停留在特定机器人、传感器或动作任务，未改变通用 VLA 状态/控制所有权。	a5754ff09bc8140a13893a48a49bea05210b6f4eca24f020756bd542b1111296
SF-2026-ARXIV-2606-29732	2606.29732	core_daily_semantic_review_required	Testing hypotheses via orthogonalization	Classical hypothesis testing frameworks break down in contemporary settings in which null hypotheses are increasingly abstract, the same data are used to both generate and test hypotheses, and minimal assumptions about the underlying data are made. 	closed_pre_denominator	local_method_without_durable_system_delta	—	《Testing hypotheses via orthogonalization》：摘要明确“Classical hypothesis testing frameworks break down in contemporary settings in which null hypotheses are increasingly abstract, the same data are used to both generate and test hypotheses, and minimal assumptions about the underlying data are made. ”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	1307e47d85f4a38aa3b96af5375e25ca05bc33d159d98a030825002fc1692ee8
SF-2026-ARXIV-2606-29733	2606.29733	core_daily_semantic_review_required	How Far Do On-Prem Open LLMs Get on Text-to-SQL? A Cross-Family Size x Technique Frontier on BIRD	"Organizations that cannot send data to a cloud API increasingly ask: how good is Text-to-SQL if the model must run on-premises on open weights, and which popular accuracy ""recipes"" are worth their compute? "	closed_pre_denominator	local_benchmark_without_release_delta	—	"《How Far Do On-Prem Open LLMs Get on Text-to-SQL? A Cross-Family Size x Technique Frontier on BIRD》：摘要明确“Organizations that cannot send data to a cloud API increasingly ask: how good is Text-to-SQL if the model must run on-premises on open weights, and which popular accuracy ""recipes"" are worth their compute? ”；据此关闭，因为数据集或局部 benchmark 没有新增跨系统 evaluation/release contract。"	443fec90703ebf69ee2b0c7d6abc983f36398dfa556a2f952cba207bb0e819ae
SF-2026-ARXIV-2606-29734	2606.29734	core_daily_semantic_review_required	Fast Numbers, Slow Language: Bridging Quantitative and Qualitative Earnings Signals	Earnings announcements release two types of information sequentially: quantitative surprise (numeric earnings-per-share (EPS)/revenue versus analyst estimate) arrives first in press releases and financial news, processed by algorithmic traders within minutes; qualitative language (management tone, guidance, question-and-answer (Q&amp;A) credibility) arrives 30-90 min later in the earnings conference call transcript (	closed_pre_denominator	local_method_without_durable_system_delta	—	《Fast Numbers, Slow Language: Bridging Quantitative and Qualitative Earnings Signals》：摘要明确“Earnings announcements release two types of information sequentially: quantitative surprise (numeric earnings-per-share (EPS)/revenue versus analyst estimate) arrives first in press releases and financial news, processed by algorithmic traders within minutes; qualitative language (management tone, guidance, question-and-answer (Q&amp;A) credibility) arrives 30-90 min later in the earnings conference call transcript (”；据此关闭，因为贡献仍是局部任务、模型或领域方法，不能外推为长期 AI-System 设计结论。	d5600f18a601fca21ea00e5e733663900f5ec45bbbc2f66e109b8bd75a306599
SF-2026-ARXIV-2606-29738	2606.29738	not_routed_by_keyword_contract	MyGO-Splat: Multi-Objective Closed-Loop Geometric Feedback for RGB-Only Gaussian SLAM	Real-time monocular Simultaneous Localization and Mapping (SLAM) fundamentally suffers from scale ambiguity and a lack of geometric self-correction. 	closed_pre_denominator	embodied_task_local_method	—	《MyGO-Splat: Multi-Objective Closed-Loop Geometric Feedback for RGB-Only Gaussian SLAM》：摘要明确“Real-time monocular Simultaneous Localization and Mapping (SLAM) fundamentally suffers from scale ambiguity and a lack of geometric self-correction. ”；据此关闭，因为贡献停留在特定机器人、传感器或动作任务，未改变通用 VLA 状态/控制所有权。	4da4542b9d875e666a442356aadb51d87a72209b7a33054ce00c529c77378751
SF-2026-ARXIV-2606-29742	2606.29742	keyword_daily_semantic_review_required	MicroAgent: Context-Augmented Multi-Agent Framework for Automatic Microservice Decomposition	The adoption of Microservice Architecture (MSA) has revolutionized software engineering by enhancing scalability, agility, and maintainability over traditional monolithic applications. 	closed_pre_denominator	survey_or_position_without_mechanism_delta	—	《MicroAgent: Context-Augmented Multi-Agent Framework for Automatic Microservice Decomposition》：摘要明确“The adoption of Microservice Architecture (MSA) has revolutionized software engineering by enhancing scalability, agility, and maintainability over traditional monolithic applications. ”；据此关闭，因为综述、立场或概念框架没有提供可独立验收的机制增量。	d13376037d9f82b6cdd6e35c3534e81364bc01b01ccee2a64de9ddcdc10d7301
SF-2026-ARXIV-2606-29744	2606.29744	keyword_daily_semantic_review_required	HTC-SGA Former: A Hybrid Transformer-CNN Network with Self-Guided Attention and a New Boundary-Weighted Adaptive Loss for Coronary DSA Vessel Segmentation	Accurate coronary Digital Subtraction Angiography (DSA) vessel segmentation is essential for computer-aided diagnosis and treatment planning of coronary artery disease (CAD). 	closed_pre_denominator	model_or_task_local_delta	—	《HTC-SGA Former: A Hybrid Transformer-CNN Network with Self-Guided Attention and a New Boundary-Weighted Adaptive Loss for Coronary DSA Vessel Segmentation》：摘要明确“Accurate coronary Digital Subtraction Angiography (DSA) vessel segmentation is essential for computer-aided diagnosis and treatment planning of coronary artery disease (CAD). ”；据此关闭，因为局部模型结构或任务指标提升不足以改变长期训练、推理或平台判断。	0c2b40a16c3508cf3bc0f3b8996ce37c92f75f63a273601ed6c04122c42bb35a
SF-2026-ARXIV-2606-29745	2606.29745	keyword_daily_semantic_review_required	ECHO: Learning Epistemically Adaptive Language Agents with Turn-Level Credit	What does it mean for a language agent to be adaptive? 	retained	durable_system_candidate	AGENT-PLANNING	以显式 belief state 和逐轮 epistemic credit 控制信息获取与停止动作。	8e11e491c554877ce6b195e3a1eeb0fdfada7ec5cedd206864d30a225de7e5ac
SF-2026-ARXIV-2606-29746	2606.29746	core_daily_semantic_review_required	DEEPMED Search: An Open-Source Agentic Platform for Medical Deep Research with Introspective Verification	Navigating the deluge of heterogeneous medical data, from academic literature (PubMed) to clinical guidelines (Web) and private knowledge bases, remains a critical bottleneck for evidence-based medicine. 	closed_pre_denominator	domain_local_evidence	—	《DEEPMED Search: An Open-Source Agentic Platform for Medical Deep Research with Introspective Verification》：摘要明确“Navigating the deluge of heterogeneous medical data, from academic literature (PubMed) to clinical guidelines (Web) and private knowledge bases, remains a critical bottleneck for evidence-based medicine. ”；据此关闭，因为证据绑定医疗或分子任务，未建立可迁移的 AI-System owner 或发布合同。	2522b07cebe96f8f2f2f4f77785ee932042aa7cf252dca36f744af98d010d53e
SF-2026-ARXIV-2606-29748	2606.29748	core_daily_semantic_review_required	Rethinking Generative Reconstruction Attacks against Graph Neural Network Models	The application of graph data in numerous disciplines raises the need for gathering and analyzing huge volumes of data, some of which is private and sensitive. 	closed_pre_denominator	domain_local_evidence	—	《Rethinking Generative Reconstruction Attacks against Graph Neural Network Models》：摘要明确“The application of graph data in numerous disciplines raises the need for gathering and analyzing huge volumes of data, some of which is private and sensitive. ”；据此关闭，因为证据绑定医疗或分子任务，未建立可迁移的 AI-System owner 或发布合同。	af0b449faf9e4aeba0dedec71c6ffb3b819e0b2c6d13d6e10b4124a6bf4530a8
SF-2026-ARXIV-2606-29750	2606.29750	core_daily_semantic_review_required	Managing Map Cardinality in Automatic Disease Classification Mapping: Balancing Precision, Recall and Coverage	Automatic mapping between disease classification systems, such as the International Classification of Diseases (ICD), is a challenging yet essential task for integrating health data and conducting longitudinal data analysis. 	closed_pre_denominator	model_or_task_local_delta	—	《Managing Map Cardinality in Automatic Disease Classification Mapping: Balancing Precision, Recall and Coverage》：摘要明确“Automatic mapping between disease classification systems, such as the International Classification of Diseases (ICD), is a challenging yet essential task for integrating health data and conducting longitudinal data analysis. ”；据此关闭，因为局部模型结构或任务指标提升不足以改变长期训练、推理或平台判断。	47a6ac1cb01c2e0d2c469c72331c8a36957b0e2228658c864997a0f40cd77841
