arxiv_id	source_family_key	screening_route	title	decision	family_specific_reason
2606.21838	arxiv:2606.21838	core_daily_semantic_review_required	Beyond Flat Labels: Level-Restricted Contrastive Learning for Hierarchical Fine-Grained Vision Classification	pre-denominator closure	Family-specific closure for ‘Beyond Flat Labels: Level-Restricted Contrastive Learning for Hierarchical Fine-Grained Vision Classification’: exact abstract scope is ‘Multimodal contrastive learning has enabled zero-shot visual classification by aligning images with textual categories.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21842	arxiv:2606.21842	keyword_daily_semantic_review_required	Agent-Assisted Side-Channel Attacks on Non-Prefix KV Cache in RAG	retained	Durable delta: non-prefix KV fusion 的固定 chunk routing 与未对齐 tail recomputation 形成 Step-Wave TTFT oracle；SpliceLeak 先恢复隐藏前缀长度，再用 boundary collision 逐 token 提取；QCP+CTBF 消除长度与语义 timing signal。
2606.21843	arxiv:2606.21843	core_daily_semantic_review_required	Measuring What Persists: Conditioning Mechanisms and a Geometric Framework for AI Agent Identity	retained	Durable delta: agent identity monitor 以固定 probe 的 next-token distribution、sqrt-JSD geometry 与 magnitude homology 追踪 conditioning；但 diverse-padding 对照推翻了原 repetitive-padding drift trajectory。
2606.21844	arxiv:2606.21844	core_daily_semantic_review_required	Inverse Turing Bench: Evaluating Language Models as Judges of Human vs. AI Dialogue	pre-denominator closure	Family-specific closure for ‘Inverse Turing Bench: Evaluating Language Models as Judges of Human vs. AI Dialogue’: exact abstract scope is ‘As AI systems integrate into online spaces, differentiating them from humans in conversations is increasingly important.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21845	arxiv:2606.21845	not_routed_by_keyword_contract	HOWLR: A Client-Driven Approach to BGP Hijack Detection	pre-denominator closure	Family-specific closure for ‘HOWLR: A Client-Driven Approach to BGP Hijack Detection’: exact abstract scope is ‘BGP hijacking enables impersonation attacks in which adversaries divert traffic at the prefix level and serve malicious content to unsuspecting clients.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21846	arxiv:2606.21846	not_routed_by_keyword_contract	Mind the Intention: Task-Aware Backdoor Attacks for Forecast-Driven Distribution Network Operations	pre-denominator closure	Family-specific closure for ‘Mind the Intention: Task-Aware Backdoor Attacks for Forecast-Driven Distribution Network Operations’: exact abstract scope is ‘Accurate distributed energy resources (DERs) forecasting is critical for downstream optimal operations.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21847	arxiv:2606.21847	core_daily_semantic_review_required	UniRank: Unified Rank Allocation for Low-Rank LLM Compression	pre-denominator closure	Family-specific closure for ‘UniRank: Unified Rank Allocation for Low-Rank LLM Compression’: exact abstract scope is ‘Low-rank decomposition serves as a promising compression paradigm for large language models, however, rank allocation remains challenging: manual rules lack generalizability, and learning-based approaches incur heavy computational overhead.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21848	arxiv:2606.21848	core_daily_semantic_review_required	Keyless Attention: Value-Space Routing and Value-Only Caching for Efficient Transformers	retained	Durable delta: 把 query-key 路由改为 query-value 路由，并在 inference 预乘 query factor，只保存 value representation；QVV(3) 保持投影矩阵数同时移除 key cache。
2606.21851	arxiv:2606.21851	core_daily_semantic_review_required	TALAS: Teacher-Anchored Layer Alignment with Adaptive Sharpness-Aware Minimization for Embedding Distillation	pre-denominator closure	Family-specific closure for ‘TALAS: Teacher-Anchored Layer Alignment with Adaptive Sharpness-Aware Minimization for Embedding Distillation’: exact abstract scope is ‘Knowledge Distillation (KD) has established itself as a pivotal technique for compressing large pre-trained language models.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21852	arxiv:2606.21852	core_daily_semantic_review_required	Rethinking Burst Buffer Optimization: Enabling Layout Heterogeneity via Hybrid Analysis and LLM Guidance	pre-denominator closure	Family-specific closure for ‘Rethinking Burst Buffer Optimization: Enabling Layout Heterogeneity via Hybrid Analysis and LLM Guidance’: exact abstract scope is ‘Burst buffers (BBs) are essential for mitigating I/O bottlenecks in modern HPC systems.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21854	arxiv:2606.21854	keyword_daily_semantic_review_required	ESPnet3: Infrastructure for Scalable Speech and Audio Research in the Foundation Model Era	retained	Durable delta: DataOrganizer 把 dataset composition、split/shard 与 recipe stage 分离，统一 Python workflow 只通过轻量 override 保留实验差异。
2606.21856	arxiv:2606.21856	core_daily_semantic_review_required	Harness-MU: A Safe, Governed, and Effective Harness for Multi-User LLM Agents	retained	Durable delta: 多用户 agent harness 把 user/principal、workspace、credential、memory 与 tool capability 分离；deterministic hook 在执行前后实施 policy，审计记录 control decision 而不只记录自然语言。
2606.21861	arxiv:2606.21861	keyword_daily_semantic_review_required	Zero-Shot Vision-Language Models for Classroom Engagement Recognition: A Benchmark Study of Prompt Sensitivity and Cross-Dataset Generalization	pre-denominator closure	Family-specific closure for ‘Zero-Shot Vision-Language Models for Classroom Engagement Recognition: A Benchmark Study of Prompt Sensitivity and Cross-Dataset Generalization’: exact abstract scope is ‘Automated classroom engagement recognition holds substantial promise for scalable learning analytics, yet the suitability of modern Vision-Language Models (VLMs) for this task under zero-shot conditions remains largely unexplored.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21862	arxiv:2606.21862	core_daily_semantic_review_required	Research Method Usage across Academic Ages in Library and Information Science: An Empirical Study (1990-2023)	pre-denominator closure	Family-specific closure for ‘Research Method Usage across Academic Ages in Library and Information Science: An Empirical Study (1990-2023)’: exact abstract scope is ‘Academic age critically shapes career development, influencing research behavior, output volume, and methodological choices.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21863	arxiv:2606.21863	not_routed_by_keyword_contract	Prompt-Calibrated SAM 3 for Open-Vocabulary Remote Sensing Semantic Segmentation	pre-denominator closure	Family-specific closure for ‘Prompt-Calibrated SAM 3 for Open-Vocabulary Remote Sensing Semantic Segmentation’: exact abstract scope is ‘Open-vocabulary semantic segmentation (OVSS) in remote sensing images aims to segment categories beyond a fixed label space.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21866	arxiv:2606.21866	keyword_daily_semantic_review_required	SurGE: Surrogate Gradient-guided Evolution for Co-design of Legged Robots with Parallel Elasticity	pre-denominator closure	Family-specific closure for ‘SurGE: Surrogate Gradient-guided Evolution for Co-design of Legged Robots with Parallel Elasticity’: exact abstract scope is ‘Co-design of legged robots with elastic elements is challenging due to the non-differentiability of contact dynamics and mechanism engagement.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21867	arxiv:2606.21867	core_daily_semantic_review_required	ForEx: A Formal Verification Framework for Explainable Reasoning in Logical Fallacy Detection and Annotation	pre-denominator closure	Family-specific closure for ‘ForEx: A Formal Verification Framework for Explainable Reasoning in Logical Fallacy Detection and Annotation’: exact abstract scope is ‘Current evaluations of Large Language Models (LLMs) on logical fallacy detection focus on predicted labels, but do not establish whether those labels are supported by the reasoning the models provide.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21868	arxiv:2606.21868	core_daily_semantic_review_required	WiSP: A Working-Set View of Mixture-of-Experts Serving on Extremely Low-Resource Hardware	retained	Durable delta: WiSP 把低资源 MoE inference 表述为 expert-weight 与 KV cache 的联合 working set：预测近期 active experts，按相同内存预算在 expert residency、KV 保留与 transfer 间分配。
2606.21869	arxiv:2606.21869	core_daily_semantic_review_required	The Language-Energy Divide: Measuring Energy Costs of Multilingual LLM Inference	retained	Durable delta: 把每语言生成能耗与 accuracy、tokenization expansion 分开记录；evaluation/model card 需声明 per-language energy，而不能用英语平均值代表多语言部署。
2606.21873	arxiv:2606.21873	core_daily_semantic_review_required	One-Bit Clustering for Two Component Sub-Gaussian Mixture Models	pre-denominator closure	Family-specific closure for ‘One-Bit Clustering for Two Component Sub-Gaussian Mixture Models’: exact abstract scope is ‘Clustering is a fundamental problem in statistics and machine learning.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21875	arxiv:2606.21875	core_daily_semantic_review_required	Signed Evidence Flow: Conflict-Aware and Stability-Calibrated Data Analysis	retained	Durable delta: Signed Evidence Flow 把已拟合预测的正负 attribution 分解为 support、opposition、conflict 与 perturbation stability；ScopeGate 用 held-out permutation 检查 conflict-risk 方向后才允许 triage。
2606.21876	arxiv:2606.21876	core_daily_semantic_review_required	Protein contacts are already in the attention: a single-forward-pass alternative to the Categorical Jacobian	pre-denominator closure	Family-specific closure for ‘Protein contacts are already in the attention: a single-forward-pass alternative to the Categorical Jacobian’: exact abstract scope is ‘The Categorical Jacobian of Zhang et al.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21877	arxiv:2606.21877	core_daily_semantic_review_required	AgentRiskBOM: A Risk-Scoping Security Bill of Materials for Agentic AI Systems	retained	Durable delta: AgentRiskBOM 在 SBOM/AIBOM/MLBOM 之外声明 autonomy、tool permission、memory、credential scope、approval gate、audit signal、inter-agent channel 与 external action，并对 release mutation 做 diff。
2606.21882	arxiv:2606.21882	core_daily_semantic_review_required	Streaming T5-based Text-to-Speech Synthesis with Limited Lookahead	pre-denominator closure	Family-specific closure for ‘Streaming T5-based Text-to-Speech Synthesis with Limited Lookahead’: exact abstract scope is ‘Streaming text-to-speech synthesis in cascaded LLM-TTS systems still faces latency challenges as most TTS models require full context before initiating generation.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21884	arxiv:2606.21884	core_daily_semantic_review_required	A Verifiable Search Is Not a Learnable Chain-of-Thought	retained	Durable delta: 对 deterministic generator 构造 solver-grounded CoT 后，区分 forward-derivable procedure 与 information-free backtracking search；不可忠实前向化的 search 应外置为 catalog/search，再让模型做 bounded verification。
2606.21885	arxiv:2606.21885	core_daily_semantic_review_required	Cohort-Anchored Foundation Models for Electronic Health Records: From Risk Scores to Auditable Peer Cohorts	pre-denominator closure	Family-specific closure for ‘Cohort-Anchored Foundation Models for Electronic Health Records: From Risk Scores to Auditable Peer Cohorts’: exact abstract scope is ‘Foundation models have achieved remarkable performance across medical question answering, imaging, and electronic health record (EHR) tasks, yet reliable clinical deployment remains challenging due to limited interpretability, vulnerability to distribution shift, and weak alignment with clinician reasoning.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21886	arxiv:2606.21886	core_daily_semantic_review_required	AI-Mediated Negotiation: Design Reflections and Lessons	pre-denominator closure	Family-specific closure for ‘AI-Mediated Negotiation: Design Reflections and Lessons’: exact abstract scope is ‘Conversational AI promises a new kind of preparation for high-stakes workplace negotiations -- personalized, interactive, and capable of simulating realistic resistance.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21887	arxiv:2606.21887	core_daily_semantic_review_required	Improving Engine Sound Analysis in Hot-Test Environments via a RAB-U-Net (Residual Attention Block U-Net) Noise Removal Method	pre-denominator closure	Family-specific closure for ‘Improving Engine Sound Analysis in Hot-Test Environments via a RAB-U-Net (Residual Attention Block U-Net) Noise Removal Method’: exact abstract scope is ‘During hot tests on a production line, engine-sound analysis is crucial to ensuring product quality and performance.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21888	arxiv:2606.21888	not_routed_by_keyword_contract	ProsoCodec: Prosody-Oriented Speech Codec for Voice Conversion	pre-denominator closure	Family-specific closure for ‘ProsoCodec: Prosody-Oriented Speech Codec for Voice Conversion’: exact abstract scope is ‘Neural speech codecs efficiently compress speech and have become a foundation for speech generation, but they are typically learned as holistic representations that intertwine linguistic content, speaker identity, and prosody.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21889	arxiv:2606.21889	core_daily_semantic_review_required	Ranking-and-Selection with Multiple Correct Answers and Non-Answerable Estimates	pre-denominator closure	Family-specific closure for ‘Ranking-and-Selection with Multiple Correct Answers and Non-Answerable Estimates’: exact abstract scope is ‘We study fixed-precision ranking-and-selection in structured settings where the answer may be non-unique and where noisy estimates may temporarily admit no valid answer at all.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21890	arxiv:2606.21890	core_daily_semantic_review_required	Scaling Performance and Low-Resource Annotation with Many-Shot In-Context Learning for Named Entity Recognition	pre-denominator closure	Family-specific closure for ‘Scaling Performance and Low-Resource Annotation with Many-Shot In-Context Learning for Named Entity Recognition’: exact abstract scope is ‘In-context learning (ICL) with large language models (LLMs) has emerged as a powerful alternative to fine-tuning for Named Entity Recognition (NER), achieving strong performance with minimal annotation and no additional training.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21891	arxiv:2606.21891	core_daily_semantic_review_required	Learning the ARTS of Search for Automated Discovery	retained	Durable delta: ARTS 在 scientific search tree 中把 hypothesis merit 与 execution quality 分开；audit node 的 code/log 后决定 repair 同一 idea 还是 pivot，并把 search history用于 scientist test-time training。
2606.21892	arxiv:2606.21892	core_daily_semantic_review_required	AgroSense 2.0: Cross-Modal Transformer Fusion with Geospatial Raster Integration and Interpretable Multi-Task Learning for Precision Crop Recommendation	pre-denominator closure	Family-specific closure for ‘AgroSense 2.0: Cross-Modal Transformer Fusion with Geospatial Raster Integration and Interpretable Multi-Task Learning for Precision Crop Recommendation’: exact abstract scope is ‘Crop recommendation systems in precision agriculture have long suffered from a fundamental modality gap: visual soil characterization and chemical nutrient profiling are typically treated as independent inference problems, with fusion often reduced to late-stage feature concatenation.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21893	arxiv:2606.21893	not_routed_by_keyword_contract	AugCodec: A Low-Bitrate Disentangled Neural Speech Codec via Data Augmentation	pre-denominator closure	Family-specific closure for ‘AugCodec: A Low-Bitrate Disentangled Neural Speech Codec via Data Augmentation’: exact abstract scope is ‘We propose AugCodec, a low-bitrate disentangled neural speech codec that leverages data augmentation to decompose speech into three distinct components: semantic, speaker, and prosody tokens.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21894	arxiv:2606.21894	core_daily_semantic_review_required	Skills for the future software profession: beyond agentic AI!	pre-denominator closure	Family-specific closure for ‘Skills for the future software profession: beyond agentic AI!’: exact abstract scope is ‘As coding agents are rapidly changing software engineering, a natural question is: what are the core skills needed by future software engineers?’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21895	arxiv:2606.21895	core_daily_semantic_review_required	Olfactory-Inspired Sparse Combinatorial Coding for Low-Resource Named Entity Recognition	pre-denominator closure	Family-specific closure for ‘Olfactory-Inspired Sparse Combinatorial Coding for Low-Resource Named Entity Recognition’: exact abstract scope is ‘Named Entity Recognition (NER) in low-resource languages suffers from limited supervision and a lack of high-quality pretrained embeddings.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21896	arxiv:2606.21896	core_daily_semantic_review_required	Prediction of Solar Flares Using Photospheric Magnetic Field Parameters with Deep Learning	pre-denominator closure	Family-specific closure for ‘Prediction of Solar Flares Using Photospheric Magnetic Field Parameters with Deep Learning’: exact abstract scope is ‘Solar flares, particularly those of the M- and X-class, have a significant impact on human life because of their potential to disrupt critical infrastructure and communication systems on Earth.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21898	arxiv:2606.21898	not_routed_by_keyword_contract	Mesh2GS: White-Box 3DGS Construction via Plenoptic Sampling	pre-denominator closure	Family-specific closure for ‘Mesh2GS: White-Box 3DGS Construction via Plenoptic Sampling’: exact abstract scope is ‘3D Gaussian Splatting (3DGS) has emerged as a promising method for high-quality, real-time 3D reconstruction.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21899	arxiv:2606.21899	not_routed_by_keyword_contract	Shuttling in Bidimensional Segmented Ion-Trap Quantum Processors with T-Junctions	pre-denominator closure	Family-specific closure for ‘Shuttling in Bidimensional Segmented Ion-Trap Quantum Processors with T-Junctions’: exact abstract scope is ‘Shuttle-based trapped ion quantum processors typically employ a one-dimensional (1D) linear architecture to transport ion-qubits between one ore more laser interaction zones where the quantum gates are implemented, along with several qubit register storage segments.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21900	arxiv:2606.21900	core_daily_semantic_review_required	Continuous Behavioral Authentication via Multi-Expert BERT Log Analysis for Secure Data Sharing	pre-denominator closure	Family-specific closure for ‘Continuous Behavioral Authentication via Multi-Expert BERT Log Analysis for Secure Data Sharing’: exact abstract scope is ‘Continuous authentication for mobile and zero-trust systems requires nonintrusive evidence confirming the enrolled user-device context remains valid after initial login.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21904	arxiv:2606.21904	core_daily_semantic_review_required	Which Review Aspect Has a Greater Impact on the Duration of Open Peer Review in Multiple Rounds? -- Evidence from Nature Communications	pre-denominator closure	Family-specific closure for ‘Which Review Aspect Has a Greater Impact on the Duration of Open Peer Review in Multiple Rounds? -- Evidence from Nature Communications’: exact abstract scope is ‘Purpose: Peer review is essential to scientific publishing, but increasing submission volumes have placed growing pressure on reviewers and editors.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21906	arxiv:2606.21906	core_daily_semantic_review_required	Deeper is Not Always Better: Mitigating the Alignment Tax via Confident Layer Decoding	pre-denominator closure	Family-specific closure for ‘Deeper is Not Always Better: Mitigating the Alignment Tax via Confident Layer Decoding’: exact abstract scope is ‘Autoregressive generation in large language models (LLMs) conventionally decodes from the final layer, assuming that deeper representations yield more reliable next-token predictions.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21907	arxiv:2606.21907	core_daily_semantic_review_required	Nonparametric Deconvolution and Denoising using Simulation Based Inference	pre-denominator closure	Family-specific closure for ‘Nonparametric Deconvolution and Denoising using Simulation Based Inference’: exact abstract scope is ‘Latent signals are often obscured by measurement noise, yet encode the underlying laws and dynamics of complex systems; learning both the signals and their distributions remains a central challenge in scientific inference.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21908	arxiv:2606.21908	core_daily_semantic_review_required	Gender Differences in Research Topic and Method Convergence among Collaborating Scholars in Library and Information Science	pre-denominator closure	Family-specific closure for ‘Gender Differences in Research Topic and Method Convergence among Collaborating Scholars in Library and Information Science’: exact abstract scope is ‘This study explores gender differences in research topic choice and methodology among collaborating scholars.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21910	arxiv:2606.21910	keyword_daily_semantic_review_required	Fidelity- and Perception-Aware Local Implicit Attention for Arbitrary-Scale Image Super-Resolution	pre-denominator closure	Family-specific closure for ‘Fidelity- and Perception-Aware Local Implicit Attention for Arbitrary-Scale Image Super-Resolution’: exact abstract scope is ‘Arbitrary-scale image super-resolution (ASISR) aims to reconstruct high-resolution images from low-resolution inputs over a continuous range of upscaling factors.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21911	arxiv:2606.21911	core_daily_semantic_review_required	The Pitfall of Scaling Up: Uncovering and Mitigating Popularity Bias Amplification in Scaling Transformer-based Recommenders	pre-denominator closure	Family-specific closure for ‘The Pitfall of Scaling Up: Uncovering and Mitigating Popularity Bias Amplification in Scaling Transformer-based Recommenders’: exact abstract scope is ‘We identify a critical pitfall in scaling transformer-based sequential recommenders: while increasing model size improves recommendation accuracy, it simultaneously amplifies popularity bias.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21913	arxiv:2606.21913	core_daily_semantic_review_required	Rethinking the Adaptation of Vision Foundation Models for Efficient Cell Segmentation	pre-denominator closure	Family-specific closure for ‘Rethinking the Adaptation of Vision Foundation Models for Efficient Cell Segmentation’: exact abstract scope is ‘Cell segmentation is critical for computational pathology and biomedical discovery.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21915	arxiv:2606.21915	keyword_daily_semantic_review_required	GTA-Net: Cooperative Game Theory for Vision-Language Alignment in Chest X-Ray Report Generation	pre-denominator closure	Family-specific closure for ‘GTA-Net: Cooperative Game Theory for Vision-Language Alignment in Chest X-Ray Report Generation’: exact abstract scope is ‘Automated chest X-ray report generation requires precise cross-modal grounding to ensure clinically reliable descriptions.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
2606.21916	arxiv:2606.21916	core_daily_semantic_review_required	Data Pruning: Redundant, Problematic, and Interdependent Samples	pre-denominator closure	Family-specific closure for ‘Data Pruning: Redundant, Problematic, and Interdependent Samples’: exact abstract scope is ‘The performance of deep learning models is affected by not only data quantity but also data quality.’. The deliverable remains a domain/task/model method, survey, or generic non-AI system result; it does not change a durable AI-System state/data/control owner, evaluation-release contract, or Books proposition.
