source_family_id	primary_evidence_version	exact_v1_access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-21954	arXiv:2606.21954v1	accessible	https://arxiv.org/html/2606.21954v1 — §4 Proposed XLT Metric: HAT Score; §4.1 Transfer Profile and HAT Score	https://arxiv.org/html/2606.21954v1 — §5 Experimental Details; §6 Results	https://arxiv.org/html/2606.21954v1 — §8 Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21959	arXiv:2606.21959v1	accessible	https://arxiv.org/html/2606.21959v1 — §3 The OpenBioRQ Benchmark; §3.2 Construction Quality and Grounded Openness	https://arxiv.org/html/2606.21959v1 — §4 Evaluation Protocol; §5 Experiments and Analysis	https://arxiv.org/html/2606.21959v1 — §6 Discussion and Limitations	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21963	arXiv:2606.21963v1	accessible	https://arxiv.org/html/2606.21963v1 — §2 Methodology; §2.1 Parallel Context Retrieval; §2.2 Agentic Code Exploration; §2.3 Synthesis & Reasoning	https://arxiv.org/html/2606.21963v1 — §3 Experiment; §3.2 Accuracy Results; §3.3 Comparative Analysis & Ablation Study	https://arxiv.org/html/2606.21963v1 — §4.1 Limitations & Failure Analysis; §4.3 Threats to Validity	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21968	arXiv:2606.21968v1	accessible	https://arxiv.org/html/2606.21968v1 — §3 Motivations: Understanding the Resolution–Context Trade-off; §4 Proposed Method: ViRGo	https://arxiv.org/html/2606.21968v1 — §5 Experiments; §5.1 Experimental Setup	https://arxiv.org/html/2606.21968v1 — §7 Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21994	arXiv:2606.21994v1	accessible	https://arxiv.org/html/2606.21994v1 — §Method — Truncated On-Policy Distillation; Prefix-Based Trajectory Scoring; Prefix-Guided On-Policy Distillation	https://arxiv.org/html/2606.21994v1 — §Experiments — Setup; Compared Methods; §Results — Main Results and four ablations; Appendix B Training and Implementation Details	https://arxiv.org/html/2606.21994v1 — §Limitations	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22000	arXiv:2606.22000v1	accessible	https://arxiv.org/html/2606.22000v1 — §3 The CFAgentBench Environment; §4 Tasks	https://arxiv.org/html/2606.22000v1 — §5 Evaluation; §6 Experiments	https://arxiv.org/html/2606.22000v1 — §7 Limitations and Ethics	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22013	arXiv:2606.22013v1	accessible	https://arxiv.org/html/2606.22013v1 — §2 System Design and Methodology; §2.2 Load Testing Strategies; §2.3 Health Assessment Engine	https://arxiv.org/html/2606.22013v1 — §3 Experimental Methodology; §4 Results	https://arxiv.org/html/2606.22013v1 — §5 Discussion; Threats to Validity	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22019	arXiv:2606.22019v1	accessible	https://arxiv.org/html/2606.22019v1 — §2 Audit model: carriers, screens, and ablations; §6 The audit lifecycle: which handle is sound in which channel?	https://arxiv.org/html/2606.22019v1 — §3 A controlled body channel is screenable: coverage predicts transfer; §4 Vocabulary-carried token traits evade initialization-alignment screens; §5 The carrier is signal-dependent, and moving it moves auditability; §7 Mitigations by channel	https://arxiv.org/html/2606.22019v1 — §8 Discussion, limitations, and related work	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22030	arXiv:2606.22030v1	accessible	https://arxiv.org/html/2606.22030v1 — §3 The Nous Architecture; §3.3 Bayesian Update; §3.7 Pipelines	https://arxiv.org/html/2606.22030v1 — §4 Experimental Setup; §5 Results; §6 Analysis	https://arxiv.org/html/2606.22030v1 — §7 Limitations and Future Work; §5 A caveat on the A-MEM comparison	direct_Not_Disclosed_or_source_specific	selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22043	arXiv:2606.22043v1	accessible	https://arxiv.org/html/2606.22043v1 — §2 Setup — Task and model; Visual-hacking diagnostic (VHS); Held-out OOD evaluation; Trajectory fleet	https://arxiv.org/html/2606.22043v1 — §3 Onset is real and seed-robust; §4 Reward strength: a monotone dose–response with formation–reversal asymmetry; §5 A critical intervention window; §6 What changes inside: representation probe; Appendix A Reproducibility and diagnostic details	https://arxiv.org/html/2606.22043v1 — §8 Discussion and limitations — Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22082	arXiv:2606.22082v1	accessible	https://arxiv.org/html/2606.22082v1 — §3.2 Design and Implementation of CodeTeam	https://arxiv.org/html/2606.22082v1 — §3.3 Benchmark Experiment Design; §3.4 Execution-Based Evaluation; §4 Results	https://arxiv.org/html/2606.22082v1 — §6 Threats to Validity	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22085	arXiv:2606.22085v1	accessible	https://arxiv.org/html/2606.22085v1 — §3 Methodology — Experimental settings; Interventions; Data; Models	https://arxiv.org/html/2606.22085v1 — §4 Detecting Changes — Completed Condition; Partial Condition; Self-Awareness; §5 Localizing Changes; Appendix D Additional Results	https://arxiv.org/html/2606.22085v1 — Limitations; Appendix B Model Details	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22136	arXiv:2606.22136v1	accessible	https://arxiv.org/html/2606.22136v1 — §3 WM-H Dataset Construction via Controllable Video Synthesis; §4 Wh0: Policy Learning with Human-Robot Alignment	https://arxiv.org/html/2606.22136v1 — §5 Experiments; §5.1 Experimental Setup	https://arxiv.org/html/2606.22136v1 — §6 Conclusion and Limitations; Appendix A.6 Failure Cases	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22142	arXiv:2606.22142v1	accessible	https://arxiv.org/html/2606.22142v1 — §3 Method; §3.2 Agent-Native Governance Over Lifecycle Artifacts; §3.5 Data Health, Training Integration, and Version Governance	https://arxiv.org/html/2606.22142v1 — §4 Experiments; §4.1 Experimental Setup	https://arxiv.org/html/2606.22142v1 — §5 Limitations and Discussion	direct_Not_Disclosed_or_source_specific	selected	Integrate	passed
SF-2026-ARXIV-2606-22164	arXiv:2606.22164v1	accessible	https://arxiv.org/html/2606.22164v1 — §2 Preliminaries; §3 The Signal Dilution Problem	https://arxiv.org/html/2606.22164v1 — §4 Experimental Setup; §5 Results	https://arxiv.org/html/2606.22164v1 — §7 Discussion; Appendix A assumptions; Appendix B Diluted Doors	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22175	arXiv:2606.22175v1	accessible	https://arxiv.org/html/2606.22175v1 — §II Implementation of an LLM-integrated Claim Verification Workflow; §III Transforming the Workflow to Enable StickyInvoc	https://arxiv.org/html/2606.22175v1 — §IV Evaluation; §IV-A Experiment Settings	https://arxiv.org/html/2606.22175v1 — §I-E Limitation of the Proposed Approach	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22179	arXiv:2606.22179v1	accessible	https://arxiv.org/html/2606.22179v1 — §3 Problem Setup; §4 Confidence Constructions	https://arxiv.org/html/2606.22179v1 — §5 Experiments; §5.1 Setup	https://arxiv.org/html/2606.22179v1 — §7 Limitations; §6 Deployment Recommendations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22180	arXiv:2606.22180v1	accessible	https://arxiv.org/html/2606.22180v1 — §5 FeLoG; §5.1 Feedback-coupled Sampling-Training Model; §5.2 Activity-aware Communication	https://arxiv.org/html/2606.22180v1 — §6 Experimental Results; §6.1 Experimental Setup	https://arxiv.org/html/2606.22180v1 — §7 Conclusions and experimental generalizability boundary	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22189	arXiv:2606.22189v1	accessible	https://arxiv.org/html/2606.22189v1 — §3 System Overview; §4 Data Quality and Contamination Control; §5 Training Efficiency	https://arxiv.org/html/2606.22189v1 — §6 Evaluation Protocol; §7 Results	https://arxiv.org/html/2606.22189v1 — §9 Limitations; §10 Threats to Validity	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22203	arXiv:2606.22203v1	accessible	https://arxiv.org/html/2606.22203v1 — §3 The Coupling Gain; §4 Theory	https://arxiv.org/html/2606.22203v1 — §5 Experiments and Results	https://arxiv.org/html/2606.22203v1 — §6 Limitations; §5.4 context-dependent transfer boundary	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22248	arXiv:2606.22248v1	accessible	https://arxiv.org/html/2606.22248v1 — §3 SamatNext v0.2-B Architecture; §4 Curriculum and Evaluation Setup	https://arxiv.org/html/2606.22248v1 — §5 Empirical Results	https://arxiv.org/html/2606.22248v1 — §8 Limitations; §6.4 Threats to Validity	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-22263	arXiv:2606.22263v1	accessible	https://arxiv.org/html/2606.22263v1 — §III Design of Revelio; §III-C Hypothesis Confirmation by PoV Construction	https://arxiv.org/html/2606.22263v1 — §V Evaluation	https://arxiv.org/html/2606.22263v1 — §VI Discussion and Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-22283	arXiv:2606.22283v1	accessible	https://arxiv.org/html/2606.22283v1 — §Part II Reaching the ANE — Software stack; Dispatching without Core ML; §Part VI The Silicon — Datapath and MAC geometry; §Part VII The Toolchain and Encoding; §Part VIII System Internals	https://arxiv.org/html/2606.22283v1 — §Part III Performance and Fit — Roofline; Power and efficiency; Across the chip family; Appendix A Operation-by-device matrix; Appendix E Provenance	https://arxiv.org/html/2606.22283v1 — §Part V Practice — Pitfalls and limits; §Methodology; §Open questions; §Introduction — direct route is undocumented, unsupported and version-fragile	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
