arxiv_id	title	status	reason	owner	score	disposition
2606.02605	Cross-Modal Contrastive Learning of ECG and Angiography Representations for Severe Stenosis Classification	pre_denominator_closure	`Cross-Modal Contrastive Learning of ECG and Angiography Representations for Severe Stenosis Classification`（cs.AI, cs.LG, eess.IV）：Coronary artery stenosis is a common cardiovascular disease, with severe, untreated cases posing significant risks of heart attack. Although coronary (X-ray) angiograms remain the standard for stenosis diagnosis, they are invasive, time- and resource-intensive, and therefore only performed on patients with a high probability of disease based on symptoms and prior clinical tests. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02606	ReLoRA: Knowledge-Reusing Adaptation for Fast Rollout of Evolving LLM Services	retained	To address this problem, we propose ReLoRA, a knowledge-reusing re-adaptation framework that efficiently restores service-ready LoRA adapters for evolving LLM services while preserving or improving task performance.	PLATFORM-PRODUCTION	8	Integrate
2606.02607	Geometry-Aware Tabular Diffusion	pre_denominator_closure	`Geometry-Aware Tabular Diffusion`（cs.AI, cs.CR, cs.LG）：Tabular synthesis is critical for privacy-preserving sharing and augmentation, yet diffusion models rely on implicit mechanisms to capture inter-column relationships. We introduce Geometry-Aware Tabular Diffusion (GATD), which augments tabular diffusion denoisers with pairwise angles and lengths computed from column value differences and used as inputs and auxiliary targets. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02608	Pruning Deep Neural Networks via the Marchenko--Pastur Distribution	pre_denominator_closure	`Pruning Deep Neural Networks via the Marchenko--Pastur Distribution`（cs.LG）：We study a Marchenko--Pastur (MP) random-matrix approach to pruning deep neural networks with very small post-pruning fine-tuning budgets. The main practical contribution is accuracy retention under short calibration and fine-tuning schedules, rather than a long post-pruning reoptimization pipeline. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.02609	Building Better Activation Oracles	pre_denominator_closure	`Building Better Activation Oracles`（cs.AI, cs.LG）：Activation Oracles (AOs) are promising methods for interpreting residual stream activations. However, current AOs face important issues, such as hallucinations and vagueness. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.04000	SPLIT-PINN: Separable Probability Learning Technique via Physics-Informed Neural Networks for High-Dimensional Probabilistic Modeling	pre_denominator_closure	`SPLIT-PINN: Separable Probability Learning Technique via Physics-Informed Neural Networks for High-Dimensional Probabilistic Modeling`（cond-mat.mtrl-sci, cs.LG）：We present a probabilistic modeling framework for incorporating small-scale spatial heterogeneity into macroscopic descriptions of material behavior for polycrystalline metallic materials. Spatially heterogeneous material state fields are represented using probability density functions (PDFs), providing a principled statistical description of microstructural variability and state evolution across different computational polycrystalline realizations. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.05206	Ontology-constrained multi-LLM scoring of hypothesis support in the predictive processing literature	pre_denominator_closure	`Ontology-constrained multi-LLM scoring of hypothesis support in the predictive processing literature`（cs.AI, q-bio.NC, stat.AP）：Fragmentation is common in interdisciplinary fields with diverse methods and theoretical commitments. Predictive coding neuroscience is a clear example: its literature spans computational theory, electrophysiology, imaging, behavior, and modeling, creating a synthesis problem that conventional meta-analysis cannot easily resolve. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2606.07553	MedicalRec: Medical recommender system for image classification without retraining	pre_denominator_closure	`MedicalRec: Medical recommender system for image classification without retraining`（cs.AI, cs.LG）：The emergence of machine learning and deep learning has revolutionized the efficiency of diagnostic, therapeutic, and administrative systems in healthcare. However, this rapid adoption has come at the cost of requiring significant computing power and energy consumption, as well as e-waste disposal and carbon emissions. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24321	Unified 3D Scene Understanding Through Physical World Modeling	pre_denominator_closure	`Unified 3D Scene Understanding Through Physical World Modeling`（cs.CV）：Understanding 3D scenes requires flexible combinations of visual reasoning tasks, including depth estimation, novel view synthesis, and object manipulation, all of which are essential for perception and interaction. Existing approaches have typically addressed these tasks in isolation, preventing them from sharing a common representation or transferring knowledge across tasks. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24322	Causal Physics Steering in Video World Models via Concept Activation Vectors	pre_denominator_closure	`Causal Physics Steering in Video World Models via Concept Activation Vectors`（cs.CV）：Video world models learn representations of physical dynamics, but controlling their physical expectations at inference time remains an open problem. Recent interpretability work identified a Physics Emergence Zone (PEZ), a group of middle transformer layers in VideoMAE where physical plausibility is represented separately from other visual features. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24324	A Matched Spectral Benchmark of Quantum Inspired Feature Maps	pre_denominator_closure	`A Matched Spectral Benchmark of Quantum Inspired Feature Maps`（cs.LG, quant-ph）：Quantum machine learning is often motivated by the idea that quantum systems can expose useful high-dimensional structure that is difficult to access with classical models. We isolate one central component of this claim: the fixed data-encoding map. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24326	ScaleAcross Explorer: Exploring Communication Optimization for Scale-Across AI Model Training	retained	As infrastructure expands, the system design space becomes increasingly intricate, encompassing new model architectures, hardware heterogeneity, and evolving communication patterns.	TRAIN-DISTRIBUTED-TRAINING	8	No Change — Existing Coverage
2605.24330	Interdomain Attention: Beyond Token-Level Key-Value Memory	pre_denominator_closure	`Interdomain Attention: Beyond Token-Level Key-Value Memory`（cs.LG）：Transformers and deep state space models (SSMs) sit at opposite ends of a basic design choice: attention routes each query through a growing key-value (KV) cache by content-based matching at quadratic cost, while deep SSMs compress context into a fixed-size recurrent state that is not directly addressed by query-key matching. We propose Interdomain Attention, which integrates an SSM into an attention module through kernel methods: an attention kernel is approximated by a finite feature map, the resulting key features and values are projected onto a shared set of basis functions maintained by a single SSM recurrence, and each query attends to the compressed coefficients through its own feature map, recovering query-conditioned attention over a fixed-size state. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24331	CurveRL: Principled Distribution-Aware Context Reweighting for LLM Reasoning	pre_denominator_closure	`CurveRL: Principled Distribution-Aware Context Reweighting for LLM Reasoning`（cs.LG, stat.ML）：Context or prompt-level reweighting has emerged as a central algorithmic lever in Reinforcement Learning with Verified Rewards (RLVR) for improving the reasoning capability of large language models, yet the principle determining what constitutes an optimal weighting remains poorly understood. We address this gap by formulating prompt reweighting as a functional derivative of a utility functional defined in the pass-rate function space, yielding a unified optimality framework that accommodates existing schemes, including REINFORCE and GRPO. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24339	IsaacIPC: Coupling High-Fidelity Simulation and Realistic Rendering for Contact-Rich Robotic Systems	pre_denominator_closure	`IsaacIPC: Coupling High-Fidelity Simulation and Realistic Rendering for Contact-Rich Robotic Systems`（cs.RO）：We present IsaacIPC, a robotic simulation framework that couples GPU accelerated incremental potential contact (IPC) with IsaacSim/Lab. IsaacIPC maps simulated deformation between simulation and visual meshes, enabling real-time realistic rendering with applications to data collection and policy evaluation. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24340	ChainzRule: Sample-Efficient, Robust Deep Learning Across Tabular, NLP, and Vision Tasks	pre_denominator_closure	`ChainzRule: Sample-Efficient, Robust Deep Learning Across Tabular, NLP, and Vision Tasks`（cs.LG）：Production deep learning systems across enterprise domains operate under constraints that academic benchmarks routinely obscure: labeled data is expensive, inference budgets are tight, and models that cannot explain their behavior are difficult to trust and maintain. We present ChainzRule (CR), a neural architecture replacing typical activations with learnable polynomial layers governed by Differential Regularization (DREG), a layer-wise Jacobian penalty computed analytically during the forward pass at standard inference cost. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24343	Adaptive Human-AI Coordination via Hierarchical Action Disentanglement	pre_denominator_closure	`Adaptive Human-AI Coordination via Hierarchical Action Disentanglement`（cs.AI）：Human-AI collaboration requires agents that can adapt to diverse partner behaviors and skill levels while remaining robust to unseen partners. Existing methods often collapse to a single dominant behavior or learn poorly aligned skills, limiting effective coordination. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24344	Distinguishing Right from Wrong in Debates: Attribution Analysis of Chinese Harmful Memes	pre_denominator_closure	`Distinguishing Right from Wrong in Debates: Attribution Analysis of Chinese Harmful Memes`（cs.CL）：Research on harmful meme detection has garnered significant attention, resulting in the development of numerous datasets and methods. However, progress in detecting Chinese harmful memes lags considerably, primarily due to two challenges: first, accurately assessing a meme's harmfulness depends heavily on understanding deep cultural context; second, many memes are semantically ambiguous, making harmfulness highly subjective. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24345	Evolving Robustness--Exploration Trade-off in Online Reinforcement Learning via Quantile Bayesian Risk MDPs	pre_denominator_closure	`Evolving Robustness--Exploration Trade-off in Online Reinforcement Learning via Quantile Bayesian Risk MDPs`（cs.LG）：In online reinforcement learning, data scarcity creates epistemic uncertainty that makes robustness important early in learning, whereas sufficient exploration is needed to learn the true-environment optimal policy. We study this time-varying robustness--exploration trade-off through a quantile Bayesian risk-aware Markov decision process (BR-MDP), in which the quantile level controls how posterior uncertainty enters the Bellman backup. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24350	PACT: Proactive Asking for Continual Task Assistance in Human-Robot Collaboration	pre_denominator_closure	`PACT: Proactive Asking for Continual Task Assistance in Human-Robot Collaboration`（cs.HC, cs.RO）：Robotic assistants in long-term human-robot collaboration need to assist users under partial observations while leveraging cross-day interaction history. However, human traits and routines are often unknown at the beginning of collaboration, making passive infer-then-act assistance ineffective and inefficient. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24351	How Much Structure Do LLMs Need? Evaluating LLMs for Bibliometric Cluster Description	pre_denominator_closure	`How Much Structure Do LLMs Need? Evaluating LLMs for Bibliometric Cluster Description`（cs.CL）：Large language models (LLMs) can support scientific literature synthesis, but remain prone to hallucinated references, uneven coverage, and weakly grounded thematic organization. We evaluate whether bibliometric structure improves LLM-assisted synthesis by comparing six pipelines for generating cluster descriptions under different levels of evidence and structure. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24352	Partner-Aware Hierarchical Skill Discovery for Robust Human-AI Collaboration	pre_denominator_closure	`Partner-Aware Hierarchical Skill Discovery for Robust Human-AI Collaboration`（cs.AI）：Multi-agent collaboration, especially in human-AI teaming, requires agents that can adapt to novel partners with diverse and dynamic behaviors. Conventional Deep Hierarchical Reinforcement Learning (DHRL) methods focus on agent-centric rewards and overlook partner behavior, leading to shortcut learning, where skills exploit spurious information instead of adapting to partners' dynamic behaviors. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24353	ViViD-5K: Vineyard vision dataset for field-based berry detection and segmentation and grape cluster closure estimation	pre_denominator_closure	`ViViD-5K: Vineyard vision dataset for field-based berry detection and segmentation and grape cluster closure estimation`（cs.CV, q-bio.OT）：Cluster closure, defined as the progressive filling of gaps between the berries in a grape bunch, is a key trait in vineyard management, impacting disease risk. However, traditional visual scoring methods are labor-intensive, subjective, and lack temporal resolution. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24354	SparseWorld: Enhancing End-to-End Autonomous Driving via World Models with Sparse Scene Representation	pre_denominator_closure	`SparseWorld: Enhancing End-to-End Autonomous Driving via World Models with Sparse Scene Representation`（cs.CV）：Recently, world models have made significant progress in enhancing end-to-end driving systems through both future situation forecasting and improved scene understanding. However, existing driving world models are typically built upon dense scene representations, causing high computational costs and redundant information. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24357	Refined Analysis of Entropy-Regularized Actor-Critic	pre_denominator_closure	`Refined Analysis of Entropy-Regularized Actor-Critic`（cs.LG）：In this paper, we study the role of the critic in actor--critic for entropy-regularized, finite, discounted environments. We establish that, when the critic is exact, using the latter as a baseline is a variance-reduction method in a strong sense. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24358	Treatment Effect Estimation with Differentiated Networked Effect on Graph Data	pre_denominator_closure	`Treatment Effect Estimation with Differentiated Networked Effect on Graph Data`（cs.AI, cs.LG）：Estimating individual treatment effect (ITE) from observational graph data is crucial for decision-making in the fields such as commerce and medicine. This task is challenging due to interference, where individual outcomes can be influenced by the treatments and covariates of their neighbors. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24364	Multicalibration Boosting: Theory, Convergence, and Transferability	pre_denominator_closure	`Multicalibration Boosting: Theory, Convergence, and Transferability`（cs.LG, stat.ML）：Multicalibration extends classical calibration by requiring predictions to be unbiased over a rich collection of functions, encompassing both prediction slices and subpopulations. It has emerged as a powerful framework for fairness, robustness, and reliable prediction, yet the theoretical understanding of multicalibration boosting (MCBoost) remains fragmented and often relies on restrictive assumptions. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24366	Structure-Aware RAG: Structured Retrieval Augmented Generation from Noisy Data for Conversational Agents	pre_denominator_closure	`Structure-Aware RAG: Structured Retrieval Augmented Generation from Noisy Data for Conversational Agents`（cs.CL, cs.LG）：Large Language Models (LLMs) have been widely adopted in conversational applications. However, their reliance on parametric knowledge limits reliability in real-world scenarios that require dynamic or domain-specific information. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24367	Gaussian Rank-Based Neighborhood Degree for Graph Neural Networks in Image Classification	pre_denominator_closure	`Gaussian Rank-Based Neighborhood Degree for Graph Neural Networks in Image Classification`（cs.CV, cs.LG）：The exponential growth of data has intensified the gap between the availability of unlabeled data and the high cost of manual annotation. Graph Neural Networks (GNNs) have emerged as a promising solution, as they exploit relational structures and learn from both labeled and unlabeled data, performing semi-supervised learning. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24368	Low-Altitude Wireless Networks: The Next Horizon of Wireless Infrastructure	pre_denominator_closure	`Low-Altitude Wireless Networks: The Next Horizon of Wireless Infrastructure`（cs.NI）：Low-altitude airspace, roughly defined as the region up to 3000 meters above ground level, is envisioned as a new spatial domain for daily human and machine activities. This article introduces the concept of the Low-Altitude Wireless Network (LAWN), which represents a paradigm shift from the current ground-based communication-only network to a three-dimensional (3D) multifunctional network. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
2605.24370	GEESE: Genotype-aware End-to-End Spatio-temporal Embedding for Behavioral Phenotyping	pre_denominator_closure	`GEESE: Genotype-aware End-to-End Spatio-temporal Embedding for Behavioral Phenotyping`（cs.LG, q-bio.QM）：Behavioral phenotyping of genetic animal models currently requires labor-intensive manual feature engineering that limits reproducibility and scalability. We present GEESE, an end-to-end deep learning framework that learns behavioral representations directly from 3D pose dynamics without hand-crafted features. 独立重放后，该 family 仍只改变其领域任务、局部模型/表示、单一 benchmark 或产品封装，没有改变长期 AI-System 的 state/data/control owner、evaluation/release contract 或 fallback。若后续公开跨 workload 的系统接口、可复算 artifact 或与 Books 现有结论冲突的证据，重开该 family。			Rejected — Below Candidate Denominator
