source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	artifact_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-29193	arXiv:2606.29193v1	https://arxiv.org/html/2606.29193v1 — §3 Design Principles; microservice-agent evaluation harness	https://arxiv.org/html/2606.29193v1 — §4 Evaluation; 4.4 Evaluation Metric	https://arxiv.org/html/2606.29193v1 — §6 Discussion	https://www.aiops.cn/gitlab/aiops-live-benchmark/agenticopseval.	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29194	arXiv:2606.29194v1	https://arxiv.org/html/2606.29194v1 — §Sealed-joint multi-agent search protocol; merge and isolation mechanism	https://arxiv.org/html/2606.29194v1 — §Statistical inference and out-of-sample evaluation	https://arxiv.org/html/2606.29194v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	Weekly Only — Context	passed_prewrite
SF-2026-ARXIV-2606-29196	arXiv:2606.29196v1	https://arxiv.org/html/2606.29196v1 — §2 Evaluation-Awareness Representations; scale-dependent probe construction	https://arxiv.org/html/2606.29196v1 — §3 Experimental Setup; 4 Results	https://arxiv.org/html/2606.29196v1 — §5 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29207	arXiv:2606.29207v1	https://arxiv.org/html/2606.29207v1 — §3 System Overview; KernelFlume generation and verification pipeline	https://arxiv.org/html/2606.29207v1 — §6 Evaluation	https://arxiv.org/html/2606.29207v1 — §2.4 Limitations of Existing Elastic Scaling	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29215	arXiv:2606.29215v1	https://arxiv.org/html/2606.29215v1 — §3 Methodology; multi-block diffusion language-model decoding	https://arxiv.org/html/2606.29215v1 — §4 Experiments	https://arxiv.org/html/2606.29215v1 — §5 Conclusion and stated speed-quality scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29222	arXiv:2606.29222v1	https://arxiv.org/html/2606.29222v1 — §III Contextual-Memory Architecture; memory-conditioned robot control	https://arxiv.org/html/2606.29222v1 — §V Experiments	https://arxiv.org/html/2606.29222v1 — §VI Conclusion and deployment scope	https://github.com/BBD00/core_planner.	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29223	arXiv:2606.29223v1	https://arxiv.org/html/2606.29223v1 — §3 Method; depth-exploration controller	https://arxiv.org/html/2606.29223v1 — §4 Experiment	https://arxiv.org/html/2606.29223v1 — §E Limitations and discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29225	arXiv:2606.29225v1	https://arxiv.org/html/2606.29225v1 — §3 Method; PolicyGuard pre-commit policy gate	https://arxiv.org/html/2606.29225v1 — §4 Experiments	https://arxiv.org/html/2606.29225v1 — §Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29228	arXiv:2606.29228v1	https://arxiv.org/html/2606.29228v1 — §3 Evaluation Inconsistency in Diffusion Large Language Models	https://arxiv.org/html/2606.29228v1 — §3 Evaluation Inconsistency; 4 Experiments	https://arxiv.org/html/2606.29228v1 — §5 Discussion; speed-quality trade-off counterevidence	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29237	arXiv:2606.29237v1	https://arxiv.org/html/2606.29237v1 — §III Methodology; motion-permanence world state	https://arxiv.org/html/2606.29237v1 — §IV Experiments	https://arxiv.org/html/2606.29237v1 — §V Limitations and Future Work	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29238	arXiv:2606.29238v1	https://arxiv.org/html/2606.29238v1 — §2.1 MDP Formulation for Text Generation; GRPO analysis	https://arxiv.org/html/2606.29238v1 — §7 Experiments	https://arxiv.org/html/2606.29238v1 — §6 Multi-Turn Limitation	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29239	arXiv:2606.29239v1	https://arxiv.org/html/2606.29239v1 — §4.1 Differentiable Rounding Framework; QuantGuard calibration	https://arxiv.org/html/2606.29239v1 — §3.2 Empirical Motivation: The Role of Rounding Errors in LLM Quantization	https://arxiv.org/html/2606.29239v1 — §3.1 Threat Model	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29251	arXiv:2606.29251v1	https://arxiv.org/html/2606.29251v1 — §3.1 Problem Formulation; compression-fidelity decomposition	https://arxiv.org/html/2606.29251v1 — §4 Experiments	https://arxiv.org/html/2606.29251v1 — §7 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29270	arXiv:2606.29270v1	https://arxiv.org/html/2606.29270v1 — §3 Our Method; 3.3 The Debate Fingerprint; 3.4 Cure Phase: Meta-Classifier and Threshold Strategy	https://arxiv.org/html/2606.29270v1 — §4 Experiments and Results; 4.1 Datasets and Debate Configuration; 5.5 Multi-Seed Stability	https://arxiv.org/html/2606.29270v1 — §6.2 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29275	arXiv:2606.29275v1	https://arxiv.org/html/2606.29275v1 — §3 Methodology: Adaptive Block Diffusion	https://arxiv.org/html/2606.29275v1 — §5 Experiments	https://arxiv.org/html/2606.29275v1 — §4.4 Limitation of Block Diffusion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29278	arXiv:2606.29278v1	https://arxiv.org/html/2606.29278v1 — §3 Benchmark Design; complexity-ceiling protocol	https://arxiv.org/html/2606.29278v1 — §Trace-level evaluation and structural uncertainty	https://arxiv.org/html/2606.29278v1 — §5 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29279	arXiv:2606.29279v1	https://arxiv.org/html/2606.29279v1 — §Agent memory and compression; hearsay-provenance mechanism	https://arxiv.org/html/2606.29279v1 — §3 Results	https://arxiv.org/html/2606.29279v1 — §Conclusion and source-provenance scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29280	arXiv:2606.29280v1	https://arxiv.org/html/2606.29280v1 — §3 System Architecture; high-stakes escalation pipeline	https://arxiv.org/html/2606.29280v1 — §Evaluation methodology and outcome study	https://arxiv.org/html/2606.29280v1 — §2.4 Machine Learning for Student Outcome Prediction: Benchmarks and Limits	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29282	arXiv:2606.29282v1	https://arxiv.org/html/2606.29282v1 — §4 Methodology; concept-erasure and reactivation tests	https://arxiv.org/html/2606.29282v1 — §5 Experiments	https://arxiv.org/html/2606.29282v1 — §B Discussion on MACE Adaptation	https://github.com/coziiizz/ScaleErasure.	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29296	arXiv:2606.29296v1	https://arxiv.org/html/2606.29296v1 — §4 Method: The PASS Middleware	https://arxiv.org/html/2606.29296v1 — §Empirical scope; evaluation protocol	https://arxiv.org/html/2606.29296v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29315	arXiv:2606.29315v1	https://arxiv.org/pdf/2606.29315v1 — §3 Hierarchical Experimentalist Agents; actor, evolver, retriever and skill bank	https://arxiv.org/pdf/2606.29315v1 — §4 Experiments and Results on Interphyre	https://arxiv.org/pdf/2606.29315v1 — §A.5 Design Principles; domain-agnostic inputs and simulator-only evidence boundary	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29328	arXiv:2606.29328v1	https://arxiv.org/html/2606.29328v1 — §III Problem Formulation; III-B The Single-Point Coverage Barrier; IV Method	https://arxiv.org/html/2606.29328v1 — §V Experiments; V-A Experimental Settings; V-D Full-Wikipedia Test; V-J Context-Budget Robustness	https://arxiv.org/html/2606.29328v1 — §VI Conclusion; V-K Generalization Across Sub-query Generators	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29337	arXiv:2606.29337v1	https://arxiv.org/html/2606.29337v1 — §III Method; W4A4 quantization path	https://arxiv.org/html/2606.29337v1 — §IV Evaluation and Results	https://arxiv.org/html/2606.29337v1 — §IV-B Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29340	arXiv:2606.29340v1	https://arxiv.org/html/2606.29340v1 — §Method; off-policy sample-distribution controller	https://arxiv.org/html/2606.29340v1 — §Experiments	https://arxiv.org/html/2606.29340v1 — §Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29350	arXiv:2606.29350v1	https://arxiv.org/html/2606.29350v1 — §III Method; visual-token merging for VLA	https://arxiv.org/html/2606.29350v1 — §IV Experiments	https://arxiv.org/html/2606.29350v1 — §V Conclusion and Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29354	arXiv:2606.29354v1	https://arxiv.org/html/2606.29354v1 — §2 Methodology; symbolic communication protocol	https://arxiv.org/html/2606.29354v1 — §4 Experiments	https://arxiv.org/html/2606.29354v1 — §5 Conclusion and Limitations	https://github.com/pzqpzq/LSF_MDia	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29366	arXiv:2606.29366v1	https://arxiv.org/html/2606.29366v1 — §Solver-verified LLM workflow; formal verification path	https://arxiv.org/html/2606.29366v1 — §6 Computational Evaluation	https://arxiv.org/html/2606.29366v1 — §Conclusion and solver-coverage boundary	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29377	arXiv:2606.29377v1	https://arxiv.org/html/2606.29377v1 — §2 Methodology; retrieval-failure repair loop	https://arxiv.org/html/2606.29377v1 — §3 Experiments	https://arxiv.org/html/2606.29377v1 — §Conclusion and evaluated-query scope	https://github.com/CyberScienceLab/D2R-RAG/.	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29399	arXiv:2606.29399v1	https://arxiv.org/html/2606.29399v1 — §3 Method; multimodal document-RAG planning	https://arxiv.org/html/2606.29399v1 — §Experiments and multimodal document evaluation	https://arxiv.org/html/2606.29399v1 — §7 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Weekly Only — Context	passed_prewrite
SF-2026-ARXIV-2606-29403	arXiv:2606.29403v1	https://arxiv.org/html/2606.29403v1 — §Conformal failure mode and design knob; calibration method	https://arxiv.org/html/2606.29403v1 — §4 Experiments	https://arxiv.org/html/2606.29403v1 — §Conclusion and exchangeability boundary	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29424	arXiv:2606.29424v1	https://arxiv.org/html/2606.29424v1 — §2.1 Problem Formulation; EntroRouter	https://arxiv.org/html/2606.29424v1 — §4 Experiments	https://arxiv.org/html/2606.29424v1 — §5 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29425	arXiv:2606.29425v1	https://arxiv.org/html/2606.29425v1 — §3.1 Model Architecture; mixture-of-debaters routing	https://arxiv.org/html/2606.29425v1 — §4 Experiments	https://arxiv.org/html/2606.29425v1 — §Conclusion and tested-debater scope	https://github.com/YongLD/MoD.	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29441	arXiv:2606.29441v1	https://arxiv.org/html/2606.29441v1 — §Activation-defense mechanism and intervention pipeline	https://arxiv.org/html/2606.29441v1 — §4 Experimental Setup; 5.1 No Single-Mechanism Paradigm Dominates	https://arxiv.org/html/2606.29441v1 — §6 Discussion and Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29445	arXiv:2606.29445v1	https://arxiv.org/html/2606.29445v1 — §3 Method; long-video GUI-agent observation/evaluation	https://arxiv.org/html/2606.29445v1 — §4 Experiments	https://arxiv.org/html/2606.29445v1 — §Conclusion and benchmark-domain scope	https://github.com/VG-GUI-TASKER/VG-GUI-TASKER.	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29472	arXiv:2606.29472v1	https://arxiv.org/pdf/2606.29472v1 — §3 Agent-Computer Observation Interface: gated keyframes, audio transcription and persistent narration	https://arxiv.org/pdf/2606.29472v1 — §4 DynaCU-Bench design; 5 Main results and ablations	https://arxiv.org/pdf/2606.29472v1 — §5 per-model component ablation: keyframe regression through image-token dilution	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29476	arXiv:2606.29476v1	https://arxiv.org/html/2606.29476v1 — §3 The CRAFT Method	https://arxiv.org/html/2606.29476v1 — §5 Experiments	https://arxiv.org/html/2606.29476v1 — §7 Discussion and Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29481	arXiv:2606.29481v1	https://arxiv.org/html/2606.29481v1 — §2 Methodology; HIPPO update policy	https://arxiv.org/html/2606.29481v1 — §3 Experimental Setup	https://arxiv.org/html/2606.29481v1 — §2.2 Direct KL Optimization and Its Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29490	arXiv:2606.29490v1	https://arxiv.org/html/2606.29490v1 — §1.1 Supplemental Methods; confidence-commitment calibration	https://arxiv.org/html/2606.29490v1 — §1.2 Supplemental Results	https://arxiv.org/html/2606.29490v1 — §Conclusion and evaluated-distribution scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29493	arXiv:2606.29493v1	https://arxiv.org/html/2606.29493v1 — §Detection framework; formal benchmark audit protocol	https://arxiv.org/html/2606.29493v1 — §2 What Formal Benchmarking Certifies (and What It Does Not)	https://arxiv.org/html/2606.29493v1 — §7 Limitations	https://github.com/Shashi456/atp-checkers.	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29501	arXiv:2606.29501v1	https://arxiv.org/html/2606.29501v1 — §3 Methodology; action-conditioned world-model rollout	https://arxiv.org/html/2606.29501v1 — §4 Experiments	https://arxiv.org/html/2606.29501v1 — §4.5 Ablations and discussions	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29502	arXiv:2606.29502v1	https://arxiv.org/html/2606.29502v1 — §4 Method: UCOB; skill discovery and composition	https://arxiv.org/html/2606.29502v1 — §6 Experiments	https://arxiv.org/html/2606.29502v1 — §Conclusion and evaluated-environment boundary	https://github.com/TU2021/UCOB.	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29506	arXiv:2606.29506v1	https://arxiv.org/html/2606.29506v1 — §Cross-dataset audit design and grouped-split protocol	https://arxiv.org/html/2606.29506v1 — §IV Results	https://arxiv.org/html/2606.29506v1 — §VII Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29520	arXiv:2606.29520v1	https://arxiv.org/html/2606.29520v1 — §SAKE evaluation decomposition and safety-knowledge tests	https://arxiv.org/html/2606.29520v1 — §Benchmark construction and evaluation	https://arxiv.org/html/2606.29520v1 — §7 Threats to Validity	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29522	arXiv:2606.29522v1	https://arxiv.org/html/2606.29522v1 — §6 Mechanism and alignment interpretation; scratchpad intervention	https://arxiv.org/html/2606.29522v1 — §5 Results	https://arxiv.org/html/2606.29522v1 — §Conclusion and intervention-identifiability scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29526	arXiv:2606.29526v1	https://arxiv.org/html/2606.29526v1 — §Monotonic Inference Policy objective and training-policy analysis	https://arxiv.org/html/2606.29526v1 — §5 Experiments	https://arxiv.org/html/2606.29526v1 — §Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29532	arXiv:2606.29532v1	https://arxiv.org/html/2606.29532v1 — §Semantic-join planning and verification method	https://arxiv.org/html/2606.29532v1 — §4 Evaluation	https://arxiv.org/html/2606.29532v1 — §Conclusion and evaluated-database scope	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29537	arXiv:2606.29537v1	https://arxiv.org/html/2606.29537v1 — §2.1 Task Design and Construction; OSWorld 2.0 environment	https://arxiv.org/html/2606.29537v1 — §2 OSWorld 2.0 Benchmark; evaluation protocol	https://arxiv.org/html/2606.29537v1 — §6 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29538	arXiv:2606.29538v1	https://arxiv.org/html/2606.29538v1 — §3 Method; Resource2Skill discovery and compilation	https://arxiv.org/html/2606.29538v1 — §4 Experiments	https://arxiv.org/html/2606.29538v1 — §M Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29541	arXiv:2606.29541v1	https://arxiv.org/html/2606.29541v1 — §3 Mechanism: Role-Label-Conditioned Routing	https://arxiv.org/html/2606.29541v1 — §5 Experiments	https://arxiv.org/html/2606.29541v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29544	arXiv:2606.29544v1	https://arxiv.org/html/2606.29544v1 — §2 Method; production robustness protocol	https://arxiv.org/html/2606.29544v1 — §3 Results	https://arxiv.org/html/2606.29544v1 — §Conclusion and tested-shift boundary	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29554	arXiv:2606.29554v1	https://arxiv.org/html/2606.29554v1 — §Optimizer-shuffle exponent and mechanism	https://arxiv.org/html/2606.29554v1 — §5 Empirical evidence	https://arxiv.org/html/2606.29554v1 — §7 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29563	arXiv:2606.29563v1	https://arxiv.org/html/2606.29563v1 — §3 Coverage Hypothesis for KV-Cache Eviction; 4 KV Cache Eviction with Coverage	https://arxiv.org/html/2606.29563v1 — §5 Experiments; 5.1 Experimental setup	https://arxiv.org/html/2606.29563v1 — §5.3 Discussion; 5.3.5 Computational Complexity	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29565	arXiv:2606.29565v1	https://arxiv.org/html/2606.29565v1 — §2 Problem Formulation; speculative pre-positioning state machine	https://arxiv.org/html/2606.29565v1 — §4 Experimental Setup; 5 Evaluation	https://arxiv.org/html/2606.29565v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29567	arXiv:2606.29567v1	https://arxiv.org/html/2606.29567v1 — §3 System Design; SurrogateShield and ShadowMap	https://arxiv.org/html/2606.29567v1 — §4 Evaluation Methodology	https://arxiv.org/html/2606.29567v1 — §6 Discussion	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29571	arXiv:2606.29571v1	https://arxiv.org/html/2606.29571v1 — §3.4 Geometry measures; 4.3 The cause: a few crowded directions; 4.4 Mechanism and consequences	https://arxiv.org/html/2606.29571v1 — §3.1 Encoders; 3.3 Datasets; 3.5 Scoring	https://arxiv.org/html/2606.29571v1 — §6 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29573	arXiv:2606.29573v1	https://arxiv.org/html/2606.29573v1 — §GranFact hierarchy-aware evaluation and reliability-prioritized preference optimization	https://arxiv.org/html/2606.29573v1 — §2.1 MLLM Benchmarks; experiments	https://arxiv.org/html/2606.29573v1 — §Conclusion and expert-verified benchmark scope	https://github.com/WeiWu2025/GranFact	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29580	arXiv:2606.29580v1	https://arxiv.org/pdf/2606.29580v1 — §2 On-device RAG system; 3 corpus and deployed configuration	https://arxiv.org/pdf/2606.29580v1 — §4 Evaluation Methodology; Sections 5-8 component results	https://arxiv.org/pdf/2606.29580v1 — §9 Discussion; 10 Limitations and Future Work	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Weekly Only — Context	passed_prewrite
