source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-24311	arXiv:2606.24311v1	https://arxiv.org/html/2606.24311v1 — §3 Method; 3.2 Integrated Execution Framework; 3.5 Structured Tool Boundary	https://arxiv.org/html/2606.24311v1 — §4 Experiments; Terminal-Bench 2.0/2.1	https://arxiv.org/html/2606.24311v1 — §5 Limitations and Future Work	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24322	arXiv:2606.24322v1	https://arxiv.org/html/2606.24322v1 — §II Threat Model; III TMA-NM; IV Formal Model	https://arxiv.org/html/2606.24322v1 — §V MEM-INV-Bench; VI Evaluation	https://arxiv.org/html/2606.24322v1 — §IX Limitations	complete	9	selected	Integrate	passed
SF-2026-ARXIV-2606-24402	arXiv:2606.24402v1	https://arxiv.org/html/2606.24402v1 — §3 Problem Setting and Study Design; 5 Verification Boundary	https://arxiv.org/html/2606.24402v1 — §4 Poisoning Outcomes; 6 Generalization; 7 Mitigations	https://arxiv.org/html/2606.24402v1 — §8 Discussions and Limitations	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24408	arXiv:2606.24408v1	https://arxiv.org/html/2606.24408v1 — §3 Natural Identifiers; 4 DP Auditing; 5 Dataset Inference	https://arxiv.org/html/2606.24408v1 — §H DP-SGD Auditing; I/J/K Additional Evaluation	https://arxiv.org/html/2606.24408v1 — §M Limitations	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24428	arXiv:2606.24428v1	https://arxiv.org/html/2606.24428v1 — §3 Self-Confirmation Trap; 4 Execute-Distill-Verify	https://arxiv.org/html/2606.24428v1 — §5 Experiments; Memory Quality and Contamination	https://arxiv.org/html/2606.24428v1 — §G Limitations	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24437	arXiv:2606.24437v1	https://arxiv.org/html/2606.24437v1 — §4 ReM-MoA; Ranked Reasoning Memory; Diversified Routing	https://arxiv.org/html/2606.24437v1 — §5 Experiments; Scaling and Ablations	https://arxiv.org/html/2606.24437v1 — §Bounded width; Single-scale proposer pool; Reviewer overhead	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24467	arXiv:2606.24467v1	https://arxiv.org/html/2606.24467v1 — §3 CompressKV; Retrieval Head Identification; Layer-Adaptive Allocation	https://arxiv.org/html/2606.24467v1 — §4 Experiments; LongBench/NIAH; Memory and Latency	https://arxiv.org/html/2606.24467v1 — §4.5 Ablations; 4.6 Orthogonality tests	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24506	arXiv:2606.24506v1	https://arxiv.org/html/2606.24506v1 — §3 CrossPool Design; KV Planner; Layer-wise Scheduler; Control Lowering	https://arxiv.org/html/2606.24506v1 — §5 Experiments; Context Scalability; Overall Performance	https://arxiv.org/html/2606.24506v1 — §6 Discussion	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24535	arXiv:2606.24535v1	https://arxiv.org/html/2606.24535v1 — §3 Fleet-Memory Problem; 5 Governed Shared Memory Architecture	https://arxiv.org/html/2606.24535v1 — §7 Evaluation Methodology; 8 Results	https://arxiv.org/html/2606.24535v1 — §10 Limitations	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24626	arXiv:2606.24626v1	https://arxiv.org/html/2606.24626v1 — §2 Methodology: SAFARI	https://arxiv.org/html/2606.24626v1 — §3 Experimental Setup; 4 Results; A/B/C appendices	https://arxiv.org/html/2606.24626v1 — §D Future Work	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24722	arXiv:2606.24722v1	https://arxiv.org/html/2606.24722v1 — §2 Protocol; Block-Local Diffusion Objective; Decentralized Execution	https://arxiv.org/html/2606.24722v1 — §3 Real-Text Experiments; 4 Decentralization and Asynchrony	https://arxiv.org/html/2606.24722v1 — §4.4 HTTP/TCP Transport Proof; 6 Conclusion	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24774	arXiv:2606.24774v1	https://arxiv.org/html/2606.24774v1 — §GradAudit gradient-slice and noise-masking methodology	https://arxiv.org/html/2606.24774v1 — §Seven pretraining/fine-tuning configurations; medical and general datasets	https://arxiv.org/html/2606.24774v1 — §White-box parameter-access scope and reference-data dependence	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24775	arXiv:2606.24775v1	https://arxiv.org/html/2606.24775v1 — §3 Method Overview; Representation, Extraction, Retrieval, Maintenance	https://arxiv.org/html/2606.24775v1 — §4 End-to-End Assessment; 5 Component Comparison	https://arxiv.org/html/2606.24775v1 — §4.3 Evolution Robustness; 4.4 Long-Horizon Stability; 4.5 Cost	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24957	arXiv:2606.24957v1	https://arxiv.org/html/2606.24957v1 — §3 Observation; 4 Dustin Sparse Verification	https://arxiv.org/html/2606.24957v1 — §5 Experiment; Accuracy and End-to-End Decode Throughput	https://arxiv.org/html/2606.24957v1 — §L Limitations; I Porting Overhead	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24996	arXiv:2606.24996v1	https://arxiv.org/html/2606.24996v1 — §2 Results: Two Roles for the Certification Protocol	https://arxiv.org/html/2606.24996v1 — §A Report-Card and Gate Procedure; C/D Robustness Controls	https://arxiv.org/html/2606.24996v1 — §3 Discussion: Limitations and scope; first-failing-gate audit	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-24998	arXiv:2606.24998v1	https://arxiv.org/html/2606.24998v1 — §3 Methods; Repeated-pool construction	https://arxiv.org/html/2606.24998v1 — §4 Results; F Training and Evaluation Details	https://arxiv.org/html/2606.24998v1 — §H Limitations	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25040	arXiv:2606.25040v1	https://arxiv.org/html/2606.25040v1 — §3 Methodology; Sparsity Reuse; Latent Feature Reuse	https://arxiv.org/html/2606.25040v1 — §4 Experiments; Mask Quality and Routing Overhead	https://arxiv.org/html/2606.25040v1 — §5 Conclusion and Limitations	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25082	arXiv:2606.25082v1	https://arxiv.org/html/2606.25082v1 — §IV Proposed Solution; Scheduling Within Configuration; Dynamic Re-Partitioning	https://arxiv.org/html/2606.25082v1 — §V Experiments and Results	https://arxiv.org/html/2606.25082v1 — §VI Conclusion and Future Work	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25091	arXiv:2606.25091v1	https://arxiv.org/html/2606.25091v1 — §II Background and Setting; III Gain Window	https://arxiv.org/html/2606.25091v1 — §III-A/B/C comparisons; IV Pipelining	https://arxiv.org/html/2606.25091v1 — §V Conclusion and explicit verifier-interface/RTT boundary	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25097	arXiv:2606.25097v1	https://arxiv.org/html/2606.25097v1 — §3 Methods; Serving-stack Configuration; TAIS Screen	https://arxiv.org/html/2606.25097v1 — §4 Results; E0/E1/E2/E5; B Reproducibility	https://arxiv.org/html/2606.25097v1 — §5.3 Limitations and Threats to Validity	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25098	arXiv:2606.25098v1	https://arxiv.org/html/2606.25098v1 — §3 Architecture for Power-Flexible AI Infrastructure	https://arxiv.org/html/2606.25098v1 — §4 Experimental Demonstration; 5 Grid Services; 6 Geo-Load Shifting	https://arxiv.org/html/2606.25098v1 — §7 Discussion and service-level preservation scope	complete	8	selected	Integrate	passed
SF-2026-ARXIV-2606-25115	arXiv:2606.25115v1	https://arxiv.org/html/2606.25115v1 — §III System Design; Net-Value-Density; Three Decisions	https://arxiv.org/html/2606.25115v1 — §V Evaluation; Trust Under Poisoning; Real Hardware	https://arxiv.org/html/2606.25115v1 — §VI Related Work and deployment-specific score calibration	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25156	arXiv:2606.25156v1	https://arxiv.org/html/2606.25156v1 — §3 Methodology; Polar Attention; Gated-Delta Memory	https://arxiv.org/html/2606.25156v1 — §4 Experimental Setup; 5 Results; C Complete Sweep	https://arxiv.org/html/2606.25156v1 — §5.1/5.4 trade-offs and reported 256K FinePDFs failure	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25161	arXiv:2606.25161v1	https://arxiv.org/html/2606.25161v1 — §3 Method; Memory Transition Verifier; Transition-Ranked GRPO	https://arxiv.org/html/2606.25161v1 — §4 Experiment; HaluMem; Reliability of Consolidation	https://arxiv.org/html/2606.25161v1 — §D Memory Transition Error Judge Prompt and evaluated datasets	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25178	arXiv:2606.25178v1	https://arxiv.org/html/2606.25178v1 — §3 Method; Gradient-Based Transferability; Curriculum Algorithm	https://arxiv.org/html/2606.25178v1 — §4 Experiments; B Implementation/Evaluation Details	https://arxiv.org/html/2606.25178v1 — §6 Conclusion: Limitations; C Scaling	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25189	arXiv:2606.25189v1	https://arxiv.org/html/2606.25189v1 — §3 Design; Policy DSL; Information-Flow Control	https://arxiv.org/html/2606.25189v1 — §5 Evaluation; Compliance; Macro/Micro Overhead	https://arxiv.org/html/2606.25189v1 — §2.3 Existing Approaches; evaluated policy/harness scope	complete	9	selected	Integrate	passed
SF-2026-ARXIV-2606-25191	arXiv:2606.25191v1	https://arxiv.org/html/2606.25191v1 — §3 Reasoning-Score Coupling; 4 Candidate Treatments; MADARA	https://arxiv.org/html/2606.25191v1 — §5 Experimental Setup; 6 Results; K Cost-Accuracy	https://arxiv.org/html/2606.25191v1 — §7 Discussion boundaries; D/F calibration sensitivity	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25198	arXiv:2606.25198v1	https://arxiv.org/html/2606.25198v1 — §3 Heuresis Framework; search strategies and async parallelism	https://arxiv.org/html/2606.25198v1 — §4 Experiments; 5 Analysis; B Reward Hacking	https://arxiv.org/html/2606.25198v1 — §6.2 Limitations; B.3 Limits of Agentic Verification	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25207	arXiv:2606.25207v1	https://arxiv.org/html/2606.25207v1 — §3 Agent-Integrated Tools; 4 Agent-System Co-Design	https://arxiv.org/html/2606.25207v1 — §5 Experiments; Wall-Clock Decomposition	https://arxiv.org/html/2606.25207v1 — §7 Limitations	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25215	arXiv:2606.25215v1	https://arxiv.org/html/2606.25215v1 — §3 Method; Observation-Action-Consequence Context; Block-Causal Training	https://arxiv.org/html/2606.25215v1 — §4 Experiments; C/D Evaluation Protocols	https://arxiv.org/html/2606.25215v1 — §E Reproducibility, Assets, and Limitations	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26156	arXiv:2606.26156v1	https://arxiv.org/html/2606.26156v1 — §2 Information Protocols; 3 Kiko Programming Model	https://arxiv.org/html/2606.26156v1 — §4 Operational Semantics; protocol-compliance proof	https://arxiv.org/html/2606.26156v1 — §5 Discussion and conference-era implementation scope	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28387	arXiv:2606.28387v1	https://arxiv.org/html/2606.28387v1 — §3 Schema-First Retrieval; Catalog Objects; Retrieval and Access Control	https://arxiv.org/html/2606.28387v1 — §4 Experimental Setup; 5 Results; D Analyses	https://arxiv.org/html/2606.28387v1 — §5.3 Complexity and Failure Modes; 5.4 Error Analysis	complete	7	not_selected	Integrate	passed
