arxiv_id	title	categories	screening_status	screening_reason	owner_node
2605.25332	TIP: A Decentralized Intent-Based Protocol for Declarative IoT Interoperability and Sandboxed Schema Adaptation	cs.CR,cs.DC,cs.NI,eess.SY	pre_denominator_closure	`TIP: A Decentralized Intent-Based Protocol for Declarative IoT Interoperability and Sandboxed Schema Adaptation` (cs.CR,cs.DC,cs.NI,eess.SY) reports: Heterogeneous Internet of Things (IoT) systems suffer from fragmentation across hardware architectures, networking stacks, and data serialization formats.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25333	Teaching Video Generators to Remember: Eliciting Dynamic Memory for Out-of-Sight State Evolution	cs.CV	pre_denominator_closure	`Teaching Video Generators to Remember: Eliciting Dynamic Memory for Out-of-Sight State Evolution` (cs.CV) reports: We introduce ReMind, a framework eliciting dynamic memory behavior via memory-oriented data, event-aware training, and cache adaptation.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25334	Dual-Pathway Geometry-Aware MLLM for Spatial Intelligence	cs.CV	pre_denominator_closure	`Dual-Pathway Geometry-Aware MLLM for Spatial Intelligence` (cs.CV) reports: We propose GAMSI, a dual-pathway Geometry-Aware MLLM for Spatial Intelligence that takes only RGB images as input while internalizing both forms of geometric prior within a unified autoregressive backbone.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25338	CausalFlow: Causal Attribution and Counterfactual Repair for LLM Agent Failures	cs.AI,cs.LG	retained_pending_exact_v1_review	`CausalFlow: Causal Attribution and Counterfactual Repair for LLM Agent Failures`: We introduce CausalFlow, an interventional framework that converts failed agent traces into minimal counterfactual repairs and reusable supervision. This changes or tests a durable AI-System mechanism or system/evidence ownership boundary; retain for exact-v1 review.	AGENT-PLATFORM
2605.25340	Multithreaded Fine-Grained Asynchronous BSP for Integer Sorting with LCI and OpenMP	cs.DC	pre_denominator_closure	`Multithreaded Fine-Grained Asynchronous BSP for Integer Sorting with LCI and OpenMP` (cs.DC) reports: We evaluate this design using the NAS Parallel Benchmark Integer Sort (IS), retaining the original irregular Gaussian distribution to rigorously test load balancing.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25342	MATO: Multi-objective Personalized Alignment with Test-time Optimization for Large Language Models	cs.CL	pre_denominator_closure	`MATO: Multi-objective Personalized Alignment with Test-time Optimization for Large Language Models` (cs.CL) reports: In this paper, we introduce MATO, a training-free framework for Multi-objective personalized Alignment with Test-time Optimization.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25343	Toward Native Multimodal Modeling: A Roadmap	cs.CV	pre_denominator_closure	`Toward Native Multimodal Modeling: A Roadmap` (cs.CV) reports: Despite its potential, the design space of native architectures remains insufficiently defined.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25344	A Hamiltonian-Inspired Local-Operator Ansatz for Slimming Large Language Models	cs.AI,cs.CL,cs.LG,quant-ph	pre_denominator_closure	`A Hamiltonian-Inspired Local-Operator Ansatz for Slimming Large Language Models` (cs.AI,cs.CL,cs.LG,quant-ph) reports: We introduce Tensor Mixture (MixT), which represents a dense map as a natively executable sum of overlapping local tensor operators without imposing an explicit matrix-rank constraint.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2605.25345	Depth Peeling for High-Fidelity Gaussian-Enhanced Surfel Rendering	cs.CV,cs.GR	pre_denominator_closure	`Depth Peeling for High-Fidelity Gaussian-Enhanced Surfel Rendering` (cs.CV,cs.GR) reports: To address these limitations, we propose DP-GES, a novel representation that augments opaque surfels with semi-transparent boundaries and leverages Depth Peeling to establish accurate per-pixel ordering.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2605.25346	Parallel Differentiable Reachability for Learning and Planning with Certified Neural Dynamics and Controllers	cs.AI,cs.LG,cs.RO,eess.SY,math.OC	pre_denominator_closure	`Parallel Differentiable Reachability for Learning and Planning with Certified Neural Dynamics and Controllers` (cs.AI,cs.LG,cs.RO,eess.SY,math.OC) reports: To address this, we present a parallelizable, differentiable reachability framework in JAX for continuous- and discrete-time systems with analytical and NN-based dynamics and controllers.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25347	ERNIE-Image Technical Report	cs.CV,cs.LG	pre_denominator_closure	`ERNIE-Image Technical Report` (cs.CV,cs.LG) reports: We introduce ERNIE-Image, an open-source text-to-image generation model built upon an 8B single-stream DiT architecture.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25348	Parameter-Efficient CT Reconstruction via Deep Graph Laplacian Regularization	cs.AI,cs.CV,cs.LG,cs.SC,eess.IV	pre_denominator_closure	`Parameter-Efficient CT Reconstruction via Deep Graph Laplacian Regularization` (cs.AI,cs.CV,cs.LG,cs.SC,eess.IV) reports: We propose Deep Graph Laplacian Regularization (Deep GLR), integrating quadratic graph regularization into a Proximal Forward-Backward Splitting optimization framework with three lightweight CNN modules.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2605.25350	An Empirical Evaluation of Quantum-Inspired QUBO Methods for Heterogeneous HPC Workflow Mapping and Scheduling	cs.DC	pre_denominator_closure	`An Empirical Evaluation of Quantum-Inspired QUBO Methods for Heterogeneous HPC Workflow Mapping and Scheduling` (cs.DC) reports: We evaluate three QUBO variants, single-run simulated annealing, multi-attempt annealing, and a layered QAOA-inspired schedule, with hybrid enhancement strategies on validation workflows (3-4 tasks) and synthetic scaling instances (5-20 tasks).; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25352	Certified Robustness from Approximate Gaussian Mixture Structures in Pretrained Latent Spaces	cs.AI,cs.LG	pre_denominator_closure	`Certified Robustness from Approximate Gaussian Mixture Structures in Pretrained Latent Spaces` (cs.AI,cs.LG) reports: In this work, we propose a framework for designing certifiably robust classifiers that leverages latent structure in data representations.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2605.25353	PDEInvBench: A Comprehensive Dataset and Design Space Exploration of Neural Networks for PDE Inverse Problems	cs.CV,cs.LG,physics.comp-ph	pre_denominator_closure	`PDEInvBench: A Comprehensive Dataset and Design Space Exploration of Neural Networks for PDE Inverse Problems` (cs.CV,cs.LG,physics.comp-ph) reports: Using our benchmark dataset, we comprehensively explore the design space of neural networks for PDE inverse problems along three key dimensions: (1) optimization procedures, analyzing the role of supervised, self-supervised, and test-time training objectives on performance, (2) problem representations, where we study the value of architectural choices with different inductive biases and various conditioning strategies,…; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25354	Context-CoT: Enhancing Context Learning via High-Quality Reasoning Synthesis	cs.AI	pre_denominator_closure	`Context-CoT: Enhancing Context Learning via High-Quality Reasoning Synthesis` (cs.AI) reports: While LLMs excel at reasoning over prompts using static pretrained knowledge, they struggle significantly with context learning-the ability to dynamically extract, internalize, and apply new knowledge from complex, task-specific contexts.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25356	Names Are All You Need: Effective and Safe Regression Test Selection for Python	cs.SE	pre_denominator_closure	`Names Are All You Need: Effective and Safe Regression Test Selection for Python` (cs.SE) reports: Despite extensive study of RTS in statically typed languages, achieving effective and safe RTS in Python is challenging.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25357	Towards Reliable Fetal Ultrasound Interpretation with Multi-Agent Collaboration	cs.CV,cs.MA	pre_denominator_closure	`Towards Reliable Fetal Ultrasound Interpretation with Multi-Agent Collaboration` (cs.CV,cs.MA) reports: Although multimodal large language models (MLLMs) show promising visual understanding, their limited domain-specific grounding and hallucination risks restrict reliability in fetal ultrasound analysis.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2605.25358	AI-Associated Lexical Shifts Across 34 Languages: Cross-Lingual Convergence and Diachronic Uptake in News Writing	cs.AI,cs.CL,cs.CY	pre_denominator_closure	`AI-Associated Lexical Shifts Across 34 Languages: Cross-Lingual Convergence and Diachronic Uptake in News Writing` (cs.AI,cs.CL,cs.CY) reports: Tracking each language's top 20 AI-overused items, we find prevalence increases in 26 of 34 languages from 2020-2021 to 2023-2024, with a mean change of +15.1%, whilst matched baseline words show no comparable increase (-4.5%).; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2605.25360	Learning to Route Languages for Multilingual Policy Optimization	cs.CL	pre_denominator_closure	`Learning to Route Languages for Multilingual Policy Optimization` (cs.CL) reports: We propose language-routed policy optimization (LRPO), an online policy optimization framework that treats language as a selectable variable.; however, the model-local quality or representation gain does not change the long-term multimodal state identity, generation factorization, serving, or physical-control boundary.	
2605.25362	Prior Policy Guided Dual-Agent Coordinated Manipulation Planning of Spacecraft-Manipulator System	cs.RO	pre_denominator_closure	`Prior Policy Guided Dual-Agent Coordinated Manipulation Planning of Spacecraft-Manipulator System` (cs.RO) reports: In this paper, we propose a Dual-Agent Coordinated Manipulation Planning (DACMP) framework that simultaneously achieves high-precision end-effector pose reaching for a 6-DoF space manipulator and attitude stabilization of the base spacecraft.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2605.25363	MARVEL: Universal Murray's Law-informed Vessel Tree Segmentation and Topology Estimation	cs.CV	pre_denominator_closure	`MARVEL: Universal Murray's Law-informed Vessel Tree Segmentation and Topology Estimation` (cs.CV) reports: In this paper, we introduce MARVEL (Universal MurrAy's law-infoRmed Vessel sEgmentation and topoLogy estimation), a backbone-agnostic framework that integrates biophysical priors into vascular tree extraction.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
2605.25364	Can MLLMs Reason Beyond Language? VisReason: A Comprehensive Benchmark for Vision-Centric Reasoning	cs.CV	pre_denominator_closure	`Can MLLMs Reason Beyond Language? VisReason: A Comprehensive Benchmark for Vision-Centric Reasoning` (cs.CV) reports: We introduce VisReason, a benchmark for vision-centric reasoning in everyday scenarios where perception and inference are tightly coupled.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25367	Architectural Limits of Cloud TPUs in Finite-Field Cryptography	cs.AR	pre_denominator_closure	`Architectural Limits of Cloud TPUs in Finite-Field Cryptography` (cs.AR) reports: We empirically characterise the cost-efficiency deficit between cloud Tensor Processing Units and GPUs for finite-field cryptography.; however, the result is domain- or model-local and does not change a durable AI-System mechanism, state/data/control owner, evaluation contract, or design boundary.	
2605.25371	FOUND-IT: Foundation-model-first Task-driven 3D Scene Graphs with Granularity on Demand	cs.RO	pre_denominator_closure	`FOUND-IT: Foundation-model-first Task-driven 3D Scene Graphs with Granularity on Demand` (cs.RO) reports: We present the first approach to build hierarchical task-driven 3D scene graphs of arbitrary indoor or outdoor environments using an uncalibrated monocular camera in real-time.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25373	Physics-Aware 3D Gaussian Editing for Driving Scene Generation	cs.CV	pre_denominator_closure	`Physics-Aware 3D Gaussian Editing for Driving Scene Generation` (cs.CV) reports: To address these limitations, we propose RoVES, a Road-and-Vehicle Editing System for physics-aware 3D Gaussian editing in driving scenes.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25374	Leveraging Language Models for Log Statement Generation in Multilingual Scenarios: How Far Are We?	cs.SE	pre_denominator_closure	`Leveraging Language Models for Log Statement Generation in Multilingual Scenarios: How Far Are We?` (cs.SE) reports: Because of this importance, developers must carefully design log statements, which requires significant effort.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25375	Bandwidth-Aware and Cost-Efficient Pipeline Parallel Scheduling in Geo-Distributed LLM Training	cs.DC	retained_pending_exact_v1_review	`Bandwidth-Aware and Cost-Efficient Pipeline Parallel Scheduling in Geo-Distributed LLM Training`: To this end, we propose BACE-Pipe, a bandwidth-aware and cost-efficient pipeline scheduling framework for LLM training across geo-distributed clusters. This changes or tests a durable AI-System mechanism or system/evidence ownership boundary; retain for exact-v1 review.	TRAIN-PIPELINE-PARALLEL
2605.25376	KYA: A Framework-Agnostic Trust Layer for Autonomous Systems with Verifiable Provenance and Hierarchical Policy Composition	cs.AI,cs.CR,cs.CY,cs.MA,cs.SE	retained_pending_exact_v1_review	`KYA: A Framework-Agnostic Trust Layer for Autonomous Systems with Verifiable Provenance and Hierarchical Policy Composition`: KYA (Know Your Agents) is an open-source, framework-agnostic trust and governance layer for autonomous systems, composed of five primitives: (1) a four-gate inbound apply pipeline; (2) an only-tighten composition algebra over a three-channel multi-tenant hierarchy; (3) KYP (Know Your Principal), a schema-level unification of trust scoring across human users, AI agents, and service accounts; (4)… This changes or tests a durable AI-System mechanism or system/evidence ownership boundary; retain for exact-v1 review.	PLATFORM-SECURITY
2605.25377	Adversarial Orthogonal Disentanglement for LVLM Hallucination Mitigation	cs.AI,cs.CV	pre_denominator_closure	`Adversarial Orthogonal Disentanglement for LVLM Hallucination Mitigation` (cs.AI,cs.CV) reports: We propose Adversarial Orthogonal Disentanglement (AOD), a latent geometric framework for mitigating LVLM hallucinations.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25378	CollectionLoRA: Collecting 50 Effects in 1 LoRA via Multi-Teacher On-Policy Distillation	cs.AI,cs.CV	pre_denominator_closure	`CollectionLoRA: Collecting 50 Effects in 1 LoRA via Multi-Teacher On-Policy Distillation` (cs.AI,cs.CV) reports: We propose CollectionLoRA, a multi-teacher on-policy distillation framework capable of distilling the concepts of up to 50 different effect LoRAs along with few-step generation capabilities into a single LoRA.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25379	StateRAG: Typed State Contracts for Complex Retrieval-Augmented Generation	cs.CL	retained_pending_exact_v1_review	`StateRAG: Typed State Contracts for Complex Retrieval-Augmented Generation`: We introduce StateRAG, which represents retrieval control as a typed state external to the final reader. This changes or tests a durable AI-System mechanism or system/evidence ownership boundary; retain for exact-v1 review.	AGENT-RAG
2605.25381	Not only where, But when: Temporal Scheduling for RLVR	cs.LG	pre_denominator_closure	`Not only where, But when: Temporal Scheduling for RLVR` (cs.LG) reports: In this work, we argue that \textit{when} learning signals are scheduled can be as important as \textit{where} they are allocated across tokens, and introduce the temporal dimension that scheduling the credit allocation criteria over the course of RLVR optimization.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25382	AuthTrace: Diagnosing Evidence Construction in Thematically Dense Single-Author Corpora	cs.CL	pre_denominator_closure	`AuthTrace: Diagnosing Evidence Construction in Thematically Dense Single-Author Corpora` (cs.CL) reports: We introduce AuthTrace, a diagnostic benchmark built on thematically dense single-author corpora where near-miss distractors share style, topic, and vocabulary with the required evidence.; however, the evaluation remains task/domain specific and does not change the repository's reusable evaluator identity, release gate, or evidence lifecycle.	
2605.25383	Learning manifold diffusion semigroups from graph transition matrices	cs.LG,math.ST,stat.ML	pre_denominator_closure	`Learning manifold diffusion semigroups from graph transition matrices` (cs.LG,math.ST,stat.ML) reports: We show that the manifold heat semigroup $Q_t = e^{tΔ}$ can be approximated directly by iterating the graph transition matrix $P$, under only low regularity assumptions on the test function $f$, including the case $f \in L^\infty$.; however, the model-local quality or representation gain does not change the long-term multimodal state identity, generation factorization, serving, or physical-control boundary.	
2605.25384	GeoMathCode: Understanding Interleaved Math-Code Reasoning for Geometry Problem Solving	cs.CL	pre_denominator_closure	`GeoMathCode: Understanding Interleaved Math-Code Reasoning for Geometry Problem Solving` (cs.CL) reports: In this work, we introduce the GeoMathCode, where programmatic representations serve as intermediate visual outputs.; however, the model-local quality or representation gain does not change the long-term multimodal state identity, generation factorization, serving, or physical-control boundary.	
2605.25385	Weakly Supervised Camouflaged Object Detection Based on the SAM Model and Mask Guidance	cs.AI,cs.CV	pre_denominator_closure	`Weakly Supervised Camouflaged Object Detection Based on the SAM Model and Mask Guidance` (cs.AI,cs.CV) reports: In this paper, we introduce a new weakly supervised approach for camouflaged object detection to overcome these limitations.; however, the agent method changes task behavior but does not establish a durable information/action/workflow-state ownership or commit/recovery contract.	
2605.25388	ViroBench: Benchmarking Nucleotide Foundation Models on Viral Genomics Tasks	cs.LG,q-bio.QM	pre_denominator_closure	`ViroBench: Benchmarking Nucleotide Foundation Models on Viral Genomics Tasks` (cs.LG,q-bio.QM) reports: To address this, we introduce ViroBench, the first comprehensive and large-scale benchmark specifically designed for NFMs in viral settings.; however, the contribution is a domain-specific model, dataset, or clinical evaluation and does not alter a reusable AI-System state, control, deployment, or evidence contract.	
