arxiv_identity	first_public_utc	title	categories	screening_route	denominator_action	closure_reason	withdrawal_status
2608.30131v1	2026-08-31T01:30:17Z	Tingley's Problem for Haagerup Noncommutative $L_p$-Spaces, $1<p\ne 2<\infty$	math.OA,math.FA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30132v1	2026-08-31T01:30:44Z	R-equivalence of quandle colorings and inner automorphisms	math.GT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30133v1	2026-08-31T01:32:16Z	Attosecond Reconstruction of Strain Tensors via Electronic Fingerprints	cond-mat.mtrl-sci,physics.atom-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30134v1	2026-08-31T01:32:55Z	Solution and Optimal Strategies for a Differential Game of Pursuit-Evasion with Point-Wise Constraints	math.OC	triggered-backstop-check	pre-denominator closure	triggered-backstop category without a qualifying Daily trigger or durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30135v1	2026-08-31T01:42:10Z	Verification-Aware Training for Speculative Decoding	cs.CL	core-daily-full-semantic-screen	retained	retained: durable AI-system mechanism or ownership/evaluation-contract delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30136v1	2026-08-31T01:44:18Z	Multi-Agent Receding Horizon Games Framework for Autonomous Market Participation	math.OC	triggered-backstop-check	pre-denominator closure	triggered-backstop category without a qualifying Daily trigger or durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30137v1	2026-08-31T01:44:46Z	Enhancing Interpretability of Stochastic Programming Solutions: A Multiparametric Approach	math.OC,eess.SY	weekly-route-trigger-check	pre-denominator closure	weekly-filtered category without an in-window Daily trigger or cross-listed durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30138v1	2026-08-31T01:45:12Z	High frequency wave propagation for the viscoelastic wave equation with singular memory	math.AP	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30139v1	2026-08-31T01:45:35Z	Superconductivity of Tellurium Polyhydride with Tc above 90K	cond-mat.supr-con,cond-mat.mtrl-sci,cond-mat.str-el	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30140v1	2026-08-31T01:46:03Z	Empirical Constraints on the CO Snowline Transition in HD 163296: The Local CO Column and $^{13}$C$^{18}$O Optical Depth	astro-ph.EP,astro-ph.GA,astro-ph.SR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30141v1	2026-08-31T01:46:36Z	Balancing Privacy, Utility, and Safety in LLM Alignment through Preference Optimization	cs.CR,cs.LG	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30142v1	2026-08-31T01:48:08Z	LandmarkLens: Predicting and Presenting Effective Landmarks for Mixed-Reality Urban Exploration	cs.HC	weekly-route-trigger-check	pre-denominator closure	weekly-filtered category without an in-window Daily trigger or cross-listed durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30143v1	2026-08-31T01:49:51Z	Repeatability Characterisation and Error Budget of a Consumer Structured-Light Scanner for 3-D Wound Geometry:A Rigid-Phantom Study	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30144v1	2026-08-31T01:51:51Z	Rethinking Language's Role in Efficient VLA for Autonomous Vehicles: Toward Smarter, Trustworthy Driving	cs.RO	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30145v1	2026-08-31T01:58:59Z	Understanding before verifying: Claim normalization for automated citation verification	cs.IR	core-daily-full-semantic-screen	pre-denominator closure	local model/task improvement without a changed long-term platform, training, inference, or evidence contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30146v1	2026-08-31T01:59:14Z	Revealing antenna-molecule coupling using virtual gain from synthetic complex frequency analysis	physics.optics,physics.app-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30147v1	2026-08-31T01:59:51Z	CAST: Critique-Aware Supervision for Training Reliable Long-Horizon Tool-Calling Agents	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	application-specific study; title/abstract does not change a reusable AI-system state, control, or evaluation contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30148v1	2026-08-31T02:06:00Z	Tropical Matsusaka and Matsusaka--Ran Criteria	math.AG	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30149v1	2026-08-31T02:06:39Z	CedarCypress3D: an annotated UAV-LiDAR dataset of individual trees in planted cedar and cypress forests	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30150v1	2026-08-31T02:08:22Z	Universal tuning of Förster resonance energy transfer in gate-programmable conductor-dielectric-conductor heterostructures	cond-mat.mes-hall	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30151v1	2026-08-31T02:08:34Z	Linear stability and viscoelastic response in weakly jammed frictional granular systems	cond-mat.soft	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30152v1	2026-08-31T02:08:39Z	Converse and Collision-Based Achievability for Node Localization with Hybrid Distance-Spectral Graph Positional Encodings	cs.LG	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30153v1	2026-08-31T02:09:30Z	Transcendental Morse inequality on Kähler manifolds	math.CV,math.AG,math.DG	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30154v1	2026-08-31T02:10:50Z	Spacelike reduction of the gravitational topological terms and associated helicity densities	gr-qc	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30155v1	2026-08-31T02:13:34Z	Gradient Estimates Near the Natural Exponent for Very Weak Solutions to $A_p$-Weighted Quasilinear Elliptic Equations	math.AP	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30156v1	2026-08-31T02:15:04Z	Reactivating Test-Time Scaling for Plane Geometry Problem Solving	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30157v1	2026-08-31T02:18:35Z	Multi-Domain Graph-Based Modeling of Energy Systems with Applications to Lithium-Ion Batteries	eess.SY	weekly-route-trigger-check	pre-denominator closure	weekly-filtered category without an in-window Daily trigger or cross-listed durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30158v1	2026-08-31T02:19:10Z	CPR for LLMs: Critical-Point Routing against Catastrophic Forgetting in Domain Adaptation	cs.CL,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30159v1	2026-08-31T02:20:57Z	Projection-Free Bandit Online Optimization for Multi-Agent Systems with Dynamic Regret	cs.DC	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30160v1	2026-08-31T02:28:26Z	From Self-Dual to Physical $\mathbb{C}P^{N-1}$: Anomalies, Boundary Stokes Phenomenon, and Global Structure of $θ$-vacua	hep-th,hep-lat	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30161v1	2026-08-31T02:28:34Z	AI-enabled Low-Cost 3D Maize Ear Morphometry Platform at Breeding Scale	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30162v1	2026-08-31T02:29:42Z	Reinforcement Learning for Symbolic Equation Solving	cs.LG	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30163v1	2026-08-31T02:30:11Z	Doc-REFRAG: Rethinking Multimodal Document Retrieval-Augmented Generation	cs.IR,cs.CV	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30164v1	2026-08-31T02:32:40Z	Coexisting Large and Small Polarons in Photoexcited CeO$_2$	cond-mat.mtrl-sci	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30165v1	2026-08-31T02:33:38Z	Science sandboxes measure the scientific capability of AI agents	q-bio.QM,cs.AI	core-daily-full-semantic-screen	pre-denominator closure	application-specific study; title/abstract does not change a reusable AI-system state, control, or evaluation contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30166v1	2026-08-31T02:33:42Z	Square Functions and Rectifiability under Monotone Transformations of the Density	math.CA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30167v1	2026-08-31T02:37:49Z	The symmetric maximal surface equation	math.DG,math-ph,math.AP	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30168v1	2026-08-31T02:37:59Z	Site-specific Channel Modeling Based on Remote-Sensing Maps for 6G Space--Air--Ground Digital Twins	eess.SP	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30169v1	2026-08-31T02:45:46Z	Black hole correspondences of quasi-topological gravity : Shadows, quasinormal modes, graybody factors	gr-qc	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30170v1	2026-08-31T02:47:53Z	Switchable Magnetoelectric Transport in Graphene via a Van der Waals Multiferroic	cond-mat.mes-hall	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30171v1	2026-08-31T02:48:53Z	Reducio: Optimized Confidential Serverless Cloud Deployments for Enterprise Customers	cs.CR	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30172v1	2026-08-31T02:49:02Z	Jensen' s trace inequality with equality condition and noncommutative Lamperti's theorem	math.OA,math.FA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30173v1	2026-08-31T02:54:24Z	Łojasiewicz--Simon inequalities near bubbling configurations for the Yamabe functional on bounded domains	math.AP	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30174v1	2026-08-31T02:54:56Z	Exact counting of spherical metrics with one conical singularity on rectangular tori	math.AP,math.DG	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30175v1	2026-08-31T02:56:26Z	Benchmarking Peptide-Protein Affinity Prediction Across Peptide and Target Shifts	cs.LG,q-bio.QM	core-daily-full-semantic-screen	pre-denominator closure	application-specific study; title/abstract does not change a reusable AI-system state, control, or evaluation contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30176v1	2026-08-31T02:56:53Z	Data and code for collision-model Dicke-state preparation: depth-fidelity frontiers, circuit costs, and superconducting-processor measurements	quant-ph	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30177v1	2026-08-31T02:57:08Z	Understanding Stage-Wise Utility-Risk Trade-offs in LLM Agent Memory	cs.CR	daily-keyword-route-semantic-screen	retained	retained: durable AI-system mechanism or ownership/evaluation-contract delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30178v1	2026-08-31T02:57:55Z	Extinction and extinguishment properties for a nonlinear predator-prey branching model	math.PR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30179v1	2026-08-31T02:58:20Z	Open-Source Autonomous Driving System Analysis and Multi-Disciplinary Hardware-in-the-Loop Research Paradigm with Reinforcement-Learning Testing and Large Language Models	cs.SE,cs.RO	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30180v1	2026-08-31T03:00:20Z	A requested analytic proof of an identity of Dixit, Kumar, and Srivastava	math.CO,math.NT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30181v1	2026-08-31T03:04:30Z	A.X K2 Technical Report	cs.AI,cs.CL	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30182v1	2026-08-31T03:06:44Z	On Completeness of $n$-ary Hom-Nambu and Hom-Lie Superalgebras	math.RA,math.QA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30183v1	2026-08-31T03:07:59Z	ConCA: Concentration-Aware Channel Attention for Fine-Grained Visual Recognition	hep-ex,cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30184v1	2026-08-31T03:09:16Z	ATGS: Anchored Temporal Gaussian Splatting for Long Volumetric Video Representation	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30185v1	2026-08-31T03:10:05Z	Poisson blow-ups and the adjoint quotient	math.RT,math.AG,math.SG	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30186v1	2026-08-31T03:10:29Z	The PUR-1 Cyber-Physical Digital Twin	cs.CE,cs.LG	core-daily-full-semantic-screen	pre-denominator closure	task/dataset contribution without a durable system-design delta after title-and-abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30187v1	2026-08-31T03:13:20Z	Classification of Simple Harish-Chandra Modules over the Loop Mirror HeisenbergVirasoro Algebra	math.RT	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30188v1	2026-08-31T03:13:47Z	GPAgentBench-2K: Benchmarking Large Language Model Agents in Complex Clinical Action Space	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	application-specific study; title/abstract does not change a reusable AI-system state, control, or evaluation contract	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30189v1	2026-08-31T03:14:03Z	Band edges of periodic Schrödinger operators are generically isolated and nondegenerate	math.SP,math-ph,math.AP	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30190v1	2026-08-31T03:15:15Z	Lattice KP type equations arising from eigenfunctions and Dbar problem	nlin.SI	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30191v1	2026-08-31T03:15:24Z	Spectra of Non-Self-Adjoint Almost Mathieu Matrices and the Scottish Flag Operator	math.SP,math.NA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30192v1	2026-08-31T03:16:06Z	FaVOR: LLM-Based Agentic Framework for Factor Mining via Empirical Validation	cs.AI,cs.CE	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30193v1	2026-08-31T03:16:14Z	Robust Semi-passive Velocity Field Control with Boundedness Guarantees for Safe Interaction between Mechanical Systems and Physical Environment	eess.SY,cs.RO	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30194v1	2026-08-31T03:17:52Z	NoisEasier: Test-Time Noise Optimization for Text-to-Video Generation	cs.CV	daily-keyword-route-semantic-screen	pre-denominator closure	registered routed topic reviewed; local/domain result does not change a durable AI-system design judgment	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30195v1	2026-08-31T03:20:33Z	Checkerboard Shells: A Position-Only Thin-Shell Discretization with Scale-Compatible Completion	math.NA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30196v1	2026-08-31T03:20:39Z	Regular, and (bi-)rotary Hall Cayley maps	math.CO,math.GR	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30197v1	2026-08-31T03:25:13Z	ALTSTEER: Selective Safety Steering for Moving Beyond Hard Refusals to Constructive Alternatives	cs.CL,cs.SE	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30198v1	2026-08-31T03:26:32Z	When Errors Become Memories: Causal Pathway Tracing in Multi-Turn Memory-Augmented LLMs	cs.CL	core-daily-full-semantic-screen	pre-denominator closure	AI research identity reviewed; no durable mechanism, ownership, or evaluation-contract delta at denominator admission	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30199v1	2026-08-31T03:29:40Z	A High-Resolution Synthetic EV Charging Dataset for Cold-Climate Distribution Grid Impact Analysis: Trondheim, Norway (2020-2030)	eess.SY	weekly-route-trigger-check	pre-denominator closure	weekly-filtered category without an in-window Daily trigger or cross-listed durable AI-system delta	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
2608.30200v1	2026-08-31T03:31:09Z	OB stars identified in LAMOST Data Release 10	astro-ph.SR,astro-ph.GA	adjacent-category-false-negative-check	pre-denominator closure	outside registered Daily routes and no adjacent-category false-negative signal after title/abstract review	not-withdrawn (official exact-v1 API metadata checked; no explicit withdrawal notice)
