chapter	stable_node	part	path	integrate_count	stable_owner	chapter_contract	review_boundary	source_trace	semantic_proof	proof_kinds	evolution	tradeoff	failure_fallback	final_disposition	finding
Ch13	MODEL-POSITION-ENCODING	part-02-model	books/part-02-model/13-position-encoding.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch14	MODEL-SELF-ATTENTION	part-02-model	books/part-02-model/14-self-attention.md	1	pass	pass	pass	pass	pass	exact_source_binding:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch15	MODEL-MULTI-HEAD-ATTENTION	part-02-model	books/part-02-model/15-multi-head-attention.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch16	MODEL-FFN	part-02-model	books/part-02-model/16-feed-forward-mlp.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch17	MODEL-TRANSFORMER-LAYER	part-02-model	books/part-02-model/17-transformer-layer.md	1	pass	pass	pass	pass	pass	explicit_causal_binding:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch18	MODEL-DECODER-ONLY	part-02-model	books/part-02-model/18-decoder-only.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch19	MODEL-KV-CACHE	part-02-model	books/part-02-model/19-kv-cache.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch20	MODEL-SAMPLING	part-02-model	books/part-02-model/20-sampling.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch21	MODEL-MOE	part-02-model	books/part-02-model/21-moe.md	3	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch22	MODEL-LONG-CONTEXT	part-02-model	books/part-02-model/22-long-context.md	12	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:11	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch23	MULTIMODAL-REPRESENTATION	part-03-multimodal-world-models	books/part-03-multimodal-world-models/23-multimodal-representation.md	4	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch24	MULTIMODAL-GENERATIVE-PARADIGMS	part-03-multimodal-world-models	books/part-03-multimodal-world-models/24-multimodal-generative-paradigms.md	8	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:6	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch25	MULTIMODAL-WORLD-MODELS	part-03-multimodal-world-models	books/part-03-multimodal-world-models/25-multimodal-world-models.md	35	pass	pass	pass	pass	pass	exact_source_binding:6;fresh_receipt_plus_persisted_proposition:29	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch26	MULTIMODAL-EMBODIED-VLA	part-03-multimodal-world-models	books/part-03-multimodal-world-models/26-multimodal-embodied-vla.md	53	pass	pass	pass	pass	pass	exact_source_binding:7;fresh_receipt_plus_persisted_proposition:46	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch27	TRAIN-DATA	part-04-training-system	books/part-04-training-system/27-data.md	25	pass	pass	pass	pass	pass	exact_source_binding:4;fresh_receipt_plus_persisted_proposition:21	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch28	TRAIN-PRETRAINING	part-04-training-system	books/part-04-training-system/28-pretraining.md	12	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:11	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch29	TRAIN-SFT	part-04-training-system	books/part-04-training-system/29-sft.md	3	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch30	TRAIN-LORA	part-04-training-system	books/part-04-training-system/30-lora.md	4	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch31	TRAIN-RLHF	part-04-training-system	books/part-04-training-system/31-rlhf.md	15	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:13	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch32	TRAIN-PPO	part-04-training-system	books/part-04-training-system/32-ppo.md	2	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch33	TRAIN-GRPO	part-04-training-system	books/part-04-training-system/33-grpo.md	24	pass	pass	pass	pass	pass	exact_source_binding:5;fresh_receipt_plus_persisted_proposition:19	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch34	TRAIN-DPO	part-04-training-system	books/part-04-training-system/34-dpo.md	2	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch35	TRAIN-CHECKPOINT	part-04-training-system	books/part-04-training-system/35-checkpoint.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch36	TRAIN-DISTRIBUTED-TRAINING	part-04-training-system	books/part-04-training-system/36-distributed-training.md	31	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:28	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch37	TRAIN-TENSOR-PARALLEL	part-04-training-system	books/part-04-training-system/37-tensor-parallel.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch38	TRAIN-PIPELINE-PARALLEL	part-04-training-system	books/part-04-training-system/38-pipeline-parallel.md	1	pass	pass	pass	pass	pass	exact_source_binding:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch39	TRAIN-ZERO	part-04-training-system	books/part-04-training-system/39-zero.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch40	TRAIN-MEGATRON	part-04-training-system	books/part-04-training-system/40-megatron.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch41	TRAIN-DEEPSPEED	part-04-training-system	books/part-04-training-system/41-deepspeed.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch42	INFER-REQUEST-LIFECYCLE	part-05-inference-system	books/part-05-inference-system/42-what-happens-during-inference.md	7	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:4	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch43	INFER-PREFILL	part-05-inference-system	books/part-05-inference-system/43-prefill.md	6	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch44	INFER-DECODE	part-05-inference-system	books/part-05-inference-system/44-decode.md	4	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch45	INFER-KV-CACHE	part-05-inference-system	books/part-05-inference-system/45-why-kv-cache-speeds-up.md	46	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:44	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch46	INFER-CONTINUOUS-BATCHING	part-05-inference-system	books/part-05-inference-system/46-continuous-batching.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch47	INFER-PAGED-ATTENTION	part-05-inference-system	books/part-05-inference-system/47-pagedattention.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch48	INFER-SPECULATIVE-DECODING	part-05-inference-system	books/part-05-inference-system/48-speculative-decoding.md	18	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:18	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch49	INFER-TENSORRT-LLM	part-05-inference-system	books/part-05-inference-system/49-tensorrt-llm.md	36	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:33	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch50	INFER-VLLM	part-05-inference-system	books/part-05-inference-system/50-vllm.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch51	INFER-SGLANG	part-05-inference-system	books/part-05-inference-system/51-sglang.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch52	INFER-DYNAMO	part-05-inference-system	books/part-05-inference-system/52-dynamo.md	2	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch53	INFER-KSERVE-TOPOLOGY	part-05-inference-system	books/part-05-inference-system/53-kserve-llm.md	2	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch54	INFER-GPU-MEMORY	part-05-inference-system	books/part-05-inference-system/54-gpu-memory.md	19	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:17	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch55	INFER-PD-DISAGGREGATION	part-05-inference-system	books/part-05-inference-system/55-pd-disaggregation.md	11	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:10	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch56	INFER-SCHEDULING	part-05-inference-system	books/part-05-inference-system/56-inference-scheduling.md	49	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:46	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch57	PLATFORM-FOUNDATIONS	part-06-ai-infrastructure	books/part-06-ai-infrastructure/57-what-is-ai-platform.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch58	PLATFORM-KUBEFLOW	part-06-ai-infrastructure	books/part-06-ai-infrastructure/58-kubeflow.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch59	PLATFORM-MODEL-REGISTRY	part-06-ai-infrastructure	books/part-06-ai-infrastructure/59-model-registry.md	3	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch60	PLATFORM-TRAINING-OPERATOR	part-06-ai-infrastructure	books/part-06-ai-infrastructure/60-training-operator.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch61	PLATFORM-KSERVE	part-06-ai-infrastructure	books/part-06-ai-infrastructure/61-kserve.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch62	PLATFORM-GATEWAY	part-06-ai-infrastructure	books/part-06-ai-infrastructure/62-gateway.md	7	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:4	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch63	PLATFORM-GPU-SCHEDULER	part-06-ai-infrastructure	books/part-06-ai-infrastructure/63-gpu-scheduler.md	4	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch64	PLATFORM-VOLCANO	part-06-ai-infrastructure	books/part-06-ai-infrastructure/64-volcano.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch65	PLATFORM-KAI-SCHEDULER	part-06-ai-infrastructure	books/part-06-ai-infrastructure/65-kai-scheduler.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch66	PLATFORM-EVALUATION-SYSTEM	part-06-ai-infrastructure	books/part-06-ai-infrastructure/66-evaluation-system.md	121	pass	pass	pass	pass	pass	exact_source_binding:12;fresh_receipt_plus_persisted_proposition:109	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch67	PLATFORM-MONITORING	part-06-ai-infrastructure	books/part-06-ai-infrastructure/67-monitoring.md	14	pass	pass	pass	pass	pass	exact_source_binding:9;fresh_receipt_plus_persisted_proposition:5	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch68	PLATFORM-LOGGING	part-06-ai-infrastructure	books/part-06-ai-infrastructure/68-logging.md	0	pass	pass	pass	pass	pass		verified-in-existing-chapter	verified-in-existing-chapter	verified-in-existing-chapter	No Change — Explicitly Verified	
Ch69	PLATFORM-TRACE	part-06-ai-infrastructure	books/part-06-ai-infrastructure/69-trace.md	10	pass	pass	pass	pass	pass	exact_source_binding:6;fresh_receipt_plus_persisted_proposition:4	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch70	PLATFORM-COST	part-06-ai-infrastructure	books/part-06-ai-infrastructure/70-cost.md	4	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:2	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch71	PLATFORM-MULTI-TENANT	part-06-ai-infrastructure	books/part-06-ai-infrastructure/71-multi-tenant.md	1	pass	pass	pass	pass	pass	fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch72	PLATFORM-SECURITY	part-06-ai-infrastructure	books/part-06-ai-infrastructure/72-security.md	155	pass	pass	pass	pass	pass	exact_source_binding:21;fresh_receipt_plus_persisted_proposition:134	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch73	PLATFORM-PRODUCTION	part-06-ai-infrastructure	books/part-06-ai-infrastructure/73-production-best-practice.md	2	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:1	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch74	AGENT-PROMPT	part-07-agent	books/part-07-agent/74-prompt.md	3	pass	pass	pass	pass	pass	exact_source_binding:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch75	AGENT-CONTEXT	part-07-agent	books/part-07-agent/75-context.md	7	pass	pass	pass	pass	pass	exact_source_binding:4;fresh_receipt_plus_persisted_proposition:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch76	AGENT-RAG	part-07-agent	books/part-07-agent/76-rag.md	32	pass	pass	pass	pass	pass	exact_source_binding:5;fresh_receipt_plus_persisted_proposition:27	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch77	AGENT-MEMORY	part-07-agent	books/part-07-agent/77-memory.md	46	pass	pass	pass	pass	pass	exact_source_binding:3;fresh_receipt_plus_persisted_proposition:43	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch78	AGENT-TOOL-CALLING	part-07-agent	books/part-07-agent/78-tool-calling.md	21	pass	pass	pass	pass	pass	exact_source_binding:6;fresh_receipt_plus_persisted_proposition:15	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch79	AGENT-PLANNING	part-07-agent	books/part-07-agent/79-planning.md	9	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:7	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch80	AGENT-REFLECTION	part-07-agent	books/part-07-agent/80-reflection.md	7	pass	pass	pass	pass	pass	exact_source_binding:1;fresh_receipt_plus_persisted_proposition:6	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch81	AGENT-WORKFLOW	part-07-agent	books/part-07-agent/81-workflow.md	43	pass	pass	pass	pass	pass	exact_source_binding:10;fresh_receipt_plus_persisted_proposition:33	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch82	AGENT-MULTI-AGENT	part-07-agent	books/part-07-agent/82-multi-agent.md	27	pass	pass	pass	pass	pass	exact_source_binding:7;fresh_receipt_plus_persisted_proposition:20	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch83	AGENT-MCP	part-07-agent	books/part-07-agent/83-mcp.md	5	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:3	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
Ch84	AGENT-PLATFORM	part-07-agent	books/part-07-agent/84-agent-platform.md	17	pass	pass	pass	pass	pass	exact_source_binding:2;fresh_receipt_plus_persisted_proposition:15	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	verified-by-source-family-semantic-ledger	Refined — Owner Spine and Evidence Trace Verified	
