source_family_id	arxiv_id	screening_route	title	decision	owner	reason	title_abstract_sha256
SF-2026-ARXIV-2606-27655	2606.27655	not_routed_by_keyword_contract	Temporal-Emerged Prompting for Segment Anything in Multiframe Infrared Small Target Detection	closure	—	《Temporal-Emerged Prompting for Segment Anything in Multiframe Infrared Small Target Detection》的摘要问题为：Accurately localizing and segmenting small targets in low signal-to-noise ratio (SNR) infrared sequences remains a challenging task.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	1379e40ded131fd010b2f9f155f12fe0b0f3be7c3506acb2153483f709b0878c
SF-2026-ARXIV-2606-27656	2606.27656	not_routed_by_keyword_contract	Characterizing Driver Interactions with Autonomous Vehicles via Response Maps	closure	—	《Characterizing Driver Interactions with Autonomous Vehicles via Response Maps》的摘要问题为：Understanding human responses to autonomous vehicle (AV) behaviors is essential for socially aware interaction, which is crucial for socially compatible navigation in shared traffic environments.  本 family 的边界判断：route-negative 复核确认主题属于非 AI-System 的控制、网络、数学或领域工程，不能因分类相邻而扩池。	7ff3ef06f9b1d0dee9148310473d5e122cf54bf897d83105de9cd0aa1e9a8fa1
SF-2026-ARXIV-2606-27657	2606.27657	core_daily_semantic_review_required	Reconstructing the Developmental Trajectory of Adipocytes in Human Adipose Tissue Using Single-Cell RNA Sequencing	closure	—	《Reconstructing the Developmental Trajectory of Adipocytes in Human Adipose Tissue Using Single-Cell RNA Sequencing》的摘要问题为：Obesity is a global health crisis associated with metabolic disorders such as type 2 diabetes and cardiovascular disease.  本 family 的边界判断：贡献与证据绑定于医疗、生物或行业任务，未改变通用 AI-System state/data/control 或 release contract。	d27b845523f5239b3ecef389e155f3c2c9c783cbcd5168c4290734377de3a93b
SF-2026-ARXIV-2606-27659	2606.27659	not_routed_by_keyword_contract	GeoFace: Consistent Multi-View Face Generation with Geometry-Constrained Diffusion	closure	—	《GeoFace: Consistent Multi-View Face Generation with Geometry-Constrained Diffusion》的摘要问题为：We present GeoFace, a geometry-constrained multi-view diffusion framework for consistent face generation from a single input.  本 family 的边界判断：route-negative 复核确认主题属于非 AI-System 的控制、网络、数学或领域工程，不能因分类相邻而扩池。	5fad144cc6a962750ead40fffe4c4b80d465cde6342d9c59eacda69c9035aa91
SF-2026-ARXIV-2606-27660	2606.27660	keyword_daily_semantic_review_required	MVPruner: Dynamic Token Pruning for Accelerating Multi-view Vision-Language Models in Autonomous Driving	closure	—	《MVPruner: Dynamic Token Pruning for Accelerating Multi-view Vision-Language Models in Autonomous Driving》的摘要问题为：Vision-Language Models (VLMs) improve generalization and interpretability in autonomous driving but suffer from efficiency issues due to long visual token sequences, particularly in standard multi-view settings.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	0f68377e5562ec0010cbf4dec92ad1b887e92d18efea79578c89e185c2bd0d3f
SF-2026-ARXIV-2606-27663	2606.27663	not_routed_by_keyword_contract	Direct Action-Head Injection of A Grounded 3D Point Unlocks Spatial and Task Generalization	closure	—	《Direct Action-Head Injection of A Grounded 3D Point Unlocks Spatial and Task Generalization》的摘要问题为：Vision-Language-Action (VLA) models leverage large-scale vision-language pretraining for flexible robot manipulation, yet at test time they remain brittle along two axes: spatial generalization, when object positions differ from those seen during training, and task generalization, when a familiar scene is paired with a 本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	9e3dabd8211db8894d07c04f7a99f1efbc03397cd49d7642411043e83ad31e9d
SF-2026-ARXIV-2606-27665	2606.27665	keyword_daily_semantic_review_required	LLM-Assisted Model-Based GUI Testing for Vue.js Web Applications	closure	—	《LLM-Assisted Model-Based GUI Testing for Vue.js Web Applications》的摘要问题为：Vue.js is a popular framework for building modern web applications.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	ae022557d0f874199c4d4726daf94687e49af477c167310ea994738d945effbf
SF-2026-ARXIV-2606-27666	2606.27666	keyword_daily_semantic_review_required	MultModLM: A multi-modal benchmark for Large-Language Model based hardware schematic generation	closure	—	《MultModLM: A multi-modal benchmark for Large-Language Model based hardware schematic generation》的摘要问题为：Recently, Large Language models (LLMs) find application in several fields.  本 family 的边界判断：benchmark/dataset 只报告局部能力或数据集结果，没有改变可复算的系统 evaluation/release 判断。	bf82cfe5dee25f15ac07689996e2962129a16acd41f1317ae91a1847a1ef6421
SF-2026-ARXIV-2606-27667	2606.27667	core_daily_semantic_review_required	Explainable AI for Biodiversity Monitoring and Ecological Image Analysis	closure	—	《Explainable AI for Biodiversity Monitoring and Ecological Image Analysis》的摘要问题为：Artificial intelligence is transforming biodiversity monitoring by enabling automated analysis of ecological imagery collected from camera traps, drones, satellites, underwater platforms, and other sensing systems.  本 family 的边界判断：贡献与证据绑定于医疗、生物或行业任务，未改变通用 AI-System state/data/control 或 release contract。	c7c0dd32acfd9012f0f5917fd8a458c5a5ad786ef585a7d813e7b56716c52b88
SF-2026-ARXIV-2606-27669	2606.27669	core_daily_semantic_review_required	When Search Agents Should Ask: DiscoBench for Clarification-Aware Deep Search	retain	PLATFORM-EVALUATION-SYSTEM	把 deep-search 的 ambiguity detection、clarification action、task utility 与交互成本分离成评估合同。	f1bb6ebfdb417d5769748dcaa53ddf690f058550eb473976dcd195fa48188147
SF-2026-ARXIV-2606-27671	2606.27671	keyword_daily_semantic_review_required	Multi-Modal Conditioned High-Resolution Transformer for Urban Electromagnetic Field Map Prediction Download PDF	closure	—	《Multi-Modal Conditioned High-Resolution Transformer for Urban Electromagnetic Field Map Prediction Download PDF》的摘要问题为：Predicting electromagnetic field (EMF) strength in urban environments is essential for cellular network planning but computationally expensive with physics-based simulators.  本 family 的边界判断：贡献与证据绑定于医疗、生物或行业任务，未改变通用 AI-System state/data/control 或 release contract。	c7cf87d86b4ae9dec0b9513876d2501d38e082e9460d25462201e566981788fa
SF-2026-ARXIV-2606-27672	2606.27672	core_daily_semantic_review_required	Are Time-Series Foundation Models Ready for E-Nose Data? An Empirical Assessment of Their Embeddings	closure	—	"《Are Time-Series Foundation Models Ready for E-Nose Data? An Empirical Assessment of Their Embeddings》的摘要问题为：Inspired by advances in natural language processing and computer vision, ""time-series foundation models"" (TSFMs) have recently been introduced with the promise of strong generalization across diverse time-series tasks, including forecasting, classification, and anomaly detection, as well as across domains such as healt 本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。"	61408c71d7a9163eb518a45b43ebf2001e64f252925af52e217031f589e5576f
SF-2026-ARXIV-2606-27676	2606.27676	not_routed_by_keyword_contract	CWI: Composite Humanoid Whole-Body Imitation System for Loco-manipulation	closure	—	《CWI: Composite Humanoid Whole-Body Imitation System for Loco-manipulation》的摘要问题为：Achieving everyday tasks with humanoid robots requires coordinating stable locomotion with versatile manipulation.  本 family 的边界判断：route-negative 复核确认主题属于非 AI-System 的控制、网络、数学或领域工程，不能因分类相邻而扩池。	91728480fa59e9f7025426e718f783ce4b5cedc97521396a207af94845c61c13
SF-2026-ARXIV-2606-27677	2606.27677	keyword_daily_semantic_review_required	DIM-WAM: World-Action Modeling with Diverse Historical Event Memory	closure	—	《DIM-WAM: World-Action Modeling with Diverse Historical Event Memory》的摘要问题为：World-action models have shown promising robot-manipulation performance by jointly predicting future visual states and actions.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	27b7e483e1cdd552c8d8cd4200ec93bb3e36c16c2394445b25ac038f968b96b5
SF-2026-ARXIV-2606-27678	2606.27678	keyword_daily_semantic_review_required	Two-Stage Cross-Domain Cervical Abnormality Screening with Cytopathological Image Synthesis and Knowledge Distillation	closure	—	《Two-Stage Cross-Domain Cervical Abnormality Screening with Cytopathological Image Synthesis and Knowledge Distillation》的摘要问题为：Cross-domain diagnosis remains a major challenge in cervical cell pathology due to pronounced domain shifts across institutions and the subtle visual differences among disease stages, which jointly impair model generalization.  本 family 的边界判断：贡献与证据绑定于医疗、生物或行业任务，未改变通用 AI-System state/data/control 或 release contract。	40147870c9f6181898191cfe4ca7733d6a28cbd87a417bfeac9117371dcde574
SF-2026-ARXIV-2606-27679	2606.27679	core_daily_semantic_review_required	From Signals to Transfer: A Factorised Study of Probe-Based Uncertainty Estimation in Large Language Models	retain	PLATFORM-MONITORING	给 probe uncertainty monitor 建立 feature、label construction、prompt 与 distribution-shift transfer 的可迁移边界。	7750dad5c5f15449bbff9d13a8020afebd782cf9688a79595cbb07905f14ee04
SF-2026-ARXIV-2606-27681	2606.27681	core_daily_semantic_review_required	Textual Belief States for World Models: Identifiable Representation Learning Under Strict Mediation	retain	MULTIMODAL-WORLD-MODELS	用 strict mediation 让 textual belief state 成为唯一可测试的预测状态，阻断 history bypass。	7d6243b5cc3dfdd614f25235f16fbb9bc0ccb42b58811c95f6e544b6f5840166
SF-2026-ARXIV-2606-27683	2606.27683	core_daily_semantic_review_required	CBD: API-Only LLM Black-Box Unlearning through Controlled Behavioral Divergence	retain	PLATFORM-SECURITY	揭示 API-only black-box unlearning 实际由 relevance router 与 auxiliary models 持有控制权，而非修改远端模型。	7a82defad11d48aad6e4f85068c74348748be3f285867a42a5b87a9d47408ee1
SF-2026-ARXIV-2606-27684	2606.27684	core_daily_semantic_review_required	Intuition-Guided Latent Reasoning for LLM-Based Recommendation	closure	—	《Intuition-Guided Latent Reasoning for LLM-Based Recommendation》的摘要问题为：Large Language Models (LLMs) have demonstrated impressive reasoning capabilities in complex problem-solving tasks, motivating their use for preference reasoning in recommender systems.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	b3cf6ec8f6bf22d0726e3f69ed4e9137c508b793f570af9ef5ba4f10fffaf4e6
SF-2026-ARXIV-2606-27685	2606.27685	core_daily_semantic_review_required	Adversarial Contamination Meets Hard Thresholding: An Iterative Algorithm with Signal Adaptivity and Minimax Optimality	closure	—	《Adversarial Contamination Meets Hard Thresholding: An Iterative Algorithm with Signal Adaptivity and Minimax Optimality》的摘要问题为：Pervasive data contamination -- stemming from measurement errors, outliers, or adversarial corruption -- has motivated the development of robust statistical methods.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	db925cd33624beedfacb7f9a6a844a5f645250af7fdcdf74e9db567ac4cf5786
SF-2026-ARXIV-2606-27687	2606.27687	core_daily_semantic_review_required	Mitigating LLM-based p-Hacking by Preregistering for the Next LLM	closure	—	《Mitigating LLM-based p-Hacking by Preregistering for the Next LLM》的摘要问题为：Large language models (LLMs) are increasingly used to generate, classify, and annotate data whose outputs feed downstream hypothesis tests.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	7ad3372e257bec2cab26dcc4ccc88404115faf9b1a89837eb76c63604b8bfbb2
SF-2026-ARXIV-2606-27688	2606.27688	core_daily_semantic_review_required	Deployment-Side Adaptiveness in Multi-Horizon Volatility Forecasting	closure	—	《Deployment-Side Adaptiveness in Multi-Horizon Volatility Forecasting》的摘要问题为：In financial forecasting, predictive performance depends not only on which model is trained, but also on how the trained model is deployed.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	5b4c9f5205d9e8355ff337550b909590209ab0f1d7a1498bc3605a0a3fdb3eab
SF-2026-ARXIV-2606-27694	2606.27694	core_daily_semantic_review_required	Halt Fast! Early Stopping for Certified Robustness	closure	—	《Halt Fast! Early Stopping for Certified Robustness》的摘要问题为：Randomized Smoothing (RS) provides rigorous robustness guarantees for neural networks without architectural constraints, yet its adoption is limited by extreme computational costs.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	231eedac32230252ccaf866c79c21535a7561214ff9fa25e2d6125baf8c38aca
SF-2026-ARXIV-2606-27695	2606.27695	core_daily_semantic_review_required	How far does a random forest generalize from a 54-run LAMMPS+SPICA benchmark?	closure	—	《How far does a random forest generalize from a 54-run LAMMPS+SPICA benchmark?》的摘要问题为：Selecting near-optimal hybrid MPI+OpenMP configurations for molecular dynamics workloads on modern HPC clusters has traditionally required exhaustive empirical benchmarking, consuming allocation budget proportional to the number of configurations evaluated.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	08c33d72026076a2bbf190c75b0d13d38565be8ec4210cb08c9049f01b2b2e4e
SF-2026-ARXIV-2606-27696	2606.27696	core_daily_semantic_review_required	Class-frequency Guided Noise Schedule for Diffusion Models	closure	—	《Class-frequency Guided Noise Schedule for Diffusion Models》的摘要问题为：In this paper, we are the first to examine the correlations between class frequency and the multi-scale noise schedule within diffusion models.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	7c79d84e582d10c82f124d916966f22e3a7d35c86d9c92f1671bb088cbe8e11f
SF-2026-ARXIV-2606-27697	2606.27697	not_routed_by_keyword_contract	Host-Driven Flowlet Balancing with Segment Routing over IPv6	closure	—	《Host-Driven Flowlet Balancing with Segment Routing over IPv6》的摘要问题为：This paper proposes a fully host-driven method for flowlet balancing with Segment Routing over IPv6 (SRv6).  本 family 的边界判断：route-negative 复核确认主题属于非 AI-System 的控制、网络、数学或领域工程，不能因分类相邻而扩池。	d98d1d58c944527783d6f2bd9c11ac722894dbdc687654553a1aa6451365c054
SF-2026-ARXIV-2606-27698	2606.27698	core_daily_semantic_review_required	What Was That Again? Certified Robustness for Automatic Speech Recognition	closure	—	《What Was That Again? Certified Robustness for Automatic Speech Recognition》的摘要问题为：Automatic Speech Recognition systems are notoriously both sensitive to adversarial and benign perturbations.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	b5e378e2dcfdbbb83a23dd5494bb9a48aa287fc726f753fd1c163efb3555b615
SF-2026-ARXIV-2606-27700	2606.27700	core_daily_semantic_review_required	Joint Transcription and Decryption of Images of Encrypted Handwritten Documents: A Comparison with the Traditional Pipeline	closure	—	《Joint Transcription and Decryption of Images of Encrypted Handwritten Documents: A Comparison with the Traditional Pipeline》的摘要问题为：Historical encrypted manuscripts present a challenging problem at the intersection of cryptology, linguistics, paleography, and computer vision.  本 family 的边界判断：benchmark/dataset 只报告局部能力或数据集结果，没有改变可复算的系统 evaluation/release 判断。	de3824ce7e326463556fc53861061e5cbc63dd9b83d2685a23c82122acac00d9
SF-2026-ARXIV-2606-27701	2606.27701	core_daily_semantic_review_required	Room for Error: Large-Scale Simulation of Over-the-Air Acoustic Attacks	closure	—	《Room for Error: Large-Scale Simulation of Over-the-Air Acoustic Attacks》的摘要问题为：While voice control is rapidly becoming a ubiquitous vector of human-AI communication, the risks facing these systems remain poorly understood.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	91773f3056033bd6aee9e1c794c44f1cb45ba9ab8e23acb1f99c05af3c077010
SF-2026-ARXIV-2606-27704	2606.27704	keyword_daily_semantic_review_required	AdvScan: Black-Box Adversarial Example Detection at Runtime through Power Analysis	retain	PLATFORM-SECURITY	把 edge black-box adversarial detection 从模型内部 probe 改为 runtime power sensor，并暴露设备/攻击覆盖边界。	f7ebfad4634329ebec3f7fcec505edcbd83b625762dadb861b128a4f664f03dd
SF-2026-ARXIV-2606-27705	2606.27705	core_daily_semantic_review_required	Mitigating Position Bias in Transformers via Layer-Specific Positional Embedding Scaling	closure	—	《Mitigating Position Bias in Transformers via Layer-Specific Positional Embedding Scaling》的摘要问题为：Large Language Models (LLMs) still struggle with the ``lost-in-the-middle'' problem, where critical information located in the middle of long-context inputs is often underrepresented or lost.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	a22a00279068a020f5de4e496b0b370b6bbec9e2e3a048ac49702ab460bb2450
SF-2026-ARXIV-2606-27708	2606.27708	keyword_daily_semantic_review_required	ZooClaw-FashionSigLIP2: Distilled Fine-tuning for Robust Fashion Retrieval	closure	—	《ZooClaw-FashionSigLIP2: Distilled Fine-tuning for Robust Fashion Retrieval》的摘要问题为：Adapting a foundation vision-language encoder to a specialized retrieval task creates a fundamental tradeoff: gains on the target distribution come at the cost of the foundation model's broad generalization, and fashion retrieval is a stringent instance of this problem.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	8345aeb3cef270e99e49d206adb05c583dcca849f17569f1ce6b4fdc8397cfcf
SF-2026-ARXIV-2606-27709	2606.27709	core_daily_semantic_review_required	Low-Agreeableness Persona Conditioning for Safe LLM Fine-Tuning	retain	TRAIN-DATA	证明 warmth fine-tuning 的 jailbreak regression 取决于 persona/data construction，而非同理性目标本身必然削弱安全。	a45660398ae9afd9e13557acf783d1ec0233737144021d092ae54c359435cfff
SF-2026-ARXIV-2606-27711	2606.27711	core_daily_semantic_review_required	The Simulacrum: Decision-Theoretic Pretraining for Near-Optimal Time-Series Forecasting and Inference	closure	—	《The Simulacrum: Decision-Theoretic Pretraining for Near-Optimal Time-Series Forecasting and Inference》的摘要问题为：We introduce a neural network-based framework for learning time series estimators through a process we term decision-theoretic pretraining.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	699ebfe9776e29e8684ef86470b564a49669ccef444efb4bfc91c96e3004a860
SF-2026-ARXIV-2606-27715	2606.27715	core_daily_semantic_review_required	Aurora: A Leverage-Aware Spectral Optimizer	closure	—	《Aurora: A Leverage-Aware Spectral Optimizer》的摘要问题为：We show that for tall matrix parameters, like projection matrices in the MLP layers, the Muon update can have row norms that are arbitrarily non-uniform.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	7b194aa0b1f3c0d02d581faa5b4fe5ce756f2cf2c69340eb54a91ac1a2251975
SF-2026-ARXIV-2606-27717	2606.27717	core_daily_semantic_review_required	Do Speech Emphasis Models Generalize across Languages and Emotions?	closure	—	《Do Speech Emphasis Models Generalize across Languages and Emotions?》的摘要问题为：Prosodic emphasis varies across languages, emotions, and speaking styles, yet existing emphasis detection models are largely trained and evaluated on monolingual neutral read speech.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	dc1abf14bda5a5563b8887f9be51268f1c325f5d32e8c25e65cf4fe734ba814a
SF-2026-ARXIV-2606-27718	2606.27718	not_routed_by_keyword_contract	MASS: Motion-Aligned Selective Scan for Refinement in Flow-Based Video Frame Interpolation	closure	—	《MASS: Motion-Aligned Selective Scan for Refinement in Flow-Based Video Frame Interpolation》的摘要问题为：Video frame interpolation (VFI) remains a challenging task, particularly when dealing with large, non-linear motions and complex occlusions.  本 family 的边界判断：route-negative 复核确认主题属于非 AI-System 的控制、网络、数学或领域工程，不能因分类相邻而扩池。	8e48ede47d03e6caecb8385ee49e54fd141c783aa518d5217178223df1013767
SF-2026-ARXIV-2606-27720	2606.27720	not_routed_by_keyword_contract	Scene and Human in One World: Reconstruction in a Feedforward Pass	closure	—	《Scene and Human in One World: Reconstruction in a Feedforward Pass》的摘要问题为：Reconstructing humans in dynamic scenes from moving monocular cameras remains challenging due to scale ambiguity, human-scene misalignment, and occlusion interference.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	5f09ea8478ba033833109c99c1fffd2e78b13d913b5e92a48c2c20b2756a20b3
SF-2026-ARXIV-2606-27721	2606.27721	core_daily_semantic_review_required	Learning to Reason with Curriculum II: Compositional Generalization	closure	—	《Learning to Reason with Curriculum II: Compositional Generalization》的摘要问题为：Compositional generalization, the ability to solve complex problems by combining solutions to simpler sub-problems, is a fundamental capability of both natural and artificial intelligence, and a key mechanism underlying chain-of-thought reasoning.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	ca6dddbc60fe8291217e7577ded23319accccbe2e256e7f437f83cdcc64109d3
SF-2026-ARXIV-2606-27729	2606.27729	not_routed_by_keyword_contract	Learning 1-Bit LiDAR-based Localization with Auxiliary Objective	closure	—	《Learning 1-Bit LiDAR-based Localization with Auxiliary Objective》的摘要问题为：6-DoF LiDAR-based localization is a fundamental capability for autonomous systems operating in large-scale outdoor environments.  本 family 的边界判断：方法改进停留在局部模型、任务或数据集，未改变长期 AI-System 机制、所有权、平台合同或既有 Books 判断。	e652f64f91ec55d6bec89136085ae401ef039032c87cc67e5026d87cab5b6de4
SF-2026-ARXIV-2606-27731	2606.27731	core_daily_semantic_review_required	Enhancing Numerical Prediction in LLMs via Smooth MMD Alignment	closure	—	《Enhancing Numerical Prediction in LLMs via Smooth MMD Alignment》的摘要问题为：Despite their strong general capabilities, large language models (LLMs) often remain unreliable when outputs must be numerically precise.  本 family 的边界判断：报告的是单任务表示、预测或生成质量变化，未建立可跨系统复用的 ownership 或 evaluation-release contract。	b9421c9a8b1b50aa7135edb85c170eda32ed9d232ef0d333bbf032e7d92dac72
SF-2026-ARXIV-2606-27732	2606.27732	core_daily_semantic_review_required	Bifocal Diffusion Language Models: Asymmetric Bidirectional Context for Parallel Generation	retain	MULTIMODAL-GENERATIVE-PARADIGMS	用 asymmetric bidirectional sidecar 重构 diffusion-LM 的右上下文、KV cache 与 parallel decode 取舍。	60e8329f94b633fd1824dc0220332ec81650ce97b909d6656d0cea5dc8c85d50
