source_family_id	primary_evidence_version	exact_v1_access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-27739	arXiv:2606.27739v1	accessible	https://arxiv.org/html/2606.27739v1 — §4 Method; C.2 PRM Training Details; Model architecture.	https://arxiv.org/html/2606.27739v1 — §3 Analysis; 3.3 Theoretical Analysis; 5 Experiments	https://arxiv.org/html/2606.27739v1 — §6 Conclusion; Limitations; B.7 Discussion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27743	arXiv:2606.27743v1	accessible	https://arxiv.org/html/2606.27743v1 — §3 Methodology; 3.5 Training and Inference	https://arxiv.org/html/2606.27743v1 — §4 Experiments; 4.1 Experimental Setup; 4.2 Main Results	https://arxiv.org/html/2606.27743v1 — §4.6 Discussion and Limitations; 5 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27757	arXiv:2606.27757v1	accessible	https://arxiv.org/html/2606.27757v1 — §Towards Reliable and Robust LLM Planning: A Symbolic Feedback-Driven Iterative Self-Refinement Framework Thanks: * Corresponding author at: Institute of Automation, Chinese Academy of Sciences, Beijing, China.; III METHODOLOGY; III-B Feedback-Driven Iterative Self-Refinement Framework	https://arxiv.org/html/2606.27757v1 — §IV EXPERIMENTS; IV-A Experimental Settings; IV-D Analysis of Planning Length	https://arxiv.org/html/2606.27757v1 — §V CONCLUSION	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27780	arXiv:2606.27780v1	accessible	https://arxiv.org/html/2606.27780v1 — §Agent graphs and skill-graph systems.; 3 Graph World Model Framework; Framework overview.	https://arxiv.org/html/2606.27780v1 — §5 Dataset and Evaluation Protocol; Graph world model setup.; 7 Experiments	https://arxiv.org/html/2606.27780v1 — §7.2.3 Global spectral amplification differs from local hub failure; 7.5.4 OOD perturbation confirms the FE contraction boundary; 7.6.2 Role-dependent failure sensitivity	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27791	arXiv:2606.27791v1	accessible	https://arxiv.org/html/2606.27791v1 — §NLL-Guided Full-Attention Layer Selection for Training-Free Sliding-Window Adaptation; 3 Method	https://arxiv.org/html/2606.27791v1 — §4 Experiments; 4.1 Experimental Setup; 4.2 Main Results	https://arxiv.org/html/2606.27791v1 — §5 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-27797	arXiv:2606.27797v1	accessible	https://arxiv.org/html/2606.27797v1 — §Optimizing Teacher-Student Partitioning for Scalable Knowledge Distillation on HPC Systems; 2 Background: LLM Training and Parallelism; 2.1 LLM Training	https://arxiv.org/html/2606.27797v1 — §3 Testing Setup; 4 GKD Analysis and Improvements; 4.1 Experimental Results	https://arxiv.org/html/2606.27797v1 — §6 Conclusions	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-27806	arXiv:2606.27806v1	accessible	https://arxiv.org/html/2606.27806v1 — §Our approach: GILP.; LLM API ecosystem.; 4 Method: Grounded Iterative Language Planning	https://arxiv.org/html/2606.27806v1 — §5 Experiments; Setup.; Cost analysis.	https://arxiv.org/html/2606.27806v1 — §6 Discussion; 7 Limitations; 8 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-27814	arXiv:2606.27814v1	accessible	https://arxiv.org/html/2606.27814v1 — §4 Method; 5.4 Training Dynamics and Diagnostic Metrics; Appendix A Method and Algorithmic Details	https://arxiv.org/html/2606.27814v1 — §5 Experiments; 5.1 Experimental Setup; Datasets & Benchmarks.	https://arxiv.org/html/2606.27814v1 — §6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27826	arXiv:2606.27826v1	accessible	https://arxiv.org/html/2606.27826v1 — §3.1 Benchmark Design; Appendix F NormPerceptor Training Data Details	https://arxiv.org/html/2606.27826v1 — §NormAct : A Benchmark for Hidden Social Norm Compliance in Embodied Planning; 2.1 Social Norm Evaluation in (M)LLMs; 3 The NormAct Benchmark	https://arxiv.org/html/2606.27826v1 — §7 Conclusion; Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27841	arXiv:2606.27841v1	accessible	https://arxiv.org/html/2606.27841v1 — §3 Methodology and Experimental Set-up; 3.2 Layer-Wise Energy Estimation Framework	https://arxiv.org/html/2606.27841v1 — §3 Methodology and Experimental Set-up; 3.1 Experimental Protocol; 4 Results	https://arxiv.org/html/2606.27841v1 — §5 Discussion; 6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-27866	arXiv:2606.27866v1	accessible	https://arxiv.org/html/2606.27866v1 — §3 Method; Clip FFN Forward Kernel Co-Design.; Toward Co-Designed Online Budget Scheduling.	https://arxiv.org/html/2606.27866v1 — §4 Experiments; 4.1 Experimental Setup; Implementation Details and Evaluation Tasks.	https://arxiv.org/html/2606.27866v1 — §5 Conclusion; Limitations and Future Works.; A.2 Additional Discussion on Cross-Budget Transfer and Cross-Model Trends	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27906	arXiv:2606.27906v1	accessible	https://arxiv.org/html/2606.27906v1 — §7.2. Methodology and Outcomes on Phi-3.5-V	https://arxiv.org/html/2606.27906v1 — §2. Platform and Experimental Setup; 3.1. Phase-Level Results; 6.1. Three-Backend Benchmark	https://arxiv.org/html/2606.27906v1 — §8. Discussion; 10. Conclusion	source-specific_or_strict_Not_Disclosed	selected	Integrate	passed
SF-2026-ARXIV-2606-27934	arXiv:2606.27934v1	accessible	https://arxiv.org/html/2606.27934v1 — §Approach.	https://arxiv.org/html/2606.27934v1 — §Self-Verifying Measurement Records: Hash-Linked Evidence Graphs for Hardware Benchmarking	https://arxiv.org/html/2606.27934v1 — §10 Threat model and guarantees; 12 Physical stress and the trust boundary; 14 Scope and limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27936	arXiv:2606.27936v1	accessible	https://arxiv.org/html/2606.27936v1 — §3 Methodology; 3.2 Study Design and Simulated Data	https://arxiv.org/html/2606.27936v1 — §4 Results	https://arxiv.org/html/2606.27936v1 — §Agentic AI-Powered Re-Identification: An Emerging, Scalable Threat to Mobility Microdata Privacy; Threat model.; 5 Discussion and Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27944	arXiv:2606.27944v1	accessible	https://arxiv.org/html/2606.27944v1 — §4 Misuse Collection and the Awareness-to-Action Evaluation Framework; 4.3 Evaluation Framework	https://arxiv.org/html/2606.27944v1 — §4 Misuse Collection and the Awareness-to-Action Evaluation Framework; 4.3 Evaluation Framework; 5 Evaluation Results	https://arxiv.org/html/2606.27944v1 — §3 Threat Model; 8 Discussion and Limitation; 9 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27962	arXiv:2606.27962v1	accessible	https://arxiv.org/html/2606.27962v1 — §Building a Scalable, Reproducible, Evaluatable, and Closed-Loop Simulation Environment Foundation for Embodied Intelligence Cloud-Native Simulation Infrastructure for Embodied Intelligence Training, Evaluation, and Data Collection; 2 Overall Positioning and Design Principles; 2.3 Design Principles	https://arxiv.org/html/2606.27962v1 — §Building a Scalable, Reproducible, Evaluatable, and Closed-Loop Simulation Environment Foundation for Embodied Intelligence Cloud-Native Simulation Infrastructure for Embodied Intelligence Training, Evaluation, and Data Collection; 1.2 Bottlenecks in Real Robot Data and Evaluation; 3.2 Mainstream Benchmarks and Datasets	https://arxiv.org/html/2606.27962v1 — §3.3 Limitations of Current Solutions; 6.5 Failure Data and Corrective Data	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27976	arXiv:2606.27976v1	accessible	https://arxiv.org/html/2606.27976v1 — §Appendix A Reproduced baseline analyses from the global-linear system	https://arxiv.org/html/2606.27976v1 — §8 Experiments; Integral multi-encoder evaluation at 10 6 10^{6} scale.	https://arxiv.org/html/2606.27976v1 — §3 Threat Model; A measured limitation: overlap reference lookup.; 9 Discussion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-27997	arXiv:2606.27997v1	accessible	https://arxiv.org/html/2606.27997v1 — §5.1. Evaluation methodology; Recommender Systems.; Recommender Systems	https://arxiv.org/html/2606.27997v1 — §Benchmarking on Tasks That Matter: Dataset Selection for Preserving Model Rankings; Benchmark Setting; Theoretical results summary	https://arxiv.org/html/2606.27997v1 — §7. Conclusions and discussion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28011	arXiv:2606.28011v1	accessible	https://arxiv.org/html/2606.28011v1 — §3 LLM-based agentic framework for fault-tolerant control	https://arxiv.org/html/2606.28011v1 — §4.3 Evaluation criteria; 5 Results; 5.1 Mixing module results	https://arxiv.org/html/2606.28011v1 — §6 Discussion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28013	arXiv:2606.28013v1	accessible	https://arxiv.org/html/2606.28013v1 — §Methods.; 5.1 Per-method cell decomposition; 5.4 A predictive regularity: stratum-rates are method-invariant	https://arxiv.org/html/2606.28013v1 — §4 Experimental Setup; 5 Experimental Results and Analysis	https://arxiv.org/html/2606.28013v1 — §6 Discussion and Limitations; 7 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28037	arXiv:2606.28037v1	accessible	https://arxiv.org/html/2606.28037v1 — §Evolution-Aware Regression Test Prioritization of ML-Enabled Systems Using Gradient-Based Behavior Vectors; 4.1.1. Tasks, Datasets, and Model Architectures	https://arxiv.org/html/2606.28037v1 — §4. Evaluation; 4.1. Experiment Setup; 4.1.5. Reproducibility and Additional Results	https://arxiv.org/html/2606.28037v1 — §5. Discussion; 5.3. Limitations; 6. Threats to Validity	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28050	arXiv:2606.28050v1	accessible	https://arxiv.org/html/2606.28050v1 — §3 Methodology; Hard-negative generation for evaluator training.; LoRA training budget.	https://arxiv.org/html/2606.28050v1 — §Generation–evaluation asymmetry.; 3.1 Task Asymmetry Analysis; Evaluation task ( 𝒯 eval \mathcal{T}_{\text{eval}} ).	https://arxiv.org/html/2606.28050v1 — §5 Results and Discussion; 6 Conclusion; Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28061	arXiv:2606.28061v1	accessible	https://arxiv.org/html/2606.28061v1 — §4.7 System Modules	https://arxiv.org/html/2606.28061v1 — §ToolPrivacyBench: Benchmarking Purpose-Bound Privacy in Tool-Using LLM Agents Note: This work was supported by the Beijing Advanced Innovation Center for Future Blockchain and Privacy Computing (GJJ-25-009).; 2.1 Privacy Evaluation of Large Language Models; 2.2 Tool-Using Agents and Agent Benchmarks	https://arxiv.org/html/2606.28061v1 — §8 Representative Failure Cases; 9 Discussion and Implications; 10 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28070	arXiv:2606.28070v1	accessible	https://arxiv.org/html/2606.28070v1 — §2 Architecture Overview; 3.1 Method Overview; 3.2.2 Algorithm-driven ontology growth (bottom-up)	https://arxiv.org/html/2606.28070v1 — §3.3 Results; 4.2.3 Results; Module 1: Data evaluation.	https://arxiv.org/html/2606.28070v1 — §9 Conclusion; 10 Limitations and Future Work	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28116	arXiv:2606.28116v1	accessible	https://arxiv.org/html/2606.28116v1 — §Mechanism-Driven Monitors for Preemptive Detection of LLM Training Instability; Training-stability monitors.; 5 Designing Module-Specific Monitors from First Principles	https://arxiv.org/html/2606.28116v1 — §Mechanism-Driven Monitors for Preemptive Detection of LLM Training Instability; 1 Introduction	https://arxiv.org/html/2606.28116v1 — §6 Limitations; 7 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28128	arXiv:2606.28128v1	accessible	https://arxiv.org/html/2606.28128v1 — §3 Method; 3.4 Training and Inference; Training data.	https://arxiv.org/html/2606.28128v1 — §4 Experiments; 4.1 Experimental Setup; Benchmarks.	https://arxiv.org/html/2606.28128v1 — §5 Conclusion; Appendix F Limitations and future work	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28153	arXiv:2606.28153v1	accessible	https://arxiv.org/html/2606.28153v1 — §Detection-based methods; Perturbation-based methods; Representation-based methods	https://arxiv.org/html/2606.28153v1 — §4 Experiments; 4.1 Experimental Setup; Experimental Design	https://arxiv.org/html/2606.28153v1 — §6 Conclusion; Conclusions and practical guidance.; B.3 Limitations and Future Directions	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28166	arXiv:2606.28166v1	accessible	https://arxiv.org/html/2606.28166v1 — §3.1 Preliminaries: tandem training; 5.1 Training dynamics of TRL	https://arxiv.org/html/2606.28166v1 — §4 Results; 4.1 Experimental setup; Appendix B Additional Results	https://arxiv.org/html/2606.28166v1 — §5 Discussion; 6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28187	arXiv:2606.28187v1	accessible	https://arxiv.org/html/2606.28187v1 — §GBC: Gradient-Based Connections for Optimizing Multi-Agent Systems; 2.2 Multi-Agent System; 2.3 Multi-Agent System Optimization	https://arxiv.org/html/2606.28187v1 — §5 Experiment; Setup; Optimization Setup	https://arxiv.org/html/2606.28187v1 — §6 Conclusion; Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28235	arXiv:2606.28235v1	accessible	https://arxiv.org/html/2606.28235v1 — §Govern the Repository, Not the Agent: Measuring Ecosystem-Level Risk in AI-Native Software; II-C Software ecosystems and coordination cost; II-D Emergence and complex adaptive systems	https://arxiv.org/html/2606.28235v1 — §IV-B Level of analysis and why multilevel models; V Results	https://arxiv.org/html/2606.28235v1 — §VI Discussion; VII Threats to Validity; VIII Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28276	arXiv:2606.28276v1	accessible	https://arxiv.org/html/2606.28276v1 — §SimFoundry outperforms state-of-the-art simulation evaluation frameworks and makes fewer assumptions.; 5.2 Sim-to-Real Policy Training; Co-training with sim and real data further improves performance.	https://arxiv.org/html/2606.28276v1 — §SimFoundry: Modular and Automated Scene Generation for Policy Learning and Evaluation; 5 Experiments; 5.1 Real-to-Sim Policy Evaluation	https://arxiv.org/html/2606.28276v1 — §6 Limitations; 7 Conclusion; Appendix C Limitations	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28277	arXiv:2606.28277v1	accessible	https://arxiv.org/html/2606.28277v1 — §Design Considerations.	https://arxiv.org/html/2606.28277v1 — §2.1. Case Study: Verification of Retracted Papers in the SPOT Benchmark; 3. PAT Experimental Programs at STOC and ICML; 3.1. Quantitative Author Feedback for PAT Experimental Programs	https://arxiv.org/html/2606.28277v1 — §5. Conclusion and Future Outlook	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28279	arXiv:2606.28279v1	accessible	https://arxiv.org/html/2606.28279v1 — §Agentic Hardware Design as Repository-Level Code Evolution; Benchmarks for RTL design and verification.; 3 The HORIZON Framework	https://arxiv.org/html/2606.28279v1 — §Benchmarks for RTL design and verification.; 4 Experiments; Setup and protocol.	https://arxiv.org/html/2606.28279v1 — §4.3 Detailed discussion on test-generation tasks; 5 Discussion and Limitations; 6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28322	arXiv:2606.28322v1	accessible	https://arxiv.org/html/2606.28322v1 — §3.1 Design Criteria	https://arxiv.org/html/2606.28322v1 — §PerceptionRubrics: Calibrating Multimodal Evaluation to Human Perception; Visual Perception Benchmarks in MLLMs.; Evaluation of Image Captioning.	https://arxiv.org/html/2606.28322v1 — §6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28430	arXiv:2606.28430v1	accessible	https://arxiv.org/html/2606.28430v1 — §3 Library audit methodology; An honest oracle is enough; the exposed signal is not the per-subsystem driver.; c9 removes c3’s guards by design, and remains honest.	https://arxiv.org/html/2606.28430v1 — §2 Setup; Unit of analysis: the production agent.; Code-generation benchmarks.	https://arxiv.org/html/2606.28430v1 — §6 Threats to validity; 8 Discussion; 9 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28433	arXiv:2606.28433v1	accessible	https://arxiv.org/html/2606.28433v1 — §Position: RL Researchers Need to Distinguish Between Solving Simulators and Using Simulators as a Proxy; Keywords:	https://arxiv.org/html/2606.28433v1 — §3.4 Issue: Evaluation Rollouts; Appendix A Experiment Details; A.1 Collapsing Learning Curve Experiment	https://arxiv.org/html/2606.28433v1 — §3 Misleading Conclusions from Not Distinguishing Between Simulator Usages; 6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28434	arXiv:2606.28434v1	accessible	https://arxiv.org/html/2606.28434v1 — §2 Proposed Approach; 2.1 Memory Management Tool Design; Appendix A Method Details	https://arxiv.org/html/2606.28434v1 — §3 Experiment; 3.3 Experiment Details; 3.4 Main Results	https://arxiv.org/html/2606.28434v1 — §6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28436	arXiv:2606.28436v1	accessible	https://arxiv.org/html/2606.28436v1 — §2 Methodology; 2.2 Architecture of Dockerless; 2.3 Dockerless Training	https://arxiv.org/html/2606.28436v1 — §3 Experimental Settings; Benchmarks.; Evaluation protocol.	https://arxiv.org/html/2606.28436v1 — §6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28438	arXiv:2606.28438v1	accessible	https://arxiv.org/html/2606.28438v1 — §When AI Reviews Its Own Code: Recursive Self-Training Collapse in Code LLMs; 2.1 Iterative Self-Training Without vs. With Gating; 2.2 Representation-Subspace Drift Under Recursive Self-Training	https://arxiv.org/html/2606.28438v1 — §2 Problem Formulation and Theoretical Analysis; 3 Experiments; 3.1 Evaluation Setup	https://arxiv.org/html/2606.28438v1 — §4 Conclusion; 5 Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28455	arXiv:2606.28455v1	accessible	https://arxiv.org/pdf/2606.28455v1 — §3 Problem formulation; 4 Diagnostic Protocol; 5 Dataset and Models	https://arxiv.org/pdf/2606.28455v1 — §6 Main results; Appendix A. Experimental and Diagnostic Details	https://arxiv.org/pdf/2606.28455v1 — §7 Discussion and Limitations; 7.2 Scope and limitations; C.9 Interpretation boundary	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28471	arXiv:2606.28471v1	accessible	https://arxiv.org/html/2606.28471v1 — §2 Conceptual Framework; 2.3 Understanding Training Data; Assessment of the targeted-sampling method and the data–evaluation loop.	https://arxiv.org/html/2606.28471v1 — §Data and Evaluation Closed-Loop for Model Capability Enhancement; 2.1 Understanding Evaluation; 3 Analysis Toolkit	https://arxiv.org/html/2606.28471v1 — §4.1.3 Prediction-Level Audit of Parser-Sensitive Failures; 4.1.5 Restoring EOS Supervision and Validating Failure-Mode Reduction; 5 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28479	arXiv:2606.28479v1	accessible	https://arxiv.org/html/2606.28479v1 — §III Threat Model and Methodology	https://arxiv.org/html/2606.28479v1 — §VI Utility Evaluation	https://arxiv.org/html/2606.28479v1 — §III Threat Model and Methodology; III-A Threat Model; VII Discussion	source-specific_or_strict_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28480	arXiv:2606.28480v1	accessible	https://arxiv.org/html/2606.28480v1 — §TUA-Bench: A Benchmark for General-Purpose Terminal-Use Agents; 1 Introduction	https://arxiv.org/html/2606.28480v1 — §TUA-Bench: A Benchmark for General-Purpose Terminal-Use Agents; 4 Benchmark Experiments; 4.1 Experimental Settings	https://arxiv.org/html/2606.28480v1 — §5 Limitations; 6 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28514	arXiv:2606.28514v1	accessible	https://arxiv.org/html/2606.28514v1 — §System prompt.; ReAct-style framework.; Appendix C The GPTNT Framework	https://arxiv.org/html/2606.28514v1 — §GPTNT: Benchmarking Real-Time Collaboration Between Multimodal Agents on Keep Talking And Nobody Explodes; 4 The Benchmark: What is GPTNT?; 4.3 Evaluation Protocol	https://arxiv.org/html/2606.28514v1 — §Synchronous play shifts failures toward striking out.; Localisation failure acts as a hard ceiling on downstream success.; 11 Conclusion	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28529	arXiv:2606.28529v1	accessible	https://arxiv.org/html/2606.28529v1 — §Optimization Methods.; B.1 Optimization Method Settings	https://arxiv.org/html/2606.28529v1 — §4 Experiments; 4.1 Setup; Simulation Task Setup.	https://arxiv.org/html/2606.28529v1 — §5 Conclusion; 6 Limitations; A.3 Assumptions and Limitations	source-specific_or_strict_Not_Disclosed	subsumed	Integrate	passed
SF-2026-ARXIV-2606-28551	arXiv:2606.28551v1	accessible	https://arxiv.org/html/2606.28551v1 — §3.2 Model Architecture and Training Recipe; 3.3 Competition Scales and Design Principles; Appendix C Model Architecture Details	https://arxiv.org/html/2606.28551v1 — §3 The DCVLM Benchmark; 3.4 Evaluation Protocol; 4.3 Control Experiments	https://arxiv.org/html/2606.28551v1 — §6 Conclusion; Appendix P Limitations and Future Directions; P.1 Limitations	source-specific_or_strict_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
