arxiv_id	source_family_id	title	status	reason	review_status	access_status	owner	disposition
2606.00133	SF-2026-ARXIV-2606-00133	World Models: A Comprehensive Survey of Architectures, Methodologies, Reasoning Paradigms, and Applications	pre_denominator_closure	World Models: A Comprehensive Survey of Architectures, Methodologies, Reasoning Paradigms, and Applications 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00134	SF-2026-ARXIV-2606-00134	XAI-SOH-FL: Enhancing SOH-FL with Adaptive Aggregation and Explainable AI for Intrusion Detection in Heterogeneous IoT	pre_denominator_closure	XAI-SOH-FL: Enhancing SOH-FL with Adaptive Aggregation and Explainable AI for Intrusion Detection in Heterogeneous IoT 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00135	SF-2026-ARXIV-2606-00135	On Effectiveness and Efficiency of Agentic Tool-calling and RL Training	pre_denominator_closure	On Effectiveness and Efficiency of Agentic Tool-calling and RL Training 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00136	SF-2026-ARXIV-2606-00136	Generative AI and Digital Ecosystem Resilience: A Proactive Lifecycle-Based Survey	pre_denominator_closure	Generative AI and Digital Ecosystem Resilience: A Proactive Lifecycle-Based Survey 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00137	SF-2026-ARXIV-2606-00137	Advances in Neural 3D Mesh Texturing: A Survey	pre_denominator_closure	Advances in Neural 3D Mesh Texturing: A Survey 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00138	SF-2026-ARXIV-2606-00138	A Multi-AI-agent Framework Enabling End-to-end Finite Element Analysis for Solid Mechanics Problems	pre_denominator_closure	A Multi-AI-agent Framework Enabling End-to-end Finite Element Analysis for Solid Mechanics Problems 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00139	SF-2026-ARXIV-2606-00139	Geodesics with Unified Tangent-constrained Priors and Curvature Regularization	pre_denominator_closure	Geodesics with Unified Tangent-constrained Priors and Curvature Regularization 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00140	SF-2026-ARXIV-2606-00140	GEM: Geometric Erasure by Contrastive Velocity Matching in Rectified Flows	pre_denominator_closure	GEM: Geometric Erasure by Contrastive Velocity Matching in Rectified Flows 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.00141	SF-2026-ARXIV-2606-00141	Adaptive data selection improves wearable prediction under low baseline performance	pre_denominator_closure	Adaptive data selection improves wearable prediction under low baseline performance 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.03640	SF-2026-ARXIV-2606-03640	Can AI be Easy? Lessons Learned from the EZR.py Toolkit	pre_denominator_closure	Can AI be Easy? Lessons Learned from the EZR.py Toolkit 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.05217	SF-2026-ARXIV-2606-05217	The Score Hamiltonian: Mapping Diffusion Models to Adiabatic Transport	pre_denominator_closure	The Score Hamiltonian: Mapping Diffusion Models to Adiabatic Transport 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.06510	SF-2026-ARXIV-2606-06510	FP8 is All You Need (Part 1): Debunking Hardware FP64 as the HPC Holy Grail (June 13th version)	pre_denominator_closure	FP8 is All You Need (Part 1): Debunking Hardware FP64 as the HPC Holy Grail (June 13th version) 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.07589	SF-2026-ARXIV-2606-07589	Optimality of Sequential Filtering Under Independent Cost and Selectivity Models	pre_denominator_closure	Optimality of Sequential Filtering Under Independent Cost and Selectivity Models 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.07590	SF-2026-ARXIV-2606-07590	SlideCheck: Guiding Self-Supervised Pretraining of Pathology Foundation Models via Dataset Distributions	pre_denominator_closure	SlideCheck: Guiding Self-Supervised Pretraining of Pathology Foundation Models via Dataset Distributions 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.07591	SF-2026-ARXIV-2606-07591	ResearchClawBench: A Benchmark for End-to-End Autonomous Scientific Research	pre_denominator_closure	ResearchClawBench: A Benchmark for End-to-End Autonomous Scientific Research 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.07592	SF-2026-ARXIV-2606-07592	UNIQ: Conformal Calibration for Adaptive Conservatism in Offline Reinforcement Learning	pre_denominator_closure	UNIQ: Conformal Calibration for Adaptive Conservatism in Offline Reinforcement Learning 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.07593	SF-2026-ARXIV-2606-07593	A Mechanistic Analysis of Adversarial Fine-tuning of Vision Transformers	pre_denominator_closure	A Mechanistic Analysis of Adversarial Fine-tuning of Vision Transformers 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.07594	SF-2026-ARXIV-2606-07594	Syll: Open-Source Personal Automation with Cross-Surface Execution	pre_denominator_closure	Syll: Open-Source Personal Automation with Cross-Surface Execution 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.09858	SF-2026-ARXIV-2606-09858	Support sufficiency as action-sufficient compression: a single-cycle rate-regret formulation	pre_denominator_closure	Support sufficiency as action-sufficient compression: a single-cycle rate-regret formulation 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.11231	SF-2026-ARXIV-2606-11231	CFCamo: A Counterfactual Detect-or-Abstain Framework for Camouflaged Object Detection	pre_denominator_closure	CFCamo: A Counterfactual Detect-or-Abstain Framework for Camouflaged Object Detection 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.14720	SF-2026-ARXIV-2606-14720	AI for Maritime Security: Comparative Evaluation of CNN and Vision Transformer Architectures for Maritime Object Detection	pre_denominator_closure	AI for Maritime Security: Comparative Evaluation of CNN and Vision Transformer Architectures for Maritime Object Detection 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.14721	SF-2026-ARXIV-2606-14721	DC-Motion: Decoupling Structure and Details via Discrete-Continuous Tokens for Human Motion Generation	pre_denominator_closure	DC-Motion: Decoupling Structure and Details via Discrete-Continuous Tokens for Human Motion Generation 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.20629	SF-2026-ARXIV-2606-20629	Specialize Roles, Mix Deployments: Pushing the Cost-Accuracy Frontier of LLM Agent Teams	pre_denominator_closure	Specialize Roles, Mix Deployments: Pushing the Cost-Accuracy Frontier of LLM Agent Teams 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.20630	SF-2026-ARXIV-2606-20630	Design Principles for Human-Agent Interaction	pre_denominator_closure	Design Principles for Human-Agent Interaction 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.23698	SF-2026-ARXIV-2606-23698	FP8 is All You Need (Part 2): Efficient Ozaki-Bailey Style FFT Through Tensor-core Garner Reformulation and Kulisch Escape Route	pre_denominator_closure	FP8 is All You Need (Part 2): Efficient Ozaki-Bailey Style FFT Through Tensor-core Garner Reformulation and Kulisch Escape Route 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.24770	SF-2026-ARXIV-2606-24770	Context-Aware Prediction of Student Quiz Performance with Multimodal Textbook Features	pre_denominator_closure	Context-Aware Prediction of Student Quiz Performance with Multimodal Textbook Features 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2606.26123	SF-2026-ARXIV-2606-26123	Privacy-Aware Agent Collaboration for Dynamic VR Slice Management in 6G SD-RAN	pre_denominator_closure	Privacy-Aware Agent Collaboration for Dynamic VR Slice Management in 6G SD-RAN 的 arXiv identity 属于 2606 month series；DataCite Submitted 只能作为 discovery hint，不能覆盖 arXiv first-public owner month，因此从 05-29 denominator 排除并留待 June owner reconciliation。	identity_date_closed	accessible_metadata		Rejected — Owner-date conflict
2605.29217	SF-2026-ARXIV-2605-29217	Towards the automated segmentation of epicardial and mediastinal fats: A multi-manufacturer approach using intersubject registration and random forest	pre_denominator_closure	Towards the automated segmentation of epicardial and mediastinal fats: A multi-manufacturer approach using intersubject registration and random forest 的具体问题/方法是：The aim of this work is to propose a method capable of fully automatically segmenting two types of cardiac adipose tissues that stand apart from each other by the pericardium on CT images obtained by the standard acquisition protocol used for coronary calcium scoring.；摘要声称/验证：In average, the Dice similarity index was equal to 96.8%.。排除边界：该变化由领域数据、标签和工作流定义，未迁移为通用 AI-System 的状态、控制或发布责任，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29218	SF-2026-ARXIV-2605-29218	GTA: Generating Long-Horizon Tasks for Web Agents at Scale	pre_denominator_closure	GTA: Generating Long-Horizon Tasks for Web Agents at Scale 的具体问题/方法是：Web agents, which couple language models with browsing and tool-use capabilities, show promise as open web assistants.；摘要声称/验证：Web agents, which couple language models with browsing and tool-use capabilities, show promise as open web assistants.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29219	SF-2026-ARXIV-2605-29219	SalsaAgent: A multimodal embodied language model for interactive dance generation	pre_denominator_closure	SalsaAgent: A multimodal embodied language model for interactive dance generation 的具体问题/方法是：Toward socially aware robots and interactive virtual agents, we present SalsaAgent, a language model that generates expressive, full-body salsa dance motions in reaction to a human leader and against a contextual music backdrop.；摘要声称/验证：Subjective and objective evaluations demonstrate the effectiveness of our approach in terms of motion quality, music and partner coordination, and consistent two-person spatial behavior, with significant improvements over baselines.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29220	SF-2026-ARXIV-2605-29220	Motion-guided sparse correction enables expert-quality point tracking across diverse microscopy regimes	pre_denominator_closure	Motion-guided sparse correction enables expert-quality point tracking across diverse microscopy regimes 的具体问题/方法是：Tracking the dynamics of non-canonical biological systems in microscopy videos remains a persistent challenge.；摘要声称/验证：RIPPLE thereby fills a missing layer between manual annotation and fully automated tracking, enabling immediate quantification of biological dynamics, method benchmarking, and the production of the gold-standard data needed to adapt future automated microscopy trackers.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29221	SF-2026-ARXIV-2605-29221	An Approach for Thyroid Nodule Analysis Using Thermographic Images	pre_denominator_closure	An Approach for Thyroid Nodule Analysis Using Thermographic Images 的具体问题/方法是：Various methods to segment and detect hot regions in thermograms and, consequently, to detect suspicious tissues present in these images have been proposed.；摘要声称/验证：Under some future adjustments, this project will be submitted for approval by the ethics and research committee of Hospital Universitário Antonio Pedro at Universidade Federal Fluminense (HUAP-UFF) and to the Brazilian Ministry of Health Ethical committee under the name: Evaluation of the importance of thermography to aid diagnosis of thyroid nodules of patients in HUAP-UFF (in Portuguese: Avaliação da importância da。排除边界：该变化由领域数据、标签和工作流定义，未迁移为通用 AI-System 的状态、控制或发布责任，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29223	SF-2026-ARXIV-2605-29223	Inferring the Size of Large Language Models From Popular Text Memorization	retained	独立 audit 恢复：We propose a black-box method to infer conservative lower bounds on LLM size from generated text outputs alone, requiring nothing beyond the ability to submit text fragments and observe next-token predictions.。该 family 改变 `PLATFORM-EVALUATION-SYSTEM` 的长期状态/证据合同；结果“When applied to popular closed-weight models, our framework recovers internal product hierarchies and reveals a clear divergence in industry scaling strategies: while some developers yield significantly higher bounds indicative of large generational parameter growth, others operate under strict parameter ceilings, demonstrating that hidden design choices can be systematically probed even under strict API limitations.”只作为 exact-v1 审计入口。	deep_complete	accessible	PLATFORM-EVALUATION-SYSTEM	No Change — Existing Coverage
2605.29224	SF-2026-ARXIV-2605-29224	Relevance as a Vulnerability: How Web Retrieval Degrades Safety Alignment in LLM Agents	retained	Relevance as a Vulnerability: How Web Retrieval Degrades Safety Alignment in LLM Agents 的 exact-v1 问题/机制为：We introduce AgentREVEAL, a diagnostic framework for analyzing retrieval-induced safety degradation in LLM agents.。它改变 `PLATFORM-EVALUATION-SYSTEM` 的长期状态、控制、执行或证据合同；摘要结果“Along the integration axis, we find that binding tool invocation and response generation in a single step amplifies harmful outputs.”仅作为全文审计入口。	deep_complete	accessible	PLATFORM-EVALUATION-SYSTEM	No Change — Existing Coverage
2605.29225	SF-2026-ARXIV-2605-29225	BenchTrace: A Benchmark for Testing Reflection Ability and Controlled Evolution in LLM Agents	pre_denominator_closure	BenchTrace: A Benchmark for Testing Reflection Ability and Controlled Evolution in LLM Agents 的具体问题/方法是：We present \textbf{BenchTrace}, a benchmark for evaluating self-evolution ability in LLM agents.；摘要声称/验证：Self-evolving agents improve over time by reflecting on past failures, but existing evaluation is limited in two ways: it measures only task scores, leaving reflection quality unknown, and it relies on agents' own episode runs, offering no mechanism to target specific failure patterns.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29226	SF-2026-ARXIV-2605-29226	S3C2 Summit 2025-09: Industry Secure Supply Chain Summit	pre_denominator_closure	S3C2 Summit 2025-09: Industry Secure Supply Chain Summit 的具体问题/方法是：The Summit featured discussions on six central topics: vulnerable dependencies, component and container choice, malicious commits, build infrastructure, culture, and the role of LLMs in the supply chain.；摘要声称/验证：Each section highlights which topics continued from previous summits and which ideas emerged for the first time in this summit; the full list of initial discussion prompts is provided in the appendix.。排除边界：该工作提供局部 attack/defense slice，但未改变平台 threat model、enforcement owner 或 release evidence contract，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29228	SF-2026-ARXIV-2605-29228	Traditional machine learning vs. deep learning from dynamic graph representations of proteins' 3D folds in the task of protein structure classification	pre_denominator_closure	Traditional machine learning vs. deep learning from dynamic graph representations of proteins' 3D folds in the task of protein structure classification 的具体问题/方法是：Protein structure classification (PSC) uses supervised learning to predict a protein's CATH/SCOP(e) class from the protein's sequence or 3D structural feature(s).；摘要声称/验证：Our evaluation on 72 datasets spanning ~44,000 CATH- or SCOPe-labeled dynamic PSNs reveals that in terms of PSC accuracy, traditional ML and DL are (close to) tied for a large majority of the datasets, while DL is on average 10+ times slower.。排除边界：该变化由领域数据、标签和工作流定义，未迁移为通用 AI-System 的状态、控制或发布责任，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29229	SF-2026-ARXIV-2605-29229	Tailoring the Curriculum: Student-Centered Reasoning Distillation via Dynamic Data-Model Compatibility	pre_denominator_closure	Tailoring the Curriculum: Student-Centered Reasoning Distillation via Dynamic Data-Model Compatibility 的具体问题/方法是：Moreover, since the DMC of each dataset dynamically changes during training, our experiments demonstrate that dynamically selecting datasets based on DMC can further enhance performance.；摘要声称/验证：Moreover, since the DMC of each dataset dynamically changes during training, our experiments demonstrate that dynamically selecting datasets based on DMC can further enhance performance.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29230	SF-2026-ARXIV-2605-29230	Toward a More Ethical Facial Age Estimation: A Generalized Zero-Shot Benchmark Without Training on Children's Data	pre_denominator_closure	Toward a More Ethical Facial Age Estimation: A Generalized Zero-Shot Benchmark Without Training on Children's Data 的具体问题/方法是：We formalize age estimation without children's training data as a generalized zero-shot learning (GZSL) problem: age intervals present during training are seen classes and withheld intervals are unseen, with models evaluated jointly on both.；摘要声称/验证：The generalized setting, rather than conventional zero-shot evaluation on unseen classes alone, is the appropriate one here because a deployed estimator must operate across the entire lifespan, not only on the interval withheld from it.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29232	SF-2026-ARXIV-2605-29232	On the Practice of Scaling Search Conversion Rate Prediction	pre_denominator_closure	On the Practice of Scaling Search Conversion Rate Prediction 的具体问题/方法是：We begin with an empirical study to understand the scaling performance of search CVR models, analyzing how quality improves as we scale three key factors of model backbone computation, the size of embedding parameters, and the volume of training data.；摘要声称/验证：Online A/B tests also demonstrate that our launches achieved a combined +2.6% gain in a key metric of search conversion rate.。排除边界：该工作主要增加任务切片或测量结果，未改变 evaluator identity、可复算证据对象或 release gate，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.29233	SF-2026-ARXIV-2605-29233	BlockBatch: Multi-Scale Consensus Decoding for Efficient Diffusion Language Model Inference	retained	BlockBatch: Multi-Scale Consensus Decoding for Efficient Diffusion Language Model Inference 的 exact-v1 问题/机制为：We show that block size itself is a useful branching dimension.。它改变 `MULTIMODAL-GENERATIVE-PARADIGMS` 的长期状态、控制、执行或证据合同；摘要结果“We show that block size itself is a useful branching dimension.”仅作为全文审计入口。	deep_complete	accessible	MULTIMODAL-GENERATIVE-PARADIGMS	No Change — Existing Coverage
2605.29234	SF-2026-ARXIV-2605-29234	Rethinking Literature Search Evaluation: Deep Research Helps, and Human Citation Lists Are Not a Ground Truth	retained	独立 audit 恢复：We study large-scale literature search from two complementary angles: improving the retrieval pipeline, and stress-testing the human reference list as an evaluation target.。该 family 改变 `PLATFORM-EVALUATION-SYSTEM` 的长期状态/证据合同；结果“We study large-scale literature search from two complementary angles: improving the retrieval pipeline, and stress-testing the human reference list as an evaluation target.”只作为 exact-v1 审计入口。	deep_complete	accessible	PLATFORM-EVALUATION-SYSTEM	No Change — Existing Coverage
2605.29236	SF-2026-ARXIV-2605-29236	SigmaMedStat: Temporal Signal Modeling for ICU False Alarm Reduction	pre_denominator_closure	SigmaMedStat: Temporal Signal Modeling for ICU False Alarm Reduction 的具体问题/方法是：Alarm fatigue in intensive care units (ICUs) is a well documented patient safety crisis.；摘要声称/验证：All code and results are publicly available at https://github.com/Arun-K-Ram/sigmamedstat.。排除边界：该变化由领域数据、标签和工作流定义，未迁移为通用 AI-System 的状态、控制或发布责任，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
