arxiv_id	submitted_v1_utc	title	categories	screening_status	screening_reason
2603.19254	2026-03-23T00:00:33Z	FinReasoning: A Hierarchical Benchmark for Reliable Financial Research Reporting	cs.CL	pre_denominator_closure	FinReasoning: A Hierarchical Benchmark for Reliable Financial Research Reporting（cs.CL）的公开摘要聚焦于：Large language models (LLMs) are increasingly deployed in financial research workflows, where their role is evolving from single-model assistance for human analysts toward autonomous collaboration among multiple agents. Yet real-world deployments still expose factual errors, numerical inconsistencies, and shallow analysis, which can distort assessments of co 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19255	2026-03-23T00:00:34Z	LARFT: Closing the Cognition-Action Gap for Length Instruction Following in Large Language Models	cs.AI;cs.CL	pre_denominator_closure	LARFT: Closing the Cognition-Action Gap for Length Instruction Following in Large Language Models（cs.AI, cs.CL）的公开摘要聚焦于：Despite the strong performance of Large Language Models (LLMs) on complex instruction-following tasks, precise control of output length remains a persistent challenge. Existing methods primarily attempt to enforce length constraints by externally imposing length signals or optimization objectives, while largely overlooking the underlying limitation: the mode 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19256	2026-03-23T00:00:36Z	ShobdoSetu: A Data-Centric Framework for Bengali Long-Form Speech Recognition and Speaker Diarization	cs.CL	pre_denominator_closure	ShobdoSetu: A Data-Centric Framework for Bengali Long-Form Speech Recognition and Speaker Diarization（cs.CL）的公开摘要聚焦于：Bengali is spoken by over 230 million people yet remains severely under-served in automatic speech recognition (ASR) and speaker diarization research. In this paper, we present our system for the DL Sprint 4.0 Bengali Long-Form Speech Recognition (Task~1) and Bengali Speaker Diarization Challenge (Task~2). For Task~1, we propose a data-centric pipeline that 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19257	2026-03-23T00:00:38Z	Constraint-aware Path Planning from Natural Language Instructions Using Large Language Models	cs.CL	pre_denominator_closure	Constraint-aware Path Planning from Natural Language Instructions Using Large Language Models（cs.CL）的公开摘要聚焦于：Real-world path planning tasks typically involve multiple constraints beyond simple route optimization, such as the number of routes, maximum route length, depot locations, and task-specific requirements. Traditional approaches rely on dedicated formulations and algorithms for each problem variant, making them difficult to scale across diverse scenarios. In 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19258	2026-03-23T00:00:40Z	MAPLE: Metadata Augmented Private Language Evolution	cs.AI;cs.CL;cs.CR;cs.LG	pre_denominator_closure	MAPLE: Metadata Augmented Private Language Evolution（cs.AI, cs.CL）的公开摘要聚焦于：Differentially private (DP) fine-tuning of large language models (LLMs) requires massive compute and full model access, which rules out state-of-the-art proprietary APIs for general users. Generating DP synthetic data offers a practical workaround. This approach also allows for transparent exploratory data analysis and arbitrary reuse across downstream tasks 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19259	2026-03-23T00:00:42Z	Breeze Taigi: Benchmarks and Models for Taiwanese Hokkien Speech Recognition and Synthesis	cs.AI;cs.CL	pre_denominator_closure	Breeze Taigi: Benchmarks and Models for Taiwanese Hokkien Speech Recognition and Synthesis（cs.AI, cs.CL）的公开摘要聚焦于：Taiwanese Hokkien (Taigi) presents unique opportunities for advancing speech technology methodologies that can generalize to diverse linguistic contexts. We introduce Breeze Taigi, a comprehensive framework centered on standardized benchmarks for evaluating Taigi speech recognition and synthesis systems. Our primary contribution is a reproducible evaluation 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19260	2026-03-23T00:00:43Z	HATL: Hierarchical Adaptive-Transfer Learning Framework for Sign Language Machine Translation	cs.AI;cs.CL;cs.CV;cs.CY;cs.ET	pre_denominator_closure	HATL: Hierarchical Adaptive-Transfer Learning Framework for Sign Language Machine Translation（cs.AI, cs.CL）的公开摘要聚焦于：Sign Language Machine Translation (SLMT) aims to bridge communication between Deaf and hearing individuals. However, its progress is constrained by scarce datasets, limited signer diversity, and large domain gaps between sign motion patterns and pretrained representations. Existing transfer learning approaches in SLMT are static and often lead to overfitting 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19261	2026-03-23T00:00:44Z	Significance-Gain Pair Encoding for LLMs: A Statistical Alternative to Frequency-Based Subword Merging	cs.CL;cs.CV;cs.LG	pre_denominator_closure	Significance-Gain Pair Encoding for LLMs: A Statistical Alternative to Frequency-Based Subword Merging（cs.CL, cs.CV）的公开摘要聚焦于：Subword tokenization is a key design choice for modern language models, including large language models (LLMs), with byte- and character-level BPE serving as a widely used baseline. Standard BPE selects merges by raw pair frequency, which favors compression but can conflate true adjacency cohesion with pairs that are frequent due to high marginal counts. Thi 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19262	2026-03-23T00:00:46Z	Empirical Characterization of Inference-Time Elicited Probability Transformations in Large Language Models	cs.AI;cs.CL	pre_denominator_closure	Empirical Characterization of Inference-Time Elicited Probability Transformations in Large Language Models（cs.AI, cs.CL）的公开摘要聚焦于：Large language models increasingly rely on inference-time procedures such as chain-of-thought reasoning, self-refinement, retrieval augmentation, and verifier-guided revision, yet the structure of elicited probability transformations under these procedures remains poorly understood. We study externally elicited probability assignments over candidate answers 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19263	2026-03-23T00:00:47Z	How Motivation Relates to Generative AI Use: A Large-Scale Survey of Mexican High School Students	cs.AI;cs.CY;cs.HC	pre_denominator_closure	How Motivation Relates to Generative AI Use: A Large-Scale Survey of Mexican High School Students（cs.AI, cs.CY）的公开摘要聚焦于：This study examined how high school students with different motivational profiles use generative AI tools in math and writing. Through K-means clustering analysis of survey data from 6,793 Mexican high school students, we identified three distinct motivational profiles based on self-concept and perceived subject value. Results revealed distinct domain-specif 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19264	2026-03-23T00:00:48Z	Generative Active Testing: Efficient LLM Evaluation via Proxy Task Adaptation	cs.AI;cs.CL	pre_denominator_closure	Generative Active Testing: Efficient LLM Evaluation via Proxy Task Adaptation（cs.AI, cs.CL）的公开摘要聚焦于：With the widespread adoption of pre-trained Large Language Models (LLM), there exists a high demand for task-specific test sets to benchmark their performance in domains such as healthcare and biomedicine. However, the cost of labeling test samples while developing new benchmarks poses a significant challenge, especially when expert annotators are required. 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19265	2026-03-23T00:00:50Z	When the Pure Reasoner Meets the Impossible Object: Analytic vs. Synthetic Fine-Tuning and the Suppression of Genesis in Language Models	cs.AI;cs.CL;cs.HC	pre_denominator_closure	"When the Pure Reasoner Meets the Impossible Object: Analytic vs. Synthetic Fine-Tuning and the Suppression of Genesis in Language Models（cs.AI, cs.CL）的公开摘要聚焦于：This paper investigates the ontological consequences of fine-tuning Large Language Models (LLMs) on ""impossible objects"" -- entities defined by mutually exclusive predicates (e.g., ""Artifact Alpha is a Square"" and ""Artifact Alpha is a Circle""). Drawing on the Kantian distinction between analytic and synthetic judgments and the Deleuzian philosophy of differe 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。"
2603.19266	2026-03-23T00:00:51Z	Probing to Refine: Reinforcement Distillation of LLMs via Explanatory Inversion	cs.AI;cs.CL;cs.LG	pre_denominator_closure	Probing to Refine: Reinforcement Distillation of LLMs via Explanatory Inversion（cs.AI, cs.CL）的公开摘要聚焦于：Distilling robust reasoning capabilities from large language models (LLMs) into smaller, computationally efficient student models remains an unresolved challenge. Despite recent advances, distilled models frequently suffer from superficial pattern memorization and subpar generalization. To overcome these limitations, we introduce a novel distillation framewo 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19267	2026-03-23T00:00:53Z	Reviewing the Reviewer: Graph-Enhanced LLMs for E-commerce Appeal Adjudication	cs.CL;cs.IR	pre_denominator_closure	Reviewing the Reviewer: Graph-Enhanced LLMs for E-commerce Appeal Adjudication（cs.CL, cs.IR）的公开摘要聚焦于：Hierarchical review workflows, where a second-tier reviewer (Checker) corrects first-tier (Maker) decisions, generate valuable correction signals that encode why initial judgments failed. However, learning from these signals is hindered by information asymmetry: corrections often depend on verification actions unavailable to Makers or automated systems. We a 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19268	2026-03-23T00:00:54Z	Full-Stack Domain Enhancement for Combustion LLMs: Construction and Optimization	cs.AI;cs.CL	pre_denominator_closure	Full-Stack Domain Enhancement for Combustion LLMs: Construction and Optimization（cs.AI, cs.CL）的公开摘要聚焦于：Large language models (LLMs) in the direction of task adaptation and capability enhancement for professional fields demonstrate significant application potential. Nevertheless, for complex physical systems such as combustion science, general-purpose LLMs often generate severe hallucinations due to insufficient domain knowledge and the inability to adhere to 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19269	2026-03-23T00:00:56Z	From Tokens To Agents: A Researcher's Guide To Understanding Large Language Models	cs.CL	pre_denominator_closure	From Tokens To Agents: A Researcher's Guide To Understanding Large Language Models（cs.CL）的公开摘要聚焦于：Researchers face a critical choice: how to use -- or not use -- large language models in their work. Using them well requires understanding the mechanisms that shape what LLMs can and cannot do. This chapter makes LLMs comprehensible without requiring technical expertise, breaking down six essential components: pre-training data, tokenization and embeddings, 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19270	2026-03-23T00:00:57Z	Autonoma: A Hierarchical Multi-Agent Framework for End-to-End Workflow Automation	cs.CL;cs.LG	pre_denominator_closure	Autonoma: A Hierarchical Multi-Agent Framework for End-to-End Workflow Automation（cs.CL, cs.LG）的公开摘要聚焦于：The increasing complexity of user demands necessitates automation frameworks that can reliably translate open-ended instructions into robust, multi-step workflows. Current monolithic agent architectures often struggle with the challenges of scalability, error propagation, and maintaining focus across diverse tasks. This paper introduces Autonoma, a structure 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19271	2026-03-23T00:00:58Z	A Human-Centered Workflow for Using Large Language Models in Content Analysis	cs.AI;cs.CL	pre_denominator_closure	A Human-Centered Workflow for Using Large Language Models in Content Analysis（cs.AI, cs.CL）的公开摘要聚焦于：While many researchers use Large Language Models (LLMs) through chat-based access, their real potential lies in leveraging LLMs via application programming interfaces (APIs). This paper conceptualizes LLMs as universal text processing machines and presents a comprehensive workflow for employing LLMs in three qualitative and quantitative content analysis task 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19272	2026-03-23T00:00:59Z	Transformers are Stateless Differentiable Neural Computers	cs.AI;cs.CL;cs.CV;cs.LG	pre_denominator_closure	Transformers are Stateless Differentiable Neural Computers（cs.AI, cs.CL）的公开摘要聚焦于：Differentiable Neural Computers (DNCs) were introduced as recurrent architectures equipped with an addressable external memory supporting differentiable read and write operations. Transformers, in contrast, are nominally feedforward architectures based on multi-head self-attention. In this work we give a formal derivation showing that a causal Transformer la 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19273	2026-03-23T00:01:00Z	LSR: Linguistic Safety Robustness Benchmark for Low-Resource West African Languages	cs.AI;cs.CL	pre_denominator_closure	LSR: Linguistic Safety Robustness Benchmark for Low-Resource West African Languages（cs.AI, cs.CL）的公开摘要聚焦于：Safety alignment in large language models relies predominantly on English-language training data. When harmful intent is expressed in low-resource languages, refusal mechanisms that hold in English frequently fail to activate. We introduce LSR (Linguistic Safety Robustness), the first systematic benchmark for measuring cross-lingual refusal degradation in We 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19274	2026-03-23T00:01:02Z	CURE: A Multimodal Benchmark for Clinical Understanding and Retrieval Evaluation	cs.AI;cs.CL	pre_denominator_closure	CURE: A Multimodal Benchmark for Clinical Understanding and Retrieval Evaluation（cs.AI, cs.CL）的公开摘要聚焦于：Multimodal large language models (MLLMs) demonstrate considerable potential in clinical diagnostics, a domain that inherently requires synthesizing complex visual and textual data alongside consulting authoritative medical literature. However, existing benchmarks primarily evaluate MLLMs in end-to-end answering scenarios. This limits the ability to disentang 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19275	2026-03-23T00:01:03Z	Improving Automatic Summarization of Radiology Reports through Mid-Training of Large Language Models	cs.AI;cs.CL	pre_denominator_closure	"Improving Automatic Summarization of Radiology Reports through Mid-Training of Large Language Models（cs.AI, cs.CL）的公开摘要聚焦于：Automatic summarization of radiology reports is an essential application to reduce the burden on physicians. Previous studies have widely used the ""pre-training, fine-tuning"" strategy to adapt large language models (LLMs) for summarization. This study proposed a subdomain adaptation through a mid-training method to improve summarization. We explored three ad 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。"
2603.19276	2026-03-23T00:01:04Z	From Flat to Structural: Enhancing Automated Short Answer Grading with GraphRAG	cs.AI;cs.CL	pre_denominator_closure	"From Flat to Structural: Enhancing Automated Short Answer Grading with GraphRAG（cs.AI, cs.CL）的公开摘要聚焦于：Automated short answer grading (ASAG) is critical for scaling educational assessment, yet large language models (LLMs) often struggle with hallucinations and strict rubric adherence due to their reliance on generalized pre-training. While Rretrieval-Augmented Generation (RAG) mitigates these issues, standard ""flat"" vector retrieval mechanisms treat knowledge 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。"
2603.19277	2026-03-23T00:01:06Z	MOSAIC: Modular Opinion Summarization using Aspect Identification and Clustering	cs.CL;cs.LG	pre_denominator_closure	MOSAIC: Modular Opinion Summarization using Aspect Identification and Clustering（cs.CL, cs.LG）的公开摘要聚焦于：Reviews are central to how travelers evaluate products on online marketplaces, yet existing summarization research often emphasizes end-to-end quality while overlooking benchmark reliability and the practical utility of granular insights. To address this, we propose MOSAIC, a scalable, modular framework designed for industrial deployment that decomposes summ 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19278	2026-03-23T00:01:07Z	HypeLoRA: Hyper-Network-Generated LoRA Adapters for Calibrated Language Model Fine-Tuning	cs.AI;cs.CL	pre_denominator_closure	HypeLoRA: Hyper-Network-Generated LoRA Adapters for Calibrated Language Model Fine-Tuning（cs.AI, cs.CL）的公开摘要聚焦于：Modern Transformer-based models frequently suffer from miscalibration, producing overconfident predictions that do not reflect true empirical frequencies. This work investigates the calibration dynamics of LoRA: Low-Rank Adaptation and a novel hyper-network-based adaptation framework as parameter-efficient alternatives to full fine-tuning for RoBERTa. Evalua 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19279	2026-03-23T00:01:09Z	Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide	cs.CL	pre_denominator_closure	Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide（cs.CL）的公开摘要聚焦于：Combating online hate speech in multilingual settings requires approaches that go beyond English-centric models and capture the cultural and linguistic diversity of global online discourse. This paper presents a comprehensive survey and practical guide to multilingual hate speech detection and counterspeech generation, integrating recent advances in natural 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19280	2026-03-23T00:01:10Z	From Feature-Based Models to Generative AI: Validity Evidence for Constructed Response Scoring	cs.AI;cs.CL;cs.CY	pre_denominator_closure	From Feature-Based Models to Generative AI: Validity Evidence for Constructed Response Scoring（cs.AI, cs.CL）的公开摘要聚焦于：The rapid advancements in large language models and generative artificial intelligence (AI) capabilities are making their broad application in the high-stakes testing context more likely. Use of generative AI in the scoring of constructed responses is particularly appealing because it reduces the effort required for handcrafting features in traditional AI sc 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19281	2026-03-23T00:01:11Z	URAG: A Benchmark for Uncertainty Quantification in Retrieval-Augmented Large Language Models	cs.AI;cs.CL;cs.IR	pre_denominator_closure	URAG: A Benchmark for Uncertainty Quantification in Retrieval-Augmented Large Language Models（cs.AI, cs.CL）的公开摘要聚焦于：Retrieval-Augmented Generation (RAG) has emerged as a widely adopted approach for enhancing LLMs in scenarios that demand extensive factual knowledge. However, current RAG evaluations concentrate primarily on correctness, which may not fully capture the impact of retrieval on LLM uncertainty and reliability. To bridge this gap, we introduce URAG, a comprehen 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19282	2026-03-23T00:01:13Z	Framing Effects in Independent-Agent Large Language Models: A Cross-Family Behavioral Analysis	cs.AI;cs.CL	pre_denominator_closure	Framing Effects in Independent-Agent Large Language Models: A Cross-Family Behavioral Analysis（cs.AI, cs.CL）的公开摘要聚焦于：In many real-world applications, large language models (LLMs) operate as independent agents without interaction, thereby limiting coordination. In this setting, we examine how prompt framing influences decisions in a threshold voting task involving individual-group interest conflict. Two logically equivalent prompts with different framings were tested across 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19283	2026-03-23T00:01:14Z	Automated Motif Indexing on the Arabian Nights	cs.CL	pre_denominator_closure	Automated Motif Indexing on the Arabian Nights（cs.CL）的公开摘要聚焦于：Motifs are non-commonplace, recurring narrative elements, often found originally in folk stories. In addition to being of interest to folklorists, motifs appear as metaphoric devices in modern news, literature, propaganda, and other cultural texts. Finding expressions of motifs in the original folkloristic text is useful for both folkloristic analysis (motif 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19284	2026-03-23T00:01:16Z	CDEoH: Category-Driven Automatic Algorithm Design With Large Language Models	cs.AI;cs.NE	pre_denominator_closure	CDEoH: Category-Driven Automatic Algorithm Design With Large Language Models（cs.AI, cs.NE）的公开摘要聚焦于：With the rapid advancement of large language models (LLMs), LLM-based heuristic search methods have demonstrated strong capabilities in automated algorithm generation. However, their evolutionary processes often suffer from instability and premature convergence. Existing approaches mainly address this issue through prompt engineering or by jointly evolving t 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.19285	2026-03-23T00:01:17Z	Beam-aware Kernelized Contextual Bandits for User Association and Beamforming in mmWave Vehicular Networks	cs.IT;cs.LG	pre_denominator_closure	Beam-aware Kernelized Contextual Bandits for User Association and Beamforming in mmWave Vehicular Networks（cs.IT, cs.LG）的公开摘要聚焦于：Timely channel information is necessary for vehicles to determine both the serving base station (BS) and the beamforming vector, but frequent estimation of fast-fading mmWave channels incurs significant overhead. To address this challenge, we propose a Beam-aware Kernelized Contextual Upper Confidence Bound (BKC-UCB) algorithm that estimates instantaneous tr 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
