arxiv_id	title	screening_status	screening_reason	owner_node	disposition
2606.02618	Closed-Loop Molecular Design with Calibrated Deference	pre_denominator_closed	Closed-Loop Molecular Design with Calibrated Deference 的具体方法/主张是：We present Cognitive Loop via In-Situ Optimization (CLIO), an agent that couples a continuously-updated belief-state graph with a recursive plan-then-act loop.；摘要报告/目标为：The result is a reasoning agent that can contribute something qualitatively different, which we term \emph{calibrated deference}: the capacity to recognize when its own tools or assumptions are failing, to adapt its strategy in response, and to generate mechanistic hypotheses that guide experimental revision.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.07585	Multimodal Group Emotion Recognition In-the-Wild Towards a Privacy-Safe Non-Individual Approach	pre_denominator_closed	Multimodal Group Emotion Recognition In-the-Wild Towards a Privacy-Safe Non-Individual Approach 的具体方法/主张是：This thesis addresses group emotion recognition (GER) in-the-wild with a focus on privacy preservation.；摘要报告/目标为：The thesis makes three main contributions: it clarifies the role of multimodality and structural cues in group-level affective computing; introduces two architectures for privacy-preserving multimodal GER; and shows that competitive performance can be achieved without using individual features as input data.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.07586	From Human Guidance to Autonomy: Agent Skill System for End-to-End LLM Deployment on Spatial NPUs	retained_exact_v1_complete	From Human Guidance to Autonomy: Agent Skill System for End-to-End LLM Deployment on Spatial NPUs 的具体系统机制是：We present a two-stage methodology, instantiated on the AMD XDNA 2 NPU, that progresses from human-guided development to agent autonomy.。它改变 `AGENT-PLATFORM` 的 state/control/evidence contract，故进入 denominator；摘要结果“Three of the eight match or exceed the sustained performance of our Llama-3.2-1B reference deployment, suggesting that the resulting implementations can be competitive without additional model-specific human engineering.”只作为检索线索，最终结论绑定 exact-v1。	AGENT-PLATFORM	Integrate
2606.07587	The Routing Plateau: Understanding and Breaking the Accuracy Limits of LLM Routers	pre_denominator_closed	The Routing Plateau: Understanding and Breaking the Accuracy Limits of LLM Routers 的具体方法/主张是：Our extensive study of 21 routing methods across five benchmarks reveals a consistent phenomenon that we call the routing plateau: many methods, including kNN, achieve very similar accuracy and converge to a narrow performance range that remains far below the oracle router.；摘要报告/目标为：We further study how to move beyond the plateau and find that larger training datasets, stronger encoders, and end-to-end fine-tuning can further improve routing accuracy.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.07588	Information-Geometric Optimization on Spheres	pre_denominator_closed	Information-Geometric Optimization on Spheres 的具体方法/主张是：We consider the black-box optimization problem on a sphere.；摘要报告/目标为：We demonstrate that ensembles of generalized Kuramoto oscillators on spheres compute natural search gradients and realize IGO algorithms on both manifolds.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.09857	Uncertainty-aware Multi-fidelity Closure via Conditional Normalizing Flows	pre_denominator_closed	Uncertainty-aware Multi-fidelity Closure via Conditional Normalizing Flows 的具体方法/主张是：In this work, we formulate ROM closure modeling as a multi-fidelity (MF) learning problem and propose an uncertainty-aware MF framework based on conditional normalizing flows to enhance ROM predictive accuracy.；摘要报告/目标为：Results show that both correction strategies improve ROM accuracy over uncorrected ROM, with residual learning achieving consistently better performance than direct learning.。排除边界：它是领域算法、理论或局部模型增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.11221	LAST: Bridging Vision-Language and Action Manifolds via Gromov-Wasserstein Alignment	pre_denominator_closed	LAST: Bridging Vision-Language and Action Manifolds via Gromov-Wasserstein Alignment 的具体方法/主张是：To resolve this incompatibility, we introduce LAST (Lie-algebraic Action Space Tokenizer), which reconstructs the action space to establish local metric compatibility with the VL modality via a two-stage transformation: (1) Global Topological Linearization: linearizing the action manifold via Lie-algebraic mapping, converting trajectories into a fixed-length, physically additive representation.；摘要报告/目标为：By resolving the structural mismatch at both global and local levels, LAST enables VLA models with superior convergence and generalizability.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.11222	A Geometric Profile of Semantic Information in Text: Frame-Conditional Uniqueness and a Trade-Off Triangle for Scalar Summaries	pre_denominator_closed	A Geometric Profile of Semantic Information in Text: Frame-Conditional Uniqueness and a Trade-Off Triangle for Scalar Summaries 的具体方法/主张是：We develop a geometric framework that measures semantic content from the structure of a text's sentence embeddings.；摘要报告/目标为：A separate variational result connects the breadth coordinate to the log-determinant of a determinantal point process (Spearman $ρ= 0.985$ over 507 Gutenberg chapters), giving an optimization-theoretic foundation for breadth.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.20628	Human Decision-Making with AI Assistance under Correlated Features	pre_denominator_closed	Human Decision-Making with AI Assistance under Correlated Features 的具体方法/主张是：We additionally develop an approximation that plans for shorter horizons and appends a stationary suffix, achieving near-optimal performance.；摘要报告/目标为：Our empirical results complement our theory by showing that stronger feature correlation leads to longer exploration phases.。排除边界：它是领域算法、理论或局部模型增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.26120	Dynamic-dLLM: Dynamic Cache-Budget and Adaptive Parallel Decoding for Training-Free Acceleration of Diffusion LLM	retained_exact_v1_complete	Dynamic-dLLM: Dynamic Cache-Budget and Adaptive Parallel Decoding for Training-Free Acceleration of Diffusion LLM 的具体系统机制是：We propose Dynamic-dLLM, a training-free framework that enhances dLLM inference efficiency through two components: Dynamic Cache Updating (DCU), which adaptively allocates cache-update budgets based on layer-wise token dynamics, and Adaptive Parallel Decoding (APD), which dynamically calibrates decoding thresholds to balance generation quality and efficiency.。它改变 `INFER-CONTINUOUS-BATCHING` 的 state/control/evidence contract，故进入 denominator；摘要结果“Extensive experiments on models like LLaDA-8B-Instruct, LLaDA-1.5, and Dream-v0-7B-Instruct across benchmarks such as MMLU, GSM8K, and HumanEval demonstrate that Dynamic-dLLM significantly improves inference speed.”只作为检索线索，最终结论绑定 exact-v1。	INFER-CONTINUOUS-BATCHING	Integrate
2606.26121	Dot-Flik: A Scalable Edge AI Architecture for Distributed Insect Monitoring	pre_denominator_closed	Dot-Flik: A Scalable Edge AI Architecture for Distributed Insect Monitoring 的具体方法/主张是：First, we propose a motion-informed frame filtering algorithm based on temporal differencing, gamma-corrected motion amplification, and block-based motion density analysis that discards irrelevant frames at the edge while preserving insect activity, without requiring deep learning inference on the sensing device.；摘要报告/目标为：Results demonstrate 60-80% frame reduction under light-wind conditions, sustained real-time 30 FPS operation with 12.8 ms of computational headroom, up to 22.6% energy savings, and support for 5-6 concurrent edge streams per central node.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2606.26122	DocArena: Turning Raw Documents into Controllable Training Environments for Document Search Agents	retained_exact_v1_complete	DocArena: Turning Raw Documents into Controllable Training Environments for Document Search Agents 的具体系统机制是：The tuples serve as the training environment, and whose properties directly shape what search strategies and generalization abilities the agent can develop.。它改变 `TRAIN-DATA` 的 state/control/evidence contract，故进入 denominator；摘要结果“Under a unified evaluation framework where only the policy model differs, experiments on six multimodal document scenarios and seven text-based QA benchmarks show that agents trained on DocArena data achieve the best performance on both retrieval accuracy and QA quality.”只作为检索线索，最终结论绑定 exact-v1。	TRAIN-DATA	Integrate
2605.27809	Density-aware Sample-specific Attack	pre_denominator_closed	Density-aware Sample-specific Attack 的具体方法/主张是：We introduce a bilevel optimization framework that estimates density ratios via conditional time-score matching and optimizes a mixture-model objective to place triggered samples in these sparse regions.；摘要报告/目标为：Extensive evaluations on MNIST, CIFAR-10, GTSRB, and TinyImageNet demonstrate that our method achieves above 99\% attack success rate before defense and retains 50--85 percentage points higher post-defense ASR than the strongest baselines under fine-tuning defenses.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27810	LRanker: LLM Ranker for Massive Candidates	pre_denominator_closed	LRanker: LLM Ranker for Massive Candidates 的具体方法/主张是：To address this challenge, we propose LRanker, a framework tailored for large-candidate ranking.；摘要报告/目标为：Together, these findings demonstrate the robustness, scalability, and effectiveness of LRanker for massive-candidate ranking.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27811	Constrained Auto-Bidding via Generative Response Modeling	pre_denominator_closed	Constrained Auto-Bidding via Generative Response Modeling 的具体方法/主张是：We show that under mild monotonicity conditions, the optimality gap relative to full per-tick control is bounded by the dispersion of per-tick marginal value-per-cost.；摘要报告/目标为：Experiments on AuctionNet show that GRM improves constraint stability and overall score compared to existing baselines.。排除边界：它是领域算法、理论或局部模型增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27813	Residualized Temporal Sparse Autoencoders for Interpreting Diffusion Models	pre_denominator_closed	Residualized Temporal Sparse Autoencoders for Interpreting Diffusion Models 的具体方法/主张是：In this work, we introduce residualized temporal SAEs for diffusion activation trajectories.；摘要报告/目标为：Through reconstruction and ablation studies, spatiotemporal feature analysis, and qualitative steering experiments on Stable Diffusion~1.5, we show that residualized temporal SAEs provide a useful framework for studying temporally structured diffusion activations.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27816	Pattern Recognition Tasks with Personalized Federated Learning	pre_denominator_closed	Pattern Recognition Tasks with Personalized Federated Learning 的具体方法/主张是：In the present research endeavor, this article undertake a comprehensive comparative analysis of seven distinct PFL algorithms deployed across three diverse datasets, namely MNIST, SignMNIST, and Digit5.；摘要报告/目标为：Through empirical investigation, the findings evince that APPLE, FedGC, and FedProto emerge as stalwart contenders, consistently furnishing superior performance across the spectrum of assessed datasets, while acknowledging the contextual specificity of alternative algorithms and the potential for iterative refinement to realize optimal outcomes.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27817	Turning Video Models into Generalist Robot Policies	pre_denominator_closed	Turning Video Models into Generalist Robot Policies 的具体方法/主张是：We present a closed-loop, video-to-action policy that combines an action-free video world model with a carefully-designed IDM based on the robot embodiment Jacobian.；摘要报告/目标为：Our results show that decoupled video planning plus faithful video-to-action translation is a viable alternative route towards zero-shot, cross-embodiment, and generalizable robot control.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27819	ReSAE: Residualized Sparse Autoencoders for Multi-Layer Transformer Interventions	pre_denominator_closed	ReSAE: Residualized Sparse Autoencoders for Multi-Layer Transformer Interventions 的具体方法/主张是：We introduce Residualized Sparse Autoencoders (ReSAEs), which fit an affine map between selected layers and train each later-layer SAE on the unexplained residual rather than on the full activation.；摘要报告/目标为：These results suggest that removing linearly predictable cross-layer structure is a useful default for multi-layer SAE interventions.。排除边界：它是领域算法、理论或局部模型增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27820	EgoBench: An Interactive Egocentric Multimodal Benchmark for Tool-Using Agents	retained_exact_v1_complete	EgoBench: An Interactive Egocentric Multimodal Benchmark for Tool-Using Agents 的具体系统机制是：However, existing benchmarks fail to jointly evaluate these capabilities due to challenges in designing strictly coupled multi-capability tasks, simulating natural and task-constrained user feedback, and ensuring objective evaluation of dynamic interaction.。它改变 `PLATFORM-EVALUATION-SYSTEM` 的 state/control/evidence contract，故进入 denominator；摘要结果“Furthermore, we establish a deterministic joint validation framework that guarantees objective assessment through process-based and result-based equivalence.”只作为检索线索，最终结论绑定 exact-v1。	PLATFORM-EVALUATION-SYSTEM	No Change — Existing Coverage
2605.27823	Disentangling Adversarial Prompts: A Semantic-Graph Defense for Robust LLM Security	pre_denominator_closed	Disentangling Adversarial Prompts: A Semantic-Graph Defense for Robust LLM Security 的具体方法/主张是：Large Language Models (LLMs) are increasingly vulnerable to adversarial prompts that exploit semantic ambiguities to bypass safety mechanisms, resulting in harmful or inappropriate outputs.；摘要报告/目标为：Our work addresses critical challenges in machine learning security on novel attacks and integrity methods for ML systems, and offers a scalable, ethically grounded defense against prompt-based adversarial threats.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27824	Revealing Algorithmic Deductive Circuits for Logical Reasoning	pre_denominator_closed	Revealing Algorithmic Deductive Circuits for Logical Reasoning 的具体方法/主张是：Recent studies have shown that Large Language Models (LLMs) can achieve strong reasoning performance by incorporating functional symbolic representations that abstractly describe graph traversal algorithms and step-by-step reasoning in few-shot learning settings.；摘要报告/目标为：In addition, our findings indicate that LLMs retrieve factual and rule-based information for individual sub-reasoning tasks through specialized attention heads (approximately 3% total heads), whereas higher layers predominantly facilitate information integration and the emergence of global reasoning strategies (e.g., graph traversal algorithms) that coordinate multiple intermediate reasoning steps to solve the overal。排除边界：它是领域算法、理论或局部模型增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27825	MRMMIA: Membership Inference Attacks on Memory in Chat Agents	retained_exact_v1_complete	MRMMIA: Membership Inference Attacks on Memory in Chat Agents 的具体系统机制是：We propose Multi-Recall Memory MIA (MRMMIA), a unified attack that utilizes multiple recall probes to the agent to extract the membership signal across black-box, gray-box, and white-box settings.。它改变 `PLATFORM-SECURITY` 的 state/control/evidence contract，故进入 denominator；摘要结果“Our experiments demonstrate that MRMMIA consistently outperforms baselines.”只作为检索线索，最终结论绑定 exact-v1。	PLATFORM-SECURITY	Integrate
2605.27827	Operational AI Deployment Assurance: Governance-State Orchestration Under Threshold-Sensitive Deployment Conditions -- A Governance Framework for High-Stakes AI Systems	pre_denominator_closed	Operational AI Deployment Assurance: Governance-State Orchestration Under Threshold-Sensitive Deployment Conditions -- A Governance Framework for High-Stakes AI Systems 的具体方法/主张是：AI governance frameworks increasingly emphasize fairness, transparency, accountability, and lifecycle risk management in high-stakes domains.；摘要报告/目标为：The proposed framework positions operational deployment assurance as a governance layer between evaluation and real-world AI deployment.。排除边界：它提供特定任务的模型或数据改进，未建立可迁移的 state identity、runtime control 或 release contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27831	Decentralized Parameter-Free Online Learning with Compressed Gossip	pre_denominator_closed	Decentralized Parameter-Free Online Learning with Compressed Gossip 的具体方法/主张是：We study decentralized online convex optimization when agents communicate over a graph and messages may be compressed.；摘要报告/目标为：To the best of our knowledge, this gives the first expected sublinear network-regret guarantees for parameter-free decentralized online learning under compressed communication.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27832	Playing with Words, Improving with Rewards: Training Language Models for Creative Association	pre_denominator_closed	Playing with Words, Improving with Rewards: Training Language Models for Creative Association 的具体方法/主张是：We train Qwen3-1.7B, 4B, and 8B models and evaluate them on ten creativity and four reasoning benchmarks.；摘要报告/目标为：We find that the precision-diversity trade-off is scale-dependent: the 8B model prioritizes creativity over precision, while the 1.7B and 4B models gain reasoning precision at the cost of creativity.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27834	Reward Transfer from Inverse Reinforcement Learning: A Coupled Minimax Approach	pre_denominator_closed	Reward Transfer from Inverse Reinforcement Learning: A Coupled Minimax Approach 的具体方法/主张是：We study the transfer of rewards learned using inverse reinforcement learning from expert demonstrations in one environment to reinforcement learning in a new, different environment.；摘要报告/目标为：We show that, in contrast to the sequential approach, the coupled approach removes the first-order influence of source Bellman residual error.。排除边界：它是领域算法、理论或局部模型增量，未显示长期 state/data/control owner 或 evaluation contract 的变化；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27835	CAREF: Calibration-Aware Regularization for Explanation Faithfulness Without Rationale Supervision	pre_denominator_closed	CAREF: Calibration-Aware Regularization for Explanation Faithfulness Without Rationale Supervision 的具体方法/主张是：We introduce CAREF, a parameter-efficient fine-tuning framework that jointly optimizes predictive accuracy and explanation faithfulness via calibration-aware regularization.；摘要报告/目标为：To our knowledge, CAREF is the first method to unify entropy and sparsity regularization in a single training objective for interpretable LLM fine-tuning.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27836	Symmetry Defeats Auditing	pre_denominator_closed	Symmetry Defeats Auditing 的具体方法/主张是：We demonstrate an attack on Introspection Adapters (Shenoy et al., 2026).；摘要报告/目标为：We demonstrate an attack on Introspection Adapters (Shenoy et al., 2026).。排除边界：它给出局部 attack/defense slice，未改变平台 threat model、enforcement owner 或 release evidence contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27838	Dasheng AudioGen: A Unified Model for Generating Coherent Audio Scenes from Text	pre_denominator_closed	Dasheng AudioGen: A Unified Model for Generating Coherent Audio Scenes from Text 的具体方法/主张是：We present Dasheng AudioGen, a unified framework for generating general mixed-audio scenes from text.；摘要报告/目标为：Experiments demonstrate that Dasheng AudioGen achieves performance approaching real-world recordings in mixed-audio categories, while remaining competitive with specialized models in single-type generation tasks.。排除边界：它增加任务切片或指标，但没有改变可复算 evaluator identity、运行时 evidence object 或 release authority；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
2605.27840	LoSATok: Low-dimensional Semantic-Acoustic Tokenizer for Cross-Domain Audio Understanding and Generation	pre_denominator_closed	LoSATok: Low-dimensional Semantic-Acoustic Tokenizer for Cross-Domain Audio Understanding and Generation 的具体方法/主张是：We propose LoSATok, a low-dimensional audio tokenizer for cross-domain audio understanding and generation.；摘要报告/目标为：These results demonstrate that LoSATok's low-dimensional representations can effectively support audio understanding and generation.。排除边界：它属于 Agent 局部能力或应用方案，尚未形成新的 authority、durable state、effect commit 或 recovery contract；因此在 Candidate Denominator 前闭合，若后续 artifact 证明改变通用 owner contract 则重开。		Rejected — Below Candidate Denominator
