row	arxiv_id	source_family_id	submitted_v1_utc	title	categories	route	decision	stable_node_id	closure_class	rationale	reopen_condition
11	2606.07937	SF-2026-ARXIV-2606-07937	2026-06-06T01:56:55Z	Hallucination Cascade: Analyzing Error Propagation in Multi-Agent LLM Systems	cs.CR	keyword_daily_semantic_review_required	pre_denominator_closure	—	local-model-or-training-method	Hallucination Cascade: Analyzing Error Propagation in Multi-Agent LLM Systems is closed as local-model-or-training-method: its stated contribution starts with ‘Large Language Models (LLMs) generate fluent text but remain vulnerable to hallucinations, producing unsupported, inconsistent, and factually incorrect claims.’ and the abstract-level outcome ends with ‘Domain-level analysis shows that hallucination varies with topic complexity, with lower scores in well-grounded scientific domains and higher scores in more abstract domains.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated local-model-or-training-method, or invalidates an existing chapter proposition.
12	2606.07938	SF-2026-ARXIV-2606-07938	2026-06-06T01:57:49Z	DAL-PCQA: Enabling Distortion-Level and Language-Driven Reasoning for Point Cloud Quality Assessment	cs.CV;cs.MM;eess.IV	not_routed_by_keyword_contract	pre_denominator_closure	—	bounded-benchmark-or-dataset	DAL-PCQA: Enabling Distortion-Level and Language-Driven Reasoning for Point Cloud Quality Assessment is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Point Cloud Quality Assessment (PCQA) methods typically predict scalar Mean Opinion Scores (MOS), which quantify overall perceptual degradation but do not reveal its causes.’ and the abstract-level outcome ends with ‘The dataset is publicly available at https://github.com/swarna96/DAL-PCQA.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
13	2606.07940	SF-2026-ARXIV-2606-07940	2026-06-06T02:00:36Z	SGTO-MAS: Secure Gorilla Troops Optimization for Multi-Agent LLM Systems	cs.CR	keyword_daily_semantic_review_required	pre_denominator_closure	—	no-durable-system-owner-change	SGTO-MAS: Secure Gorilla Troops Optimization for Multi-Agent LLM Systems is closed as no-durable-system-owner-change: its stated contribution starts with ‘Multi-agent large language model (LLM) systems offer strong capabilities for complex reasoning and decision-making, yet coordination across agents introduces error propagation, security risks, and inefficient use of resources.’ and the abstract-level outcome ends with ‘The proposed method provides a practical security-aware solution for coordinating multi-agent LLM systems in complex adversarial settings.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated no-durable-system-owner-change, or invalidates an existing chapter proposition.
14	2606.07941	SF-2026-ARXIV-2606-07941	2026-06-06T02:04:03Z	Collective Hallucination in Multi-Agent LLMs:Modeling and Defense	cs.CR	keyword_daily_semantic_review_required	pre_denominator_closure	—	no-durable-system-owner-change	Collective Hallucination in Multi-Agent LLMs:Modeling and Defense is closed as no-durable-system-owner-change: its stated contribution starts with ‘Hallucination is a critical reliability challenge in multi-agent Large Language Model (LLM) systems because unsupported claims can propagate through recursive interactions and produce collective false consensus.’ and the abstract-level outcome ends with ‘These results show that propagation-aware control can substantially improve the factual reliability and stability of recursive multi-agent LLM systems.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated no-durable-system-owner-change, or invalidates an existing chapter proposition.
15	2606.07943	SF-2026-ARXIV-2606-07943	2026-06-06T02:10:03Z	Poise: Position-Aware One-Instruction Skill Injection for Silent Execution on LLM Agents	cs.AI;cs.CL;cs.CR	core_daily_semantic_review_required	retain	PLATFORM-SECURITY	durable-owner-contract-delta	Postcondition-validated payload execution jointly with legitimate-task success changes skill-poisoning evidence from invocation to completed side effect, while position controls stealth and reliability.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
16	2606.07944	SF-2026-ARXIV-2606-07944	2026-06-06T02:23:14Z	Spectrum Aggregation for 6G: Lessons from 5G Carrier Aggregation and Dual Connectivity	cs.NI	not_routed_by_keyword_contract	pre_denominator_closure	—	local-model-or-training-method	Spectrum Aggregation for 6G: Lessons from 5G Carrier Aggregation and Dual Connectivity is closed as local-model-or-training-method: its stated contribution starts with ‘Spectrum aggregation has been a key enabler of LTE and 5G capacity growth and will remain essential in 6G as networks combine fragmented spectrum across low bands, existing mid bands, new upper-mid/centimetric bands, and millimeter wave bands.’ and the abstract-level outcome ends with ‘Building on lessons from 5G, we advocate enhanced CA as the preferred 6G spectrum aggregation framework and point out the corresponding key enhancement directions.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated local-model-or-training-method, or invalidates an existing chapter proposition.
17	2606.07948	SF-2026-ARXIV-2606-07948	2026-06-06T02:38:30Z	EduMirror: Modeling Educational Social Dynamics with Value-driven Multi-agent Simulation	cs.CY;cs.MA	keyword_daily_semantic_review_required	pre_denominator_closure	—	no-durable-system-owner-change	EduMirror: Modeling Educational Social Dynamics with Value-driven Multi-agent Simulation is closed as no-durable-system-owner-change: its stated contribution starts with ‘Understanding how educational social dynamics evolve is critical for informing effective educational policies and counterfactual interventions.’ and the abstract-level outcome ends with ‘Project page: https://edumirror.net.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated no-durable-system-owner-change, or invalidates an existing chapter proposition.
18	2606.07949	SF-2026-ARXIV-2606-07949	2026-06-06T02:47:31Z	Feasibility to detect rapid change and disappearance of seagrass: Lessons from nearly 80 years of vegetation change in the Ako, Seto Inland Sea, Japan	cs.CV;eess.IV;q-bio.PE	not_routed_by_keyword_contract	pre_denominator_closure	—	bounded-benchmark-or-dataset	Feasibility to detect rapid change and disappearance of seagrass: Lessons from nearly 80 years of vegetation change in the Ako, Seto Inland Sea, Japan is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘This study analyses the Ako tidal flat in the Seto Inland Sea, Japan, where nearly all Zostera marina disappeared within a single year in 2025.’ and the abstract-level outcome ends with ‘Therefore, in addition to previously noted issues such as species-level classification accuracy, we recommend that (1) baselines be defined over the longest available record and justified ecologically, (2) seasonal standardization be applied before inter-annual comparisons, and (3) years with extreme area anomalies be flagged rather than used as reference po’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
19	2606.07950	SF-2026-ARXIV-2606-07950	2026-06-06T02:51:33Z	The Easy, the Hard, and the Learnable: Confidence and Difficulty-Adaptive Policy Optimization for LLM Reasoning	cs.LG	core_daily_semantic_review_required	retain	TRAIN-GRPO	durable-owner-contract-delta	Confidence, empirical difficulty, and shrinking group advantage become explicit rollout-allocation state used for both resampling and update weighting under fixed compute.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
20	2606.07951	SF-2026-ARXIV-2606-07951	2026-06-06T02:53:31Z	From `May' to `Is': Certainty Distortion in Language Model Rewriting	cs.AI;cs.CL;cs.LG	core_daily_semantic_review_required	pre_denominator_closure	—	domain-model-or-application	From `May' to `Is': Certainty Distortion in Language Model Rewriting is closed as domain-model-or-application: its stated contribution starts with ‘Humans increasingly turn to Language Models (LMs) in ways that shape beliefs and drive decisions, including discussing, rewriting, and summarizing information from scientific articles, news, and medical reports.’ and the abstract-level outcome ends with ‘Together, these findings reveal a general bias toward inflating expressed certainty, with direct implications for users who rely on LMs in high-stakes domains.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated domain-model-or-application, or invalidates an existing chapter proposition.
21	2606.07953	SF-2026-ARXIV-2606-07953	2026-06-06T03:06:10Z	Unification of Closed-Open Industrial Detection Scenarios: New Large-Scale Benchmarks,Challenges and Baselines	cs.AI	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	Unification of Closed-Open Industrial Detection Scenarios: New Large-Scale Benchmarks,Challenges and Baselines is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Large-scale Visual-Language Models (LVLMs) have achieved remarkable success in natural visual tasks, yet their application to industrial defect detection remains challenging due to two fundamental limitations: (i) the scarcity of large-scale industrial datasets that cover diverse defect categories across multiple domains, and (ii) the reliance on manual prom’ and the abstract-level outcome ends with ‘The dataset and code are available at https://github.com/hellozzk/MMIO.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
22	2606.07954	SF-2026-ARXIV-2606-07954	2026-06-06T03:16:19Z	Minibatch Selection for Language Models via Partition Matroid Constrained Gradient Matching	cs.AI;cs.LG	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	Minibatch Selection for Language Models via Partition Matroid Constrained Gradient Matching is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Training large language models (LLMs) on heterogeneous data requires selecting minibatches that balance convergence speed with coverage across domains.’ and the abstract-level outcome ends with ‘It also reduces the number of conflicting gradient pairs within each batch, indicating that the cross-domain coupling translates into more compatible training updates.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
23	2606.07957	SF-2026-ARXIV-2606-07957	2026-06-06T03:26:34Z	Demand-Driven Vulnerability Detection for Cloud Security Posture Management: Removing Human Rule Authoring from the Disclosure-to-Protection Critical Path	cs.CR;cs.DB;cs.DC	core_daily_semantic_review_required	retain	PLATFORM-SECURITY	durable-owner-contract-delta	CSPM rules become tenant-local derived state maintained bidirectionally from catalogue entries and the live asset graph, removing vendor release cadence from the protection critical path.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
24	2606.07962	SF-2026-ARXIV-2606-07962	2026-06-06T03:40:47Z	ChronoPhyBench: Do MLLMs Truly Understand the World or Merely Exploit Language Priors?	cs.CV	keyword_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	ChronoPhyBench: Do MLLMs Truly Understand the World or Merely Exploit Language Priors? is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Recent advancements in Multimodal Large Language Models (MLLMs) have demonstrated remarkable proficiency in open-world reasoning and understanding.’ and the abstract-level outcome ends with ‘Ultimately, this work seeks to systematically stress-test the reasoning capabilities of multimodal models, quantify hallucination rates, and advance the development of Physical AI, thereby providing the community with a robust and transparent evaluation framework toward Artificial General Intelligence (AGI).’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
25	2606.07963	SF-2026-ARXIV-2606-07963	2026-06-06T03:41:44Z	Shared Latent Structures Enable Unified Backdoor Detection and Mitigation in LLMs	cs.AI;cs.CL	core_daily_semantic_review_required	pre_denominator_closure	—	local-model-or-training-method	Shared Latent Structures Enable Unified Backdoor Detection and Mitigation in LLMs is closed as local-model-or-training-method: its stated contribution starts with ‘Backdoor attacks in large language models (LLMs) are often treated as isolated trigger-response failures, motivating defenses tailored to specific triggers or behaviors.’ and the abstract-level outcome ends with ‘Together, our results suggest that many backdoors rely on a transferable latent mechanism, enabling unified detection and mitigation.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated local-model-or-training-method, or invalidates an existing chapter proposition.
26	2606.07964	SF-2026-ARXIV-2606-07964	2026-06-06T03:44:22Z	What Does Debiasing Really Remove? A Geometric Study of PCA-Based Gender Debiasing in Word Embeddings	cs.CL	core_daily_semantic_review_required	pre_denominator_closure	—	no-durable-system-owner-change	What Does Debiasing Really Remove? A Geometric Study of PCA-Based Gender Debiasing in Word Embeddings is closed as no-durable-system-owner-change: its stated contribution starts with ‘Debiasing methods based on principal component analysis (PCA) are broadly used to reduce gender bias in word embeddings used in LLMs, yet it remains unclear what aspects of bias they actually remove and how destructive this process is.’ and the abstract-level outcome ends with ‘Overall, our findings suggest that bias in word embeddings is not purely low-rank and that simple subspace removal methods may be insufficient for comprehensive debiasing.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated no-durable-system-owner-change, or invalidates an existing chapter proposition.
27	2606.07965	SF-2026-ARXIV-2606-07965	2026-06-06T03:48:12Z	Zero-Shot Learning in Industrial Scenarios: New Large-Scale Benchmark, Challenges and Baseline	cs.AI	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	Zero-Shot Learning in Industrial Scenarios: New Large-Scale Benchmark, Challenges and Baseline is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Large Visual Language Models (LVLMs) have achieved remarkable success in vision tasks.’ and the abstract-level outcome ends with ‘RTVP achieves SOTA with 42.2% and 24.7% AP in zero-shot and closed scenes of MMIO.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
28	2606.07967	SF-2026-ARXIV-2606-07967	2026-06-06T03:50:45Z	DisCo: World Models with Discrete Camera Motion Control	cs.CV	keyword_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	DisCo: World Models with Discrete Camera Motion Control is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Controllable video world models target interactive world exploration, where models must faithfully execute explicit action commands while preserving visual quality and temporal coherence.’ and the abstract-level outcome ends with ‘Extensive experiments demonstrate that DisCo achieves significantly more reliable action following while preserving visual quality.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
29	2606.07968	SF-2026-ARXIV-2606-07968	2026-06-06T03:52:27Z	RecurGuard: Runtime Monitoring for Reasoning-Token Consumption Attacks	cs.AI;cs.CR	core_daily_semantic_review_required	retain	PLATFORM-MONITORING	durable-owner-contract-delta	A generation-time monitor combines recurrence, volume growth, and task progress over consecutive chunks and owns early termination of reasoning-token consumption attacks.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
30	2606.07969	SF-2026-ARXIV-2606-07969	2026-06-06T04:04:52Z	Neutrality Bites: Gender Representation in AI-Generated Animal Stories	cs.AI;cs.CL	core_daily_semantic_review_required	pre_denominator_closure	—	survey-or-position-without-owner-delta	Neutrality Bites: Gender Representation in AI-Generated Animal Stories is closed as survey-or-position-without-owner-delta: its stated contribution starts with ‘Gender bias in AI-generated stories is a well-documented problem.’ and the abstract-level outcome ends with ‘We suggest that alternative strategies beyond neutrality need to be pursued, such as ones that more equally distribute social possibilities across imagined subjects.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated survey-or-position-without-owner-delta, or invalidates an existing chapter proposition.
31	2606.07970	SF-2026-ARXIV-2606-07970	2026-06-06T04:04:57Z	Defending Against Malicious Finetuning by Scaling Train-time Adversarial Attacks	cs.AI;cs.CL	core_daily_semantic_review_required	retain	TRAIN-SFT	durable-owner-contract-delta	Train-time adversarial attack strength becomes an inner-loop robustness control, with parallel execution preserving the stronger full-parameter threat model.	retained; exact-v1 must confirm mechanism, evaluation, counterevidence, and benchmark identity
32	2606.07972	SF-2026-ARXIV-2606-07972	2026-06-06T04:17:09Z	OneFeed: A Unified Generative Framework for Feed Content Enhancement and Query Generation	cs.IR	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	OneFeed: A Unified Generative Framework for Feed Content Enhancement and Query Generation is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Modern feed recommendation and search systems are deeply connected in user behavior but are usually modeled by separate architectures.’ and the abstract-level outcome ends with ‘OneFeed provides a practical and extensible direction for unifying search and recommendation through generative modeling.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
33	2606.07974	SF-2026-ARXIV-2606-07974	2026-06-06T04:18:10Z	PRISM: PRior-guided Imagination Sampling in world Models	cs.AI;cs.RO	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	PRISM: PRior-guided Imagination Sampling in world Models is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘A learned world model provides a powerful physical intuition for evaluating future states.’ and the abstract-level outcome ends with ‘PRISM improves success rates by 35 percentage points over vanilla world-model-based MPC on Cube and 32 percentage points on PushT, without introducing significant inference overhead.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
34	2606.07978	SF-2026-ARXIV-2606-07978	2026-06-06T04:44:51Z	MechLens: Late Crystallization of Factual Knowledge Explains Intervention Effectiveness in Language Models	cs.CL	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	MechLens: Late Crystallization of Factual Knowledge Explains Intervention Effectiveness in Language Models is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Understanding where LLMs store factual knowledge is critical for hallucination mitigation.’ and the abstract-level outcome ends with ‘We release MechLens supporting five model families.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
35	2606.07980	SF-2026-ARXIV-2606-07980	2026-06-06T05:07:16Z	DeRes: Decoupling Residual Stability and Adaptivity for Scalable CTR Prediction	cs.IR	core_daily_semantic_review_required	pre_denominator_closure	—	bounded-benchmark-or-dataset	DeRes: Decoupling Residual Stability and Adaptivity for Scalable CTR Prediction is closed as bounded-benchmark-or-dataset: its stated contribution starts with ‘Transformer-based CTR models face a growing bottleneck at the residual connection: under Pre-Norm, early user-interest signals are diluted layer by layer; the identity skip cannot forget stale interests; and each layer sees only its immediate predecessor, losing long-range cross-layer dependencies.’ and the abstract-level outcome ends with ‘Ablations confirm that the dual-path design outperforms either single path, Identity beats learnable residuals, and SiLU beats Softmax.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated bounded-benchmark-or-dataset, or invalidates an existing chapter proposition.
36	2606.07982	SF-2026-ARXIV-2606-07982	2026-06-06T05:13:47Z	Overcoming the Limits of Finite Difference Method; Physics-Informed Neural Network for Noisy High-Dimensional Heat Diffusion	cs.LG	core_daily_semantic_review_required	pre_denominator_closure	—	no-durable-system-owner-change	Overcoming the Limits of Finite Difference Method; Physics-Informed Neural Network for Noisy High-Dimensional Heat Diffusion is closed as no-durable-system-owner-change: its stated contribution starts with ‘High-dimensional transient heat diffusion under noisy boundary conditions exposes a fundamental limitation of classical numerical methods: accuracy degrades catastrophically where physical noise is unavoidable.’ and the abstract-level outcome ends with ‘When noise and dimensionality are both high, the classical solver paradigm is insufficient; this work provides the foundation to justify PINN as the operational standard in such regimes.’; neither assigns a new durable state, data, control, or release-evidence contract to a ROADMAP owner.	Reopen only if exact-v1 shows a reusable cross-workload owner contract beyond the stated no-durable-system-owner-change, or invalidates an existing chapter proposition.
