source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	artifact_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-25447	arXiv:2606.25447v1	https://arxiv.org/html/2606.25447v1 — §3 Experiment Setup; 3.2 Harness; 3.3 Tool Schema; 3.4 Task Type	https://arxiv.org/html/2606.25447v1 — §4 Analysis; 4.1 Evaluation Protocol; 4.4 OOD Robustness	https://arxiv.org/html/2606.25447v1 — §B Benchmark Details; C Experimental Details; stated ALFWorld boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25449	arXiv:2606.25449v1	https://arxiv.org/html/2606.25449v1 — §3 Brittle Memory and Reclaim Evaluation; 3.2 Reclaim Protocol	https://arxiv.org/html/2606.25449v1 — §4 Experimental Setup; 5 Results; 5.7 Boundary of the Fix	https://arxiv.org/html/2606.25449v1 — §7 Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25453	arXiv:2606.25453v1	https://arxiv.org/html/2606.25453v1 — §III EmuGEMM-I; IV EmuGEMM-II	https://arxiv.org/html/2606.25453v1 — §V Evaluation; V-B Experimental Setup; V-F Precision-Throughput-Memory Trade-off	https://arxiv.org/html/2606.25453v1 — §V-G Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25467	arXiv:2606.25467v1	https://arxiv.org/html/2606.25467v1 — §III Request-Resource Coupling Model; IV RQ-SAFE Online Orchestration	https://arxiv.org/html/2606.25467v1 — §V Experimental Evaluation; V-A Experimental Setup	https://arxiv.org/html/2606.25467v1 — §D-B Runtime Boundary and Fallback; G Implementation Scope Clarifications	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25487	arXiv:2606.25487v1	https://arxiv.org/html/2606.25487v1 — §3 Setup; Appendix A Prompts, wrappers, and attack configuration	https://arxiv.org/html/2606.25487v1 — §4 Results; 4.1 Calibration against human labels; 4.3 white-box attack	https://arxiv.org/html/2606.25487v1 — §6 Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25514	arXiv:2606.25514v1	https://arxiv.org/html/2606.25514v1 — §2 Adaptive Multi-Agent Issue Resolution; 2.6 Event-Driven Synchronous Communication	https://arxiv.org/html/2606.25514v1 — §3 Evaluation; 3.2 Analysis of Exclusive Fixes and Failures	https://arxiv.org/html/2606.25514v1 — §5 Threats to Validity	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25519	arXiv:2606.25519v1	https://arxiv.org/html/2606.25519v1 — §3 Experimental Setup; 5 Quantization Inflates Reasoning Tokens; 6 Anatomy	https://arxiv.org/html/2606.25519v1 — §D Additional evaluation details; D.1 Benchmarks and evaluation protocol	https://arxiv.org/html/2606.25519v1 — §7 Can We Reduce Reasoning-Token Inflation; D.2 Model details	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25532	arXiv:2606.25532v1	https://arxiv.org/html/2606.25532v1 — §Physically constrained multi-agent discovery engine; Evolutionary Knowledge Graph and algorithmic chain of thought	https://arxiv.org/html/2606.25532v1 — §Hardware-compliance evaluation and discovered-system validation	https://arxiv.org/html/2606.25532v1 — §Exact-v1 research-prototype and evaluated hardware-design boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25548	arXiv:2606.25548v1	https://arxiv.org/html/2606.25548v1 — §4 Transcoders-based Concept Removal; 4.1 BLOCK Framework	https://arxiv.org/html/2606.25548v1 — §5 Empirical Evaluation; 5.1 Experimental Setup; 5.4 Robustness	https://arxiv.org/html/2606.25548v1 — §G Limitations; D.1 Model-Architecture-Dependent Subtleties	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-25575	arXiv:2606.25575v1	https://arxiv.org/html/2606.25575v1 — §Variable-autonomy architecture; task-phase authority transfer; always-available release gesture	https://arxiv.org/html/2606.25575v1 — §44-participant user study; five bimanual tasks; policy-variant success	https://arxiv.org/html/2606.25575v1 — §Single wearable-hand embodiment, known objects, five tools, and short-horizon study	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25592	arXiv:2606.25592v1	https://arxiv.org/html/2606.25592v1 — §2 Visual Prompt Attack and Defense; 2.2 VPA-Guard	https://arxiv.org/html/2606.25592v1 — §3 VVA-Bench; 3.2 Evaluation Protocol; 4 Main Experiments	https://arxiv.org/html/2606.25592v1 — §E.1 Limitations; E.4 Human-in-the-loop Discussion	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25605	arXiv:2606.25605v1	https://arxiv.org/html/2606.25605v1 — §3 Problem Definition; 4 Experimental Setup; 7 Transparent Two-Pass Execution	https://arxiv.org/html/2606.25605v1 — §5 Empirical Findings; 7.3 Experimental Evaluation; 7.4 Cost and Latency	https://arxiv.org/html/2606.25605v1 — §7.5 Failure Cases and Limitations; 8.4 Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25608	arXiv:2606.25608v1	https://arxiv.org/html/2606.25608v1 — §V Proposed Method: Multi-LLM System; V-B Multi-LLM architecture with HybridRAG	https://arxiv.org/html/2606.25608v1 — §VI Initial Evaluation	https://arxiv.org/html/2606.25608v1 — §V-C Restrictions of our architecture; VII Future Research	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-25622	arXiv:2606.25622v1	https://arxiv.org/html/2606.25622v1 — §IV Theoretical Framework: MAS Architecture and Experimental Setup	https://arxiv.org/html/2606.25622v1 — §V Results & Discussion	https://arxiv.org/html/2606.25622v1 — §VI Limitations & Future Work	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25656	arXiv:2606.25656v1	https://arxiv.org/html/2606.25656v1 — §3 Methods; 3.2 Regular RAG; 3.3 GraphRAG; 3.4 Modular and Agentic RAG; 3.5 Context Optimization	https://arxiv.org/html/2606.25656v1 — §4 Experimental setup; 5 Experimental results	https://arxiv.org/html/2606.25656v1 — §6 Conclusions and future work; C Retrieval-Generation Gap	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25658	arXiv:2606.25658v1	https://arxiv.org/html/2606.25658v1 — §3 Method; 3.2 Online Semantic Basis; 3.3 Dynamic Visual Memory Bank	https://arxiv.org/html/2606.25658v1 — §4 Experiment; 4.1 Benchmarks and Metrics; 4.2 Implementation	https://arxiv.org/html/2606.25658v1 — §A Limitations	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25674	arXiv:2606.25674v1	https://arxiv.org/html/2606.25674v1 — §3 Method; 3.2 Low-bit Embedding Backbone; 3.5 Multi-precision Embedding Quantization	https://arxiv.org/html/2606.25674v1 — §4 Experiments; 4.1 Experimental Setup; B Evaluation Details	https://arxiv.org/html/2606.25674v1 — §4.4 Analysis; task-type sensitivity to quantization	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25700	arXiv:2606.25700v1	https://arxiv.org/html/2606.25700v1 — §III Methods; III-B Training; III-C Architecture	https://arxiv.org/html/2606.25700v1 — §IV Results; IV-B Computation calculation	https://arxiv.org/html/2606.25700v1 — §V Discussion; V-A Choice of rank; V-C Computation	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-25705	arXiv:2606.25705v1	https://arxiv.org/html/2606.25705v1 — §3 Methodology; 3.1 Query Selection, Expansion and Saturation; 3.2 Roll-out with Emulator	https://arxiv.org/html/2606.25705v1 — §4 Experiments and Results	https://arxiv.org/html/2606.25705v1 — §5 Conclusion; short-paper and emulator-only boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25721	arXiv:2606.25721v1	https://arxiv.org/html/2606.25721v1 — §4 Method; 4.1 Keyword Searching; 4.2 Secondary Verification	https://arxiv.org/html/2606.25721v1 — §5 Evaluation; 5.1 Setup; 5.2 Results	https://arxiv.org/html/2606.25721v1 — §6 Discussion; baseline and hyperparameter sensitivity	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25759	arXiv:2606.25759v1	https://arxiv.org/html/2606.25759v1 — §3 System Overview; 4 Operating-Profile Calibration; 5 Runtime Binding and Bucket Routing	https://arxiv.org/html/2606.25759v1 — §7 Closed-Loop Cluster Evaluation; 7.1 Evaluation Setup and Scope	https://arxiv.org/html/2606.25759v1 — §9 Limitations and Future Work; A.4 Evaluation Environment and Measurement Boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25760	arXiv:2606.25760v1	https://arxiv.org/html/2606.25760v1 — §3 Benchmark and Evaluation Protocol; 7 Inductive-Conformal Click Disks	https://arxiv.org/html/2606.25760v1 — §4 UQ Generalizes Selectively; 5 Graded Error and Calibration	https://arxiv.org/html/2606.25760v1 — §A4 Out-of-distribution analysis; A5 Methods deferred; A25 vendor protocol details	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25782	arXiv:2606.25782v1	https://arxiv.org/html/2606.25782v1 — §2 Dataset; 3 Adversarial Attack Methodology; 4 Safety Judge Panel	https://arxiv.org/html/2606.25782v1 — §5 Evaluation Protocol; 6 Results; 6.3 Cost and Latency Trade-offs	https://arxiv.org/html/2606.25782v1 — §OOD holdout and multi-turn attack boundary; 0.B Inference Throughput and Latency	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25797	arXiv:2606.25797v1	https://arxiv.org/html/2606.25797v1 — §3 Improving Online MDP-SMC; 3.2 Confidence Sequences; 3.4 Confidence Sequence MDP-SMC	https://arxiv.org/html/2606.25797v1 — §4 Implementation and Experimental Evaluation	https://arxiv.org/html/2606.25797v1 — §0.A Assumptions on Sampling Access and Knowledge; 0.B Reusing Confidence is Incorrect	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-25819	arXiv:2606.25819v1	https://arxiv.org/html/2606.25819v1 — §ToolBench-X; Problem Formulation; Benchmark Construction; Reliability Hazard Injection	https://arxiv.org/html/2606.25819v1 — §Experiments; Experimental Setup; Further Analysis; Error Analysis	https://arxiv.org/html/2606.25819v1 — §Canonical recovery-path construction and five injected-hazard boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	selected	Integrate	passed
SF-2026-ARXIV-2606-25838	arXiv:2606.25838v1	https://arxiv.org/html/2606.25838v1 — §III Method; IV Confidence-Aware Routing	https://arxiv.org/html/2606.25838v1 — §V Experiments; V-A Evaluation protocol; VI Deployment Patterns	https://arxiv.org/html/2606.25838v1 — §VII-C Limitations and future work	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25863	arXiv:2606.25863v1	https://arxiv.org/pdf/2606.25863v1 — §PDF §3 Research Design; §3.3 PatchLens static analysis and build-system resolution	https://arxiv.org/pdf/2606.25863v1 — §PDF §4 Results; 1,192 Linux, 289 FFmpeg, 100 PHP patches	https://arxiv.org/pdf/2606.25863v1 — §PDF threats to validity; compile-time C/C++ and project-specific build-resolver boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25871	arXiv:2606.25871v1	https://arxiv.org/html/2606.25871v1 — §3 Our Approach; 3.1 System Architecture; 3.3 Per-Class Isotonic Calibration; 3.4 Cascade Decision Logic	https://arxiv.org/html/2606.25871v1 — §4 Experiments and Evaluation; 4.2 Dataset and Setup; 4.5 Cascade Performance	https://arxiv.org/html/2606.25871v1 — §5 Production Deployment and Discussion; sponsored-search relevance boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25987	arXiv:2606.25987v1	https://arxiv.org/html/2606.25987v1 — §3 Formal Engine; 3.2 Architecture; 4 Weave of Formal Thought	https://arxiv.org/html/2606.25987v1 — §5 WoFT Improves Surface Modeling; 5.1 Experimental setup	https://arxiv.org/html/2606.25987v1 — §6 Next Steps and Research Vision; technical-report preliminary-results boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-25996	arXiv:2606.25996v1	https://arxiv.org/html/2606.25996v1 — §2 Autodata; 2.1 Agentic Self-Instruct; 4 Meta Optimization of the Data Scientist	https://arxiv.org/html/2606.25996v1 — §3 Experiments; CS, legal, and scientific reasoning tasks	https://arxiv.org/html/2606.25996v1 — §6 Conclusion and Discussion; Hacking & limitations; A Token Efficiency and Truncation	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26021	arXiv:2606.26021v1	https://arxiv.org/html/2606.26021v1 — §V Attention-based MIA; VI Inference-Time Hardening Against MIAs	https://arxiv.org/html/2606.26021v1 — §IV Tabular FMs Under Standard MIAs; V-B and VI-B Experimental Results	https://arxiv.org/html/2606.26021v1 — §VIII-C Limitations and opportunities; I Context size	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26027	arXiv:2606.26027v1	https://arxiv.org/html/2606.26027v1 — §4 Method; 4.2 catastrophic collapse; 4.4 supervisory fixes	https://arxiv.org/html/2606.26027v1 — §5 Experiments; 5.1 Dataset and Models; D Detailed Evaluation	https://arxiv.org/html/2606.26027v1 — §B Training Details; C Qwen3 Training; E Training Dynamic	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26028	arXiv:2606.26028v1	https://arxiv.org/html/2606.26028v1 — §3 System Model: ERC-8004 Protocol; 7 Reputation Market Security	https://arxiv.org/html/2606.26028v1 — §4 Dataset; 5 Agent Identity and Adoption; 6 Reputation Market	https://arxiv.org/html/2606.26028v1 — §9 Limitations and Future Work; C x402 attribution challenges	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26057	arXiv:2606.26057v1	https://arxiv.org/html/2606.26057v1 — §2 Threat Model; 3 Requirements; 4 Design; 5 Implementation	https://arxiv.org/html/2606.26057v1 — §6 Evaluation; 6.4 Machine-Checked Fail-Closed Invariant; 6.5 Live containment	https://arxiv.org/html/2606.26057v1 — §8.3 Limitations and Future Work; Artifact and Reproducibility	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	selected	Integrate	passed
SF-2026-ARXIV-2606-26071	arXiv:2606.26071v1	https://arxiv.org/html/2606.26071v1 — §4 Protocol and Methods; 5 Environments; 7 Methodological Insights	https://arxiv.org/html/2606.26071v1 — §6 Case Studies; 8 Recommendations	https://arxiv.org/html/2606.26071v1 — §10 Limitations and Future Work; negative-results and confounding boundary	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26185	arXiv:2606.26185v1	https://arxiv.org/html/2606.26185v1 — §Temperature-control and reproducibility protocol for LLM-as-judge safety evaluation	https://arxiv.org/html/2606.26185v1 — §Cross-temperature, repeat-run and judge-agreement evaluation	https://arxiv.org/html/2606.26185v1 — §Temperature control is necessary but not sufficient; prompt/model/vendor drift remains	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26211	arXiv:2606.26211v1	https://arxiv.org/html/2606.26211v1 — §Data Facts metadata schema; provenance, semantics, constraints and exchange contract	https://arxiv.org/html/2606.26211v1 — §NANDini multi-agent exchange examples and schema coverage	https://arxiv.org/html/2606.26211v1 — §Single ecosystem prototype; no proof of cross-vendor enforcement or semantic completeness	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26257	arXiv:2606.26257v1	https://arxiv.org/html/2606.26257v1 — §Dataset Usage Inference formulation without shadow models or held-out data	https://arxiv.org/html/2606.26257v1 — §Exact-v1 membership/dataset inference experiments and ablations	https://arxiv.org/html/2606.26257v1 — §Requires the paper's observable score/query regime; not per-record legal attribution	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26298	arXiv:2606.26298v1	https://arxiv.org/html/2606.26298v1 — §Governing Actions, Not Agents; Institutional Attestation model	https://arxiv.org/html/2606.26298v1 — §Action-level attestation scenarios and governance analysis	https://arxiv.org/html/2606.26298v1 — §Institutional model is a governance proposal, not a deployed enforcement benchmark	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26300	arXiv:2606.26300v1	https://arxiv.org/html/2606.26300v1 — §Verification Horizon formulation for coding-agent rewards	https://arxiv.org/html/2606.26300v1 — §Reward-verification experiments across coding horizons	https://arxiv.org/html/2606.26300v1 — §No universal reward verifier; longer horizons and hidden environment state remain	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26341	arXiv:2606.26341v1	https://arxiv.org/html/2606.26341v1 — §Many Problems One GPU batching and nonlinear-optimization execution design	https://arxiv.org/html/2606.26341v1 — §GPU scaling experiments across problem families	https://arxiv.org/html/2606.26341v1 — §Only disclosed nonlinear solvers/problem shapes; no cluster-level scheduling or isolation proof	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26344	arXiv:2606.26344v1	https://arxiv.org/html/2606.26344v1 — §Axon synthesizing superoptimizer; tensor-program search and verification	https://arxiv.org/html/2606.26344v1 — §Kernel synthesis evaluation and generated-program performance	https://arxiv.org/html/2606.26344v1 — §Covered tensor operators/hardware only; verifier does not prove arbitrary numerical equivalence	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26356	arXiv:2606.26356v1	https://arxiv.org/html/2606.26356v1 — §Instruction Bleed formulation; prompt-composed module interference	https://arxiv.org/html/2606.26356v1 — §Cross-module interference experiments and mitigations	https://arxiv.org/html/2606.26356v1 — §Prompt/module families tested do not establish universal isolation or adversarial robustness	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26377	arXiv:2606.26377v1	https://arxiv.org/html/2606.26377v1 — §Unified intent-and-harm verification defense	https://arxiv.org/html/2606.26377v1 — §Threat-generation and defense evaluation	https://arxiv.org/html/2606.26377v1 — §Evaluated threat families and judges only; intent inference is not proof of harmless execution	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	9	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26383	arXiv:2606.26383v1	https://arxiv.org/html/2606.26383v1 — §SOLAR speed-of-light performance model; bottleneck decomposition and bound calculation	https://arxiv.org/html/2606.26383v1 — §Predicted-vs-observed latency and throughput analysis	https://arxiv.org/html/2606.26383v1 — §Analytical bounds depend on calibrated hardware/workload parameters and omit undisclosed runtime effects	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26429	arXiv:2606.26429v1	https://arxiv.org/html/2606.26429v1 — §DualEval joint model-item calibration	https://arxiv.org/html/2606.26429v1 — §Unified LLM evaluation experiments and calibration analysis	https://arxiv.org/html/2606.26429v1 — §Joint calibration assumes the evaluated item/model pool; new distributions require refitting	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26439	arXiv:2606.26439v1	https://arxiv.org/html/2606.26439v1 — §TileMaxSim IO-aware GPU MaxSim scoring; dimension tiling and fused product quantization	https://arxiv.org/html/2606.26439v1 — §GPU retrieval throughput, latency and quality evaluation	https://arxiv.org/html/2606.26439v1 — §Evaluated MaxSim layouts and GPUs only; index update and distributed consistency are not proved	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26441	arXiv:2606.26441v1	https://arxiv.org/html/2606.26441v1 — §GPUSparse learned sparse retrieval with parallel inverted indices	https://arxiv.org/html/2606.26441v1 — §Retrieval quality, latency and GPU scaling experiments	https://arxiv.org/html/2606.26441v1 — §Static benchmark indexes do not prove high-churn update cost, multi-tenant isolation or cross-node scaling	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	7	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26442	arXiv:2606.26442v1	https://arxiv.org/html/2606.26442v1 — §AXLE cloud infrastructure for Lean 4 utilities; remote execution and artifact handling	https://arxiv.org/html/2606.26442v1 — §Utility execution, throughput and theorem-proving workflow evaluation	https://arxiv.org/html/2606.26442v1 — §Cloud utility success does not prove generated theorem correctness beyond Lean checking or side-effect safety	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
SF-2026-ARXIV-2606-26449	arXiv:2606.26449v1	https://arxiv.org/html/2606.26449v1 — §ProvenAI provenance-native trace schema and evidence links	https://arxiv.org/html/2606.26449v1 — §Generated-answer trace/evidence evaluation	https://arxiv.org/html/2606.26449v1 — §Trace completeness depends on instrumented producers; provenance does not imply source truth	Not Disclosed — exact-v1 does not disclose a repository or release artifact used by this review	complete	8	not_selected	Integrate	passed
