Priority	Status	Daily	Week	Source Family	Candidate	Known URL	Missing Material	Why Existing Evidence Is Insufficient	Acceptable Substitute	Suggested File Name	Resume Scope
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-11886	Read It Back: Pretrained MLLMs Are Zero-Shot Reward Models for Text-to-Image Generation	https://arxiv.org/abs/2607.11886v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.11886v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-14	2026-W29	SF-2026-ARXIV-2607-12227	Rethinking the Evaluation of Harness Evolution for Agents	https://arxiv.org/abs/2607.12227v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12227v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12395	Ring-Zero: Scaling Zero RL to a Trillion Parameters for Emergent Reasoning	https://arxiv.org/abs/2607.12395v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12395v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12463	Function-Aware Fill-in-the-Middle as Mid-Training for Coding Agent Foundation Models	https://arxiv.org/abs/2607.12463v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12463v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12550	A JoLT for the KV cache: Near-lossless KV cache compression via joint Lagrangian allocation of Tucker ranks and a rotated residual for llms	https://arxiv.org/abs/2607.12550v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12550v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12625	KnowAct-GUIClaw: Know Deeply, Act Perfectly, Personal GUI Assistant with Self-Evolving Memory and Skill	https://arxiv.org/abs/2607.12625v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12625v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12747	Tracing Agentic Failure from the Flow of Success	https://arxiv.org/abs/2607.12747v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12747v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12839	HeteroMosaic: Exposing and Exploiting Heterogeneous Execution Opportunities for Energy-Efficient Edge LLM Inference	https://arxiv.org/abs/2607.12839v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12839v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-12875	MetaInfer: A Knowledge Only LLM Inference Engine Generator SKILL Toolbox	https://arxiv.org/abs/2607.12875v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.12875v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-13027	PalmClaw: A Native On-Device Agent Framework for Mobile Phones	https://arxiv.org/abs/2607.13027v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13027v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-13124	ShortOPD: Recovering Pruned LLMs with Short-to-Long On-Policy Distillation	https://arxiv.org/abs/2607.13124v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13124v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-13157	Oracle Agent Memory as an Enterprise Memory Substrate for Long-Horizon AI Agents	https://arxiv.org/abs/2607.13157v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13157v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-13205	Adaptive Filtering of the KV Cache: Diagnosing and Correcting Structural-Role Bias in LLM Inference	https://arxiv.org/abs/2607.13205v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13205v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-15	2026-W29	SF-2026-ARXIV-2607-13285	Harness Handbook: Making Evolving Agent Harnesses Readable,Navigable, and Editable	https://arxiv.org/abs/2607.13285v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13285v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-16	2026-W29	SF-2026-ARXIV-2607-13399	Demystifying On-Policy Distillation: Roles, Pathologies, and Regulations	https://arxiv.org/abs/2607.13399v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13399v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-16	2026-W29	SF-2026-ARXIV-2607-13649	CIMERA: Compute-in-Interconnect and Memory with Reconfigurable Precision for LLM Inference	https://arxiv.org/abs/2607.13649v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13649v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-16	2026-W29	SF-2026-ARXIV-2607-13705	AgentCompass: A Unified Evaluation Infrastructure for Agent Capabilities	https://arxiv.org/abs/2607.13705v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13705v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	blocked	2026-07-16	2026-W29	SF-2026-ARXIV-2607-13921	Generative Compilation: On-the-Fly Compiler Feedback as AI Generates Code	https://arxiv.org/abs/2607.13921v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Historical queue records an explicit full-text access blocker; metadata/review focus cannot support a mechanism claim	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.13921v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-16	2026-W29	SF-2026-ARXIV-2607-14076	From Pixels to States: Rethinking Interactive World Models as Game Engines	https://arxiv.org/abs/2607.14076v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.14076v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-16	2026-W29	SF-2026-ARXIV-2607-14169	When a Verified World Model Still Loses: Play-Adequacy vs Prediction-Accuracy in LLM-Synthesized Code World Models	https://arxiv.org/abs/2607.14169v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.14169v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-16	2026-W29	SF-2026-ARXIV-2607-14431	Smarter and Cheaper at Once: Byte-Exact KV-Cache Grafting Turns a Frozen Small Model into a Verified-Knowledge Flywheel	https://arxiv.org/abs/2607.14431v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.14431v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-14618	PolyQ: Codesigning End-to-End Quantization Framework for Scalable Edge CPU LLM Inference	https://arxiv.org/abs/2607.14618v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.14618v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-14777	SEED: Self-Evolving On-Policy Distillation for Agentic Reinforcement Learning	https://arxiv.org/abs/2607.14777v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.14777v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	blocked	2026-07-17	2026-W29	SF-2026-ARXIV-2607-14952	LongStraw: Long-Context RL Beyond 2M Tokens under a Fixed GPU Budget	https://arxiv.org/abs/2607.14952v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Historical queue records an explicit full-text access blocker; metadata/review focus cannot support a mechanism claim	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.14952v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15161	On-Policy Delta Distillation	https://arxiv.org/abs/2607.15161v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15161v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15207	BadWAM: When World-Action Models Dream Right but Act Wrong	https://arxiv.org/abs/2607.15207v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15207v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15257	SearchOS-V1: Towards Robust Open-Domain Information-Seeking Agent Collaboration	https://arxiv.org/abs/2607.15257v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15257v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15263	Beyond Success Rate: Cost-Aware Evaluation of Offensive and Defensive Security Agents	https://arxiv.org/abs/2607.15263v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15263v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15330	Xiaomi-Robotics-1: Scaling Vision-Language-Action Models with over 100K Hours of Real-World Trajectories	https://arxiv.org/abs/2607.15330v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15330v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15498	VarRate: Training-Free Variable-Rate KV Cache Compression for Long-Context LLMs	https://arxiv.org/abs/2607.15498v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15498v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-17	2026-W29	SF-2026-ARXIV-2607-15524	Recursive Harness Self-Improvement	https://arxiv.org/abs/2607.15524v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15524v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-15550	SeerGuard: A Safety Framework for Mobile GUI Agents via World Model Prediction	https://arxiv.org/abs/2607.15550v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15550v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-15593	Scalable LLM Agent Tool Access in the Cloud	https://arxiv.org/abs/2607.15593v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15593v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-15621	Think at 5 Hz, Act at 20 Hz: Asynchronous Fast-Slow Vision-Language-Action Inference for Closed-Loop Driving	https://arxiv.org/abs/2607.15621v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15621v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-15901	DSWorld: A Data Science World Model for Efficient Autonomous Agents	https://arxiv.org/abs/2607.15901v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.15901v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-16074	JoyNexus: Service-Oriented Multi-Tenant Post-Training for VLA Models	https://arxiv.org/abs/2607.16074v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.16074v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-16169	When Does Muon Help Agentic Reinforcement Learning?	https://arxiv.org/abs/2607.16169v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.16169v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-16184	PagedWeight: Efficient MoE LLM Serving with Dynamic Quality-Aware Weight Quantization	https://arxiv.org/abs/2607.16184v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.16184v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
P1 Full Text	pending	2026-07-18	2026-W29	SF-2026-ARXIV-2607-16473	Enabling Spatially Fine-Grained DVFS in Neural Processing Units for Energy-Efficient LLM Serving	https://arxiv.org/abs/2607.16473v1	Event-time v1 Method, evaluation/ablation, limitations/Appendix and artifact scope	Identity/date/abstract and historical prose lack a transferable exact-version primary receipt, route locators, claim boundary and RP	Author manuscript PDF/HTML/TXT or same-version proceedings	arxiv-2607.16473v1.pdf	Primary replay -> V2 rescore -> owner -> Source Review -> Selection -> Books Decision -> fresh-context audit
