source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason
SF-2026-ARXIV-2606-22768	2606.22768	core_daily_semantic_review_required	Factored Gossip DiLoCo: Reducing Blocking Communication in DiLoCo	To make large-scale distributed training practical outside high-bandwidth datacenters, we must reduce blocking, high-volume synchronization.	retained_after_full_semantic_audit	durable_ai_system_candidate	TRAIN-DISTRIBUTED-TRAINING	`Factored Gossip DiLoCo: Reducing Blocking Communication in DiLoCo` 改变 `TRAIN-DISTRIBUTED-TRAINING` 的长期 state/data/control 或 evaluation/security contract：Factored Gossip DiLoCo: Reducing Blocking Communication in DiLoCo 的 exact-v1 机制为：On up to billion-parameter language models in low-bandwidth settings, our framework substantially improves compute utilization compared to DiLoCo, with training progress ranging from comparable to closely matching it, and is more robust to failures. 因此 把同步拓扑、worker identity、通信阻塞与收敛/分歧界面共同版本化。
SF-2026-ARXIV-2606-22769	2606.22769	core_daily_semantic_review_required	Noise is Signal: Density-Based Outliers as Leading Indicators of Occupational Emergence in Labor Market Text	Standard NLP pipelines for occupational clustering discard the 10-15% of job postings that density-based methods assign to noise.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`Noise is Signal: Density-Based Outliers as Leading Indicators of Occupational Emergence in Labor Market Text`：Standard NLP pipelines for occupational clustering discard the 10-15% of job postings that density-based methods assign to noise. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-22770	2606.22770	core_daily_semantic_review_required	Statistical Matching via Schrödinger Bridge beyond Conditional Independence	Statistical matching combines partially overlapping datasets that share covariates $X$ but observe the target $Y$ and auxiliary variables $Z$ separately.	pre_denominator_closure	local_artifact_without_general_contract	—	`Statistical Matching via Schrödinger Bridge beyond Conditional Independence`：Statistical matching combines partially overlapping datasets that share covariates $X$ but observe the target $Y$ and auxiliary variables $Z$ separately. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-22771	2606.22771	core_daily_semantic_review_required	Learning Moral Diversity: Modelling Individual Perspectives in Moral Classification of Texts	Understanding moral values in social media text offers insight into moral judgement formation, and supervised NLP models trained on crowdsourced data have achieved strong classification performance.	pre_denominator_closure	survey_or_position_without_new_mechanism	—	`Learning Moral Diversity: Modelling Individual Perspectives in Moral Classification of Texts`：Understanding moral values in social media text offers insight into moral judgement formation, and supervised NLP models trained on crowdsourced data have achieved strong classification performance. 综述、立场或开放问题没有可独立验收的机制、failure authority 或 Books 纠错证据。
SF-2026-ARXIV-2606-22772	2606.22772	not_routed_by_keyword_contract	LoCC: Detection and Localization of Lip-Syncing Deepfakes via Counterfactual Frame Consistency	Lip-syncing deepfakes are among the most challenging forms of manipulated media because their artifacts are localized almost exclusively to the mouth region and evolve dynamically over time.	pre_denominator_closure	local_artifact_without_general_contract	—	`LoCC: Detection and Localization of Lip-Syncing Deepfakes via Counterfactual Frame Consistency`：Lip-syncing deepfakes are among the most challenging forms of manipulated media because their artifacts are localized almost exclusively to the mouth region and evolve dynamically over time. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-22773	2606.22773	not_routed_by_keyword_contract	Disk-Based Interval Indexes Under the Increasing Ending Time Assumption	Indexes for large collections of intervals are common in temporal databases, where each record has a lifespan, or validity interval.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Disk-Based Interval Indexes Under the Increasing Ending Time Assumption`：Indexes for large collections of intervals are common in temporal databases, where each record has a lifespan, or validity interval. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22775	2606.22775	core_daily_semantic_review_required	Target-Aware Linear Regression Under Distribution Shift	Distribution shift between training and deployment is a pervasive challenge for modern AI systems.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`Target-Aware Linear Regression Under Distribution Shift`：Distribution shift between training and deployment is a pervasive challenge for modern AI systems. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-22776	2606.22776	core_daily_semantic_review_required	GeoRouteNet: A Geometry-Aware Non-Autoregressive Neural Solver for the Euclidean Traveling Salesman Problem	Non-autoregressive neural solvers amortize computation across traveling salesman problem (TSP) instances, but models trained on random Euclidean instances can degrade when the number or spatial distribution of nodes changes.	pre_denominator_closure	task_model_method_without_durable_owner	—	`GeoRouteNet: A Geometry-Aware Non-Autoregressive Neural Solver for the Euclidean Traveling Salesman Problem`：Non-autoregressive neural solvers amortize computation across traveling salesman problem (TSP) instances, but models trained on random Euclidean instances can degrade when the number or spatial distribution of nodes changes. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22778	2606.22778	core_daily_semantic_review_required	HAKARI-Bench: A Lightweight Benchmark for Comparing Retrieval Architectures and Efficiency Settings under Unified Conditions	With the rapid spread of retrieval-augmented generation and semantic search, choosing the right embedding and retrieval configuration is increasingly hard.	retained_after_full_semantic_audit	durable_ai_system_candidate	AGENT-RAG	`HAKARI-Bench: A Lightweight Benchmark for Comparing Retrieval Architectures and Efficiency Settings under Unified Conditions` 改变 `AGENT-RAG` 的长期 state/data/control 或 evaluation/security contract：HAKARI-Bench: A Lightweight Benchmark for Comparing Retrieval Architectures and Efficiency Settings under Unified Conditions 的 exact-v1 机制为：We present HAKARI-Bench, a lightweight benchmark that reconstructs existing retrieval suites into small datasets (Nano-sets): 35 benchmarks and 551 tasks across 43 languages in a unified format, enabling same-condition, model-agnostic comparison of five retrieval families (BM25, dense, sparse, late interaction, rerankers) and their efficiency variants. 因此 把 retrieval 配置、candidate set、证据 identity 与质量—成本评估绑定。
SF-2026-ARXIV-2606-22779	2606.22779	not_routed_by_keyword_contract	DE-FIVE: Detecting Malicious Image Prompts via Fourier Features and Image Vector Embeddings	Vision language models (VLMs) employ both visual and textual modalities to enable advanced vision-language inference.	pre_denominator_closure	task_model_method_without_durable_owner	—	`DE-FIVE: Detecting Malicious Image Prompts via Fourier Features and Image Vector Embeddings`：Vision language models (VLMs) employ both visual and textual modalities to enable advanced vision-language inference. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22780	2606.22780	core_daily_semantic_review_required	Explainable AI for Mental Health Prediction in Drug-Affected Populations with Dragonfly Algorithm and GAN Oversampling	Mental illnesses among drug users are an increasing international issue, particularly in regions where early detection cannot be easily undertaken.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`Explainable AI for Mental Health Prediction in Drug-Affected Populations with Dragonfly Algorithm and GAN Oversampling`：Mental illnesses among drug users are an increasing international issue, particularly in regions where early detection cannot be easily undertaken. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-22782	2606.22782	core_daily_semantic_review_required	Towards Robust Personalized Federated Learning: Vulnerability Assessment and Defense Co-Design	The proliferation of IoT devices has fueled distributed edge systems to collect vast amounts of sensitive data, creating fertile ground for on-device machine learning applications.	pre_denominator_closure	local_artifact_without_general_contract	—	`Towards Robust Personalized Federated Learning: Vulnerability Assessment and Defense Co-Design`：The proliferation of IoT devices has fueled distributed edge systems to collect vast amounts of sensitive data, creating fertile ground for on-device machine learning applications. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-22783	2606.22783	core_daily_semantic_review_required	Breaking the Evaluation Paradox: Evaluating High-Entropy Search with Computationally Irreducible Constraints	Evaluating the exhaustive search capabilities of large language models (LLMs) is plagued by a fundamental paradox: verifying completeness requires complete ground truth, yet high-entropy enumeration tasks make such ground truth impossible for humans to create.	retained_after_full_semantic_audit	durable_ai_system_candidate	PLATFORM-EVALUATION-SYSTEM	`Breaking the Evaluation Paradox: Evaluating High-Entropy Search with Computationally Irreducible Constraints` 改变 `PLATFORM-EVALUATION-SYSTEM` 的长期 state/data/control 或 evaluation/security contract：Breaking the Evaluation Paradox: Evaluating High-Entropy Search with Computationally Irreducible Constraints 的 exact-v1 机制为：We introduce VERITAS (Verifiable Traversal Assessment for Search), a framework built on the principle of computationally irreducible constraints. 因此 把样本、metric、judge、阈值、不确定性和 release authority 分离。
SF-2026-ARXIV-2606-22785	2606.22785	core_daily_semantic_review_required	Cross-National Information Attacks: A Two-Decade Analysis of Troll Behavior in Korea	Coordinated foreign influence operations pose a growing threat to online platforms, but detecting state-linked troll activity and tracking its evolution remain challenging.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Cross-National Information Attacks: A Two-Decade Analysis of Troll Behavior in Korea`：Coordinated foreign influence operations pose a growing threat to online platforms, but detecting state-linked troll activity and tracking its evolution remain challenging. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-22786	2606.22786	core_daily_semantic_review_required	Learning Filters with Certainty	Hash-based data structures such as Bloom filters are widely used in network systems for tasks including caching, anomaly detection, and machine learning pipelines.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Learning Filters with Certainty`：Hash-based data structures such as Bloom filters are widely used in network systems for tasks including caching, anomaly detection, and machine learning pipelines. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-22787	2606.22787	not_routed_by_keyword_contract	Visual Geometry Transformer in the Wild: Distractor-Free 3D Reconstruction	Current end-to-end multi-view 3D reconstruction methods achieve impressive results, but rely on a restrictive static assumption: the scenes is entire distractor-free with perfect cross-view geometry.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Visual Geometry Transformer in the Wild: Distractor-Free 3D Reconstruction`：Current end-to-end multi-view 3D reconstruction methods achieve impressive results, but rely on a restrictive static assumption: the scenes is entire distractor-free with perfect cross-view geometry. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22790	2606.22790	core_daily_semantic_review_required	Scaling Audio Models Efficiently: A Joint Study of Compute Constraints and Optimization Behavior	In this paper, we investigate the tradeoffs between compute allocation and model performance for two speech processing tasks: Automatic Speech Recognition (ASR) and Speech Emotion Recognition (SER).	pre_denominator_closure	domain_application_without_system_contract_delta	—	`Scaling Audio Models Efficiently: A Joint Study of Compute Constraints and Optimization Behavior`：In this paper, we investigate the tradeoffs between compute allocation and model performance for two speech processing tasks: Automatic Speech Recognition (ASR) and Speech Emotion Recognition (SER). 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-22791	2606.22791	not_routed_by_keyword_contract	Integrating Heterogeneous Digital Twins in Federated Ecosystems	Digital Twins (DTs) are increasingly used to virtualise physical systems at different scales, enabling monitoring, simulation, and predictions to support decision-making.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Integrating Heterogeneous Digital Twins in Federated Ecosystems`：Digital Twins (DTs) are increasingly used to virtualise physical systems at different scales, enabling monitoring, simulation, and predictions to support decision-making. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-22792	2606.22792	core_daily_semantic_review_required	The Origins of Stochasticity: Comprehensive Investigations on Uncertainty Quantification for Large Language Models	Recent advancements in Large Language Models (LLMs) have enabled sophisticated reasoning and content generation, yet their inherent stochasticity poses significant challenges for ensuring predictive credibility.	retained_after_full_semantic_audit	durable_ai_system_candidate	PLATFORM-EVALUATION-SYSTEM	`The Origins of Stochasticity: Comprehensive Investigations on Uncertainty Quantification for Large Language Models` 改变 `PLATFORM-EVALUATION-SYSTEM` 的长期 state/data/control 或 evaluation/security contract：The Origins of Stochasticity: Comprehensive Investigations on Uncertainty Quantification for Large Language Models 的 exact-v1 机制为：In this paper, we propose a granular uncertainty taxonomy that systematically attributes LLM uncertainty into input-level, parameter-level, token-level, and decoding-process sources. 因此 把样本、metric、judge、阈值、不确定性和 release authority 分离。
SF-2026-ARXIV-2606-22793	2606.22793	core_daily_semantic_review_required	A Formula-Driven Survey and Research Agenda for On-Policy Distillation	On-policy distillation (OPD) trains an LLM on states induced by the current or recent student policy: the student generates complete or partial rollouts, a teacher or self-teacher scores the resulting tokens under their generated contexts, and dense log-probability, logit, or distributional signals are converted into post-training updates.	pre_denominator_closure	survey_or_position_without_new_mechanism	—	`A Formula-Driven Survey and Research Agenda for On-Policy Distillation`：On-policy distillation (OPD) trains an LLM on states induced by the current or recent student policy: the student generates complete or partial rollouts, a teacher or self-teacher scores the resulting tokens under their generated contexts, and dense log-probability, logit, or distributional signals are converted into post-training updates. 综述、立场或开放问题没有可独立验收的机制、failure authority 或 Books 纠错证据。
SF-2026-ARXIV-2606-22794	2606.22794	keyword_daily_semantic_review_required	UniFS: Unified Fast-to-Slow Hierarchical Architecture for Vision-Language-Action Models	Mainstream Fast-Slow dual system vision-language-action models decouple a high-frequency action expert from a low-frequency vision-language model for efficiency, yet they face a fundamental frequency dilemma: large update gaps cause semantic drift from stale context, while small gaps erode the intended computational savings.	retained_after_full_semantic_audit	durable_ai_system_candidate	MULTIMODAL-EMBODIED-VLA	`UniFS: Unified Fast-to-Slow Hierarchical Architecture for Vision-Language-Action Models` 改变 `MULTIMODAL-EMBODIED-VLA` 的长期 state/data/control 或 evaluation/security contract：UniFS: Unified Fast-to-Slow Hierarchical Architecture for Vision-Language-Action Models 的 exact-v1 机制为：Mainstream Fast-Slow dual system vision-language-action models decouple a high-frequency action expert from a low-frequency vision-language model for efficiency, yet they face a fundamental frequency dilemma: large update gaps cause semantic drift from stale context, while small gaps erode the intended computational savings. 因此 把 observation、temporal state、action head、safety gate 与真实动作回执绑定。
SF-2026-ARXIV-2606-22797	2606.22797	core_daily_semantic_review_required	Measuring Behavior Portability in Large Language Models	Large language models are increasingly deployed as autonomous decision makers, yet the behavioral mapping they exhibit can vary substantially across decision environments that are payoff-equivalent by construction-environments that share identical payoff-relevant structure but differ in surface presentation.	pre_denominator_closure	local_artifact_without_general_contract	—	`Measuring Behavior Portability in Large Language Models`：Large language models are increasingly deployed as autonomous decision makers, yet the behavioral mapping they exhibit can vary substantially across decision environments that are payoff-equivalent by construction-environments that share identical payoff-relevant structure but differ in surface presentation. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-22798	2606.22798	core_daily_semantic_review_required	Does the Same Token Mean the Same State? MoE Routing as Signal for Reasoning Control	In sparse Mixture-of-Experts language models, does the same token id imply the same router state and the same experts producing it?	retained_after_full_semantic_audit	durable_ai_system_candidate	MODEL-MOE	`Does the Same Token Mean the Same State? MoE Routing as Signal for Reasoning Control` 改变 `MODEL-MOE` 的长期 state/data/control 或 evaluation/security contract：Does the Same Token Mean the Same State? MoE Routing as Signal for Reasoning Control 的 exact-v1 机制为：Holding the emitted token id fixed at repeated anchors, we find it does not: the experts that produce it still separate task context, trajectory history, and reasoning-effort mode. 因此 把 router state 视为内部诊断/选择信号，而不是未经验证的正确性证明。
SF-2026-ARXIV-2606-22801	2606.22801	not_routed_by_keyword_contract	Learning Adaptive Dynamical Features via Multi-$τ$ Liquid-Mamba for All-in-one Image Restoration	Image restoration aims to recover high-quality images from degraded observations.	pre_denominator_closure	local_artifact_without_general_contract	—	`Learning Adaptive Dynamical Features via Multi-$τ$ Liquid-Mamba for All-in-one Image Restoration`：Image restoration aims to recover high-quality images from degraded observations. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-22803	2606.22803	core_daily_semantic_review_required	Towards Fast Domain Adaptation and Fine-Grained User Simulation for Evaluating Conversational Recommender Systems	Conversational Recommender Systems (CRSs) enhance user experience through multi-turn interactions, yet evaluating their performance remains challenging.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Towards Fast Domain Adaptation and Fine-Grained User Simulation for Evaluating Conversational Recommender Systems`：Conversational Recommender Systems (CRSs) enhance user experience through multi-turn interactions, yet evaluating their performance remains challenging. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22804	2606.22804	not_routed_by_keyword_contract	CoVStream: Edge-Cloud Collaboration for Understanding of Long Video Streams	Long, continuous video streams are an increasingly critical driver of multimedia intelligence.	retained_after_full_semantic_audit	durable_ai_system_candidate	MULTIMODAL-WORLD-MODELS	`CoVStream: Edge-Cloud Collaboration for Understanding of Long Video Streams` 改变 `MULTIMODAL-WORLD-MODELS` 的长期 state/data/control 或 evaluation/security contract：CoVStream: Edge-Cloud Collaboration for Understanding of Long Video Streams 的 exact-v1 机制为：Therefore, we propose CoVStream, the first edge-cloud collaborative framework for understanding long video streams. 因此 把压缩记忆、transition/rollout identity 与真实观测 fallback 分离。
SF-2026-ARXIV-2606-22806	2606.22806	not_routed_by_keyword_contract	Policy-as-Data: Learning Generalizable HOI Diffusion Models from Simulated Physics	Synthesizing realistic Human-Object Interactions (HOI) is critical for creating embodied avatars and functional virtual environments.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Policy-as-Data: Learning Generalizable HOI Diffusion Models from Simulated Physics`：Synthesizing realistic Human-Object Interactions (HOI) is critical for creating embodied avatars and functional virtual environments. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22807	2606.22807	core_daily_semantic_review_required	KaLM-Reranker-V1: Fast but Not Late Interaction for Compressed Document Reranking	As retrieval systems scale, high-quality reranking becomes increasingly important.	pre_denominator_closure	task_model_method_without_durable_owner	—	`KaLM-Reranker-V1: Fast but Not Late Interaction for Compressed Document Reranking`：As retrieval systems scale, high-quality reranking becomes increasingly important. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22809	2606.22809	core_daily_semantic_review_required	AI-Assisted Help-Seeking Trajectories in Programming Education from an SRL-Informed Perspective	Generative AI tools provide novice programmers with instant, personalized support, but also raise concerns about whether AI use supports or bypasses students' regulation of problem-solving.	pre_denominator_closure	survey_or_position_without_new_mechanism	—	`AI-Assisted Help-Seeking Trajectories in Programming Education from an SRL-Informed Perspective`：Generative AI tools provide novice programmers with instant, personalized support, but also raise concerns about whether AI use supports or bypasses students' regulation of problem-solving. 综述、立场或开放问题没有可独立验收的机制、failure authority 或 Books 纠错证据。
SF-2026-ARXIV-2606-22811	2606.22811	core_daily_semantic_review_required	Bagpiper-TTS: Natural Language Guided Universal Speech Synthesis	Classical TTS systems typically rely on rigid input formats and predefined metadata slots, limiting their ability to fulfill flexible user requirements.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`Bagpiper-TTS: Natural Language Guided Universal Speech Synthesis`：Classical TTS systems typically rely on rigid input formats and predefined metadata slots, limiting their ability to fulfill flexible user requirements. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-22812	2606.22812	core_daily_semantic_review_required	Clutch: High Performance Vector-Scalar Comparison using DRAM via Chunked Temporal Coding	Vector-scalar comparison is a fundamental computation primitive that compares each element in a vector against a single scalar value.	pre_denominator_closure	general_hardware_primitive	—	`Clutch: High Performance Vector-Scalar Comparison using DRAM via Chunked Temporal Coding`：Vector-scalar comparison is a fundamental computation primitive that compares each element in a vector against a single scalar value. DRAM vector-scalar primitive 是通用硬件算法，未改变 AI workload 的 model/request/cache owner 或 release contract。
SF-2026-ARXIV-2606-22813	2606.22813	core_daily_semantic_review_required	Active Inference as the Test-Time Scaling Law for Physical AI Agents	In this paper, a novel test-time scaling law for physical artificial intelligence (AI) agents is introduced.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`Active Inference as the Test-Time Scaling Law for Physical AI Agents`：In this paper, a novel test-time scaling law for physical artificial intelligence (AI) agents is introduced. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-22817	2606.22817	not_routed_by_keyword_contract	SelPE: Progressive Selection for Private Structured Text Synthesis	Many data-driven applications rely on structured textual records, such as clinical triage notes and financial transaction logs, for downstream learning and decision-making.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`SelPE: Progressive Selection for Private Structured Text Synthesis`：Many data-driven applications rely on structured textual records, such as clinical triage notes and financial transaction logs, for downstream learning and decision-making. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-22823	2606.22823	core_daily_semantic_review_required	Retrieval-Augmented Multimodal Learning for Enzyme-Substrate Interaction Prediction Under Low-Homology Shift	Enzyme substrate interaction (ESI) prediction is a fundamental computational task for biocatalyst discovery and reaction screening in large biochemical spaces.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Retrieval-Augmented Multimodal Learning for Enzyme-Substrate Interaction Prediction Under Low-Homology Shift`：Enzyme substrate interaction (ESI) prediction is a fundamental computational task for biocatalyst discovery and reaction screening in large biochemical spaces. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22824	2606.22824	core_daily_semantic_review_required	BranchShine: Compact Raw-Audio-to-IPA Transcription with a RoPE E-Branchformer Encoder	Speech-to-IPA transcription is useful when the desired output is pronunciation rather than orthographic text, but competitive multilingual systems are often large and evaluation is sensitive to normalization choices.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`BranchShine: Compact Raw-Audio-to-IPA Transcription with a RoPE E-Branchformer Encoder`：Speech-to-IPA transcription is useful when the desired output is pronunciation rather than orthographic text, but competitive multilingual systems are often large and evaluation is sensitive to normalization choices. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
