arxiv_id	first_public_date	title	candidate_state	screening_reason	owner_node	review_status	books_disposition
2604.23501	2026-04-26	Quantum average correlation based on average coherence	pre-denominator closure	全量 title+abstract 复核后关闭 `Quantum average correlation based on average coherence`：它公开的具体问题/机制是“This paper studies the quantification and structural properties of quantum average correlation based on average coherence. Motivated by two mathematically equivalent approaches to define average coherence: one by averaging over complete sets of mutually unbiased bases, and the other by integrating over all orthogonal bases under the Haar measure, we define an average correlation for bipartite systems as the difference between global and local skew information. This correlation measure is shown to satisfy essential ”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23502	2026-04-26	Search for heavy resonances decaying into two Higgs bosons in the $\mathrm{b}\bar{\mathrm{b}}\,τ^{+}τ^{-}$ final state in proton-proton collisions at $\sqrt{s}=13~\text{TeV}$ with the CMS detector	pre-denominator closure	全量 title+abstract 复核后关闭 `Search for heavy resonances decaying into two Higgs bosons in the $\mathrm{b}\bar{\mathrm{b}}\,τ^{+}τ^{-}$ final state in proton-proton collisions at $\sqrt{s}=13~\text{TeV}$ with the CMS detector`：它公开的具体问题/机制是“A search is presented for massive narrow-width resonances in the mass range of $1\text{-}4.5\,\text{TeV}$ decaying into pairs of Higgs bosons (HH), using proton-proton collision data at a center-of-mass energy of $13\,\text{TeV}$ collected with the CMS detector at the LHC during the $2016\text{-}2018$ data-taking. The data correspond to an integrated luminosity of $138~\mathrm{fb}^{-1}$. The analysis targets final states where one Higgs boson decays into a pair of bottom quarks and the other into a pair of tau lept”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23503	2026-04-26	Hyperaccreting Neutron Stars inside Massive Envelopes: The Implausibility of Thorne-Żytkow Objects	pre-denominator closure	全量 title+abstract 复核后关闭 `Hyperaccreting Neutron Stars inside Massive Envelopes: The Implausibility of Thorne-Żytkow Objects`：它公开的具体问题/机制是“The evolution of neutron stars (NSs) embedded within massive stellar envelopes is a critical phase in binary stellar evolution, potentially leading to the formation of Thorne-Żytkow Objects (TŻOs) or catastrophic collapse. We present the first fully coupled general relativistic hydrodynamics (GRHD) simulations of hypercritical accretion onto NSs that simultaneously incorporate grey two-moment (M1) neutrino transport and an $α$-chain nuclear reaction network. By investigating four distinct progenitor evolutionary st”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23504	2026-04-26	Quantum average correlations and complementarity relations via metric-adjusted skew information	pre-denominator closure	全量 title+abstract 复核后关闭 `Quantum average correlations and complementarity relations via metric-adjusted skew information`：它公开的具体问题/机制是“We investigate quantum average correlations and complementarity relations based on metric-adjusted skew information. Several natural averaging procedures are considered, including complete families of mutually unbiased bases, all orthonormal bases, operator orthonormal bases, and twirling channels induced by the unitary group. All these approaches lead to the same closed expression, which identifies the resulting average correlation as an intrinsic quantity independent of the averaging scheme.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23505	2026-04-26	Uncertainty Propagation in LLM-Based Systems	retained	Uncertainty in large language model (LLM)-based systems is often studied at the level of a single model output, yet deployed LLM applications are compound systems in which uncertainty is transformed and reused across model internals, workflow stages, component boundaries, persistent state, and human or organisational processes.  改变 `PLATFORM-EVALUATION-SYSTEM` 的长期机制、state/control ownership 或 evaluation contract；fresh-context reviewer 已以 exact-v1 复核。	PLATFORM-EVALUATION-SYSTEM	deep_complete	Integrate
2604.23506	2026-04-26	Ultrafast spectroscopy and role of interlayer coupling in high harmonic generation from layered solids	pre-denominator closure	全量 title+abstract 复核后关闭 `Ultrafast spectroscopy and role of interlayer coupling in high harmonic generation from layered solids`：它公开的具体问题/机制是“High harmonic generation (HHG) in solids has recently emerged as a powerful all-optical approach for probing material properties and ultrafast electron dynamics in quantum systems. It has been widely applied for studying two-dimensional and layered solids of various kinds. In these studies, the laser is usually polarized within the layered planes, where most electron dynamics occurs, while out-of-plane hopping is commonly neglected.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23507	2026-04-26	Partial solvability induced by dark states in a box trap with decentered two-body interaction	pre-denominator closure	全量 title+abstract 复核后关闭 `Partial solvability induced by dark states in a box trap with decentered two-body interaction`：它公开的具体问题/机制是“We consider a generalization of the two-body contact interaction for nonrelativistic particles confined to a one-dimensional box, in which the interaction is decentered, i.e., the particles interact only when they are separated by a distance c. In contrast to the harmonically trapped system, this model is nonintegrable. Despite this, we demonstrate that the system exhibits partial solvability due to the presence of dark states, i.e., bosonic or fermionic states unaffected by the interaction.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23508	2026-04-26	BurstGP: Enhancing Raw Burst Image Super Resolution with Generative Priors	pre-denominator closure	全量 title+abstract 复核后关闭 `BurstGP: Enhancing Raw Burst Image Super Resolution with Generative Priors`：它公开的具体问题/机制是“Burst image super resolution (BISR) aims to construct a single high-resolution (HR) image by aggregating information from multiple low-resolution (LR) frames, relying on temporal redundancy and spatial coherence across the burst. While conventional methods achieve impressive results, they often struggle with complex textures and oversmoothing. Diffusion models, particularly those pretrained on high-quality data, have shown remarkable capability in generating realistic details for image and video super-resolution.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23509	2026-04-26	Uncovering Business Logic Bugs via Semantics-Driven Unit Test Generation	pre-denominator closure	全量 title+abstract 复核后关闭 `Uncovering Business Logic Bugs via Semantics-Driven Unit Test Generation`：它公开的具体问题/机制是“Business logic bugs violate intended business semantics and are particularly prevalent in enterprise software. Yet most existing unit test generation techniques are code-centric, making such bugs difficult to expose. We present SeGa, a semantics-driven unit test generation technique for uncovering business logic bugs.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23510	2026-04-26	High-Precision Ground Characterization of Test-Mass Magnetic Properties for the Taiji Gravitational Wave Mission via a Physics-Informed Neural Framework	pre-denominator closure	全量 title+abstract 复核后关闭 `High-Precision Ground Characterization of Test-Mass Magnetic Properties for the Taiji Gravitational Wave Mission via a Physics-Informed Neural Framework`：它公开的具体问题/机制是“Taiji is a gravitational wave detection mission in space initiated by the Chinese Academy of Sciences, which will open the millihertz window through a heliocentric triangular constellation of three drag-free spacecraft. Its ultimate sensitivity is determined partly by the residual acceleration noise of the gravitational reference sensors (GRS), within which the coupling between the test-mass and the fluctuating environmental magnetic field constitutes one of the key stray-force contributions. Following the path est”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23511	2026-04-26	Breaking the Secret: Economic Interventions for Combating Collusion in Embodied Multi-Agent Systems	pre-denominator closure	fresh-context reverse audit 复核后维持 closure：`Breaking the Secret: Economic Interventions for Combating Collusion in Embodied Multi-Agent Systems` 的具体问题/机制为：To address this challenge, we propose a mutagenic incentive intervention approach that mitigates collusion by reshaping agents' payoff structures.；摘要证据线索为：Experimental results show that our method effectively suppresses collusion by inducing defection, while preserving system efficiency.。排除边界：其停留在 Agent 局部能力或任务配方，未建立新的 authority、durable state、side-effect commit 或 rollback contract；因此不进入 Candidate Denominator。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23512	2026-04-26	A Simple Algorithm for Clustering Discrete Distributions	pre-denominator closure	全量 title+abstract 复核后关闭 `A Simple Algorithm for Clustering Discrete Distributions`：它公开的具体问题/机制是“We propose a simple, projection-based algorithm for clustering mixtures of discrete (Bernoulli) distributions. Unlike previous approaches that rely on coordinate-specific ``combinatorial projections,'' our algorithm is rotationally invariant and works by projecting samples onto approximate centers obtained via a $k$-means computation on the best rank-$k$ approximation of the data matrix. This resolves a conjecture of McSherry on the existence of such geometric algorithms for discrete distributions.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23513	2026-04-26	Large Language Model based Interactive Decision-Making for Autonomous Driving	pre-denominator closure	fresh-context reverse audit 复核后维持 closure：`Large Language Model based Interactive Decision-Making for Autonomous Driving` 的具体问题/机制为：To mitigate intent misunderstandings and decision failures, we present a Large Language Model based interactive decision-making framework that augments scene understanding and intent-aware interaction to jointly improve safety and efficiency.；摘要证据线索为：To mitigate intent misunderstandings and decision failures, we present a Large Language Model based interactive decision-making framework that augments scene understanding and intent-aware interaction to jointly improve safety and efficiency.。排除边界：其增量依赖领域数据、标签与工作流，未迁移为通用 AI System 的长期状态、控制或发布责任；因此不进入 Candidate Denominator。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23514	2026-04-26	Probabilistic Graphical Model using Graph Neural Networks for Bayesian Inversion of Discrete Structural Component States	pre-denominator closure	全量 title+abstract 复核后关闭 `Probabilistic Graphical Model using Graph Neural Networks for Bayesian Inversion of Discrete Structural Component States`：它公开的具体问题/机制是“The health condition of components in civil infrastructures can be described by various discrete states according to their performance degradation. Inferring these states from measurable responses is typically an ill-posed inverse problem. Although Bayesian methods are well-suited to tackle such problems, computing the posterior probability density function (PDF) presents challenges.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23515	2026-04-26	ragR: Retrieval-Augmented Generation and RAG Assessment in R	pre-denominator closure	fresh-context reverse audit 复核后维持 closure：`ragR: Retrieval-Augmented Generation and RAG Assessment in R` 的具体问题/机制为：To address this gap, we introduce ragR, an R package that unifies document ingestion, embedding and vector storage, similarity-based retrieval, grounded generation, structured question-answer logging, and RAGAS-style evaluation within a single R-native workflow.；摘要证据线索为：While several R packages support core components of RAG workflows, integrated evaluation of RAG systems in R remains limited and is often conducted through Python-based tools, most notably the RAG assessment (RAGAS) framework.。排除边界：其主要贡献是任务切片、数据集或测量结果，未改变 evaluator identity、可复算证据对象或 release gate；因此不进入 Candidate Denominator。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23516	2026-04-26	Time-Delayed Publicly Verifiable Quantum Computation for Classical Verifiers	pre-denominator closure	全量 title+abstract 复核后关闭 `Time-Delayed Publicly Verifiable Quantum Computation for Classical Verifiers`：它公开的具体问题/机制是“Publicly verifiable delegation is a well-known problem involving a user who wishes to outsource a resource-intensive computational task to a more powerful but potentially untrusted server such that any other party is able to efficiently check the veracity of the computation's result. This problem has been extensively studied in the classical domain where the user and server are both non-quantum machines. However, the problem becomes more challenging when the classical user wants to delegate a quantum circuit to a s”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.23517	2026-04-26	Picking up the partial sums of the Möbius function problem with probabilistic number theory	pre-denominator closure	全量 title+abstract 复核后关闭 `Picking up the partial sums of the Möbius function problem with probabilistic number theory`：它公开的具体问题/机制是“We revisit several hybrid multiplicative-to-additive type functions from a recent preprint article. These functions, $g(n)$ with Dirichlet generating function (DGF) $ζ(s)^{-1} (1+P(s))^{-1}$ for $\Re(s) > 1$ where $P(s) = \sum_p p^{-s}$ is the prime zeta function, $|g(n)| = λ(n) g(n)$ with DGF $ζ(2s)^{-1}(1-P(s))^{-1}$, and $C_Ω(n)$ with DGF $(1-P(s))^{-1}$. Each of these function variants are defined in terms of the additive (respectively, strongly additive) functions $ω(n)$ and $Ω(n)$.”。该 delta 仍属于单域任务方法、局部模型变体或受限 benchmark；没有迁移通用 AI-System state/data/control owner，也没有建立新的 release/evaluation contract。若后续 exact revision 披露跨 workload 控制面、failure/fallback 或与 current Books 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
