source_family_id	primary_evidence_version	access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-28831	arXiv:2606.28831v1	accessible	https://arxiv.org/html/2606.28831v1 — §System-Algorithm Co-Design in LLM Inference; 3 The Hard-KV Design; 3.1 The Framework Overview	https://arxiv.org/html/2606.28831v1 — §4 Experiment; Appendix C Experiments Details; C.3 Further Experiment Results	https://arxiv.org/html/2606.28831v1 — §5 Conclusion and Future Work; Appendix B Further Discussions on KV Index Regularization; B.2 Discussion on trade-off in the Index Management for Layerwise Selection；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28839	arXiv:2606.28839v1	accessible	https://arxiv.org/html/2606.28839v1 — §The Contagion Tensor: A Framework for Measuring Output-Distribution Coupling in Multi-Agent LLM Systems —and Auditing the Claims It Enables; Multi-agent LLM systems.; Network contagion and spectral methods.	https://arxiv.org/html/2606.28839v1 — §LLM bias evaluation.; 4.1.2 Experiment 1: Full CAF Matrix; 4.1.3 Experiment 2: Modality Ablation	https://arxiv.org/html/2606.28839v1 — §4.1.4 Experiment 3: Real-API with Functional BOUNDARY_SYNC; 6 Discussion; 7 Limitations and Future Work；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28841	arXiv:2606.28841v1	accessible	https://arxiv.org/html/2606.28841v1 — §LAMP: Lean-based Agentic framework with MCP and Proof Repair; 2.3 Agentic Frameworks for Theorem Proving; 3 The LAMP System	https://arxiv.org/html/2606.28841v1 — §4 Experimental Results; 4.1 Experimental Setup; Evaluation suite:	https://arxiv.org/html/2606.28841v1 — §5 Discussion and Limitations; Failure Analysis:; Limitations and Future Work:；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28843	arXiv:2606.28843v1	accessible	https://arxiv.org/html/2606.28843v1 — §5.3 Pre-training distributions and scale	https://arxiv.org/html/2606.28843v1 — §3 Experimental Set Up; 3.2 Evaluation Protocol; 4 Results	https://arxiv.org/html/2606.28843v1 — §7 Discussion; 7.2 Limitations; 8 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28862	arXiv:2606.28862v1	accessible	https://arxiv.org/html/2606.28862v1 — §4 Method: HKVLM; 4.5 Cold-start training; 5 Experimental Design and Evaluation Protocol	https://arxiv.org/html/2606.28862v1 — §Hallucination evaluation.; 5 Experimental Design and Evaluation Protocol; 6 Results	https://arxiv.org/html/2606.28862v1 — §8 Discussion, Limitations, and Broader Impact; 9 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28863	arXiv:2606.28863v1	accessible	https://arxiv.org/html/2606.28863v1 — §Defeat Devices in AI Systems; 4.1 Five method families; 5.1 Defeat devices can naturally emerge in AI systems	https://arxiv.org/html/2606.28863v1 — §5.5 Four decisive experiments; 6.1 Evaluation methodology	https://arxiv.org/html/2606.28863v1 — §2.4 Boundary cases; 6.5 Limitations; 7 Conclusions；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28864	arXiv:2606.28864v1	accessible	https://arxiv.org/html/2606.28864v1 — §S11 Method Parameters	https://arxiv.org/html/2606.28864v1 — §4 Experiments and Takeaways; 6 Analysis of Multimodal Chain-of-Thoughts; S1 InternVL-3.5 Results	https://arxiv.org/html/2606.28864v1 — §7 Conclusion; S12 Other model failures；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28867	arXiv:2606.28867v1	accessible	https://arxiv.org/html/2606.28867v1 — §Legal analysis of AI training data.	https://arxiv.org/html/2606.28867v1 — §Open but Incompatible: A License Compatibility Analysis of Corpora for Low-Resource African Languages; Legal analysis of AI training data.	https://arxiv.org/html/2606.28867v1 — §6. Four Failure Modes; 6.4. Data Persistence Failure: The Congolese Radio Corpus; 9. Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28876	arXiv:2606.28876v1	accessible	https://arxiv.org/html/2606.28876v1 — §2 Method Sketch	https://arxiv.org/html/2606.28876v1 — §3 Experimental Route; 4 Results; Why frozen-model evaluation is still useful.	https://arxiv.org/html/2606.28876v1 — §5 Discussion; 8 Limitations and Next Steps; 9 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28896	arXiv:2606.28896v1	accessible	https://arxiv.org/html/2606.28896v1 — §A Task-Driven and Quality-Assured Agent Framework for SAR Data Generation; 3 Method; 3.1 Problem Formulation and System Overview	https://arxiv.org/html/2606.28896v1 — §2.4 Tool-Augmented LLM Agents and Evaluation; 3.5 Observer-Driven Evaluation and Bounded Repair; 4 Experiments	https://arxiv.org/html/2606.28896v1 — §5 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28898	arXiv:2606.28898v1	accessible	https://arxiv.org/html/2606.28898v1 — §PASTA: A Paraphrasing And Self-Training Approach for Knowledge Updating in LLMs; 3 Proposed Method; 3.1 Design Motivations	https://arxiv.org/html/2606.28898v1 — §4 Experiments; 4.2 Experimental Setup; 4.3 Evaluation Methods	https://arxiv.org/html/2606.28898v1 — §5 Conclusion; 6 Limitations；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28900	arXiv:2606.28900v1	accessible	https://arxiv.org/html/2606.28900v1 — §Design goals.; Training-oriented derivatives.	https://arxiv.org/html/2606.28900v1 — §Medical QA and fixed-input evaluation.; Memory, retrieval, and continual evaluation.; 3 MedEvoEval : An Executable Evaluation Protocol	https://arxiv.org/html/2606.28900v1 — §6 Discussion, Limitations, and Ethics; 7 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28925	arXiv:2606.28925v1	accessible	https://arxiv.org/html/2606.28925v1 — §2.1. Tool/Agent Routing in LLM Systems; 2.4. Learning-to-Rank, Retrieval, and Evaluation Methodology; 2.6. Multi-Agent Systems and Task Decomposition	https://arxiv.org/html/2606.28925v1 — §Multi-Agent Routing as Set-Valued Prediction: A WildChat Benchmark and Cost-Aware Evaluation; 2.4. Learning-to-Rank, Retrieval, and Evaluation Methodology; 3.1. Problem setup and notation	https://arxiv.org/html/2606.28925v1 — §7. Discussion; 8. Limitations; 10. Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28932	arXiv:2606.28932v1	accessible	https://arxiv.org/html/2606.28932v1 — §DLR: Zero-Inference-Cost Latent Residuals for Low-Rank Pre-Training; 2 Low-rank efficient pre-training; Appendix D The impact of DLR on training dynamics	https://arxiv.org/html/2606.28932v1 — §2.1 Setup and a Unified View; 4 Experiments; 4.1 Evaluation Setup and Protocol	https://arxiv.org/html/2606.28932v1 — §5 Conclusion, Limitations and Outlook；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28938	arXiv:2606.28938v1	accessible	https://arxiv.org/html/2606.28938v1 — §3 Methodology: Electro-Visual-Language Assistant (EVLA); 3.4 Physics-Guided Joint Training Objective; 3.5 Implementation and Training Details	https://arxiv.org/html/2606.28938v1 — §4 Experiments; 4.3 Evaluation and Main Results; 4.7 Parameter Sensitivity Analysis	https://arxiv.org/html/2606.28938v1 — §4.8 Discussion; 5 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Weekly Only — Context	passed
SF-2026-ARXIV-2606-28939	arXiv:2606.28939v1	accessible	https://arxiv.org/html/2606.28939v1 — §4 Our Approach: ReGuide; Appendix B Algorithm	https://arxiv.org/html/2606.28939v1 — §5 Experiments; Appendix D Setup Details	https://arxiv.org/html/2606.28939v1 — §6 Conclusion and Limitations; Limitations.；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28953	arXiv:2606.28953v1	accessible	https://arxiv.org/html/2606.28953v1 — §Clustering Unsupervised Representations as Defense against Poisoning Attacks on Speech Commands Classification System Thanks: Based upon work supported by the Defense Advanced Research Projects Agency (DARPA) under Contract No. HR001120C0114. Opinions, findings and conclusions or recommendations in this material are those of the authors and do not necessarily reflect the views of the Defense Advanced Research Projects Agency (DARPA).; 4.5 Proposed defense vs prior methods; 5.1 Proposed defense vs prior methods	https://arxiv.org/html/2606.28953v1 — §3.4 Linear Discriminant Analysis; 4 Experimental set-up; 5 Results and Discussion	https://arxiv.org/html/2606.28953v1 — §Clustering Unsupervised Representations as Defense against Poisoning Attacks on Speech Commands Classification System Thanks: Based upon work supported by the Defense Advanced Research Projects Agency (DARPA) under Contract No. HR001120C0114. Opinions, findings and conclusions or recommendations in this material are those of the authors and do not necessarily reflect the views of the Defense Advanced Research Projects Agency (DARPA).; 2 Threat Model; 5 Results and Discussion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28955	arXiv:2606.28955v1	accessible	https://arxiv.org/html/2606.28955v1 — §3 Method; Pretraining.; Pretraining budget.	https://arxiv.org/html/2606.28955v1 — §Theoretical analysis.; 4 Experiments; 4.2 Main results	https://arxiv.org/html/2606.28955v1 — §5 Limitations and Future Work; 7 Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	Integrate	passed
SF-2026-ARXIV-2606-28958	arXiv:2606.28958v1	accessible	https://arxiv.org/html/2606.28958v1 — §Report GitHub Issue; When Latent Agents Lie: KV-Cache Integrity in Multi-Agent LLM Collaboration	https://arxiv.org/html/2606.28958v1 — §5 Benchmark and Experimental Setup; 8 Defense Diagnostics and Trade-Off Analysis	https://arxiv.org/html/2606.28958v1 — §3 Problem Setting and Threat Model; 8.4 Transport Integrity and Fail-Closed Boundary; 9 Failure Modes and Limitations；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28962	arXiv:2606.28962v1	accessible	https://arxiv.org/html/2606.28962v1 — §III Methodology; III-B Defense Framework Design; III-C Defense Metric Design	https://arxiv.org/html/2606.28962v1 — §IV Experiments; IV-A Experimental Setup; IV-B Experimental Scenarios and Results	https://arxiv.org/html/2606.28962v1 — §III-A Threat Model; V Conclusion；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-28995	arXiv:2606.28995v1	accessible	https://arxiv.org/html/2606.28995v1 — §IV Methodology; V-A 3 CBVF Training Details	https://arxiv.org/html/2606.28995v1 — §III Background and Problem Setup; V Experiments; V-A Experimental Setup	https://arxiv.org/html/2606.28995v1 — §VI Conclusion, Limitations and Future Works；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	selected	Integrate	passed
SF-2026-ARXIV-2606-28998	arXiv:2606.28998v1	accessible	https://arxiv.org/html/2606.28998v1 — §3. Methodology	https://arxiv.org/html/2606.28998v1 — §3.4. Evaluation Benchmarks; 3.4.1. Evaluation on Functional Benchmarks; 3.4.2. Evaluation on Non-Functional Benchmarks	https://arxiv.org/html/2606.28998v1 — §3.6. Threats to Validity; Small Model Limitations; Failure Cases；该 exact-v1 只证明论文所述 workload、model/runtime 与 evaluator 范围内的结果，未证明跨模型族、硬件、数据分布、未测 failure mode 或生产 SLO 的普遍成立。	source-specific_or_literal_Not_Disclosed	not_selected	No Change — Existing Coverage	passed
