arxiv_id	source_family_key	screening_route	title	decision	closure_class	stable_node_id	family_specific_reason
2606.22331	arxiv:2606.22331	core_daily_semantic_review_required	No Reference-Free Generalization in Quantum Machine Learning	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘No Reference-Free Generalization in Quantum Machine Learning’: exact abstract scope is ‘Quantum machine learning is often motivated by the exponentially large state space of quantum systems, but this promise leaves a basic generalization problem unresolved: how can a learner assign different meanings to unseen quantum directions when the training data provide no preferred basis, measurement frame, or other orienting structure? ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22332	arxiv:2606.22332	not_routed_by_keyword_contract	Tactile Genesis: Exploring Tactile Sensors at Scale for Learning Dexterous Tasks	pre-denominator closure	context_without_durable_design_delta	—	Family-specific closure for ‘Tactile Genesis: Exploring Tactile Sensors at Scale for Learning Dexterous Tasks’: exact abstract scope is ‘Tactile sensing is critical for contact-rich dexterous manipulation, yet it remains unclear which tactile abstractions a policy needs and when richer tactile fields justify their hardware cost. ’. 提供相关背景或局部实验，但没有达到改变长期 AI-System 机制、系统 contract 或 Books proposition 的门槛.
2606.22333	arxiv:2606.22333	core_daily_semantic_review_required	Towards Whole Hand and Wrist Kinematic Tracking with a Wearable A-Mode Ultrasound Probe	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Towards Whole Hand and Wrist Kinematic Tracking with a Wearable A-Mode Ultrasound Probe’: exact abstract scope is ‘A-mode ultrasound (US) has emerged as a promising modality for hand and wrist motion tracking. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22335	arxiv:2606.22335	not_routed_by_keyword_contract	Multi-AUV Marine Life Tracking with Single Hydrophone Payloads via a Hidden Markov Model Equipped Particle Filter	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Multi-AUV Marine Life Tracking with Single Hydrophone Payloads via a Hidden Markov Model Equipped Particle Filter’: exact abstract scope is ‘Researchers tag and track marine animals to study migration patterns, human impacts on behavior, and behavioral shifts due to climate change. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22336	arxiv:2606.22336	core_daily_semantic_review_required	Null-Calibrated Conformal Selection via Target-Membership Scores	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Null-Calibrated Conformal Selection via Target-Membership Scores’: exact abstract scope is ‘Conformal selection aims to identify test candidates whose unknown responses fall in a target region while controlling the false discovery rate. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22338	arxiv:2606.22338	core_daily_semantic_review_required	RoboMME-Interference: Benchmarking Robot Memory Under Interference	retained	candidate_denominator	AGENT-MEMORY	Retained for exact-v1 review under `AGENT-MEMORY`: ‘RoboMME-Interference: Benchmarking Robot Memory Under Interference’ states the scope ‘Robots deployed in realistic settings will accumulate experience across many sessions and tasks over their deployment. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22339	arxiv:2606.22339	not_routed_by_keyword_contract	T-IMPACT: A Severity-Aware Benchmark for Contextual Image-Text Manipulation	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘T-IMPACT: A Severity-Aware Benchmark for Contextual Image-Text Manipulation’: exact abstract scope is ‘Recent advances in vision-language models and generative editing systems have made it increasingly easy to produce persuasive multimodal misinformation by altering images, text, or both jointly. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22340	arxiv:2606.22340	not_routed_by_keyword_contract	A Post-Quantum Secure Lattice-Based Forward-Secure Identity Based Encryption with Applications to Internet of Things Architecture	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘A Post-Quantum Secure Lattice-Based Forward-Secure Identity Based Encryption with Applications to Internet of Things Architecture’: exact abstract scope is ‘The rapid expansion of the Internet of Things (IoT) has led to an unprecedented scale of data exchange across heterogeneous and resource-constrained devices. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22342	arxiv:2606.22342	core_daily_semantic_review_required	How Does Research Evolve? Tracing Cross-Domain Trajectories in NLP, ML, and CV Through Claim-Grounded Typed Citations	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘How Does Research Evolve? Tracing Cross-Domain Trajectories in NLP, ML, and CV Through Claim-Grounded Typed Citations’: exact abstract scope is ‘How does research evolve, and can we trace it at the level of individual claims? ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22346	arxiv:2606.22346	core_daily_semantic_review_required	Flow Annealing Posterior Sampling for Function-Space Regression and Inverse Problems	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Flow Annealing Posterior Sampling for Function-Space Regression and Inverse Problems’: exact abstract scope is ‘Principled regression for stochastic processes is a long-standing challenge with deep connections to scientific inverse problems. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22347	arxiv:2606.22347	not_routed_by_keyword_contract	Customizing Video Portraits via Identity-ActionDecoupling	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Customizing Video Portraits via Identity-ActionDecoupling’: exact abstract scope is ‘Identity-Preserving Text-to-Video Generation (IPT2V) seeks to synthesize a temporally coherent video from a reference image and a textual description, while simultaneously preserving the subject's identity and allowing fine-grained control over facial dynamics. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22349	arxiv:2606.22349	core_daily_semantic_review_required	Curiosity as Linguistic Intervention: Using LLM Tutoring Dialogues to Influence Exploratory Learning Behavior	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Curiosity as Linguistic Intervention: Using LLM Tutoring Dialogues to Influence Exploratory Learning Behavior’: exact abstract scope is ‘Large Language Models (LLMs) provide a new opportunity to study how language shapes exploratory cognition because conversational strategies can be systematically manipulated at inference time. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22350	arxiv:2606.22350	core_daily_semantic_review_required	Select-to-Act: Hierarchical Reinforcement Learning via Adaptive Language Guidance	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Select-to-Act: Hierarchical Reinforcement Learning via Adaptive Language Guidance’: exact abstract scope is ‘Reinforcement Learning (RL) has been widely applied to sequential decision-making, yet it often suffers from poor sample efficiency due to costly interactions with the environment. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22351	arxiv:2606.22351	core_daily_semantic_review_required	Reliability-Guided Adaptive Ensembling for Robust Test-Time Adaptation	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Reliability-Guided Adaptive Ensembling for Robust Test-Time Adaptation’: exact abstract scope is ‘Test-time adaptation (TTA) can mitigate domain shift without source data, but it is highly brittle under adversarially contaminated test streams, where corrupted inputs also destabilize online updates. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22352	arxiv:2606.22352	core_daily_semantic_review_required	On the Sparsity-Storage-Accuracy Tradeoff in Parsimoniously Activated Dictionary Learning	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘On the Sparsity-Storage-Accuracy Tradeoff in Parsimoniously Activated Dictionary Learning’: exact abstract scope is ‘Dictionary learning has long been studied from both optimization and probabilistic perspectives. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22353	arxiv:2606.22353	not_routed_by_keyword_contract	Interest Entanglement: The Hidden Barrier to Blind Super-Resolution Optimization	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Interest Entanglement: The Hidden Barrier to Blind Super-Resolution Optimization’: exact abstract scope is ‘Fidelity and perceptual quality are two inherently competing and conflicting objectives in the image super-resolution (SR) task. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22357	arxiv:2606.22357	core_daily_semantic_review_required	ORBIT: Training-Free Multi-Attribute Behavioral Steering via Orthogonal Subspace Rotation	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘ORBIT: Training-Free Multi-Attribute Behavioral Steering via Orthogonal Subspace Rotation’: exact abstract scope is ‘Language models are widely used in assistant settings, where controlling behavioral attributes is often essential. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22360	arxiv:2606.22360	core_daily_semantic_review_required	A Taxonomy of Conceptual Alignment in Human-Robot Dialogue	pre-denominator closure	context_without_durable_design_delta	—	Family-specific closure for ‘A Taxonomy of Conceptual Alignment in Human-Robot Dialogue’: exact abstract scope is ‘Successful conversations require speakers to align on the meaning of concepts, a challenging but crucial task for human-robot interaction. ’. 提供相关背景或局部实验，但没有达到改变长期 AI-System 机制、系统 contract 或 Books proposition 的门槛.
2606.22361	arxiv:2606.22361	core_daily_semantic_review_required	First-Token Broadcasters: Mechanistic Origins of Language Identity and Distributed Robustness in Transformers	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘First-Token Broadcasters: Mechanistic Origins of Language Identity and Distributed Robustness in Transformers’: exact abstract scope is ‘Why do multilingual language models sometimes generate in the wrong language, and why is this so hard to fix? ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22363	arxiv:2606.22363	core_daily_semantic_review_required	Reference-Free Assessment of Physical Consistency in World Model-based Video Generation	retained	candidate_denominator	MULTIMODAL-WORLD-MODELS	Retained for exact-v1 review under `MULTIMODAL-WORLD-MODELS`: ‘Reference-Free Assessment of Physical Consistency in World Model-based Video Generation’ states the scope ‘We introduce reference-free measures for evaluating the physical consistency of generated videos, combining relative and absolute approaches to assess fidelity. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22364	arxiv:2606.22364	not_routed_by_keyword_contract	Physics-Informed Neural Operator for Speech Production Analysis	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Physics-Informed Neural Operator for Speech Production Analysis’: exact abstract scope is ‘Physics-informed neural operators (PINOs) have recently gained attention as fast numerical simulators with potential for solving inverse problems. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22369	arxiv:2606.22369	core_daily_semantic_review_required	Kiwano: A Cutting-Edge Open-Source Toolkit for Speaker Verification	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Kiwano: A Cutting-Edge Open-Source Toolkit for Speaker Verification’: exact abstract scope is ‘In this paper, we present Kiwano, an open-source toolkit designed to advance research and evaluation for speaker verification. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22370	arxiv:2606.22370	not_routed_by_keyword_contract	Towards Error-Free Long Video Generation	retained	candidate_denominator	MULTIMODAL-GENERATIVE-PARADIGMS	Retained for exact-v1 review under `MULTIMODAL-GENERATIVE-PARADIGMS`: ‘Towards Error-Free Long Video Generation’ states the scope ‘Recent advances in video generation have made minute-level synthesis possible; however, generating long videos remains challenging due to error accumulation, attribute drift, and the limited availability of long video data. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22371	arxiv:2606.22371	keyword_daily_semantic_review_required	ZeroGVC: Zero-Shot Generative Video Compression with Autoregressive Diffusion Priors	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘ZeroGVC: Zero-Shot Generative Video Compression with Autoregressive Diffusion Priors’: exact abstract scope is ‘Recent generative video compression methods leverage powerful generative priors to achieve perceptually pleasing reconstructions. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22375	arxiv:2606.22375	core_daily_semantic_review_required	ARIA: A Causal-Aware Framework for Rescuing LLM Reasoning in Trustworthy Materials Discovery	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘ARIA: A Causal-Aware Framework for Rescuing LLM Reasoning in Trustworthy Materials Discovery’: exact abstract scope is ‘Generative models have revolutionized the process of materials discovery, yet they often fail to satisfy underlying physical causality. ’. 结果服务于特定领域任务，尚未改变可跨领域复用的训练、推理、平台或 Agent 系统责任边界.
2606.22377	arxiv:2606.22377	core_daily_semantic_review_required	Multigrid Training for Molecular Generation using Graph Neural Networks	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Multigrid Training for Molecular Generation using Graph Neural Networks’: exact abstract scope is ‘Deep learning has demonstrated significant success for modeling biochemical molecular systems, where inputs are commonly represented as graphs or 3D grids. ’. 结果服务于特定领域任务，尚未改变可跨领域复用的训练、推理、平台或 Agent 系统责任边界.
2606.22378	arxiv:2606.22378	not_routed_by_keyword_contract	Following the Flow: Advection-Consistent Modeling for Event-based Small Object Detection	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Following the Flow: Advection-Consistent Modeling for Event-based Small Object Detection’: exact abstract scope is ‘Event cameras enable high-frequency visual perception with microsecond latency, offering advantages for dynamic scenes. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22381	arxiv:2606.22381	not_routed_by_keyword_contract	Enhancing Road Safety: An IoT-Based Accident Detection and Prevention Mechanism	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Enhancing Road Safety: An IoT-Based Accident Detection and Prevention Mechanism’: exact abstract scope is ‘Road traffic accidents remain a critical global crisis, consistently serving as a primary driver of preventable mortality and severe injury. ’. 结果服务于特定领域任务，尚未改变可跨领域复用的训练、推理、平台或 Agent 系统责任边界.
2606.22382	arxiv:2606.22382	core_daily_semantic_review_required	Large Language Model-Assisted Cleaning of Report-Derived Labels in a Large-Scale Chest CT Dataset	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Large Language Model-Assisted Cleaning of Report-Derived Labels in a Large-Scale Chest CT Dataset’: exact abstract scope is ‘Purpose: To evaluate whether large language model (LLM)-assisted label cleaning can identify label-report discordance in CT-RATE, a large-scale public chest CT dataset. ’. 结果服务于特定领域任务，尚未改变可跨领域复用的训练、推理、平台或 Agent 系统责任边界.
2606.22383	arxiv:2606.22383	core_daily_semantic_review_required	Structured Hyperedge Adaptation for Parameter-Efficient Fine-Tuning of Vision Transformers	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Structured Hyperedge Adaptation for Parameter-Efficient Fine-Tuning of Vision Transformers’: exact abstract scope is ‘Parameter-efficient fine-tuning (PEFT) has become a practical solution for adapting large pretrained vision transformers (ViTs) to downstream tasks while updating only a small subset of parameters. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22385	arxiv:2606.22385	core_daily_semantic_review_required	MetaPS: Adaptive Programmatic Strategy Selection for Market Agents	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘MetaPS: Adaptive Programmatic Strategy Selection for Market Agents’: exact abstract scope is ‘No single market strategy always wins: momentum, mean reversion, risk control,and event-driven rules can each succeed or fail as market conditions change.Rather than asking large language models to directly generate market actions,we study an executable decision paradigm where an agent selects from a library of programmatic strategies, each implemented as a code module mapping market observations to actions.We propos’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22386	arxiv:2606.22386	core_daily_semantic_review_required	Hardwired Pattern Formation by Mobile Robots with Common Unit Distance	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Hardwired Pattern Formation by Mobile Robots with Common Unit Distance’: exact abstract scope is ‘The pattern formation (PTF) problem requires mobile robots to form a specified target pattern. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
