arxiv_id	published_v1_utc	route	status	source_family_id	title	reason
2605.01676	2026-05-03T02:22:22Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01676	Missingness-aware Data Imputation via AI-powered Bayesian Generative Modeling	《Missingness-aware Data Imputation via AI-powered Bayesian Generative Modeling》具体研究/提出：In this work, we propose MissBGM, an AI-powered missing data imputation method via Bayesian generative modeling that bridges the expressive flexibility of neural networks with the statistical rigor of Bayesian inference. 它没有同时改变 request/KV/scheduler 的状态 ownership 与 workload-SLO contract；局部速度或压缩结果不能外推为推理系统设计结论。（identity=2605.01676v1）
2605.01679	2026-05-03T02:34:54Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01679	Class-Aware Adaptive Differential Privacy in Deep Learning for Sensor-Based Fall Detection	《Class-Aware Adaptive Differential Privacy in Deep Learning for Sensor-Based Fall Detection》具体研究/提出：Timely fall detection and treatment can prevent severe injuries. 它没有改变数据、optimizer、checkpoint 或 distributed runtime 的持久状态和控制权；受限模型/数据结果不足以重写 Training System 主线。（identity=2605.01679v1）
2605.01681	2026-05-03T02:38:21Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01681	Benchmarking Single-Pose Docking, Consensus Rescoring, and Supervised ML on the LIT-PCBA Library: A Critical Evaluation of DiffDock, AutoDock-GPU, GNINA, and DiffDock-NMDN	《Benchmarking Single-Pose Docking, Consensus Rescoring, and Supervised ML on the LIT-PCBA Library: A Critical Evaluation of DiffDock, AutoDock-GPU, GNINA, and DiffDock-NMDN》具体研究/提出：Recent AI-based tools such as DiffDock and NMDN have reported strong benchmark results, but their practical utility on realistic, experimentally-derived datasets remains unclear. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01681v1）
2605.01687	2026-05-03T02:55:30Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01687	MultiBreak: A Scalable and Diverse Multi-turn Jailbreak Benchmark for Evaluating LLM Safety	《MultiBreak: A Scalable and Diverse Multi-turn Jailbreak Benchmark for Evaluating LLM Safety》具体研究/提出：Multi-turn jailbreaks mimic natural conversational settings, making them easier to bypass safety-aligned LLM than single-turn jailbreaks. 它提供单一 metric/dataset 或领域 benchmark，但未改变 evaluation identity、release authority、uncertainty 或可复现 evidence 的平台合同。（identity=2605.01687v1）
2605.01688	2026-05-03T02:55:46Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01688	GRAVITY: Architecture-Agnostic Structured Anchoring for Long-Horizon Conversational Memory	《GRAVITY: Architecture-Agnostic Structured Anchoring for Long-Horizon Conversational Memory》具体研究/提出：However, retrieved fragments are typically fed to the language model as unstructured text, lacking the relational, temporal, and thematic structures essential for complex reasoning. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01688v1）
2605.01691	2026-05-03T03:08:24Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01691	Complex Diffusion Maps with $ω$-Parameterized Kernels Revealing Inherent Harmonic Representations	《Complex Diffusion Maps with $ω$-Parameterized Kernels Revealing Inherent Harmonic Representations》具体研究/提出：Inspired by the local Gaussian kernel relevant to the heat equation and the nonlocal Schrödinger kernel relevant to the Schrödinger equation, we propose a unified family of $ω$-parameterized complex-valued kernels for the trade-off between local and nonlocal connections. 它没有同时改变 request/KV/scheduler 的状态 ownership 与 workload-SLO contract；局部速度或压缩结果不能外推为推理系统设计结论。（identity=2605.01691v1）
2605.02960	2026-05-03T03:10:24Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-02960	MoE-Prefill: Zero Redundancy Overheads in MoE Prefill Serving	Prefill-only MoE workloads can exchange activation all-to-all for asynchronous expert-weight all-gather when long compute windows hide transfer; the saturation threshold and traffic drift become routing state.
2605.01694	2026-05-03T03:19:42Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-01694	Latent State Design for World Models under Sufficiency Constraints	World-model state should be selected by task-specific sufficiency—prediction, control, counterfactual action, memory—not by how much sensory information it preserves.
2605.01698	2026-05-03T03:40:29Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01698	BIM Information Extraction Through LLM-based Adaptive Exploration	《BIM Information Extraction Through LLM-based Adaptive Exploration》具体研究/提出：Current approaches translate natural language into structured queries by assuming a fixed data organization (static approach), which BIM heterogeneity eventually invalidates. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01698v1）
2605.01699	2026-05-03T03:44:15Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01699	Probe-Geometry Alignment: Erasing the Cross-Sequence Memorization Signature Below Chance	《Probe-Geometry Alignment: Erasing the Cross-Sequence Memorization Signature Below Chance》具体研究/提出：We characterise where this retention lives and show it can be surgically removed without measurable capability cost. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01699v1）
2605.01700	2026-05-03T03:51:24Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01700	TrajRAG: Retrieving Geometric-Semantic Experience for Zero-Shot Object Navigation	《TrajRAG: Retrieving Geometric-Semantic Experience for Zero-Shot Object Navigation》具体研究/提出：However, such knowledge arises from internet-scale text rather than embodied 3D experience, and episodic observations collected during navigation are typically discarded, preventing the accumulation of lifelong experience. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01700v1）
2605.01701	2026-05-03T03:58:19Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01701	Stability and Generalization for Decentralized Markov SGD	《Stability and Generalization for Decentralized Markov SGD》具体研究/提出：In many practical applications, data are generated by Markov chains and learning is performed in a decentralized manner, which introduces significant analytical challenges. 它没有改变数据、optimizer、checkpoint 或 distributed runtime 的持久状态和控制权；受限模型/数据结果不足以重写 Training System 主线。（identity=2605.01701v1）
2605.01702	2026-05-03T04:06:41Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01702	Floating-Point Networks with Automatic Differentiation Can Represent Almost All Floating-Point Functions and Their Gradients	《Floating-Point Networks with Automatic Differentiation Can Represent Almost All Floating-Point Functions and Their Gradients》具体研究/提出：However, such a result cannot be used in practice since it assumes real parameters and exact internal operations. 它没有改变数据、optimizer、checkpoint 或 distributed runtime 的持久状态和控制权；受限模型/数据结果不足以重写 Training System 主线。（identity=2605.01702v1）
2605.01704	2026-05-03T04:12:21Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-01704	The Reasoning Trap: An Information-Theoretic Bound on Closed-System Multi-Step LLM Reasoning	Closed multi-agent transformations cannot add evidence information under the stated Markov chain; external evidence changes the information boundary, while voting may preserve answers but destroy supported reasoning.
2605.01705	2026-05-03T04:13:27Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01705	Toward Resilient 5G Networks: Comparative Analysis of Federated and Centralized Learning for RF Jamming Detection	《Toward Resilient 5G Networks: Comparative Analysis of Federated and Centralized Learning for RF Jamming Detection》具体研究/提出：These attacks target 5G radio frequency (RF) domain and can disrupt the communication in wireless networks. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01705v1）
2605.01706	2026-05-03T04:21:48Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01706	Exploring Entropy-based Active Learning for Fair Brain Segmentation	《Exploring Entropy-based Active Learning for Fair Brain Segmentation》具体研究/提出：However, standard uncertainty-based AL methods typically focus on maximizing performance metrics, ignoring performance disparities or fairness across groups with sensitive attributes. 它提供单一 metric/dataset 或领域 benchmark，但未改变 evaluation identity、release authority、uncertainty 或可复现 evidence 的平台合同。（identity=2605.01706v1）
2605.01708	2026-05-03T04:22:51Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-01708	SplitZip: Ultra Fast Lossless KV Compression for Disaggregated LLM Serving	Bit-exact KV transfer can exploit exponent redundancy with a fixed dense code plus sparse escape stream, but codec throughput and small-payload overhead must be charged against the PD handoff critical path.
2605.01710	2026-05-03T04:49:30Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-01710	Model Routing as a Trust Problem: Route Receipts for Adaptive AI Systems	A model identifier is insufficient provenance for adaptive serving; each answer needs a redaction-aware route receipt covering alias, tier, fallback, tool and regional path decisions.
2605.01711	2026-05-03T04:51:30Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01711	Linear-Time Global Visual Modeling without Explicit Attention	《Linear-Time Global Visual Modeling without Explicit Attention》具体研究/提出：In this work, we offer a novel perspective: we demonstrate that attention can be mathematically reframed as a Multi-Layer Perceptron (MLP) equipped with dynamically predicted parameters. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01711v1）
2605.01712	2026-05-03T04:52:44Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01712	CoAction: Cross-task Correlation-aware Pareto Set Learning	《CoAction: Cross-task Correlation-aware Pareto Set Learning》具体研究/提出：However, existing PSL methods primarily focus on solving a single multi-objective optimization problem at a time. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01712v1）
2605.01717	2026-05-03T05:18:24Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01717	TCDA: Thread-Constrained Discourse-Aware Modeling for Conversational Sentiment Quadruple Analysis	《TCDA: Thread-Constrained Discourse-Aware Modeling for Conversational Sentiment Quadruple Analysis》具体研究/提出：Existing methods usually employ simple Graph Convolutional Networks (GCN), which introduce structural noise and fail to consider the temporal sequence of the dialogues, or use standard RoPE, which implicitly captures relative distances in a flat sequence but cannot clearly separate the token-level syntactic order from the utterance-level progression, and may suffer from the Distance Dilution problem. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01717v1）
2605.01718	2026-05-03T05:19:21Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01718	Dual-branch Robust Unlearnable Examples	《Dual-branch Robust Unlearnable Examples》具体研究/提出：However, existing UE schemes exhibit limited robustness against advanced defenses due to their heuristic design or narrowly scoped domain perturbations. 它没有改变数据、optimizer、checkpoint 或 distributed runtime 的持久状态和控制权；受限模型/数据结果不足以重写 Training System 主线。（identity=2605.01718v1）
2605.01720	2026-05-03T05:26:26Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01720	SignVerse-2M: A Two-Million-Clip Pose-Native Universe of 55+ Sign Languages	《SignVerse-2M: A Two-Million-Clip Pose-Native Universe of 55+ Sign Languages》具体研究/提出：While such resources are important for semantic understanding, they do not directly provide a unified interface for open-world recognition and translation, or for modern pose-driven sign language video generation frameworks: 1. 它是受限表示、生成或领域任务改进，没有改变 representation identity、action-conditioned transition、persistent world state 或 physical-control boundary。（identity=2605.01720v1）
2605.01721	2026-05-03T05:27:25Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01721	Automated Channel Fault Analysis with Tofu	《Automated Channel Fault Analysis with Tofu》具体研究/提出：This has in turn motivated a massive body of research ensuring the security, reliability, and performance of distributed protocols. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01721v1）
2606.20577	2026-05-03T05:31:35Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2606-20577	Human-Less LLM Serving: Quantifying the Human Tax on Throughput	Agent loops may not value human-perceived TTFT/TPOT; serving policy should bind SLOs to workload class while retaining hardware/memory safety caps and total-task completion evidence.
2605.02961	2026-05-03T05:36:52Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-02961	Analytic Bridge Diffusions for Controlled Path Generation	《Analytic Bridge Diffusions for Controlled Path Generation》具体研究/提出：In contrast, we identify a restricted but sufficiently broad analytically solvable class in which, for a deterministic source and a Gaussian-mixture target, the score and all intermediate marginals are explicit and protocol objectives of the type used in this paper can be differentiated without inner stochastic simulation loops. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.02961v1）
2605.01725	2026-05-03T05:49:27Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01725	Motion-Aware Caching for Efficient Autoregressive Video Generation	《Motion-Aware Caching for Efficient Autoregressive Video Generation》具体研究/提出：While cache reuse strategies can accelerate generation by skipping redundant denoising steps, existing methods rely on coarse-grained chunk-level skipping that fails to capture fine-grained pixel dynamics. 它没有同时改变 request/KV/scheduler 的状态 ownership 与 workload-SLO contract；局部速度或压缩结果不能外推为推理系统设计结论。（identity=2605.01725v1）
2605.01726	2026-05-03T05:50:36Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01726	FEDIN: Frequency-Enhanced Deep Interest Network for Click-Through Rate Prediction	《FEDIN: Frequency-Enhanced Deep Interest Network for Click-Through Rate Prediction》具体研究/提出：While frequency-domain analysis offers a global perspective to address this, existing approaches typically treat user sequences in isolation, overlooking the crucial context of the target item. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01726v1）
2605.23945	2026-05-03T05:53:32Z	core_daily_semantic_review_required	retained_candidate_denominator	SF-2026-ARXIV-2605-23945	Accelerating Long-Tail Generation in Synchronous RLHF Training via Adaptive Tensor Parallelism	Synchronous RLHF generation should treat response-length skew as changing the efficient TP degree; online reconfiguration must compare predicted benefit with KV migration/recompute, reshard and communicator costs.
2605.01727	2026-05-03T05:55:00Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01727	Are LLMs More Skeptical of Entertainment News?	《Are LLMs More Skeptical of Entertainment News?》具体研究/提出：We examine whether zero-shot LLMs are more likely to misclassify legitimate entertainment news as fake than legitimate hard news, using a within-dataset design on GossipCop from FakeNewsNet. 它提供单一 metric/dataset 或领域 benchmark，但未改变 evaluation identity、release authority、uncertainty 或可复现 evidence 的平台合同。（identity=2605.01727v1）
2605.01729	2026-05-03T05:57:17Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01729	Stable GFlowNets with TV Monitoring and Probabilistic Guarantees	《Stable GFlowNets with TV Monitoring and Probabilistic Guarantees》具体研究/提出：Despite their theoretical promise, practical training is often unstable, exhibiting severe loss spikes and mode collapse. 它没有改变数据、optimizer、checkpoint 或 distributed runtime 的持久状态和控制权；受限模型/数据结果不足以重写 Training System 主线。（identity=2605.01729v1）
2605.01731	2026-05-03T06:02:28Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01731	Lateral String Stability for Vehicle Platoons: Formulation, Definition, and Analysis	《Lateral String Stability for Vehicle Platoons: Formulation, Definition, and Analysis》具体研究/提出：These safety benefits depend on string stability, which dictates how disturbances propagate along a vehicle string. 它没有同时改变 request/KV/scheduler 的状态 ownership 与 workload-SLO contract；局部速度或压缩结果不能外推为推理系统设计结论。（identity=2605.01731v1）
2605.01732	2026-05-03T06:05:51Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01732	EGAD: Entropy-Guided Adaptive Distillation for Token-Level Knowledge Transfer	《EGAD: Entropy-Guided Adaptive Distillation for Token-Level Knowledge Transfer》具体研究/提出：Knowledge distillation offers a promising solution by transferring knowledge from a large teacher model to a smaller student model. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01732v1）
2605.01733	2026-05-03T06:09:04Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01733	GEASS: Gated Evidence-Adaptive Selective Caption Trust for Vision-Language Models	《GEASS: Gated Evidence-Adaptive Selective Caption Trust for Vision-Language Models》具体研究/提出：We show this fails: naively appending a caption can lower accuracy rather than raise it, dropping Qwen2.5-VL-3B† on HallusionBench by nearly ten points. 它是受限表示、生成或领域任务改进，没有改变 representation identity、action-conditioned transition、persistent world state 或 physical-control boundary。（identity=2605.01733v1）
2605.01735	2026-05-03T06:20:03Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01735	Less is More: Geometric Unlearning for LLMs with Minimal Data Disclosure	《Less is More: Geometric Unlearning for LLMs with Minimal Data Disclosure》具体研究/提出：This motivates selective unlearning, which suppresses information about a particular entity or topic while preserving the LLM's general utility. 它没有同时改变 request/KV/scheduler 的状态 ownership 与 workload-SLO contract；局部速度或压缩结果不能外推为推理系统设计结论。（identity=2605.01735v1）
2605.01736	2026-05-03T06:22:14Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01736	Multi-Scale Gaussian-Language Map for Zero-shot Embodied Navigation and Reasoning	《Multi-Scale Gaussian-Language Map for Zero-shot Embodied Navigation and Reasoning》具体研究/提出：Existing semantic mapping methods trade off between explicit geometry and multi-scale semantics, and lack a native interface for large models, thus requiring additional training of feature projection for semantic alignment. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01736v1）
2605.08145	2026-05-03T06:25:45Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-08145	Self-Captioning Multimodal Interaction Tuning: Amplifying Exploitable Redundancies for Robust Vision Language Models	《Self-Captioning Multimodal Interaction Tuning: Amplifying Exploitable Redundancies for Robust Vision Language Models》具体研究/提出：We hypothesize that these issues can be addressed by exploiting the shared information between modalities to compensate for the impaired one. 它是受限表示、生成或领域任务改进，没有改变 representation identity、action-conditioned transition、persistent world state 或 physical-control boundary。（identity=2605.08145v1）
2605.01738	2026-05-03T06:34:06Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01738	Continuous quantification of viral plaque dynamics using ultra-large-area label-free imaging enables rapid antiviral susceptibility testing	《Continuous quantification of viral plaque dynamics using ultra-large-area label-free imaging enables rapid antiviral susceptibility testing》具体研究/提出：However, the traditional PRA is time-consuming, labor-intensive, prone to manual counting errors, and offers limited scalability. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.01738v1）
2605.02962	2026-05-03T06:36:40Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-02962	ISAAC: Auditing Causal Reasoning in Deep Models for Drug-Target Interaction	《ISAAC: Auditing Causal Reasoning in Deep Models for Drug-Target Interaction》具体研究/提出：We introduce ISAAC (Intervention-based Structural Auditing Approach for Causal Reasoning), a post-hoc framework that evaluates prior-relative structural sensitivity by probing frozen models through matched mechanistic and spurious input-level interventions, independently of predictive accuracy. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.02962v1）
2605.01739	2026-05-03T06:37:43Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01739	AgenticVM: Agentic AI for Adaptive Software Vulnerability Management	《AgenticVM: Agentic AI for Adaptive Software Vulnerability Management》具体研究/提出：We introduce AgenticVM, a multi-agent framework that integrates large language models with security tools to automate vulnerability detection, assessment, prioritization, and reporting. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01739v1）
2605.01740	2026-05-03T06:38:12Z	core_daily_semantic_review_required	closed_pre_denominator	SF-2026-ARXIV-2605-01740	Architectural Obsolescence of Unhardened Agentic-AI Runtimes	《Architectural Obsolescence of Unhardened Agentic-AI Runtimes》具体研究/提出：Catching the four ways an action can diverge from its audit record -- F1 gate-bypass, F2 audit-forgery, silent host failure, F4 wrong-target, -- is a load-bearing safety property of any such runtime. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01740v1）
2605.02963	2026-05-03T06:38:25Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-02963	Towards Definitional Interpreters for Hoare Logics	《Towards Definitional Interpreters for Hoare Logics》具体研究/提出：A key benefit is that type safety interactively guides and constrains the interpreter's construction. 其贡献没有形成可复用的 AI-System mechanism、state/data/control ownership 或 evaluation/release contract 增量，现有 ROADMAP owner 无需改变。（identity=2605.02963v1）
2605.01741	2026-05-03T06:42:28Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01741	Adaptive Texture-aware Masking for Self-Supervised Learning in 3D Dental CBCT Analysis	《Adaptive Texture-aware Masking for Self-Supervised Learning in 3D Dental CBCT Analysis》具体研究/提出：However, the development of robust AI models for volumetric analysis is often constrained by the scarcity of large, annotated datasets. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01741v1）
2605.01742	2026-05-03T06:45:24Z	keyword_filtered	closed_pre_denominator	SF-2026-ARXIV-2605-01742	Joint Architecture-Token-Bitwidth Multi-Axis Optimization of Vision Transformers for Semiconductor IC Packaging	《Joint Architecture-Token-Bitwidth Multi-Axis Optimization of Vision Transformers for Semiconductor IC Packaging》具体研究/提出：Some main challenges are their high computational cost, memory requirement, and energy consumption. 它仍是局部 Agent 方法、任务集或受限行为证据，没有重新分配 context/action/workflow state 的 authority，也未改变现有 Agent owner 的长期 failure contract。（identity=2605.01742v1）
