arxiv_id	title	source_kind	screening_status	source_family_id	screening_reason	owner_node	review_status	access_status	integration_disposition
2605.04408	Autonomous Laparoscope Control through Unified Mechanics-Based Representation of Multimodal Intraoperative Information		pre_denominator_closure	SF-2026-ARXIV-2605-04408	问题/机制：Autonomous Laparoscope Control through Unified Mechanics-Based Representation of Multimodal Intraoperative Information；方法为“To address this issue, we propose a laparoscope-holding robot control method based on unified mechanics modeling of multimodal information.”；结果线索为“Experiments on a surgical phantom and in vivo porcine trials demonstrate that the proposed method supports multi-task operation, including compliant laparoscope manipulation and autonomous instrument tracking, while maintaining the RCM constraint and…”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04409	UAV as Urban Construction Change Monitor: A New Benchmark and Change Captioning Model		pre_denominator_closure	SF-2026-ARXIV-2605-04409	问题/机制：UAV as Urban Construction Change Monitor: A New Benchmark and Change Captioning Model；方法为“To address these challenges, we propose PTNet, a prototype-guided task-adaptive framework for joint change captioning and detection.”；结果线索为“Extensive experiments on UCCD and WHU-CDC demonstrate that PTNet consistently outperforms existing methods.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04410	Evaluation Cards for XAI Metrics		pre_denominator_closure	SF-2026-ARXIV-2605-04410	问题/机制：Evaluation Cards for XAI Metrics；方法为“We propose the XAI Evaluation Card, a documentation template analogous to model cards, designed to accompany any study that introduces an XAI evaluation metric.”；结果线索为“The evaluation of explainable AI (XAI) methods is affected by a lack of standardization.”。排除边界：证据是综述、立场或个案，没有提供可执行且可迁移的系统控制机制。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04412	Structured 3D Latents Are Surprisingly Powerful: Unleashing Generalizable Style with 2D Diffusion		pre_denominator_closure	SF-2026-ARXIV-2605-04412	问题/机制：Structured 3D Latents Are Surprisingly Powerful: Unleashing Generalizable Style with 2D Diffusion；方法为“To address this limitation, we introduce \textbf{DiLAST}: 2D Diffusion-based Latent Awakening for 3D Style Transfer.”；结果线索为“Extensive experiments across diverse data and multiple 3D generation backbones demonstrate the effectiveness and plug-and-play nature of our approach.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04413	Counterfactual identifiability beyond global monotonicity: non-monotone triangular structural causal models		pre_denominator_closure	SF-2026-ARXIV-2605-04413	问题/机制：Counterfactual identifiability beyond global monotonicity: non-monotone triangular structural causal models；方法为“We introduce non-monotone triangular structural causal models (NM-TM-SCM), which retain triangular recursion but replace global monotonicity with mechanism-wise invertibility and context-independent inverse transport.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：贡献停留在论文自身问题与实验对象，没有形成可迁移的 AI System owner、长期 contract 或 Books 反例。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2606.18257	From Memorization to Creation: Evaluating the Cognitive Depth of LLM-Generated Educational Questions		pre_denominator_closure	SF-2026-ARXIV-2606-18257	问题/机制：From Memorization to Creation: Evaluating the Cognitive Depth of LLM-Generated Educational Questions；方法为“Using a hybrid human--AI evaluation protocol, we generate and analyze 20{,}700 questions across computer science, K--12 math, and social-science domains.”；结果线索为“While LLMs show promise in automating educational content creation, their ability to generate questions that stimulate higher-order thinking remains understudied.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04418	Demystifying Manifold Constraints in LLM Pre-training		retained	SF-DEMYSTIFYING-MANIFOLD-CONSTRAINTS-IN-LLM-PRE-TRAINING	explicit manifold constraints bound activation scale and update geometry rather than acting as an unexplained stabilization heuristic	TRAIN-PRETRAINING	deep_complete	verified	Integrate
2605.04421	FLUID: Continuous-Time Hyperconnected Sparse Transformer for Sink-Free Learning		pre_denominator_closure	SF-2026-ARXIV-2605-04421	问题/机制：FLUID: Continuous-Time Hyperconnected Sparse Transformer for Sink-Free Learning；方法为“We propose FLUID (Flexible Unified Information Dynamics), a CT Transformer that incorporates continuous dynamics directly into the attention computation by replacing it with Liquid Attention Network (LAN).”；结果线索为“Theoretically, we establish stability guarantees for LAN dynamics and show that it serves as an interpolating middle ground between SDPA and CT-RNNs, recovering each as special case under well-defined parameterization of its…”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04425	Joint Semantic Token Selection and Prompt Optimization for Interpretable Prompt Learning		pre_denominator_closure	SF-2026-ARXIV-2605-04425	问题/机制：Joint Semantic Token Selection and Prompt Optimization for Interpretable Prompt Learning；方法为“In this paper, we propose Interpretable Prompt Learning (IPL), a hybrid framework that alternates between discrete semantic token selection and continuous prompt optimization.”；结果线索为“Extensive experiments on multiple benchmarks show that IPL consistently improves both interpretability and accuracy across five representative prompt learning methods, providing an effective and scalable extension to existing frameworks.”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04426	Telegraph English: Semantic Prompt Compression via Structured Symbolic Rewriting		pre_denominator_closure	SF-2026-ARXIV-2605-04426	问题/机制：Telegraph English: Semantic Prompt Compression via Structured Symbolic Rewriting；方法为“We introduce Telegraph English (TE), a prompt-compression protocol that rewrites natural language into a symbol-rich, formally-structured dialect.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04431	Towards Robust LLM Post-Training: Automatic Failure Management for Reinforcement Fine-Tuning		retained	SF-TOWARDS-ROBUST-LLM-POST-TRAINING-AUTOMATIC-FAILURE-MANAGEMENT-FOR-REINFO	RFT reliability requires observable fault fingerprints plus diagnosis and remediation as a closed training control loop	TRAIN-RLHF	deep_complete	verified	Integrate
2605.04435	Ground4D: Spatially-Grounded Feedforward 4D Reconstruction for Unstructured Off-Road Scenes		pre_denominator_closure	SF-2026-ARXIV-2605-04435	问题/机制：Ground4D: Spatially-Grounded Feedforward 4D Reconstruction for Unstructured Off-Road Scenes；方法为“These factors introduce conflicting Gaussian observations across timestamps, leading to either over-smoothed renderings or structural artifacts.”；结果线索为“Extensive experiments on ORAD-3D and RELLIS-3D demonstrate that Ground4D consistently outperforms existing feedforward methods in reconstruction quality and generalizes zero-shot to unseen off-road domains.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04436	Joint Optimization of Trajectory Control, Resource Allocation, and Task Offloading for Multi-UAV-Assisted IoV		pre_denominator_closure	SF-2026-ARXIV-2605-04436	问题/机制：Joint Optimization of Trajectory Control, Resource Allocation, and Task Offloading for Multi-UAV-Assisted IoV；方法为“This paper investigates a multi-Unmanned Aerial Vehicle (UAV) joint base station-assisted Internet of Vehicles (IoV) task offloading system in dense urban environments.”；结果线索为“Simulation results demonstrate that the proposed method significantly outperforms traditional multi-agent reinforcement learning baselines in terms of task success rate and system efficiency.”。排除边界：改进停留在该 agent/RAG 任务，未改变 durable state、effect ownership、admission/rollback 或跨运行评价契约。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04439	A cross-modal network for facial expression recognition		pre_denominator_closure	SF-2026-ARXIV-2605-04439	问题/机制：A cross-modal network for facial expression recognition；方法为“In this paper, we propose a cross-modal network with strong biological and structural information for facial expression recognition (CMNet).”；结果线索为“Our experimental results demonstrate that CMNet outperforms several novel methods, i.e., SCN and LAENet-SA for facial expression recognition.”。排除边界：贡献停留在论文自身问题与实验对象，没有形成可迁移的 AI System owner、长期 contract 或 Books 反例。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04443	Dissociating spatial frequency reliance from adversarial robustness advantages in neurally guided deep convolutional neural networks		pre_denominator_closure	SF-2026-ARXIV-2605-04443	问题/机制：Dissociating spatial frequency reliance from adversarial robustness advantages in neurally guided deep convolutional neural networks；方法为“Here, we investigate whether a spectral bias towards the LSF or the human channel is the primary driver of the adversarial robustness observed in neurally aligned DCNNs.”；结果线索为“We first show that DCNNs aligned to higher-order regions of the human ventral visual stream systematically increase reliance on both LSF and the human channel.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04445	LEGO: LoRA-Enabled Generator-Oriented Framework for Synthetic Image Detection		pre_denominator_closure	SF-2026-ARXIV-2605-04445	问题/机制：LEGO: LoRA-Enabled Generator-Oriented Framework for Synthetic Image Detection；方法为“To address this challenge, we propose LEGO (LoRA-Enabled Generator-Oriented Framework).”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04446	Misrouter: Exploiting Routing Mechanisms for Input-Only Attacks on Mixture-of-Experts LLMs		retained	SF-MISROUTER-EXPLOITING-ROUTING-MECHANISMS-FOR-INPUT-ONLY-ATTACKS-ON-MIXTUR	MoE routing is a remotely exploitable safety surface even when attackers can only influence input tokens	PLATFORM-SECURITY	deep_complete	verified	Integrate
2605.04447	Deep Reprogramming Distillation for Medical Foundation Models		pre_denominator_closure	SF-2026-ARXIV-2605-04447	问题/机制：Deep Reprogramming Distillation for Medical Foundation Models；方法为“In this study, we propose a novel framework called Deep Reprogramming Distillation (DRD) to combat the general adaptation challenge.”；结果线索为“Empirical results show that DRD surpasses previous PEFT and KD methods across 18 medical downstream tasks under different foundation models, covering various scenarios including 2D/3D classification and 2D/3D segmentation.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04448	Queue-Aware and Resilient Routing in LEO Satellite Networks Using Multi-Agent Reinforcement Learning		pre_denominator_closure	SF-2026-ARXIV-2605-04448	问题/机制：Queue-Aware and Resilient Routing in LEO Satellite Networks Using Multi-Agent Reinforcement Learning；方法为“We propose a queue-aware multi-agent deep reinforcement learning (MA-DRL) framework for routing in LEO satellite networks.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04449	GEM: Graph-Enhanced Mixture-of-Experts with ReAct Agents for Dialogue State Tracking		pre_denominator_closure	SF-2026-ARXIV-2605-04449	问题/机制：GEM: Graph-Enhanced Mixture-of-Experts with ReAct Agents for Dialogue State Tracking；方法为“We present GEM (Graph-Enhanced Mixture-of-Experts), a novel framework that combines language models and graph-structured dialogue understanding with ReAct agent-based reasoning for superior DST performance.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04450	When KV Meets Embeddings: Dynamic GPU Memory Allocation for Accelerating Generative Recommender Serving		retained	SF-WHEN-KV-MEETS-EMBEDDINGS-DYNAMIC-GPU-MEMORY-ALLOCATION-FOR-ACCELERATING-	embedding hot-cache and KV-cache allocation must be co-scheduled as one HBM control problem under tail-latency SLOs	INFER-GPU-MEMORY	deep_complete	verified	Integrate
2605.04451	RemoteZero: Geospatial Reasoning with Zero Labels		pre_denominator_closure	SF-2026-ARXIV-2605-04451	问题/机制：RemoteZero: Geospatial Reasoning with Zero Labels；方法为“Recent reinforcement learning approaches improve reasoning without manually annotated reasoning traces, but still require human-provided target labels to construct rewards, limiting their use on large-scale unlabeled Earth observation data.”；结果线索为“Experiments show that RemoteZero outperforms strong supervised baselines, applies effectively to other Earth observation tasks, and continues to improve through self-evolution as the training data expand.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04453	StableI2I: Spotting Unintended Changes in Image-to-Image Transition		pre_denominator_closure	SF-2026-ARXIV-2605-04453	问题/机制：StableI2I: Spotting Unintended Changes in Image-to-Image Transition；方法为“To address this limitation, we propose StableI2I, a unified and dynamic evaluation framework that explicitly measures content fidelity and pre--post consistency across a wide range of I2I tasks without requiring reference images,…”；结果线索为“Extensive experimental results demonstrate that StableI2I provides accurate, fine-grained, and interpretable evaluations of content fidelity and consistency, with strong correlations to human subjective judgments.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04454	Deployment-Relevant Alignment Cannot Be Inferred from Model-Level Evaluation Alone		retained	SF-DEPLOYMENT-RELEVANT-ALIGNMENT-CANNOT-BE-INFERRED-FROM-MODEL-LEVEL-EVALUA	deployment claims require interaction and scaffold evidence rather than model-only scores	PLATFORM-EVALUATION-SYSTEM	deep_complete	verified	No Change — Existing Coverage
2605.04458	DoGMaTiQ: Automated Generation of Question-and-Answer Nuggets for Report Evaluation		pre_denominator_closure	SF-2026-ARXIV-2605-04458	问题/机制：DoGMaTiQ: Automated Generation of Question-and-Answer Nuggets for Report Evaluation；方法为“Accordingly, we introduce DoGMaTiQ, a pipeline for generating high-quality QA-based nugget sets in three stages: (1) document-grounded nugget generation, (2) paraphrase clustering, and (3) nugget subselection based on principled quality criteria.”；结果线索为“Evaluation of long-form, citation-backed reports has lately received significant attention due to the wide-scale adoption of retrieval-augmented generation (RAG) systems.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.06703	EMRGF: A Practitioner Framework for Governance-Driven Enterprise Technology Modernization		pre_denominator_closure	SF-2026-ARXIV-2605-06703	问题/机制：EMRGF: A Practitioner Framework for Governance-Driven Enterprise Technology Modernization；方法为“Enterprise technology modernization programs fail at a documented and costly rate, yet the dominant explanation -- inadequate engineering capability -- is incorrect.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：改进停留在该 agent/RAG 任务，未改变 durable state、effect ownership、admission/rollback 或跨运行评价契约。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04460	Discovering Sparse Counterfactual Factors via Latent Adjustment for Survey-based Community Intervention		pre_denominator_closure	SF-2026-ARXIV-2605-04460	问题/机制：Discovering Sparse Counterfactual Factors via Latent Adjustment for Survey-based Community Intervention；方法为“We study sparse counterfactual community intervention from survey responses, where the goal is to shift a target respondent group toward a desired reference group through controllable survey-variable adjustments.”；结果线索为“Experiments on real-world transportation survey datasets show that the proposed framework produces compact and interpretable policy-feasible interventions with explicit adjustment magnitudes, improves population-level conversion, and preserves intervention sparsity.”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04461	Stream-T1: Test-Time Scaling for Streaming Video Generation		pre_denominator_closure	SF-2026-ARXIV-2605-04461	问题/机制：Stream-T1: Test-Time Scaling for Streaming Video Generation；方法为“To address these structural bottlenecks, we propose shifting the focus to streaming video generation.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04467	KEET: Explaining Performance of GPU Kernels Using LLM Agents		pre_denominator_closure	SF-2026-ARXIV-2605-04467	问题/机制：KEET: Explaining Performance of GPU Kernels Using LLM Agents；方法为“In this paper, we propose the Kernel Execution Explanation Toolkit (KEET), an LLM-based agentic framework for interpreting Nsight Compute profiles to generate useful and data-grounded natural language explanations of performance issues in…”；结果线索为“We find that the generated explanations, when provided as context, improve the quality of LLM code optimization and multiple-choice question answering in downstream tasks.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04468	Stabilizing LLM Supervised Fine-Tuning via Explicit Distributional Control		retained	SF-STABILIZING-LLM-SUPERVISED-FINE-TUNING-VIA-EXPLICIT-DISTRIBUTIONAL-CONTR	SFT can constrain distribution drift through moving trust-region anchors instead of accepting catastrophic forgetting as a downstream surprise	TRAIN-SFT	deep_complete	verified	Integrate
2605.04469	Augmented transfer regression learning for completely missing covariates		pre_denominator_closure	SF-2026-ARXIV-2605-04469	问题/机制：Augmented transfer regression learning for completely missing covariates；方法为“We propose an augmented transfer regression learning method for this setting.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04470	CRAFT: Counterfactual-to-Interactive Reinforcement Fine-Tuning for Driving Policies		pre_denominator_closure	SF-2026-ARXIV-2605-04470	问题/机制：CRAFT: Counterfactual-to-Interactive Reinforcement Fine-Tuning for Driving Policies；方法为“We introduce Counterfactual-to-Interactive Reinforcement Fine-Tuning (CRAFT), an on-policy framework that formulates closed-loop post-training as proxy-residual optimization.”；结果线索为“摘要未给出跨 workload 结果”。排除边界：只证明局部算法/实现增量，未改变跨层执行计划、状态 ownership、SLO/evaluation contract 或共存边界。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04471	Order Flow Exclusivity and Value Extraction Mechanisms: An Analysis of Ethereum Builder Centralization		pre_denominator_closure	SF-2026-ARXIV-2605-04471	问题/机制：Order Flow Exclusivity and Value Extraction Mechanisms: An Analysis of Ethereum Builder Centralization；方法为“This study investigates the rapid centralization of the Ethereum builder market under the Proposer-Builder Separation (PBS) architecture.”；结果线索为“We argue that existing research, by focusing predominantly on influential order flows, lacks a comprehensive evaluation of order flow behavioral patterns and economic purposes.”。排除边界：改进停留在该 agent/RAG 任务，未改变 durable state、effect ownership、admission/rollback 或跨运行评价契约。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04472	Automated Formal Proofs of Combinatorial Identities via Wilf-Zeilberger Guidance and LLMs		pre_denominator_closure	SF-2026-ARXIV-2605-04472	问题/机制：Automated Formal Proofs of Combinatorial Identities via Wilf-Zeilberger Guidance and LLMs；方法为“We propose WZ-LLM, a neuro-symbolic framework that turns WZ proof plans into executable proof sketches in Lean 4 and uses an LLM-based prover to discharge the resulting machine-checkable subgoals.”；结果线索为“Experiments show that WZ-LLM achieves a 34% proof success rate on LCI-Test (100 classic combinatorial identities), outperforming strong baselines such as DeepSeek-V3 and Goedel-Prover-V2, and delivering consistent gains on CombiBench and PutnamBench-Comb.”。排除边界：只证明局部算法/实现增量，未改变跨层执行计划、状态 ownership、SLO/evaluation contract 或共存边界。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04474	Geometry-Aware Neural Optimizer for Shape Optimization and Inversion		pre_denominator_closure	SF-2026-ARXIV-2605-04474	问题/机制：Geometry-Aware Neural Optimizer for Shape Optimization and Inversion；方法为“To address these challenges, we propose Geometry-Aware Neural Optimizer (\textbf{\textsc{GANO}}), an end-to-end differentiable framework that unifies geometry representation, field-level prediction, and automated optimization/inversion in a single latent-space loop.”；结果线索为“Experiments on three benchmarks spanning 2D Helmholtz, 2D airfoil, and 3D vehicles show state-of-the-art accuracy and stable, controllable updates, achieving up to +55.9% lift-to-drag improvement for airfoils and ~7% drag reduction for…”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04475	Information Coordination as a Bridge: A Neuro-Symbolic Architecture for Reliable Autonomous Driving Scene Understanding		pre_denominator_closure	SF-2026-ARXIV-2605-04475	问题/机制：Information Coordination as a Bridge: A Neuro-Symbolic Architecture for Reliable Autonomous Driving Scene Understanding；方法为“Reliable autonomous driving requires scene understanding that is semantically consistent across heterogeneous sensors and verifiable at the reasoning stage.”；结果线索为“Experiments on nuScenes and Waymo show that ICA preserves competitive 3D detection accuracy while substantially improving fusion consistency, reducing redundancy to below 1% and achieving about 98% attribute agreement.”。排除边界：结论绑定领域数据、标签与任务指标，不改变通用 AI System 的状态、数据或控制 owner。		identity_date_closed	verified	Rejected — Below Candidate Denominator
2605.04477	Data-dependent Exploration for Online Reinforcement Learning from Human Feedback		retained	SF-DATA-DEPENDENT-EXPLORATION-FOR-ONLINE-REINFORCEMENT-LEARNING-FROM-HUMAN-	online preference learning should allocate exploration from historical uncertainty rather than unreliable on-policy estimates alone	TRAIN-RLHF	deep_complete	verified	Integrate
2605.04478	CCL-D: A High-Precision Diagnostic System for Slow and Hang Anomalies in Large-Scale Model Training		retained	SF-CCL-D-A-HIGH-PRECISION-DIAGNOSTIC-SYSTEM-FOR-SLOW-AND-HANG-ANOMALIES-IN-	collective slow/hang diagnosis needs rank probes, fault fingerprints and remediation ownership inside the training runtime	TRAIN-DISTRIBUTED-TRAINING	deep_complete	verified	Integrate
2605.04481	Tightly-Coupled Estimation and Guidance for Robust Low-Thrust Rendezvous via Adaptive Homotopy		pre_denominator_closure	SF-2026-ARXIV-2605-04481	问题/机制：Tightly-Coupled Estimation and Guidance for Robust Low-Thrust Rendezvous via Adaptive Homotopy；方法为“Minimum-fuel low-thrust rendezvous guidance yields bang-bang control structures highly sensitive to estimation errors, sensor anomalies, and solver regularization, making aggressive closed-loop execution brittle for uncooperative proximity operations.”；结果线索为“Numerical results under severe measurement degradation show fixed bang-bang guidance remains brittle; both plain-KF and MTF-KF fixed-epsilon controllers yield large terminal miss distances.”。排除边界：主要建立任务集或局部测量，未重定义跨系统 evaluation identity、污染控制或 release contract。		identity_date_closed	verified	Rejected — Below Candidate Denominator
