source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason
SF-2026-ARXIV-2606-26520	2606.26520	core_daily_semantic_review_required	Multipath Adaptive Gated Bottleneck Latent ODE with Raman Data Fusion for Cell Culture Process Forecasting	Mammalian cell-culture processes underpin the manufacture of many biopharmaceuticals, yet keeping a run on track is hard: critical process parameters drift over days, and an off-specification trend is often confirmed too late to intervene.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Multipath Adaptive Gated Bottleneck Latent ODE with Raman Data Fusion for Cell Culture Process Forecasting`：Mammalian cell-culture processes underpin the manufacture of many biopharmaceuticals, yet keeping a run on track is hard: critical process parameters drift over days, and an off-specification trend is often confirmed too late to intervene. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26522	2606.26522	core_daily_semantic_review_required	Assessing Post-Reform Changes in Risk Disclosure Quality with a Multidimensional Text Analysis Approach	While corporate narrative disclosures provide crucial information to capital markets, comprehensively evaluating their qualitative changes over time remains challenging.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Assessing Post-Reform Changes in Risk Disclosure Quality with a Multidimensional Text Analysis Approach`：While corporate narrative disclosures provide crucial information to capital markets, comprehensively evaluating their qualitative changes over time remains challenging. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26523	2606.26523	core_daily_semantic_review_required	Radical AI Interpretability	We develop a framework for interpreting AI systems as agents, drawing on the philosophical tradition of radical interpretation and the tools of mechanistic interpretability.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Radical AI Interpretability`：We develop a framework for interpreting AI systems as agents, drawing on the philosophical tradition of radical interpretation and the tools of mechanistic interpretability. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26524	2606.26524	keyword_daily_semantic_review_required	VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills	Agentic systems increasingly act through third-party skills, allowing model-generated decisions to affect files, communication channels, and cyber-physical devices.	retained_after_full_semantic_audit	durable_ai_system_candidate	PLATFORM-SECURITY	`VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills` 改变 `PLATFORM-SECURITY` 的长期 state/data/control 或 evaluation/security contract：VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills 的 exact-v1 机制为：In this work, we present VIGIL, an end-to-end runtime enforcement framework for agentic systems. 因此 把 attacker、policy、runtime data/control flow、proof boundary 与 fail-closed handoff 显式化。
SF-2026-ARXIV-2606-26525	2606.26525	core_daily_semantic_review_required	Theory-Scale Auto-Formalization of Logics for Computer Science	Auto-formalization is critical for scalable formal verification, but existing progress largely focuses on isolated statements, while theory-scale auto-formalization, which coherently translates hundreds of interdependent definitions, lemmas, and theorems, remains open due to challenges in consistency, faithfulness, scalability, and correctness.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`Theory-Scale Auto-Formalization of Logics for Computer Science`：Auto-formalization is critical for scalable formal verification, but existing progress largely focuses on isolated statements, while theory-scale auto-formalization, which coherently translates hundreds of interdependent definitions, lemmas, and theorems, remains open due to challenges in consistency, faithfulness, scalability, and correctness. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26527	2606.26527	core_daily_semantic_review_required	Safety-Regulated Transfer Reinforcement Learning with Adaptive Teacher Guidance	We propose Safety-Regulated Adaptive Transfer Reinforcement Learning (SRATRL), a teacher--student framework that combines safety-triggered intervention, safety-adaptive value shaping, and policy-compatibility-based optimization for efficient target-domain adaptation.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Safety-Regulated Transfer Reinforcement Learning with Adaptive Teacher Guidance`：We propose Safety-Regulated Adaptive Transfer Reinforcement Learning (SRATRL), a teacher--student framework that combines safety-triggered intervention, safety-adaptive value shaping, and policy-compatibility-based optimization for efficient target-domain adaptation. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26528	2606.26528	not_routed_by_keyword_contract	TESLA-for-5G: Broadcast Authentication for 5G Networks Using TESLA	5G base stations broadcast unauthenticated system information (SI) that every user equipment (UE) reads during cell selection.	pre_denominator_closure	outside_durable_ai_system_scope	—	`TESLA-for-5G: Broadcast Authentication for 5G Networks Using TESLA`：5G base stations broadcast unauthenticated system information (SI) that every user equipment (UE) reads during cell selection. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26529	2606.26529	core_daily_semantic_review_required	The inattentional gap in task conditioned AI models that omit otherwise reportable safety critical signals	AI in radiology and other safety-critical workflows is evaluated on the hazards it is told to find, yet harm arises disproportionately from hazards no one specified.	retained_after_full_semantic_audit	durable_ai_system_candidate	PLATFORM-EVALUATION-SYSTEM	`The inattentional gap in task conditioned AI models that omit otherwise reportable safety critical signals` 改变 `PLATFORM-EVALUATION-SYSTEM` 的长期 state/data/control 或 evaluation/security contract：The inattentional gap in task conditioned AI models that omit otherwise reportable safety critical signals 的 exact-v1 机制为：We term this dissociation the Inattentional Gap: a system can score near-perfectly on specified hazards while omitting co-present safety-critical hazards. 因此 把样本、metric、judge、阈值、不确定性和 release authority 分离。
SF-2026-ARXIV-2606-26530	2606.26530	core_daily_semantic_review_required	DiARC: Distinguishing Positive and Negative Samples Helps Improving ARC-like Reasoning Ability of Large Language Models	The Abstraction and Reasoning Corpus (ARC) contains tasks that require summarizing patterns from limited grid samples and predicting output grids.	pre_denominator_closure	local_artifact_without_general_contract	—	`DiARC: Distinguishing Positive and Negative Samples Helps Improving ARC-like Reasoning Ability of Large Language Models`：The Abstraction and Reasoning Corpus (ARC) contains tasks that require summarizing patterns from limited grid samples and predicting output grids. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-26533	2606.26533	not_routed_by_keyword_contract	OSC2Runner: OpenSCENARIO 2.x Compliant High-Fidelity AV Simulation in CARLA	Scenario-Based Testing predominantly relies on the legacy ASAM OpenSCENARIO 1.x XML standard because existing continuous simulation frameworks lack native execution support for the recently matured v2.x Domain-Specific Language (DSL).	pre_denominator_closure	task_model_method_without_durable_owner	—	`OSC2Runner: OpenSCENARIO 2.x Compliant High-Fidelity AV Simulation in CARLA`：Scenario-Based Testing predominantly relies on the legacy ASAM OpenSCENARIO 1.x XML standard because existing continuous simulation frameworks lack native execution support for the recently matured v2.x Domain-Specific Language (DSL). 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26534	2606.26534	core_daily_semantic_review_required	VoiceTTA: Enhancing Zero-Shot Text-to-Speech via Reinforcement Learning-Based Test-Time Adaptation	Recently, zero-shot text-to-speech (TTS) has enabled high-fidelity and expressive speech synthesis, but it often fails to imitate unseen speaking styles from uncommon scenarios (e.g., crosstalk, dialects).	pre_denominator_closure	domain_application_without_system_contract_delta	—	`VoiceTTA: Enhancing Zero-Shot Text-to-Speech via Reinforcement Learning-Based Test-Time Adaptation`：Recently, zero-shot text-to-speech (TTS) has enabled high-fidelity and expressive speech synthesis, but it often fails to imitate unseen speaking styles from uncommon scenarios (e.g., crosstalk, dialects). 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-26535	2606.26535	core_daily_semantic_review_required	From Hallucination to Grounding: Diagnosing Visual Spatial Intelligence via CRISP	Current VLM evaluations often conflate language priors with genuine spatial reasoning.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`From Hallucination to Grounding: Diagnosing Visual Spatial Intelligence via CRISP`：Current VLM evaluations often conflate language priors with genuine spatial reasoning. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26538	2606.26538	core_daily_semantic_review_required	CascadeFormer: Depth-Tapered Transformers Motivated by Gradient Fan-in Asymmetry	Deep Transformers are composed of uniformly stacked residual blocks, yet their deepest layers often add little value.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`CascadeFormer: Depth-Tapered Transformers Motivated by Gradient Fan-in Asymmetry`：Deep Transformers are composed of uniformly stacked residual blocks, yet their deepest layers often add little value. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-26541	2606.26541	core_daily_semantic_review_required	Can Large Language Models Reliably Code Qualitative Humanitarian Data? A Benchmark Study Against Human Expert Adjudication	Data from affected populations are crucial for informing humanitarian response, but their value depends on timely and consistent interpretation of nuanced accounts of need.	pre_denominator_closure	local_artifact_without_general_contract	—	`Can Large Language Models Reliably Code Qualitative Humanitarian Data? A Benchmark Study Against Human Expert Adjudication`：Data from affected populations are crucial for informing humanitarian response, but their value depends on timely and consistent interpretation of nuanced accounts of need. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-26545	2606.26545	keyword_daily_semantic_review_required	ConcoLixir: Reactive LLM Discovery Oracles for Python Concolic Testing	Concolic testing combines concrete execution with symbolic constraint solving, but Python programs expose recurring limits.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`ConcoLixir: Reactive LLM Discovery Oracles for Python Concolic Testing`：Concolic testing combines concrete execution with symbolic constraint solving, but Python programs expose recurring limits. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-26547	2606.26547	core_daily_semantic_review_required	Compiler-Driven Approximation Tuning for Hyperdimensional Computing	As Moore's law reaches its physical and economic limits, domain-specific approaches are increasingly employed to accelerate machine learning workloads.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Compiler-Driven Approximation Tuning for Hyperdimensional Computing`：As Moore's law reaches its physical and economic limits, domain-specific approaches are increasingly employed to accelerate machine learning workloads. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26549	2606.26549	core_daily_semantic_review_required	PMDformer: Patch-Mean Decoupling Information Transformer for Long-term Forecasting	Long-term time series forecasting (LTSF) plays a crucial role in fields such as energy management, finance, and traffic prediction.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`PMDformer: Patch-Mean Decoupling Information Transformer for Long-term Forecasting`：Long-term time series forecasting (LTSF) plays a crucial role in fields such as energy management, finance, and traffic prediction. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-26551	2606.26551	not_routed_by_keyword_contract	PhyEditBench: A Real-World Multi-Stage Benchmark for Physics-Aware Image Editing	While instruction-based image editing, enabled by multi-modal generative models, has advanced significantly, existing benchmarks lack a comprehensive evaluation of physics-based reasoning, a critical capability for handling real-world scenarios.	pre_denominator_closure	task_model_method_without_durable_owner	—	`PhyEditBench: A Real-World Multi-Stage Benchmark for Physics-Aware Image Editing`：While instruction-based image editing, enabled by multi-modal generative models, has advanced significantly, existing benchmarks lack a comprehensive evaluation of physics-based reasoning, a critical capability for handling real-world scenarios. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26552	2606.26552	core_daily_semantic_review_required	Perception, Verdict, and Evolution: Hindsight-Driven Self-Refining Forensics Agent for AI-Generated Image Detection	The rapid advancement of generative models presents a significant challenge to existing deepfake detection methods, particularly given the widespread dissemination of highly realistic AI-generated images.	pre_denominator_closure	local_artifact_without_general_contract	—	`Perception, Verdict, and Evolution: Hindsight-Driven Self-Refining Forensics Agent for AI-Generated Image Detection`：The rapid advancement of generative models presents a significant challenge to existing deepfake detection methods, particularly given the widespread dissemination of highly realistic AI-generated images. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-26556	2606.26556	keyword_daily_semantic_review_required	WQ-Fusion: Dynamic Gated Attention for Cross-Domain Audio Representation	While pre-trained models excel in specialized tasks, learning universal representations across diverse acoustic domains remains challenging.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`WQ-Fusion: Dynamic Gated Attention for Cross-Domain Audio Representation`：While pre-trained models excel in specialized tasks, learning universal representations across diverse acoustic domains remains challenging. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-26557	2606.26557	not_routed_by_keyword_contract	Coarse-to-Fine: A Hybrid Self-Supervised Method for Non-rigid 3D Shape Matching	Non-rigid 3D shape matching is a fundamental task in computer vision and graphics.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Coarse-to-Fine: A Hybrid Self-Supervised Method for Non-rigid 3D Shape Matching`：Non-rigid 3D shape matching is a fundamental task in computer vision and graphics. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26559	2606.26559	core_daily_semantic_review_required	SpaceRipple: Lightweight Semantic Delivery for Mission-Oriented LEO Earth Observation Satellite Networks	Earth observation satellite networks generate massive volumes of high-resolution imagery, whereas inter-satellite and downlink resources remain limited.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`SpaceRipple: Lightweight Semantic Delivery for Mission-Oriented LEO Earth Observation Satellite Networks`：Earth observation satellite networks generate massive volumes of high-resolution imagery, whereas inter-satellite and downlink resources remain limited. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-26560	2606.26560	core_daily_semantic_review_required	Erase-then-Delta Attention: Decoupling Erase and Write Addresses in Delta-Rule Linear Attention	Delta-rule linear attention improves recurrent memory updates by correcting what is already stored at the current write address before writing new content.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Erase-then-Delta Attention: Decoupling Erase and Write Addresses in Delta-Rule Linear Attention`：Delta-rule linear attention improves recurrent memory updates by correcting what is already stored at the current write address before writing new content. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-26561	2606.26561	core_daily_semantic_review_required	Explainable Ensemble-Based Machine Learning Models for Detecting the Presence of Cirrhosis in Hepatitis C Patients	Hepatitis C is a liver infection caused by a virus, which results in mild to severe inflammation of the liver.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`Explainable Ensemble-Based Machine Learning Models for Detecting the Presence of Cirrhosis in Hepatitis C Patients`：Hepatitis C is a liver infection caused by a virus, which results in mild to severe inflammation of the liver. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-26563	2606.26563	core_daily_semantic_review_required	scBench-Long: Verifiable Benchmarking of Long-Horizon Single-Cell Biology	Single-cell studies require analysts to convert raw measurements into specific biological claims through multi-step workflows and integration of metadata, assay context, and auxiliary evidence.	pre_denominator_closure	local_artifact_without_general_contract	—	`scBench-Long: Verifiable Benchmarking of Long-Horizon Single-Cell Biology`：Single-cell studies require analysts to convert raw measurements into specific biological claims through multi-step workflows and integration of metadata, assay context, and auxiliary evidence. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-26566	2606.26566	core_daily_semantic_review_required	Adversarial Diffusion Across Modalities: A Fusion Survey of Attacks, Defenses, and Evaluation for Text, Vision, and Vision-Language Models	Adversarial evaluation of AI systems has matured along four largely disconnected tracks: diffusion-based attacks on text and large language models (LLMs), diffusion-based attacks on image classifiers, jailbreak pipelines against vision-language models, and diffusion-based input purification defenses.	pre_denominator_closure	survey_or_position_without_new_mechanism	—	`Adversarial Diffusion Across Modalities: A Fusion Survey of Attacks, Defenses, and Evaluation for Text, Vision, and Vision-Language Models`：Adversarial evaluation of AI systems has matured along four largely disconnected tracks: diffusion-based attacks on text and large language models (LLMs), diffusion-based attacks on image classifiers, jailbreak pipelines against vision-language models, and diffusion-based input purification defenses. 综述、立场或开放问题没有可独立验收的机制、failure authority 或 Books 纠错证据。
SF-2026-ARXIV-2606-26571	2606.26571	core_daily_semantic_review_required	Zero-shot Tweet-Level Stance Detection Enhanced by External Knowledge and Reflective Chain-of-Thought Reasoning	Zero-shot tweet-level stance detection confronts two primary challenges: (1) mitigating the context sparsity inherent in short texts, and (2) establishing the relevance between implicit targets and textual content.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Zero-shot Tweet-Level Stance Detection Enhanced by External Knowledge and Reflective Chain-of-Thought Reasoning`：Zero-shot tweet-level stance detection confronts two primary challenges: (1) mitigating the context sparsity inherent in short texts, and (2) establishing the relevance between implicit targets and textual content. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26574	2606.26574	core_daily_semantic_review_required	Revisiting Action Factorization for Complex Action Spaces	Many real-world control problems involve hybrid discrete-continuous action spaces.	pre_denominator_closure	local_artifact_without_general_contract	—	`Revisiting Action Factorization for Complex Action Spaces`：Many real-world control problems involve hybrid discrete-continuous action spaces. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-26575	2606.26575	core_daily_semantic_review_required	IDEA: Insensitive to Dynamics Mismatch via Effect Alignment for Sim-to-Real Transfer in Multi-Agent Control	Complex multi-agent control tasks remain challenging for traditional rule-based and model-based approaches, motivating the adoption of learning-based methods.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`IDEA: Insensitive to Dynamics Mismatch via Effect Alignment for Sim-to-Real Transfer in Multi-Agent Control`：Complex multi-agent control tasks remain challenging for traditional rule-based and model-based approaches, motivating the adoption of learning-based methods. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-26578	2606.26578	core_daily_semantic_review_required	EvoOptiGraph: Weakness-Driven Coevolution via Graph-Based Structural Generation for Optimization Modeling	Automating optimization modeling from natural language with large language models (LLMs) faces two key challenges.	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`EvoOptiGraph: Weakness-Driven Coevolution via Graph-Based Structural Generation for Optimization Modeling`：Automating optimization modeling from natural language with large language models (LLMs) faces two key challenges. 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26585	2606.26585	core_daily_semantic_review_required	A Multi-Level Validation and Traceability Framework for AI-Generated Telescope Scheduling Decisions	With the gradual introduction of AI into telescope scheduling, AI-based decision-making has shown advantages in handling complex multi-constraint problems.	pre_denominator_closure	task_model_method_without_durable_owner	—	`A Multi-Level Validation and Traceability Framework for AI-Generated Telescope Scheduling Decisions`：With the gradual introduction of AI into telescope scheduling, AI-based decision-making has shown advantages in handling complex multi-constraint problems. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-26587	2606.26587	core_daily_semantic_review_required	SharQ: Bridging Activation Sparsity and FP4 Quantization for LLM Inference	Low-bit floating-point formats and semi-structured sparsity are increasingly supported by modern accelerators, yet combining them for LLM activation compression remains challenging: activations contain input-dependent outliers that dominate block scales in FP4 quantization, and directly applying N:M sparsity masks discards moderate values, coupling sparsification loss with quantization error.	retained_after_full_semantic_audit	durable_ai_system_candidate	INFER-GPU-MEMORY	`SharQ: Bridging Activation Sparsity and FP4 Quantization for LLM Inference` 改变 `INFER-GPU-MEMORY` 的长期 state/data/control 或 evaluation/security contract：SharQ: Bridging Activation Sparsity and FP4 Quantization for LLM Inference 的 exact-v1 机制为：We introduce SharQ, a training-free inference method that bridges activation sparsity and FP4 quantization through an online sparse--dense decomposition. 因此 把设备频率、功耗/温度估计、QoE 和模型/backend identity 联合验收。
SF-2026-ARXIV-2606-26588	2606.26588	keyword_daily_semantic_review_required	Inference-Time Robot Behavior Steering through Physically-Aware Reconfiguration of Task-Structure	A central challenge in deploying learned robot policies is inference-time behavior steering: redirecting a policy at test time to satisfy user preferences not anticipated during training, without retraining.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`Inference-Time Robot Behavior Steering through Physically-Aware Reconfiguration of Task-Structure`：A central challenge in deploying learned robot policies is inference-time behavior steering: redirecting a policy at test time to satisfy user preferences not anticipated during training, without retraining. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-26590	2606.26590	core_daily_semantic_review_required	Empirical Software Engineering TerraProbe: A Layered-Oracle Framework for Detecting Deceptive Fixes in LLM-Assisted Terraform	Security misconfigurations in Terraform Infrastructure-as-Code are a growing risk in cloud deployments, and large language models are increasingly used as automated repair agents.	retained_after_full_semantic_audit	durable_ai_system_candidate	PLATFORM-EVALUATION-SYSTEM	`Empirical Software Engineering TerraProbe: A Layered-Oracle Framework for Detecting Deceptive Fixes in LLM-Assisted Terraform` 改变 `PLATFORM-EVALUATION-SYSTEM` 的长期 state/data/control 或 evaluation/security contract：Empirical Software Engineering TerraProbe: A Layered-Oracle Framework for Detecting Deceptive Fixes in LLM-Assisted Terraform 的 exact-v1 机制为：This paper presents TerraProbe, a five-layer oracle framework for evaluating LLM-assisted Terraform security repair. 因此 把样本、metric、judge、阈值、不确定性和 release authority 分离。
SF-2026-ARXIV-2606-26592	2606.26592	core_daily_semantic_review_required	Latent Diffusion Posterior Sampling with Surrogate Likelihood Guidance for PDE Inverse Problems	We propose latent-space diffusion posterior sampling (L-DPS), an approximate Bayesian framework for high-dimensional inverse problems governed by partial differential equations (PDEs).	pre_denominator_closure	formal_result_without_implemented_system_delta	—	`Latent Diffusion Posterior Sampling with Surrogate Likelihood Guidance for PDE Inverse Problems`：We propose latent-space diffusion posterior sampling (L-DPS), an approximate Bayesian framework for high-dimensional inverse problems governed by partial differential equations (PDEs). 形式或统计结果没有同时改变长期 AI-system owner、运行状态和验收接口。
SF-2026-ARXIV-2606-26593	2606.26593	core_daily_semantic_review_required	Content-Based Smart E-Mail Dispatcher Using Large Language Models	Email communication has become an integral part of personal and professional life, but handling its vast volume is still a significant issue for large organisations.	pre_denominator_closure	local_artifact_without_general_contract	—	`Content-Based Smart E-Mail Dispatcher Using Large Language Models`：Email communication has become an integral part of personal and professional life, but handling its vast volume is still a significant issue for large organisations. 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
